<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
C,03/01/12,17:00,27.19000,27.79000,27.17000,27.79000,558739
C,03/01/12,18:00,27.78500,28.39000,27.76000,28.13000,924249
C,03/01/12,19:00,28.11000,28.24000,28.04000,28.19000,448014
C,03/01/12,20:00,28.19000,28.35500,28.12000,28.17000,305053
C,03/01/12,21:00,28.17000,28.37000,28.14000,28.37000,308034
C,03/01/12,22:00,28.38000,28.50000,28.30000,28.49000,267783
C,03/01/12,23:00,28.49500,28.51000,28.30500,28.33000,639212
C,04/01/12,17:00,27.98000,28.18000,27.92500,28.02000,387583
C,04/01/12,18:00,28.01000,28.02000,27.63000,27.81000,449532
C,04/01/12,19:00,27.82000,28.00500,27.80000,27.98500,258716
C,04/01/12,20:00,27.98000,28.31000,27.98000,28.23000,243413
C,04/01/12,21:00,28.23000,28.29000,28.10000,28.25000,219826
C,04/01/12,22:00,28.25000,28.37000,28.15000,28.34000,156683
C,04/01/12,23:00,28.33500,28.37500,28.16500,28.18000,309846
C,05/01/12,17:00,27.63000,27.90000,27.48000,27.87000,250710
C,05/01/12,18:00,27.87000,28.24000,27.67000,28.04000,630847
C,05/01/12,19:00,28.03000,28.65000,28.01000,28.47000,430977
C,05/01/12,20:00,28.48000,28.86000,28.45000,28.86000,360154
C,05/01/12,21:00,28.87000,29.18000,28.77500,29.00000,486254
C,05/01/12,22:00,29.00000,29.01000,28.53500,28.54000,477739
C,05/01/12,23:00,28.53000,28.65000,28.16000,28.51000,794402
C,06/01/12,17:00,28.67000,28.79000,28.01000,28.43000,681456
C,06/01/12,18:00,28.43000,29.05000,28.30500,28.78500,598653
C,06/01/12,19:00,28.79000,28.99000,28.70000,28.72000,220818
C,06/01/12,20:00,28.71000,28.71000,28.25000,28.41000,230361
C,06/01/12,21:00,28.40000,28.57000,28.25000,28.48000,226637
C,06/01/12,22:00,28.48500,28.68000,28.45500,28.61000,222870
C,06/01/12,23:00,28.61000,28.67500,28.51500,28.56000,372786
C,09/01/12,17:00,28.78000,29.01000,28.65000,28.98000,291287
C,09/01/12,18:00,28.98000,29.37500,28.76500,29.00000,616685
C,09/01/12,19:00,29.00000,29.09000,28.79000,28.91000,178184
C,09/01/12,20:00,28.92000,29.00000,28.90000,28.95500,131162
C,09/01/12,21:00,28.95500,29.09000,28.95500,29.08500,135394
C,09/01/12,22:00,29.09000,29.12000,28.94500,28.96000,277346
C,09/01/12,23:00,28.96000,29.11000,28.96000,29.07000,408362
C,10/01/12,17:00,29.81000,30.13000,29.75000,29.94000,593807
C,10/01/12,18:00,29.95000,30.12000,29.88000,29.91000,514196
C,10/01/12,19:00,29.91000,29.98000,29.74500,29.94000,241383
C,10/01/12,20:00,29.94000,29.94000,29.66000,29.83500,231361
C,10/01/12,21:00,29.83000,29.95500,29.81000,29.93000,224854
C,10/01/12,22:00,29.92500,30.04000,29.88500,29.97500,304379
C,10/01/12,23:00,29.97500,30.00000,29.90000,29.98500,374070
C,11/01/12,17:00,29.79000,30.56000,29.74500,30.43000,563484
C,11/01/12,18:00,30.43500,30.76000,30.16000,30.60000,844632
C,11/01/12,19:00,30.61000,30.88000,30.56000,30.85000,780096
C,11/01/12,20:00,30.85000,31.22000,30.85000,31.19500,549210
C,11/01/12,21:00,31.19500,31.37500,31.19000,31.23000,456720
C,11/01/12,22:00,31.24000,31.27000,31.05000,31.14500,539467
C,11/01/12,23:00,31.14500,31.45000,31.14000,31.25500,723196
C,12/01/12,17:00,31.85000,32.09000,31.41000,31.57000,984803
C,12/01/12,18:00,31.57000,31.63000,30.87000,30.96000,1032457
C,12/01/12,19:00,30.95000,31.32500,30.91000,31.29500,466303
C,12/01/12,20:00,31.29500,31.47500,31.28000,31.43000,352896
C,12/01/12,21:00,31.42500,31.46000,31.08000,31.19000,279427
C,12/01/12,22:00,31.18500,31.38500,31.11500,31.35000,322544
C,12/01/12,23:00,31.34500,31.64000,31.31000,31.59000,687986
C,13/01/12,17:00,30.19000,30.86000,29.89000,30.78000,591845
C,13/01/12,18:00,30.77500,30.88500,30.33000,30.81000,745385
C,13/01/12,19:00,30.78000,31.00000,30.76000,30.86000,539378
C,13/01/12,20:00,30.86000,30.86000,30.43000,30.57000,289177
C,13/01/12,21:00,30.57000,30.61000,30.30000,30.53000,309222
C,13/01/12,22:00,30.53000,30.67500,30.44000,30.67500,268683
C,13/01/12,23:00,30.67000,30.89000,30.58000,30.74000,804736
C,14/01/12,00:00,30.74000,30.74000,30.74000,30.74000,3200
C,17/01/12,17:00,29.15000,29.97000,29.15000,29.67000,957367
C,17/01/12,18:00,29.67000,29.73000,28.62000,28.77000,1954886
C,17/01/12,19:00,28.78000,29.15000,28.72000,28.72000,910288
C,17/01/12,20:00,28.72000,28.83500,28.56000,28.75000,475470
C,17/01/12,21:00,28.74500,28.98500,28.68500,28.88500,529483
C,17/01/12,22:00,28.88500,28.89000,28.30000,28.47000,945668
C,17/01/12,23:00,28.46000,28.48000,28.17000,28.23000,1371277
C,18/01/12,17:00,28.15000,28.38000,27.66000,28.37000,896995
C,18/01/12,18:00,28.37000,28.57000,28.12000,28.50000,1397421
C,18/01/12,19:00,28.50000,28.83000,28.44000,28.70500,775465
C,18/01/12,20:00,28.78000,28.94000,28.77000,28.87000,23944
C,18/01/12,21:00,28.79000,28.86500,28.74000,28.77000,126351
C,18/01/12,22:00,28.84000,28.99000,28.84000,28.91000,408920
C,18/01/12,23:00,28.91000,29.03000,28.84000,29.00000,357044
C,19/01/12,00:00,29.02500,29.02500,29.02500,29.02500,300
C,19/01/12,17:00,29.80000,30.03500,29.33000,29.55000,1260153
C,19/01/12,18:00,29.53000,29.60000,29.17000,29.48000,1088903
C,19/01/12,19:00,29.49000,29.70000,29.44000,29.64000,511179
C,19/01/12,20:00,29.64500,29.65000,29.29000,29.33000,324283
C,19/01/12,21:00,29.32000,29.42000,29.22000,29.25500,211390
C,19/01/12,22:00,29.25500,29.37000,29.10000,29.13000,245573
C,19/01/12,23:00,29.13000,29.33000,29.13000,29.32000,539890
C,20/01/12,17:00,29.27000,29.32000,28.67500,29.02000,868135
C,20/01/12,18:00,29.03000,29.10000,28.90500,29.06000,616166
C,20/01/12,19:00,29.05500,29.24000,28.99000,29.21000,744808
C,20/01/12,20:00,29.21500,29.32000,29.16000,29.20000,312652
C,20/01/12,21:00,29.20000,29.22000,29.11500,29.15000,156471
C,20/01/12,22:00,29.15000,29.26000,29.02500,29.26000,498063
C,20/01/12,23:00,29.26000,29.64000,29.26000,29.63500,764238
C,23/01/12,17:00,29.64000,30.28000,29.41000,30.24000,447987
C,23/01/12,18:00,30.23000,30.33000,30.06000,30.06000,568739
C,23/01/12,19:00,30.06000,30.10000,29.79000,29.86000,508372
C,23/01/12,20:00,29.86000,29.93000,29.63000,29.72000,298249
C,23/01/12,21:00,29.71000,29.83000,29.66000,29.75000,214482
C,23/01/12,22:00,29.74000,29.89000,29.68000,29.83000,265011
C,23/01/12,23:00,29.83000,30.05000,29.79000,29.84000,505340
C,24/01/12,17:00,29.19000,29.26000,28.90500,29.17000,293870
C,24/01/12,18:00,29.17000,29.40000,29.13000,29.18500,352894
C,24/01/12,19:00,29.18500,29.38000,29.17000,29.22500,332010
C,24/01/12,20:00,29.22500,29.61000,29.20000,29.53000,241265
C,24/01/12,21:00,29.52500,29.70000,29.41000,29.66000,264614
C,24/01/12,22:00,29.65000,29.81000,29.64000,29.76000,394351
C,24/01/12,23:00,29.76000,29.98000,29.73500,29.89500,426302
C,25/01/12,17:00,29.38000,29.54000,29.32000,29.41000,274505
C,25/01/12,18:00,29.41000,29.81000,29.36000,29.67000,503516
C,25/01/12,19:00,29.67000,29.72000,29.62000,29.68000,169168
