<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
C,02/01/14,18:30,52.03000,52.12000,51.86000,52.00000,68144
C,02/01/14,18:40,52.00000,52.14000,51.88000,52.11000,109336
C,02/01/14,18:50,52.10000,52.15000,52.06000,52.07000,66943
C,02/01/14,19:00,52.08000,52.11000,51.81000,52.11000,84897
C,02/01/14,19:10,52.11000,52.12000,52.03000,52.05000,52716
C,02/01/14,19:20,52.03000,52.05000,51.93000,51.93000,28982
C,02/01/14,19:30,51.93000,51.96000,51.85000,51.85000,15940
C,02/01/14,19:40,51.86000,51.99000,51.86000,51.95000,22391
C,02/01/14,19:50,51.95000,51.95000,51.84000,51.87000,19246
C,02/01/14,20:00,51.87000,51.90000,51.85000,51.89000,14868
C,02/01/14,20:10,51.89000,51.90000,51.85000,51.89000,20698
C,02/01/14,20:20,51.90000,51.94000,51.88000,51.90000,18627
C,02/01/14,20:30,51.92000,51.98000,51.91000,51.96000,12563
C,02/01/14,20:40,51.97000,52.00000,51.93000,51.94000,14400
C,02/01/14,20:50,51.93000,51.98000,51.92000,51.93000,32069
C,02/01/14,21:00,51.95000,51.99000,51.94000,51.95000,18619
C,02/01/14,21:10,51.95000,51.96000,51.93000,51.93000,9000
C,02/01/14,21:20,51.94000,51.94500,51.91000,51.93000,11476
C,02/01/14,21:30,51.93000,51.93000,51.87000,51.92000,8494
C,02/01/14,21:40,51.92000,51.92000,51.82000,51.86000,17912
C,02/01/14,21:50,51.85000,51.89000,51.84000,51.87000,20149
C,02/01/14,22:00,51.87000,51.92000,51.86500,51.88000,10461
C,02/01/14,22:10,51.87000,51.93000,51.87000,51.91000,17901
C,02/01/14,22:20,51.91500,52.01500,51.91000,52.01000,9491
C,02/01/14,22:30,52.00000,52.03000,51.95000,51.95000,13079
C,02/01/14,22:40,51.95000,52.04000,51.91000,52.01000,22162
C,02/01/14,22:50,52.04000,52.04000,51.99000,52.04000,10299
C,02/01/14,23:00,52.05000,52.11000,52.05000,52.11000,13200
C,02/01/14,23:10,52.11000,52.18000,51.99000,51.99000,30974
C,02/01/14,23:20,51.99000,51.99000,51.91000,51.94000,17441
C,02/01/14,23:30,51.94000,51.99000,51.94000,51.97000,12170
C,02/01/14,23:40,51.96500,52.11000,51.96500,52.08500,19429
C,02/01/14,23:50,52.08500,52.14000,52.07000,52.10000,22930
C,03/01/14,00:00,52.09000,52.13000,52.06000,52.13000,29908
C,03/01/14,00:10,52.14000,52.38000,52.14000,52.32500,51541
C,03/01/14,00:20,52.32000,52.33000,52.27000,52.27000,41887
C,03/01/14,00:30,52.27000,52.35000,52.23000,52.23000,59327
C,03/01/14,00:40,52.22000,52.40000,52.22000,52.38000,71797
C,03/01/14,00:50,52.37000,52.38000,52.26000,52.27000,83809
C,03/01/14,18:30,52.39000,52.71000,52.31000,52.69000,75105
C,03/01/14,18:40,52.69000,52.70000,52.52000,52.70000,103386
C,03/01/14,18:50,52.71000,52.93000,52.71000,52.91000,82593
C,03/01/14,19:00,52.92000,53.11000,52.92000,53.08500,135066
C,03/01/14,19:10,53.09000,53.19000,53.03000,53.04000,90278
C,03/01/14,19:20,53.05000,53.11000,53.01000,53.08000,116240
C,03/01/14,19:30,53.08000,53.16000,53.06000,53.09000,64924
C,03/01/14,19:40,53.08000,53.13000,53.01000,53.01000,37009
C,03/01/14,19:50,53.01000,53.07500,52.99000,53.04000,52243
C,03/01/14,20:00,53.03000,53.09000,53.01000,53.08000,24533
C,03/01/14,20:10,53.08000,53.12000,52.98000,53.00000,37375
C,03/01/14,20:20,53.00000,53.02000,52.93000,52.94000,52062
C,03/01/14,20:30,52.96000,53.00500,52.94000,53.00000,43606
C,03/01/14,20:40,53.00000,53.01000,52.95000,52.97000,40880
C,03/01/14,20:50,52.98000,53.00000,52.83000,52.83000,23761
C,03/01/14,21:00,52.82500,52.84000,52.72500,52.77000,30073
C,03/01/14,21:10,52.78000,52.89000,52.76000,52.87000,30916
C,03/01/14,21:20,52.87000,52.97000,52.87000,52.97000,23930
C,03/01/14,21:30,52.96000,53.05500,52.96000,53.00000,27064
C,03/01/14,21:40,53.00000,53.06000,52.99000,53.00500,26102
C,03/01/14,21:50,53.01000,53.05000,52.99500,53.01000,18904
C,03/01/14,22:00,53.02000,53.06000,52.99500,53.06000,10911
C,03/01/14,22:10,53.06000,53.09000,53.01000,53.01000,18414
C,03/01/14,22:20,53.01000,53.02000,52.94000,53.00000,17501
C,03/01/14,22:30,52.98000,52.98000,52.89000,52.96000,18600
C,03/01/14,22:40,52.96000,52.96000,52.91000,52.96000,7800
C,03/01/14,22:50,52.96000,52.99000,52.90000,52.93000,32365
C,03/01/14,23:00,52.93000,52.97000,52.91000,52.97000,17594
C,03/01/14,23:10,52.97000,53.02000,52.97000,53.02000,30228
C,03/01/14,23:20,53.02000,53.14000,53.02000,53.14000,27550
C,03/01/14,23:30,53.14000,53.19500,53.11500,53.19000,27176
C,03/01/14,23:40,53.19000,53.27000,53.19000,53.27000,61354
C,03/01/14,23:50,53.28000,53.40000,53.27000,53.38000,74838
C,04/01/14,00:00,53.38000,53.38000,53.25000,53.32000,30688
C,04/01/14,00:10,53.32000,53.44000,53.32000,53.33000,45618
C,04/01/14,00:20,53.32000,53.39000,53.27000,53.38000,78853
C,04/01/14,00:30,53.39000,53.46500,53.39000,53.45000,60026
C,04/01/14,00:40,53.44000,53.46000,53.36000,53.36000,123489
C,04/01/14,00:50,53.36000,53.42000,53.35000,53.39000,124993
C,06/01/14,18:30,53.62000,53.95000,53.55000,53.75000,116987
C,06/01/14,18:40,53.75500,53.77000,53.44000,53.64000,125875
C,06/01/14,18:50,53.63000,53.95000,53.61000,53.91000,93100
C,06/01/14,19:00,53.91000,53.91500,53.69500,53.81000,88502
C,06/01/14,19:10,53.82000,53.95000,53.82000,53.95000,96114
C,06/01/14,19:20,53.95000,53.95000,53.87000,53.91000,128656
C,06/01/14,19:30,53.89000,54.16000,53.89000,54.13000,114387
C,06/01/14,19:40,54.14000,54.16000,53.98000,54.01000,55397
C,06/01/14,19:50,54.02000,54.12500,54.00000,54.02000,52926
C,06/01/14,20:00,54.02000,54.06500,53.97000,54.03000,29366
C,06/01/14,20:10,54.02000,54.03000,53.74000,53.79000,93779
C,06/01/14,20:20,53.78000,53.93000,53.77500,53.91000,55157
C,06/01/14,20:30,53.91000,53.92000,53.69500,53.75000,71433
C,06/01/14,20:40,53.76000,53.86000,53.76000,53.84000,73236
C,06/01/14,20:50,53.85000,53.90000,53.84000,53.90000,20686
C,06/01/14,21:00,53.90000,53.93000,53.86000,53.91000,35241
C,06/01/14,21:10,53.91000,54.02000,53.89000,53.98000,36700
C,06/01/14,21:20,53.98000,54.06000,53.98000,54.04000,28431
C,06/01/14,21:30,54.03000,54.04000,53.92000,54.04000,42100
C,06/01/14,21:40,54.04000,54.06000,53.95000,53.98000,30474
C,06/01/14,21:50,53.98000,54.04000,53.96000,53.98000,27600
C,06/01/14,22:00,53.98000,54.06000,53.95000,54.04500,27203
C,06/01/14,22:10,54.04000,54.04000,53.95000,54.00000,15448
C,06/01/14,22:20,54.00000,54.03000,53.98500,54.00000,13894
C,06/01/14,22:30,53.98000,54.15000,53.98000,54.14000,28531
C,06/01/14,22:40,54.15000,54.23000,54.14000,54.14000,18484
C,06/01/14,22:50,54.13000,54.25000,54.12000,54.17000,54983
C,06/01/14,23:00,54.18000,54.22500,54.10000,54.13000,16680
C,06/01/14,23:10,54.12000,54.17000,54.08000,54.11000,24168
C,06/01/14,23:20,54.10000,54.17000,54.08000,54.09000,19556
C,06/01/14,23:30,54.10000,54.21000,54.10000,54.16000,32078
