<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
C,02/01/14,00:00,52.03000,52.40000,51.81000,52.27000,1205276
C,03/01/14,00:00,52.39000,53.46500,52.31000,53.39000,1944048
C,06/01/14,00:00,53.62000,54.29000,53.44000,53.84000,2075052
C,07/01/14,00:00,54.62000,54.71000,53.78000,54.17000,1985529
C,08/01/14,00:00,54.28000,54.99000,54.21000,54.79000,1578298
C,09/01/14,00:00,55.00000,55.27500,54.76000,55.21000,1524812
C,10/01/14,00:00,54.95000,55.03000,54.30000,54.72000,1831904
C,13/01/14,00:00,54.46000,54.65000,53.44500,53.72000,1569206
C,14/01/14,00:00,54.18000,54.38000,53.63000,53.94000,1501064
C,15/01/14,00:00,54.45000,55.16000,54.36000,54.99500,2739346
C,16/01/14,00:00,53.52000,53.52000,52.36000,52.60000,5392501
C,17/01/14,00:00,52.66000,52.92000,52.13000,52.24000,2519169
C,21/01/14,00:00,52.52000,52.95000,51.56000,51.85000,1610829
C,22/01/14,00:00,51.99000,52.11000,51.52000,51.89000,1089367
C,23/01/14,00:00,51.64000,51.64000,50.56000,50.66000,1833398
C,24/01/14,00:00,50.05000,50.13000,49.08500,49.35000,4543015
C,27/01/14,00:00,49.10000,49.65000,48.36000,48.81000,3384878
C,28/01/14,00:00,49.39000,49.85500,49.30000,49.60000,1904592
C,29/01/14,00:00,48.98000,49.36000,47.70000,48.08000,4721749
C,30/01/14,00:00,48.47000,48.70000,47.78000,48.29500,3904126
C,31/01/14,00:00,47.53000,48.20000,47.29000,47.43000,2612515
C,03/02/14,00:00,47.80000,47.84000,46.19500,46.35000,3772132
C,04/02/14,00:00,46.96000,47.48000,46.68000,46.77000,2539460
C,05/02/14,00:00,46.76000,47.37000,46.32000,47.06500,2832176
C,06/02/14,00:00,47.40000,48.27000,47.31000,48.22000,2474262
C,07/02/14,00:00,49.09000,49.39000,48.52000,49.33000,2959268
C,10/02/14,00:00,49.56000,49.73000,48.83000,49.30500,1239644
C,11/02/14,00:00,49.25000,49.86000,48.96000,49.65000,1770272
C,12/02/14,00:00,49.73000,50.14000,49.65000,49.95000,1722158
C,13/02/14,00:00,49.07000,49.93000,49.05000,49.86000,1394871
C,14/02/14,00:00,49.57000,49.80000,49.41500,49.49500,1297063
