<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DSX,60,20100104,120000,2976.0900000,2996.2800000,2976.0900000,2991.7700000,0
DSX,60,20100104,130000,2992.0400000,2993.9900000,2987.3400000,2993.1000000,0
DSX,60,20100104,140000,2993.3300000,2994.1500000,2988.6400000,2988.6400000,0
DSX,60,20100104,150000,2988.6800000,2992.2900000,2987.0800000,2991.5400000,0
DSX,60,20100104,160000,2991.5900000,2994.0800000,2991.0900000,2992.0800000,0
DSX,60,20100104,170000,2992.1100000,2995.0000000,2989.5900000,2994.7200000,0
DSX,60,20100104,180000,2995.1900000,3005.7300000,2994.5600000,3000.3800000,0
DSX,60,20100104,190000,2999.9400000,3011.2800000,2999.9400000,3009.1100000,0
DSX,60,20100104,200000,3008.3900000,3017.8000000,3006.5300000,3017.8000000,0
DSX,60,20100105,120000,3014.5600000,3016.4600000,3006.4700000,3009.9300000,0
DSX,60,20100105,130000,3010.0600000,3017.0600000,3009.9900000,3015.9900000,0
DSX,60,20100105,140000,3015.6700000,3021.3800000,3013.9200000,3019.5400000,0
DSX,60,20100105,150000,3019.3300000,3019.8900000,3013.8900000,3018.0900000,0
DSX,60,20100105,160000,3017.8500000,3025.4600000,3017.4700000,3023.0800000,0
DSX,60,20100105,170000,3024.0800000,3024.4500000,3012.2500000,3017.3700000,0
DSX,60,20100105,180000,3017.3600000,3018.9400000,3009.9700000,3011.4800000,0
DSX,60,20100105,190000,3007.8800000,3023.9500000,3007.2300000,3021.8000000,0
DSX,60,20100105,200000,3020.8900000,3020.8900000,3012.2300000,3012.2300000,0
DSX,60,20100106,120000,3013.0600000,3016.8300000,3007.5800000,3008.6300000,0
DSX,60,20100106,130000,3009.2700000,3011.7000000,3002.3800000,3003.7100000,0
DSX,60,20100106,140000,3003.6000000,3009.5800000,2997.0500000,3007.7400000,0
DSX,60,20100106,150000,3007.7700000,3012.0400000,3004.3300000,3008.1100000,0
