<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DSX,03/01/12,00:10,2370.19995,2370.19995,2370.19995,2370.19995,0
DSX,03/01/12,12:00,2375.35010,2380.40259,2371.97656,2373.66504,0
DSX,03/01/12,12:10,2373.92505,2381.41992,2373.92505,2378.17505,0
DSX,03/01/12,12:20,2378.19336,2379.63330,2370.58008,2370.58008,0
DSX,03/01/12,12:30,2370.44995,2374.44238,2369.19336,2370.21509,0
DSX,03/01/12,12:40,2370.19995,2371.38257,2368.90747,2368.90747,0
DSX,03/01/12,12:50,2368.62012,2370.02002,2366.90674,2369.96802,0
DSX,03/01/12,13:00,2369.99512,2370.16748,2366.91211,2367.91992,0
DSX,03/01/12,13:10,2367.96338,2373.46753,2366.97998,2372.36841,0
DSX,03/01/12,13:20,2372.28857,2376.09668,2372.12256,2372.56494,0
DSX,03/01/12,13:30,2372.37207,2376.56494,2372.06738,2376.56494,0
DSX,03/01/12,13:40,2376.67993,2376.99756,2375.42676,2376.25488,0
DSX,03/01/12,13:50,2376.33008,2377.18335,2374.36670,2374.42261,0
DSX,03/01/12,14:00,2374.46655,2375.02246,2373.06494,2373.06494,0
DSX,03/01/12,14:10,2373.09668,2373.35669,2371.32007,2371.47241,0
DSX,03/01/12,14:20,2371.49756,2372.27246,2369.03491,2369.19751,0
DSX,03/01/12,14:30,2369.14404,2369.18750,2361.91675,2364.31665,0
DSX,03/01/12,14:40,2364.25488,2367.23755,2363.36499,2365.60010,0
DSX,03/01/12,14:50,2365.39331,2370.45337,2364.77002,2367.67261,0
DSX,03/01/12,15:00,2367.76611,2370.19751,2364.54663,2366.01001,0
DSX,03/01/12,15:10,2366.20801,2371.40991,2366.20801,2369.54590,0
DSX,03/01/12,15:20,2369.69995,2373.12744,2369.21997,2373.12744,0
DSX,03/01/12,15:30,2373.08789,2373.83398,2371.66260,2371.66260,0
DSX,03/01/12,15:40,2371.47339,2371.47339,2368.52002,2370.33789,0
DSX,03/01/12,15:50,2370.30005,2371.61670,2368.41211,2370.32666,0
DSX,03/01/12,16:00,2370.23999,2370.23999,2368.74341,2369.42798,0
DSX,03/01/12,16:10,2369.33203,2369.33203,2366.80396,2366.80396,0
DSX,03/01/12,16:20,2366.82251,2368.00000,2365.90259,2365.90259,0
DSX,03/01/12,16:30,2365.66992,2365.66992,2362.48999,2362.62744,0
DSX,03/01/12,16:40,2362.64209,2363.40259,2360.08740,2362.01343,0
DSX,03/01/12,16:50,2361.95752,2361.95752,2358.19507,2359.56738,0
DSX,03/01/12,17:00,2359.63989,2364.41333,2359.63989,2364.41333,0
DSX,03/01/12,17:10,2364.85010,2365.20508,2360.44751,2361.65332,0
DSX,03/01/12,17:20,2361.53247,2362.38989,2359.68604,2360.09253,0
DSX,03/01/12,17:30,2360.06396,2360.08008,2357.78003,2359.77002,0
DSX,03/01/12,17:40,2360.04590,2363.76343,2360.04590,2363.62988,0
DSX,03/01/12,17:50,2363.54004,2363.54004,2360.28003,2363.37988,0
DSX,03/01/12,18:00,2363.43506,2367.11328,2363.43506,2366.17993,0
DSX,03/01/12,18:10,2366.21411,2369.15259,2366.21411,2368.63989,0
DSX,03/01/12,18:20,2368.62402,2371.75659,2368.39331,2370.37500,0
DSX,03/01/12,18:30,2370.34790,2374.07495,2370.34790,2373.81006,0
DSX,03/01/12,18:40,2373.80493,2374.37744,2370.05005,2371.50488,0
DSX,03/01/12,18:50,2371.74390,2376.97998,2371.74390,2376.97998,0
DSX,03/01/12,19:00,2377.01489,2384.48755,2375.74243,2384.48755,0
DSX,03/01/12,19:10,2384.42334,2386.09009,2383.84326,2384.60254,0
DSX,03/01/12,19:20,2384.56006,2385.57007,2383.14502,2383.69238,0
DSX,03/01/12,19:30,2383.72998,2385.08667,2383.30493,2383.35498,0
DSX,03/01/12,19:40,2382.94507,2384.52661,2381.31250,2384.18506,0
DSX,03/01/12,19:50,2383.79248,2388.77002,2383.15332,2388.21338,0
DSX,03/01/12,20:00,2388.11011,2391.12012,2388.10254,2388.58740,0
DSX,03/01/12,20:10,2388.53662,2392.11499,2388.40991,2389.73999,0
DSX,03/01/12,20:20,2389.76489,2390.70508,2388.41504,2390.70508,0
DSX,03/01/12,20:30,2390.78247,2390.84497,2390.19995,2390.19995,0
DSX,03/01/12,20:40,2389.90991,2389.90991,2389.90991,2389.90991,0
DSX,04/01/12,00:10,2389.90991,2389.90991,2389.90991,2389.90991,0
DSX,04/01/12,12:00,2380.78003,2380.78003,2374.92505,2377.77759,0
DSX,04/01/12,12:10,2377.43408,2382.88745,2376.46997,2382.88745,0
DSX,04/01/12,12:20,2382.73608,2382.78760,2373.71997,2374.98999,0
DSX,04/01/12,12:30,2375.02246,2375.37012,2367.15991,2367.15991,0
DSX,04/01/12,12:40,2366.89600,2366.89600,2360.19751,2366.75000,0
DSX,04/01/12,12:50,2366.57202,2366.57202,2362.84668,2363.53247,0
DSX,04/01/12,13:00,2363.56665,2364.96191,2359.51489,2364.96191,0
DSX,04/01/12,13:10,2365.00171,2368.22510,2365.00171,2368.12256,0
DSX,04/01/12,13:20,2368.07739,2370.37012,2366.41821,2370.09009,0
DSX,04/01/12,13:30,2370.08667,2375.29248,2370.08667,2373.69751,0
DSX,04/01/12,13:40,2373.88672,2374.96997,2369.59668,2369.59668,0
DSX,04/01/12,13:50,2369.77173,2371.28247,2369.58008,2370.38989,0
DSX,04/01/12,14:00,2370.31250,2374.12988,2369.95239,2371.45679,0
DSX,04/01/12,14:10,2370.69507,2370.69507,2365.21997,2366.36401,0
DSX,04/01/12,14:20,2366.50171,2368.39673,2365.52759,2365.52759,0
DSX,04/01/12,14:30,2365.55200,2369.87329,2365.55200,2369.20239,0
DSX,04/01/12,14:40,2369.11255,2369.93994,2367.10010,2367.10010,0
DSX,04/01/12,14:50,2367.10327,2367.37012,2365.61499,2366.97510,0
DSX,04/01/12,15:00,2366.93799,2366.93799,2366.00659,2366.64990,0
DSX,04/01/12,15:10,2366.68750,2366.72241,2362.86206,2362.86206,0
DSX,04/01/12,15:20,2362.94336,2363.22656,2358.64990,2360.14673,0
DSX,04/01/12,15:30,2359.83496,2361.16333,2358.02490,2360.27588,0
DSX,04/01/12,15:40,2360.28833,2361.63794,2358.58740,2361.63794,0
DSX,04/01/12,15:50,2361.74341,2362.52661,2360.15259,2361.44336,0
DSX,04/01/12,16:00,2361.34009,2364.16675,2359.49512,2363.63989,0
DSX,04/01/12,16:10,2363.62012,2364.32495,2362.16797,2362.16797,0
DSX,04/01/12,16:20,2362.16992,2362.16992,2360.44189,2361.36499,0
DSX,04/01/12,16:30,2361.27344,2362.29663,2359.83496,2361.11255,0
DSX,04/01/12,16:40,2361.05396,2361.05762,2358.23755,2359.44189,0
DSX,04/01/12,16:50,2359.21606,2361.60010,2358.58496,2361.34741,0
DSX,04/01/12,17:00,2361.33789,2361.33789,2355.10010,2355.26001,0
DSX,04/01/12,17:10,2355.18335,2356.47510,2355.04663,2355.04663,0
DSX,04/01/12,17:20,2355.05005,2355.05664,2353.32495,2353.35742,0
DSX,04/01/12,17:30,2353.48804,2357.50757,2353.48804,2357.34741,0
DSX,04/01/12,17:40,2357.21655,2359.04004,2356.38745,2357.91260,0
DSX,04/01/12,17:50,2357.77197,2357.77197,2351.73242,2351.73242,0
DSX,04/01/12,18:00,2351.81738,2356.05493,2351.81738,2355.65991,0
DSX,04/01/12,18:10,2355.67505,2355.97656,2354.66504,2355.97656,0
DSX,04/01/12,18:20,2355.98242,2356.74341,2355.44507,2356.74341,0
DSX,04/01/12,18:30,2356.77490,2359.27246,2355.93506,2358.53003,0
DSX,04/01/12,18:40,2358.74658,2362.14990,2357.17676,2362.14990,0
DSX,04/01/12,18:50,2362.30005,2363.56494,2361.05005,2362.28760,0
DSX,04/01/12,19:00,2362.29248,2362.29248,2357.78247,2359.05005,0
DSX,04/01/12,19:10,2358.90747,2358.90747,2351.35010,2352.54761,0
DSX,04/01/12,19:20,2352.24658,2355.43262,2352.24658,2353.62988,0
DSX,04/01/12,19:30,2353.56006,2353.56006,2344.00488,2344.00488,0
DSX,04/01/12,19:40,2343.61670,2344.85010,2342.21997,2342.81006,0
DSX,04/01/12,19:50,2343.04395,2347.70679,2343.04395,2346.43262,0
DSX,04/01/12,20:00,2346.45996,2350.32788,2346.45996,2348.89990,0
DSX,04/01/12,20:10,2348.80664,2353.03491,2348.69995,2351.14600,0
DSX,04/01/12,20:20,2350.94995,2352.94507,2350.92993,2351.77246,0
DSX,04/01/12,20:30,2352.16211,2353.78003,2349.88989,2349.88989,0
DSX,05/01/12,00:10,2349.88989,2349.88989,2349.88989,2349.88989,0
DSX,05/01/12,12:00,2352.86011,2354.32666,2348.89990,2351.07251,0
DSX,05/01/12,12:10,2350.53198,2350.53198,2344.51489,2346.30762,0
