<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DSX,03/01/12,00:00,2370.19995,2392.11499,2357.78003,2389.90991,0
DSX,04/01/12,00:00,2389.90991,2389.90991,2342.21997,2349.88989,0
DSX,05/01/12,00:00,2349.88989,2354.32666,2308.90674,2315.75000,0
DSX,06/01/12,00:00,2315.75000,2341.90674,2288.11792,2298.64990,0
DSX,07/01/12,00:00,2298.64990,2298.64990,2298.64990,2298.64990,0
DSX,08/01/12,00:00,2298.64990,2298.64990,2298.64990,2298.64990,0
DSX,09/01/12,00:00,2298.64990,2312.51660,2279.88745,2286.44995,0
DSX,10/01/12,00:00,2286.44995,2354.27661,2286.44995,2347.46997,0
DSX,11/01/12,00:00,2347.46997,2359.61743,2322.97998,2339.51001,0
DSX,12/01/12,00:00,2339.51001,2384.09009,2339.04321,2345.85010,0
DSX,13/01/12,00:00,2345.85010,2372.08740,2308.35742,2338.01001,0
DSX,14/01/12,00:00,2338.01001,2338.01001,2338.01001,2338.01001,0
DSX,15/01/12,00:00,2338.01001,2338.01001,2338.01001,2338.01001,0
DSX,16/01/12,00:00,2338.01001,2365.31006,2315.84009,2361.56006,0
DSX,17/01/12,00:00,2361.56006,2411.10498,2361.56006,2396.62988,0
DSX,18/01/12,00:00,2396.62988,2422.01611,2374.36670,2390.63989,0
DSX,19/01/12,00:00,2390.63989,2435.04004,2390.63989,2435.04004,0
DSX,20/01/12,00:00,2435.04004,2439.85254,2418.92993,2426.95996,0
DSX,21/01/12,00:00,2426.95996,2426.95996,2426.95996,2426.95996,0
DSX,22/01/12,00:00,2426.95996,2426.95996,2426.95996,2426.95996,0
DSX,23/01/12,00:00,2426.95996,2452.26660,2417.80005,2441.43994,0
DSX,24/01/12,00:00,2441.43994,2441.43994,2407.49609,2432.07007,0
DSX,25/01/12,00:00,2432.07007,2439.03003,2398.80005,2421.12012,0
DSX,26/01/12,00:00,2421.12012,2466.04663,2421.12012,2460.39990,0
DSX,27/01/12,00:00,2460.39990,2467.42261,2432.19995,2436.62012,0
DSX,28/01/12,00:00,2436.62012,2436.62012,2436.62012,2436.62012,0
DSX,29/01/12,00:00,2436.62012,2436.62012,2436.62012,2436.62012,0
DSX,30/01/12,00:00,2436.62012,2436.62012,2397.78003,2404.62012,0
DSX,31/01/12,00:00,2404.62012,2438.26245,2404.62012,2416.65991,0
DSX,01/02/12,00:00,2416.65991,2475.46655,2416.65991,2470.79004,0
DSX,02/02/12,00:00,2470.79004,2489.29321,2462.02002,2478.14990,0
DSX,03/02/12,00:00,2478.14990,2515.14990,2467.82324,2515.14990,0
DSX,04/02/12,00:00,2515.14990,2515.14990,2515.14990,2515.14990,0
DSX,05/02/12,00:00,2515.14990,2515.14990,2515.14990,2515.14990,0
DSX,06/02/12,00:00,2515.14990,2515.14990,2487.07007,2507.88989,0
DSX,07/02/12,00:00,2507.88989,2519.45679,2486.00000,2514.12012,0
DSX,08/02/12,00:00,2514.12012,2538.51660,2510.88501,2512.91992,0
DSX,09/02/12,00:00,2512.91992,2542.14258,2512.91992,2522.34009,0
DSX,10/02/12,00:00,2522.34009,2522.34009,2471.53760,2480.76001,0
DSX,11/02/12,00:00,2480.76001,2480.76001,2480.76001,2480.76001,0
DSX,12/02/12,00:00,2480.76001,2480.76001,2480.76001,2480.76001,0
DSX,13/02/12,00:00,2480.76001,2510.45996,2480.76001,2491.54004,0
DSX,14/02/12,00:00,2491.54004,2507.15991,2477.38989,2488.29004,0
DSX,15/02/12,00:00,2488.29004,2520.21411,2485.75244,2493.95996,0
DSX,16/02/12,00:00,2493.95996,2493.95996,2455.39258,2489.35010,0
DSX,17/02/12,00:00,2489.35010,2530.43335,2489.35010,2520.31006,0
DSX,18/02/12,00:00,2520.31006,2520.31006,2520.31006,2520.31006,0
DSX,19/02/12,00:00,2520.31006,2520.31006,2520.31006,2520.31006,0
DSX,20/02/12,00:00,2520.31006,2550.94336,2520.31006,2550.28003,0
DSX,21/02/12,00:00,2550.28003,2557.53247,2524.14258,2541.60010,0
DSX,22/02/12,00:00,2541.60010,2545.94238,2517.40259,2519.00000,0
DSX,23/02/12,00:00,2519.00000,2533.06006,2489.57324,2508.08008,0
DSX,24/02/12,00:00,2508.08008,2531.09741,2508.08008,2523.68994,0
DSX,25/02/12,00:00,2523.68994,2523.68994,2523.68994,2523.68994,0
DSX,26/02/12,00:00,2523.68994,2523.68994,2523.68994,2523.68994,0
DSX,27/02/12,00:00,2523.68994,2523.68994,2484.11011,2513.06006,0
DSX,28/02/12,00:00,2513.06006,2531.19507,2498.11597,2519.71997,0
DSX,29/02/12,00:00,2519.71997,2548.18994,2508.27002,2512.11011,0
DSX,01/03/12,00:00,2512.11011,2549.59790,2498.17407,2548.65991,0
DSX,02/03/12,00:00,2548.65991,2556.83252,2538.99341,2546.15991,0
DSX,03/03/12,00:00,2546.15991,2546.15991,2546.15991,2546.15991,0
DSX,04/03/12,00:00,2546.15991,2546.15991,2546.15991,2546.15991,0
DSX,05/03/12,00:00,2546.15991,2546.15991,2512.96338,2529.86011,0
DSX,06/03/12,00:00,2529.86011,2529.86011,2443.52002,2443.52002,0
DSX,07/03/12,00:00,2443.52002,2464.28003,2437.77661,2460.77002,0
DSX,08/03/12,00:00,2460.77002,2514.31006,2460.77002,2514.21997,0
DSX,09/03/12,00:00,2514.21997,2530.14990,2503.69336,2515.94995,0
DSX,10/03/12,00:00,2515.94995,2515.94995,2515.94995,2515.94995,0
DSX,11/03/12,00:00,2515.94995,2515.94995,2515.94995,2515.94995,0
DSX,12/03/12,00:00,2515.94995,2524.43335,2503.19995,2514.96997,0
DSX,13/03/12,00:00,2514.96997,2559.86499,2514.96997,2556.82007,0
DSX,14/03/12,00:00,2556.82007,2593.57324,2556.82007,2574.79004,0
DSX,15/03/12,00:00,2574.79004,2593.96997,2569.76001,2593.96997,0
DSX,16/03/12,00:00,2593.96997,2611.12256,2593.96997,2608.30005,0
DSX,17/03/12,00:00,2608.30005,2608.30005,2608.30005,2608.30005,0
DSX,18/03/12,00:00,2608.30005,2608.30005,2608.30005,2608.30005,0
DSX,19/03/12,00:00,2608.30005,2608.42993,2589.26001,2608.41992,0
DSX,20/03/12,00:00,2608.41992,2608.41992,2570.82666,2576.61011,0
DSX,21/03/12,00:00,2576.61011,2596.20752,2549.90503,2567.58008,0
DSX,22/03/12,00:00,2567.58008,2567.58008,2516.83740,2530.21997,0
DSX,23/03/12,00:00,2530.21997,2541.74658,2494.85010,2525.42993,0
DSX,24/03/12,00:00,2525.42993,2525.42993,2525.42993,2525.42993,0
DSX,25/03/12,00:00,2525.42993,2525.42993,2525.42993,2525.42993,0
DSX,26/03/12,00:00,2525.42993,2548.35010,2513.01758,2539.87012,0
DSX,27/03/12,00:00,2539.87012,2563.25000,2525.20996,2525.20996,0
DSX,28/03/12,00:00,2525.20996,2537.05762,2496.67993,2496.67993,0
DSX,29/03/12,00:00,2496.67993,2498.43262,2445.65674,2452.73999,0
DSX,30/03/12,00:00,2452.73999,2480.67749,2452.73999,2477.28003,0
DSX,31/03/12,00:00,2477.28003,2477.28003,2477.28003,2477.28003,0
DSX,01/04/12,00:00,2477.28003,2477.28003,2477.28003,2477.28003,0
DSX,02/04/12,00:00,2477.28003,2501.17993,2454.17334,2501.17993,0
DSX,03/04/12,00:00,2501.17993,2509.76660,2458.97998,2458.97998,0
