<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DSX,10,20130101,022000,2635.9300000,2635.9300000,2635.9300000,2635.9300000,0
DSX,10,20130101,091000,2635.9300000,2635.9300000,2635.9300000,2635.9300000,0
DSX,10,20130102,022000,2635.9300000,2635.9300000,2635.9300000,2635.9300000,0
DSX,10,20130102,091000,2635.9300000,2635.9300000,2635.9300000,2635.9300000,0
DSX,10,20130102,121000,2659.7900000,2690.8200000,2659.7900000,2686.5600000,0
DSX,10,20130102,122000,2686.5633300,2686.8500000,2679.1475000,2679.1475000,0
DSX,10,20130102,123000,2678.8866700,2679.1675000,2675.2125000,2675.4925000,0
DSX,10,20130102,124000,2675.4250000,2681.8333300,2675.4060000,2681.2950000,0
DSX,10,20130102,125000,2681.3175000,2685.5025000,2681.3100000,2684.8725000,0
DSX,10,20130102,130000,2684.8720000,2685.5600000,2681.9075000,2681.9333300,0
DSX,10,20130102,131000,2682.0100000,2682.6700000,2680.6700000,2682.0775000,0
DSX,10,20130102,132000,2682.1360000,2686.0133300,2682.1360000,2684.2275000,0
DSX,10,20130102,133000,2684.2800000,2686.0275000,2684.2620000,2685.6600000,0
DSX,10,20130102,134000,2685.6350000,2690.3125000,2685.6350000,2690.3125000,0
DSX,10,20130102,135000,2690.3050000,2691.4925000,2689.9833300,2691.3500000,0
DSX,10,20130102,140000,2691.3475000,2694.7800000,2691.3220000,2694.7800000,0
DSX,10,20130102,141000,2695.0633300,2699.5450000,2695.0633300,2698.4475000,0
DSX,10,20130102,142000,2698.3925000,2698.5300000,2697.1825000,2697.4225000,0
DSX,10,20130102,143000,2697.3166700,2697.3166700,2696.0500000,2696.2250000,0
DSX,10,20130102,144000,2696.2566700,2698.9675000,2696.2566700,2698.9675000,0
DSX,10,20130102,145000,2699.1350000,2701.2480000,2699.1350000,2701.0700000,0
DSX,10,20130102,150000,2701.1000000,2703.0750000,2700.9200000,2703.0750000,0
DSX,10,20130102,151000,2703.0600000,2704.1600000,2702.8066700,2703.4825000,0
DSX,10,20130102,152000,2703.5466700,2707.8825000,2703.3775000,2706.7825000,0
DSX,10,20130102,153000,2706.5525000,2706.5525000,2702.5550000,2703.2225000,0
DSX,10,20130102,154000,2703.1820000,2707.3200000,2703.0775000,2706.5800000,0
DSX,10,20130102,155000,2706.4366700,2706.4366700,2702.9000000,2702.9000000,0
DSX,10,20130102,160000,2702.8960000,2702.8960000,2702.1300000,2702.6566700,0
DSX,10,20130102,161000,2702.7925000,2704.5133300,2702.7925000,2703.8325000,0
DSX,10,20130102,162000,2703.8775000,2705.0800000,2703.8300000,2705.0050000,0
DSX,10,20130102,163000,2704.9450000,2705.5333300,2704.3300000,2704.9825000,0
DSX,10,20130102,164000,2704.8033300,2707.5200000,2704.5720000,2707.3075000,0
DSX,10,20130102,165000,2707.2325000,2709.3540000,2706.5300000,2708.8900000,0
DSX,10,20130102,170000,2708.8850000,2708.9100000,2705.1566700,2705.3250000,0
DSX,10,20130102,171000,2705.2740000,2706.0166700,2703.0125000,2703.0125000,0
DSX,10,20130102,172000,2702.9920000,2702.9920000,2701.5900000,2702.0775000,0
DSX,10,20130102,173000,2702.0940000,2704.6875000,2702.0940000,2703.8000000,0
DSX,10,20130102,174000,2703.7425000,2704.6125000,2703.4675000,2703.5050000,0
DSX,10,20130102,175000,2703.5333300,2704.1450000,2702.9033300,2703.5500000,0
DSX,10,20130102,180000,2703.5933300,2703.5966700,2700.9575000,2701.0025000,0
DSX,10,20130102,181000,2701.0500000,2702.6950000,2700.5000000,2701.9025000,0
DSX,10,20130102,182000,2701.8350000,2704.5950000,2701.8350000,2704.4300000,0
DSX,10,20130102,183000,2704.4775000,2706.3575000,2704.3733300,2706.3575000,0
DSX,10,20130102,184000,2706.3433300,2707.5300000,2704.8650000,2704.8650000,0
DSX,10,20130102,185000,2704.7850000,2704.7850000,2700.7966700,2700.9725000,0
DSX,10,20130102,190000,2700.9166700,2706.6500000,2700.9033300,2705.6025000,0
DSX,10,20130102,191000,2705.5200000,2707.2250000,2703.0225000,2704.1050000,0
DSX,10,20130102,192000,2703.9840000,2703.9840000,2698.9075000,2698.9075000,0
DSX,10,20130102,193000,2698.8120000,2701.1625000,2698.5466700,2701.0233300,0
DSX,10,20130102,194000,2700.8700000,2700.8700000,2697.2750000,2697.2750000,0
DSX,10,20130102,195000,2697.2380000,2698.6233300,2696.8266700,2696.8575000,0
DSX,10,20130102,200000,2696.8366700,2698.7675000,2696.3200000,2698.5766700,0
DSX,10,20130102,201000,2698.4950000,2701.2775000,2698.4950000,2699.5450000,0
DSX,10,20130102,202000,2699.6666700,2703.1325000,2699.6666700,2701.7600000,0
DSX,10,20130102,203000,2701.7340000,2705.3166700,2701.6075000,2705.3125000,0
DSX,10,20130102,204000,2705.4675000,2711.2500000,2705.4675000,2711.2500000,0
DSX,10,20130103,022000,2711.2500000,2711.2500000,2711.2500000,2711.2500000,0
DSX,10,20130103,091000,2711.2500000,2711.2500000,2711.2500000,2711.2500000,0
DSX,10,20130103,121000,2705.8000000,2705.8000000,2699.0225000,2702.5600000,0
DSX,10,20130103,122000,2702.6060000,2703.6075000,2698.9375000,2698.9375000,0
DSX,10,20130103,123000,2698.7840000,2701.5700000,2697.7300000,2699.0625000,0
DSX,10,20130103,124000,2698.6675000,2698.6675000,2696.5866700,2697.7875000,0
DSX,10,20130103,125000,2697.7880000,2700.1366700,2696.2625000,2700.1250000,0
DSX,10,20130103,130000,2700.1933300,2701.4175000,2699.2400000,2699.3250000,0
DSX,10,20130103,131000,2699.4625000,2700.4866700,2698.5800000,2699.5220000,0
DSX,10,20130103,132000,2699.5650000,2700.2200000,2699.4125000,2699.9825000,0
DSX,10,20130103,133000,2699.9780000,2701.7733300,2698.8300000,2698.8300000,0
