<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DSX,01/01/14,02:00,3109.00000,3109.00000,3109.00000,3109.00000,0
DSX,01/01/14,09:00,3109.00000,3109.00000,3109.00000,3109.00000,0
DSX,02/01/14,02:00,3109.00000,3109.00000,3109.00000,3109.00000,0
DSX,02/01/14,09:00,3109.00000,3109.00000,3109.00000,3109.00000,0
DSX,02/01/14,12:00,3116.34009,3126.32251,3097.35327,3102.70752,0
DSX,02/01/14,13:00,3103.03003,3105.72754,3083.93750,3086.42505,0
DSX,02/01/14,14:00,3086.34595,3088.13257,3080.65991,3081.07007,0
DSX,02/01/14,15:00,3081.07593,3089.61670,3076.61743,3085.51489,0
DSX,02/01/14,16:00,3085.57251,3090.07324,3083.19604,3088.42749,0
DSX,02/01/14,17:00,3088.39600,3092.39673,3084.17676,3084.57007,0
DSX,02/01/14,18:00,3084.41260,3086.41992,3068.99243,3071.00659,0
DSX,02/01/14,19:00,3071.18506,3074.14673,3063.57007,3065.37500,0
DSX,02/01/14,20:00,3065.15991,3069.71997,3058.74243,3059.92993,0
DSX,03/01/14,02:00,3059.92993,3059.92993,3059.92993,3059.92993,0
DSX,03/01/14,09:00,3059.92993,3059.92993,3059.92993,3059.92993,0
DSX,03/01/14,12:00,3064.94995,3070.18604,3055.62744,3063.69507,0
DSX,03/01/14,13:00,3063.85669,3075.30762,3063.85669,3071.25757,0
DSX,03/01/14,14:00,3071.10596,3075.89502,3067.95239,3072.62500,0
DSX,03/01/14,15:00,3072.60791,3075.82007,3069.65991,3073.78247,0
DSX,03/01/14,16:00,3073.91260,3079.81665,3073.12500,3079.04248,0
DSX,03/01/14,17:00,3078.96509,3080.09253,3074.91260,3075.96338,0
DSX,03/01/14,18:00,3075.86499,3077.93335,3072.94995,3075.35010,0
DSX,03/01/14,19:00,3075.40601,3080.14990,3075.00000,3076.14502,0
DSX,03/01/14,20:00,3076.13989,3079.60010,3073.63989,3074.42993,0
DSX,04/01/14,02:00,3074.42993,3074.42993,3074.42993,3074.42993,0
DSX,04/01/14,09:00,3074.42993,3074.42993,3074.42993,3074.42993,0
DSX,05/01/14,02:00,3074.42993,3074.42993,3074.42993,3074.42993,0
DSX,05/01/14,05:00,3074.42993,3074.42993,3074.42993,3074.42993,0
DSX,05/01/14,09:00,3074.42993,3074.42993,3074.42993,3074.42993,0
DSX,06/01/14,03:00,3074.42993,3074.42993,3074.42993,3074.42993,0
DSX,06/01/14,09:00,3074.42993,3074.42993,3074.42993,3074.42993,0
DSX,06/01/14,12:00,3070.13989,3086.97998,3067.96997,3070.73340,0
DSX,06/01/14,13:00,3070.72998,3083.00000,3068.49194,3077.29004,0
DSX,06/01/14,14:00,3077.26392,3079.49512,3071.72998,3076.05762,0
DSX,06/01/14,15:00,3076.16992,3085.52344,3076.16992,3081.70239,0
DSX,06/01/14,16:00,3081.63672,3085.78198,3079.14673,3079.29761,0
DSX,06/01/14,17:00,3079.31812,3082.90991,3077.73511,3082.16260,0
DSX,06/01/14,18:00,3082.24805,3085.29663,3077.40991,3079.89990,0
DSX,06/01/14,19:00,3079.98193,3082.07251,3072.55249,3072.55249,0
DSX,06/01/14,20:00,3072.52002,3073.43262,3065.87500,3069.15991,0
DSX,07/01/14,02:00,3069.15991,3069.15991,3069.15991,3069.15991,0
DSX,07/01/14,09:00,3069.15991,3069.15991,3069.15991,3069.15991,0
DSX,07/01/14,12:00,3071.01001,3078.43994,3065.49341,3078.43994,0
DSX,07/01/14,13:00,3078.65747,3086.73804,3078.65747,3086.33008,0
DSX,07/01/14,14:00,3086.49805,3094.88989,3084.90332,3092.74512,0
DSX,07/01/14,15:00,3092.75659,3095.14746,3089.41675,3093.52490,0
DSX,07/01/14,16:00,3093.47998,3098.49243,3092.82324,3096.98999,0
DSX,07/01/14,17:00,3097.16260,3098.98657,3093.09009,3096.86499,0
DSX,07/01/14,18:00,3097.18506,3100.42505,3094.77759,3100.42505,0
DSX,07/01/14,19:00,3100.42676,3112.79004,3098.21997,3110.04761,0
DSX,07/01/14,20:00,3110.45239,3111.53345,3109.18994,3110.95996,0
DSX,08/01/14,02:00,3110.95996,3110.95996,3110.95996,3110.95996,0
DSX,08/01/14,09:00,3110.95996,3110.95996,3110.95996,3110.95996,0
DSX,08/01/14,12:00,3113.96997,3118.21509,3107.33008,3118.21509,0
DSX,08/01/14,13:00,3118.29321,3120.84790,3107.68335,3107.79004,0
DSX,08/01/14,14:00,3107.80591,3111.39990,3100.73999,3105.01758,0
DSX,08/01/14,15:00,3105.05811,3108.60327,3103.68262,3104.69995,0
DSX,08/01/14,16:00,3104.64990,3110.04004,3104.47241,3109.47339,0
DSX,08/01/14,17:00,3109.48340,3109.64502,3104.20239,3107.05762,0
DSX,08/01/14,18:00,3107.10010,3109.76001,3102.30005,3104.67749,0
