<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DSX,D,20150102,000000,3132.7700000,3165.9200000,3114.7600000,3139.4400000,1760
DSX,D,20150105,000000,3126.8100000,3150.0900000,3020.7900000,3023.1400000,2017
DSX,D,20150106,000000,3033.4400000,3061.1900000,2998.5300000,3007.9100000,1990
DSX,D,20150107,000000,3019.4700000,3055.8700000,3002.7800000,3026.7900000,1868
DSX,D,20150108,000000,3051.2600000,3139.9200000,3051.2600000,3135.0800000,2013
DSX,D,20150109,000000,3128.4200000,3128.4200000,3021.2300000,3042.9000000,1855
DSX,D,20150112,000000,3055.6600000,3096.9100000,3033.3400000,3084.1800000,1880
DSX,D,20150113,000000,3069.8200000,3146.5400000,3065.3700000,3133.8600000,1986
DSX,D,20150114,000000,3108.3400000,3148.2600000,3077.2400000,3089.6700000,2005
DSX,D,20150115,000000,3112.3700000,3169.1900000,3020.5400000,3157.3600000,2010
DSX,D,20150116,000000,3147.5300000,3208.0600000,3133.9000000,3202.2400000,1003
DSX,D,20150119,000000,3208.6200000,3237.8800000,3198.3600000,3218.7900000,1191
DSX,D,20150120,000000,3229.3400000,3257.6500000,3226.7400000,3244.9200000,1339
DSX,D,20150121,000000,3265.2000000,3269.7300000,3265.2000000,3269.7300000,76
DSX,D,20150122,000000,3270.4000000,3332.5100000,3261.8500000,3322.6500000,2089
DSX,D,20150123,000000,3345.4500000,3412.7600000,3345.4500000,3382.5500000,2058
DSX,D,20150126,000000,3372.0300000,3417.4600000,3362.6300000,3414.2800000,2097
DSX,D,20150127,000000,3413.3300000,3413.3300000,3353.1300000,3372.5800000,2096
DSX,D,20150128,000000,3384.2100000,3393.9300000,3333.3600000,3358.9600000,2039
DSX,D,20150129,000000,3341.1800000,3373.1800000,3326.3800000,3371.8300000,2084
DSX,D,20150130,000000,3386.5900000,3392.7000000,3332.3900000,3351.4400000,2053
DSX,D,20150202,000000,3356.1300000,3370.8100000,3327.0800000,3370.1100000,2102
DSX,D,20150203,000000,3386.5500000,3426.6700000,3386.5500000,3414.1800000,2101
DSX,D,20150204,000000,3416.8000000,3422.0400000,3389.2000000,3415.5300000,2079
DSX,D,20150205,000000,3393.6200000,3410.5200000,3376.7500000,3408.9600000,2060
DSX,D,20150206,000000,3404.9400000,3408.8800000,3383.7500000,3398.1600000,1802
DSX,D,20150209,000000,3371.5100000,3371.5100000,3322.1100000,3347.7500000,2022
DSX,D,20150210,000000,3354.5200000,3401.1300000,3336.8200000,3383.1300000,2041
DSX,D,20150211,000000,3384.4000000,3389.1700000,3361.4700000,3374.1400000,1952
DSX,D,20150212,000000,3371.5700000,3433.5100000,3365.2500000,3417.6100000,2093
DSX,D,20150213,000000,3428.9000000,3462.2700000,3428.9000000,3447.5900000,2089
DSX,D,20150216,000000,3445.4400000,3446.5200000,3431.2900000,3433.3000000,1955
DSX,D,20150217,000000,3420.9300000,3443.8300000,3381.2900000,3438.4400000,2087
DSX,D,20150218,000000,3450.1200000,3473.5800000,3450.1200000,3465.8000000,2083
DSX,D,20150219,000000,3459.4900000,3493.6700000,3439.1800000,3488.0800000,2035
DSX,D,20150220,000000,3483.5800000,3495.3000000,3454.8100000,3490.5300000,2034
DSX,D,20150223,000000,3510.8100000,3529.0100000,3498.2700000,3519.5800000,1985
DSX,D,20150224,000000,3523.9900000,3555.3100000,3510.4500000,3547.1000000,2011
DSX,D,20150225,000000,3544.8100000,3549.0300000,3529.1200000,3541.7800000,2073
DSX,D,20150226,000000,3542.2100000,3576.3400000,3537.1900000,3574.9400000,1992
DSX,D,20150227,000000,3574.3300000,3599.0000000,3563.1500000,3599.0000000,1940
DSX,D,20150302,000000,3594.2500000,3607.9700000,3577.5100000,3591.0900000,1916
DSX,D,20150303,000000,3595.3600000,3604.2700000,3546.2900000,3549.1100000,2005
DSX,D,20150304,000000,3555.9100000,3583.4400000,3533.4000000,3583.4400000,2094
DSX,D,20150305,000000,3590.1000000,3625.9300000,3589.2000000,3618.2100000,1969
DSX,D,20150306,000000,3615.0000000,3635.9300000,3611.1000000,3617.6200000,2075
DSX,D,20150309,000000,3604.1300000,3614.5800000,3585.1200000,3610.2800000,2066
DSX,D,20150310,000000,3605.8100000,3610.8300000,3552.4300000,3567.2500000,2084
DSX,D,20150311,000000,3575.9600000,3653.9400000,3575.9600000,3649.5400000,2077
DSX,D,20150312,000000,3646.3500000,3653.3800000,3635.7700000,3641.3200000,2094
DSX,D,20150313,000000,3649.4600000,3656.2100000,3628.1400000,3656.2100000,1989
DSX,D,20150316,000000,3664.5300000,3715.3600000,3664.5300000,3706.7500000,1925
DSX,D,20150317,000000,3708.0400000,3714.0200000,3654.5300000,3672.1600000,2071
DSX,D,20150318,000000,3673.9700000,3680.5700000,3643.1300000,3668.5200000,2085
DSX,D,20150319,000000,3664.6200000,3690.6300000,3646.2900000,3670.7300000,2075
DSX,D,20150320,000000,3676.1400000,3738.2000000,3672.6000000,3726.0700000,2091
DSX,D,20150323,000000,3718.4500000,3718.4500000,3688.7300000,3699.0400000,1969
DSX,D,20150324,000000,3690.9200000,3742.4200000,3677.3100000,3731.3500000,2036
DSX,D,20150325,000000,3724.7500000,3730.8000000,3680.1500000,3684.0400000,1953
DSX,D,20150326,000000,3664.1500000,3669.7900000,3616.7500000,3669.7900000,2082
DSX,D,20150327,000000,3677.7100000,3694.4600000,3657.7800000,3679.0300000,2021
DSX,D,20150330,000000,3691.6100000,3730.9000000,3689.7000000,3727.8000000,1940
DSX,D,20150331,000000,3720.1700000,3738.4100000,3688.5500000,3697.3800000,1910
DSX,D,20150401,000000,3688.1800000,3748.6300000,3675.2900000,3714.8900000,2082
DSX,D,20150402,000000,3713.7400000,3723.3400000,3705.6500000,3715.2700000,2076
DSX,D,20150407,000000,3729.2700000,3778.7400000,3729.2700000,3768.7200000,1915
DSX,D,20150408,000000,3764.6000000,3774.0900000,3736.3200000,3742.6300000,2087
DSX,D,20150409,000000,3752.6600000,3781.7900000,3751.1900000,3781.7900000,2088
DSX,D,20150410,000000,3790.2600000,3816.7600000,3789.6400000,3816.7600000,1957
DSX,D,20150413,000000,3813.9600000,3836.2800000,3807.7300000,3828.7800000,1894
DSX,D,20150414,000000,3814.8800000,3822.9200000,3766.8100000,3784.5300000,1879
DSX,D,20150415,000000,3790.5600000,3816.3200000,3786.3600000,3803.5500000,2019
DSX,D,20150416,000000,3801.3800000,3801.3800000,3749.1600000,3751.7200000,2064
DSX,D,20150417,000000,3748.0900000,3758.5200000,3668.8800000,3674.0500000,1920
DSX,D,20150420,000000,3682.3200000,3718.2000000,3682.3200000,3718.0400000,1940
DSX,D,20150421,000000,3727.1500000,3757.1200000,3707.4700000,3719.3800000,2096
DSX,D,20150422,000000,3727.1000000,3750.1000000,3685.1900000,3724.4900000,2091
DSX,D,20150423,000000,3725.6800000,3736.9700000,3669.2200000,3697.8800000,2098
DSX,D,20150424,000000,3707.0000000,3737.8800000,3687.5200000,3713.9600000,2061
DSX,D,20150427,000000,3715.9800000,3782.2900000,3675.2400000,3771.4500000,2082
DSX,D,20150428,000000,3765.2500000,3768.5800000,3694.4100000,3715.4200000,2101
DSX,D,20150429,000000,3719.4500000,3734.6200000,3612.2900000,3617.1100000,2110
