<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,20120103,110000,172.5300000,174.1400000,172.2200000,173.5500000,3200690
GAZP,60,20120103,120000,173.5800000,173.7100000,173.4100000,173.6100000,2162150
GAZP,60,20120103,130000,173.6500000,174.0400000,173.1500000,173.8200000,2347340
GAZP,60,20120103,140000,173.7700000,174.0300000,173.3400000,173.6200000,1688080
GAZP,60,20120103,150000,173.5300000,173.7000000,173.2200000,173.6000000,1294340
GAZP,60,20120103,160000,173.6000000,174.0000000,173.2800000,173.9000000,2171570
GAZP,60,20120103,170000,173.9000000,175.1500000,173.7500000,175.1000000,3796390
GAZP,60,20120103,180000,175.1300000,176.1600000,175.1000000,175.9000000,3379380
GAZP,60,20120103,190000,175.9100000,177.6000000,175.8500000,177.5000000,4807220
GAZP,60,20120104,110000,177.5500000,177.8700000,176.5300000,177.2000000,3518960
GAZP,60,20120104,120000,177.2000000,177.5800000,177.0200000,177.0700000,1716340
GAZP,60,20120104,130000,177.0700000,178.1000000,175.8200000,176.2000000,7783800
GAZP,60,20120104,140000,176.1500000,177.3300000,175.9000000,176.8000000,2303520
GAZP,60,20120104,150000,176.7900000,177.3400000,176.4500000,176.8000000,1317570
GAZP,60,20120104,160000,176.8000000,177.2000000,176.0400000,176.2900000,1813330
GAZP,60,20120104,170000,176.2500000,176.5600000,175.0000000,175.9400000,2901850
GAZP,60,20120104,180000,175.8800000,176.1600000,175.2000000,175.6000000,1795800
GAZP,60,20120104,190000,175.6000000,176.9100000,175.4700000,176.9100000,2088990
GAZP,60,20120105,110000,177.0100000,178.0400000,176.6600000,177.6400000,3567610
GAZP,60,20120105,120000,177.6400000,178.3500000,177.1600000,178.1200000,2166360
GAZP,60,20120105,130000,178.1800000,178.2700000,176.7600000,177.1600000,6428860
GAZP,60,20120105,140000,177.1300000,177.7000000,176.5000000,176.5400000,2397610
GAZP,60,20120105,150000,176.5400000,177.3800000,175.5100000,175.6400000,2765530
GAZP,60,20120105,160000,175.6500000,177.1900000,175.4000000,177.1300000,2277470
GAZP,60,20120105,170000,177.1500000,177.4200000,176.8300000,177.3000000,2026310
GAZP,60,20120105,180000,177.3000000,178.8200000,177.2100000,178.8200000,9020700
GAZP,60,20120105,190000,178.8200000,179.3700000,177.1200000,177.2000000,6266010
GAZP,60,20120106,110000,177.0000000,177.8000000,176.5400000,177.1400000,1535710
GAZP,60,20120106,120000,177.1400000,177.7900000,176.7600000,177.2600000,1218410
GAZP,60,20120106,130000,177.2200000,178.1900000,176.9600000,177.9700000,2996020
GAZP,60,20120106,140000,177.9800000,178.2000000,177.5600000,177.9400000,1005840
GAZP,60,20120106,150000,177.9400000,178.3800000,177.8000000,178.0100000,1377900
GAZP,60,20120106,160000,177.9500000,178.1300000,177.1000000,178.1300000,2212770
GAZP,60,20120106,170000,178.1300000,178.4900000,177.9700000,178.0600000,2425200
GAZP,60,20120106,180000,178.0800000,178.7200000,177.4500000,177.7500000,4314430
GAZP,60,20120106,190000,177.8000000,177.9000000,176.1100000,176.2000000,4263910
GAZP,60,20120109,110000,175.9500000,176.3600000,174.3300000,175.2000000,4034980
GAZP,60,20120109,120000,175.2000000,175.7100000,174.5700000,175.6600000,1744930
GAZP,60,20120109,130000,175.6400000,176.6500000,175.3400000,176.3200000,4621140
GAZP,60,20120109,140000,176.3300000,176.5000000,175.6600000,176.1900000,2270590
GAZP,60,20120109,150000,176.1900000,176.4300000,175.8100000,176.0000000,1253010
GAZP,60,20120109,160000,176.0000000,176.1600000,175.2900000,175.7400000,2132400
GAZP,60,20120109,170000,175.7800000,176.6000000,175.4400000,176.3800000,2437750
GAZP,60,20120109,180000,176.3800000,177.0800000,176.0200000,177.0800000,1611720
GAZP,60,20120109,190000,177.0800000,177.5700000,176.7300000,177.2700000,4960450
GAZP,60,20120110,110000,177.9200000,178.5000000,177.5700000,178.4000000,5974110
GAZP,60,20120110,120000,178.4000000,178.5000000,178.0000000,178.4000000,2598350
GAZP,60,20120110,130000,178.4000000,179.6000000,177.5100000,179.0200000,10225850
GAZP,60,20120110,140000,179.0600000,179.7700000,179.0000000,179.4800000,4432810
GAZP,60,20120110,150000,179.4800000,179.8100000,179.0600000,179.3000000,3946910
GAZP,60,20120110,160000,179.3000000,179.9100000,179.1300000,179.7800000,4164990
GAZP,60,20120110,170000,179.8000000,179.9900000,179.4500000,179.5300000,6516450
GAZP,60,20120110,180000,179.5300000,179.9900000,179.3000000,179.3800000,2690960
GAZP,60,20120110,190000,179.3700000,179.6900000,179.2100000,179.6100000,3381800
GAZP,60,20120111,110000,178.8600000,178.8700000,177.5900000,178.5500000,6045160
GAZP,60,20120111,120000,178.5500000,178.6500000,177.0000000,177.3000000,5439830
GAZP,60,20120111,130000,177.3000000,178.7900000,177.1800000,177.8300000,5144340
GAZP,60,20120111,140000,177.8300000,179.3800000,177.6500000,179.1700000,4757940
GAZP,60,20120111,150000,179.1000000,179.4000000,178.5000000,178.6000000,4186720
GAZP,60,20120111,160000,178.6000000,178.8000000,177.5000000,177.6700000,6161370
GAZP,60,20120111,170000,177.6400000,178.1300000,176.3800000,177.8900000,6265720
GAZP,60,20120111,180000,177.9200000,178.4400000,177.1100000,178.3800000,3274490
GAZP,60,20120111,190000,178.3100000,178.9200000,177.7300000,178.1000000,4857020
GAZP,60,20120112,110000,178.4800000,179.2500000,178.1100000,178.9800000,2824440
GAZP,60,20120112,120000,178.9400000,179.0000000,177.9900000,178.2100000,3487490
GAZP,60,20120112,130000,178.2500000,178.7900000,178.0000000,178.5200000,2316340
GAZP,60,20120112,140000,178.5100000,179.7400000,178.3500000,179.7400000,9077860
GAZP,60,20120112,150000,179.7400000,180.4800000,179.4300000,180.2500000,12043650
GAZP,60,20120112,160000,180.2100000,180.4400000,179.5500000,179.9400000,4085300
GAZP,60,20120112,170000,179.9400000,180.8200000,179.3000000,179.8000000,4939940
GAZP,60,20120112,180000,179.8000000,179.9600000,177.9900000,178.4100000,8668420
GAZP,60,20120112,190000,178.4100000,179.0000000,177.0400000,177.7400000,7778830
GAZP,60,20120113,110000,178.3000000,178.4800000,177.6000000,178.0500000,4113440
GAZP,60,20120113,120000,178.0500000,178.6400000,178.0000000,178.4500000,2280300
