<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,10,20150105,101000,129.6000000,130.9400000,129.5600000,130.2900000,964230
GAZP,10,20150105,102000,130.2900000,130.5500000,129.4900000,129.8300000,562980
GAZP,10,20150105,103000,129.7500000,130.2200000,129.6700000,129.7400000,319100
GAZP,10,20150105,104000,129.7500000,130.0800000,129.6900000,130.0300000,149830
GAZP,10,20150105,105000,130.0300000,130.0800000,129.8100000,129.8800000,65690
GAZP,10,20150105,110000,129.9500000,129.9500000,129.1500000,129.1900000,390000
GAZP,10,20150105,111000,129.2000000,130.7900000,129.1600000,130.3900000,851350
GAZP,10,20150105,112000,130.4500000,131.2200000,130.4500000,131.0700000,799360
GAZP,10,20150105,113000,130.9400000,131.3200000,130.9000000,131.2700000,417360
GAZP,10,20150105,114000,131.1900000,131.4900000,131.0000000,131.2400000,387060
GAZP,10,20150105,115000,131.2500000,131.7800000,131.0900000,131.6600000,319760
GAZP,10,20150105,120000,131.6500000,132.4200000,131.5200000,132.1600000,502900
GAZP,10,20150105,121000,132.0600000,132.1400000,131.5500000,131.9100000,373860
GAZP,10,20150105,122000,131.8800000,132.0900000,131.8200000,132.0800000,259350
GAZP,10,20150105,123000,132.0700000,132.2500000,131.9100000,131.9600000,258490
GAZP,10,20150105,124000,131.9600000,132.9800000,131.9600000,132.6600000,729780
GAZP,10,20150105,125000,132.6600000,133.1800000,132.6400000,133.1800000,387960
GAZP,10,20150105,130000,133.1700000,133.8000000,133.1700000,133.7100000,602710
GAZP,10,20150105,131000,133.6800000,133.7900000,133.3600000,133.6000000,406940
GAZP,10,20150105,132000,133.6000000,133.7400000,133.4600000,133.6000000,306160
GAZP,10,20150105,133000,133.5300000,133.8400000,133.5000000,133.7300000,315440
GAZP,10,20150105,134000,133.7100000,133.8400000,133.4900000,133.5200000,290330
GAZP,10,20150105,135000,133.5600000,133.7000000,133.2800000,133.3700000,268570
GAZP,10,20150105,140000,133.4000000,133.4800000,133.0500000,133.1000000,218920
GAZP,10,20150105,141000,133.1000000,133.2100000,132.7700000,132.8600000,282820
GAZP,10,20150105,142000,132.8700000,133.1200000,132.7700000,133.0500000,140830
GAZP,10,20150105,143000,133.0500000,133.1200000,132.8700000,132.8800000,142880
GAZP,10,20150105,144000,132.8800000,133.1300000,132.8500000,133.1100000,163190
GAZP,10,20150105,145000,133.1200000,133.4000000,132.8500000,132.8900000,423730
GAZP,10,20150105,150000,132.9700000,133.0200000,132.7700000,132.8400000,139020
GAZP,10,20150105,151000,132.8000000,132.8700000,132.7700000,132.7900000,80990
GAZP,10,20150105,152000,132.8300000,132.8400000,132.6500000,132.7000000,154470
GAZP,10,20150105,153000,132.6600000,132.7500000,132.3400000,132.4400000,327670
GAZP,10,20150105,154000,132.4100000,132.9100000,132.3200000,132.8400000,270220
GAZP,10,20150105,155000,132.8400000,133.0000000,132.7100000,132.8900000,189000
GAZP,10,20150105,160000,132.8800000,132.9400000,132.8300000,132.9400000,68940
GAZP,10,20150105,161000,132.9300000,133.2600000,132.7800000,133.2000000,434070
GAZP,10,20150105,162000,133.2200000,133.2300000,133.0300000,133.0600000,102140
GAZP,10,20150105,163000,133.0600000,133.1100000,132.9200000,133.0000000,157150
GAZP,10,20150105,164000,133.0000000,133.1800000,132.9200000,133.1800000,147770
GAZP,10,20150105,165000,133.1700000,133.5300000,132.9600000,133.0500000,226210
GAZP,10,20150105,170000,133.1700000,133.5500000,133.1300000,133.2000000,217820
GAZP,10,20150105,171000,133.1800000,133.6700000,133.1800000,133.4900000,419270
GAZP,10,20150105,172000,133.5000000,133.5900000,133.0600000,133.3800000,278880
GAZP,10,20150105,173000,133.3900000,133.5800000,133.3600000,133.4300000,351450
GAZP,10,20150105,174000,133.4400000,133.5100000,132.5000000,132.6000000,427070
GAZP,10,20150105,175000,132.6100000,132.9800000,132.4100000,132.6000000,431800
GAZP,10,20150105,180000,132.6700000,132.8000000,132.6300000,132.7800000,171010
GAZP,10,20150105,181000,132.7900000,133.3800000,132.7100000,133.2300000,341850
GAZP,10,20150105,182000,133.2900000,133.4500000,132.8400000,133.1000000,408120
GAZP,10,20150105,183000,133.1000000,133.9100000,133.1000000,133.8400000,822700
