<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GE,03/01/12,17:30,18.23000,18.31000,18.23000,18.29000,135753
GE,03/01/12,17:40,18.29000,18.35000,18.28000,18.35000,122389
GE,03/01/12,17:50,18.35000,18.38000,18.33000,18.38000,50548
GE,03/01/12,18:00,18.38000,18.48000,18.35000,18.44500,146166
GE,03/01/12,18:10,18.44000,18.45000,18.42000,18.44500,70314
GE,03/01/12,18:20,18.44000,18.45000,18.39500,18.40500,93709
GE,03/01/12,18:30,18.40500,18.45000,18.40500,18.44500,51755
GE,03/01/12,18:40,18.44500,18.44500,18.42500,18.43500,133418
GE,03/01/12,18:50,18.43500,18.43500,18.41500,18.43000,59725
GE,03/01/12,19:00,18.43500,18.44000,18.42500,18.43500,53445
GE,03/01/12,19:10,18.43500,18.46000,18.43500,18.45500,116794
GE,03/01/12,19:20,18.45000,18.47000,18.45000,18.46500,106272
GE,03/01/12,19:30,18.46500,18.49500,18.46500,18.49500,130318
GE,03/01/12,19:40,18.49500,18.49500,18.47500,18.47500,106725
GE,03/01/12,19:50,18.47500,18.49500,18.47500,18.49500,136704
GE,03/01/12,20:00,18.49500,18.49500,18.46000,18.46000,101156
GE,03/01/12,20:10,18.46000,18.46500,18.44500,18.46500,79453
GE,03/01/12,20:20,18.46000,18.46500,18.45500,18.46000,55365
GE,03/01/12,20:30,18.46500,18.46500,18.42000,18.42000,112262
GE,03/01/12,20:40,18.42500,18.45000,18.40000,18.40000,75621
GE,03/01/12,20:50,18.40000,18.44000,18.39500,18.44000,86267
GE,03/01/12,21:00,18.43000,18.45000,18.42500,18.43000,69451
GE,03/01/12,21:10,18.43000,18.44000,18.41000,18.44000,34471
GE,03/01/12,21:20,18.43000,18.44500,18.41500,18.44500,71976
GE,03/01/12,21:30,18.44500,18.44500,18.42500,18.43500,60394
GE,03/01/12,21:40,18.44000,18.47000,18.44000,18.46500,91024
GE,03/01/12,21:50,18.47000,18.47000,18.44500,18.45000,94928
GE,03/01/12,22:00,18.45000,18.46500,18.45000,18.45000,41321
GE,03/01/12,22:10,18.45500,18.45500,18.43500,18.44000,22330
GE,03/01/12,22:20,18.44500,18.45500,18.43500,18.45000,22623
GE,03/01/12,22:30,18.46000,18.49000,18.43500,18.47000,161896
GE,03/01/12,22:40,18.47000,18.48500,18.46500,18.47000,26342
GE,03/01/12,22:50,18.47000,18.49500,18.45000,18.48000,222248
GE,03/01/12,23:00,18.48000,18.49000,18.47000,18.49000,59947
GE,03/01/12,23:10,18.48500,18.48500,18.48000,18.48500,11727
GE,03/01/12,23:20,18.48500,18.48500,18.44500,18.46500,96498
GE,03/01/12,23:30,18.46500,18.47000,18.44000,18.44500,95701
GE,03/01/12,23:40,18.44500,18.47000,18.44500,18.45500,134852
GE,03/01/12,23:50,18.45500,18.45500,18.38000,18.38000,163835
GE,04/01/12,17:30,18.29000,18.35000,18.29000,18.33000,85904
GE,04/01/12,17:40,18.33000,18.36000,18.32500,18.35000,59070
GE,04/01/12,17:50,18.36000,18.39500,18.35000,18.36000,67648
GE,04/01/12,18:00,18.36500,18.37000,18.33500,18.36000,110441
GE,04/01/12,18:10,18.35500,18.36000,18.30000,18.35000,88978
GE,04/01/12,18:20,18.34500,18.37000,18.34500,18.35000,22755
GE,04/01/12,18:30,18.35000,18.35000,18.28000,18.31500,76431
GE,04/01/12,18:40,18.31500,18.36000,18.31500,18.32500,90921
GE,04/01/12,18:50,18.32500,18.35500,18.32500,18.33500,39583
GE,04/01/12,19:00,18.33500,18.36500,18.33500,18.33500,48265
GE,04/01/12,19:10,18.33500,18.34000,18.32000,18.32500,34814
GE,04/01/12,19:20,18.32500,18.35000,18.32500,18.33000,67835
GE,04/01/12,19:30,18.33000,18.37000,18.33000,18.37000,40720
GE,04/01/12,19:40,18.37500,18.39500,18.36500,18.39500,44650
GE,04/01/12,19:50,18.39500,18.42000,18.39500,18.40000,51103
GE,04/01/12,20:00,18.41000,18.47000,18.41000,18.47000,53697
GE,04/01/12,20:10,18.47500,18.48000,18.45500,18.47500,94828
GE,04/01/12,20:20,18.48000,18.49000,18.48000,18.48500,16500
GE,04/01/12,20:30,18.48500,18.49000,18.47000,18.47000,75297
GE,04/01/12,20:40,18.46500,18.48500,18.46500,18.48500,40078
GE,04/01/12,20:50,18.49000,18.50000,18.49000,18.49500,37880
GE,04/01/12,21:00,18.49500,18.49500,18.48500,18.48500,44420
GE,04/01/12,21:10,18.48500,18.49000,18.47500,18.48500,48647
GE,04/01/12,21:20,18.49000,18.52000,18.48500,18.51000,124029
