<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GE,03/01/12,00:00,18.23000,18.49500,18.23000,18.38000,3505723
GE,04/01/12,00:00,18.29000,18.60000,18.28000,18.55000,2465058
GE,05/01/12,00:00,18.47500,18.60000,18.29500,18.56000,2854318
GE,06/01/12,00:00,18.73000,18.79000,18.56000,18.65000,3400481
GE,09/01/12,00:00,18.73000,18.87500,18.56000,18.85000,3050709
GE,10/01/12,00:00,19.02000,19.04500,18.62000,18.74500,4664195
GE,11/01/12,00:00,18.54000,18.94500,18.51000,18.87000,3121847
GE,12/01/12,00:00,18.98000,19.00000,18.76000,18.94000,2863646
GE,13/01/12,00:00,18.80000,18.83000,18.60000,18.83000,2605584
GE,17/01/12,00:00,18.99000,19.09000,18.68000,18.72000,3391082
GE,18/01/12,00:00,18.61000,19.01000,18.57000,19.01000,2103003
GE,19/01/12,00:00,19.03000,19.18000,18.94000,19.16500,3705477
GE,20/01/12,00:00,18.81000,19.17000,18.68000,19.15000,4673722
GE,23/01/12,00:00,19.05000,19.23000,18.90000,18.94000,3405800
GE,24/01/12,00:00,18.84000,18.86000,18.75000,18.83000,2782964
GE,25/01/12,00:00,18.84000,19.16000,18.80000,19.12000,3873229
GE,26/01/12,00:00,19.26000,19.26500,18.98000,19.07000,3138324
GE,27/01/12,00:00,18.99000,19.12500,18.92000,19.03000,2334727
GE,30/01/12,00:00,18.84000,18.92000,18.70000,18.90000,3076411
GE,31/01/12,00:00,18.98000,19.00000,18.70000,18.72000,3025384
GE,01/02/12,00:00,18.95000,19.06000,18.75000,18.77000,5335454
GE,02/02/12,00:00,18.82000,18.93000,18.70000,18.75000,2469784
GE,03/02/12,00:00,18.99000,19.10000,18.92000,19.02000,2852857
GE,06/02/12,00:00,19.02000,19.14500,18.95000,19.06000,2541152
GE,07/02/12,00:00,18.98000,19.19500,18.92000,19.18000,2360790
GE,08/02/12,00:00,19.19000,19.30000,19.08000,19.25000,1979555
GE,09/02/12,00:00,19.28000,19.34500,19.11500,19.13000,2003278
GE,10/02/12,00:00,18.99500,19.00000,18.77500,18.88000,3294932
GE,13/02/12,00:00,19.02000,19.08000,18.90500,19.05000,3388377
GE,14/02/12,00:00,18.92000,18.98000,18.80000,18.96000,2447668
GE,15/02/12,00:00,19.01000,19.02000,18.70500,18.78000,3381005
GE,16/02/12,00:00,18.85000,19.03000,18.81000,19.02500,2840124
GE,17/02/12,00:00,19.16000,19.31000,19.11000,19.30000,2712349
GE,21/02/12,00:00,19.40500,19.50000,19.32000,19.41000,2329623
GE,22/02/12,00:00,19.42000,19.47000,19.18000,19.38000,2375109
GE,23/02/12,00:00,19.12000,19.36500,19.00000,19.31000,2782790
GE,24/02/12,00:00,19.34000,19.34000,19.14000,19.23000,1317384
GE,27/02/12,00:00,19.02000,19.15000,18.98000,19.07000,2546332
GE,28/02/12,00:00,19.10000,19.18500,18.99000,19.17000,2002695
GE,29/02/12,00:00,19.20000,19.24000,19.01000,19.05000,3563403
GE,01/03/12,00:00,19.14000,19.19000,19.04000,19.11000,3319115
GE,02/03/12,00:00,19.12000,19.12000,18.91000,18.98000,2540249
GE,05/03/12,00:00,18.97000,18.97000,18.74000,18.86000,2866678
GE,06/03/12,00:00,18.59000,18.60000,18.32000,18.40000,4674320
GE,07/03/12,00:00,18.58000,18.85000,18.55000,18.78000,4090553
GE,08/03/12,00:00,18.98000,19.09000,18.92500,19.03000,2522314
GE,09/03/12,00:00,19.01000,19.17500,18.92000,19.06000,2516231
GE,12/03/12,00:00,19.11000,19.19000,19.04500,19.14000,2444887
GE,13/03/12,00:00,19.20000,19.66000,19.09500,19.61000,4422264
GE,14/03/12,00:00,19.61000,19.89000,19.58000,19.80000,4576765
GE,15/03/12,00:00,19.89000,20.19500,19.87500,20.15000,5485144
GE,16/03/12,00:00,20.25000,20.30000,20.01500,20.21000,3233391
GE,19/03/12,00:00,20.09000,20.36000,20.06000,20.20000,2755531
GE,20/03/12,00:00,20.04000,20.20500,19.98000,20.09000,3420610
GE,21/03/12,00:00,20.16000,20.31000,20.04500,20.09000,3388489
GE,22/03/12,00:00,19.94000,19.96000,19.69500,19.85000,3503216
GE,23/03/12,00:00,19.81000,19.90000,19.70000,19.81000,1814582
GE,26/03/12,00:00,19.99000,20.11000,19.92500,20.05000,2961517
GE,27/03/12,00:00,20.13000,20.14000,20.01000,20.07000,2226457
GE,28/03/12,00:00,20.03000,20.11000,19.77000,19.98000,3957203
GE,29/03/12,00:00,19.85000,19.97000,19.71000,19.93500,3474851
GE,30/03/12,00:00,20.08000,20.13000,19.97000,20.09000,2673298
GE,02/04/12,00:00,20.03000,20.10500,19.90000,20.02000,3679981
GE,03/04/12,00:00,19.97000,20.01000,19.80500,19.94000,3675902
GE,04/04/12,00:00,19.65000,19.80500,19.62000,19.74000,2776218
GE,05/04/12,00:00,19.60000,19.70500,19.46000,19.47500,2383160
GE,10/04/12,00:00,19.09000,19.13000,18.70500,18.74000,3745416
GE,11/04/12,00:00,19.01000,19.14000,18.98000,19.02000,2671040
GE,12/04/12,00:00,19.01000,19.32000,18.96000,19.31000,1766964
