<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GE,03/01/12,17:00,18.23000,18.38000,18.23000,18.38000,308690
GE,03/01/12,18:00,18.38000,18.48000,18.35000,18.43000,555087
GE,03/01/12,19:00,18.43500,18.49500,18.42500,18.49500,650258
GE,03/01/12,20:00,18.49500,18.49500,18.39500,18.44000,510124
GE,03/01/12,21:00,18.43000,18.47000,18.41000,18.45000,422244
GE,03/01/12,22:00,18.45000,18.49500,18.43500,18.48000,496760
GE,03/01/12,23:00,18.48000,18.49000,18.38000,18.38000,562560
GE,04/01/12,17:00,18.29000,18.39500,18.29000,18.36000,212622
GE,04/01/12,18:00,18.36500,18.37000,18.28000,18.33500,429109
GE,04/01/12,19:00,18.33500,18.42000,18.32000,18.40000,287387
GE,04/01/12,20:00,18.41000,18.50000,18.41000,18.49500,318280
GE,04/01/12,21:00,18.49500,18.58000,18.47500,18.55500,336865
GE,04/01/12,22:00,18.55500,18.56500,18.49000,18.54000,406865
GE,04/01/12,23:00,18.53500,18.60000,18.50500,18.55000,473930
GE,05/01/12,17:00,18.47500,18.48000,18.34500,18.36000,406490
GE,05/01/12,18:00,18.35000,18.43500,18.29500,18.34000,758170
GE,05/01/12,19:00,18.33000,18.47000,18.31500,18.45500,323219
GE,05/01/12,20:00,18.45500,18.53000,18.43500,18.53000,370153
GE,05/01/12,21:00,18.53000,18.59000,18.50500,18.55500,204255
GE,05/01/12,22:00,18.55000,18.57000,18.51000,18.51500,195970
GE,05/01/12,23:00,18.51000,18.60000,18.50500,18.56000,596061
GE,06/01/12,17:00,18.73000,18.74000,18.56000,18.66000,674550
GE,06/01/12,18:00,18.66000,18.75000,18.63500,18.71500,750596
GE,06/01/12,19:00,18.71500,18.79000,18.71500,18.75500,348637
GE,06/01/12,20:00,18.75500,18.75500,18.66500,18.70500,345884
GE,06/01/12,21:00,18.70000,18.71500,18.60500,18.67500,487200
GE,06/01/12,22:00,18.67500,18.68500,18.60500,18.63500,271129
GE,06/01/12,23:00,18.64000,18.67500,18.62500,18.65000,522485
GE,09/01/12,17:00,18.73000,18.74000,18.62000,18.64000,249184
GE,09/01/12,18:00,18.64000,18.68500,18.56500,18.60000,495247
GE,09/01/12,19:00,18.60000,18.75000,18.56000,18.73000,470058
GE,09/01/12,20:00,18.73000,18.80000,18.72500,18.78000,584553
GE,09/01/12,21:00,18.78000,18.80000,18.74000,18.77500,399382
GE,09/01/12,22:00,18.78000,18.84000,18.76500,18.79500,249301
GE,09/01/12,23:00,18.79500,18.87500,18.79000,18.85000,602984
GE,10/01/12,17:00,19.02000,19.04500,18.68000,18.77000,1199463
GE,10/01/12,18:00,18.76500,18.86000,18.72000,18.75500,1117663
GE,10/01/12,19:00,18.76000,18.76000,18.62000,18.68000,694265
GE,10/01/12,20:00,18.67500,18.69500,18.64500,18.68500,332678
GE,10/01/12,21:00,18.68500,18.69500,18.66500,18.67000,209936
GE,10/01/12,22:00,18.66500,18.70000,18.64500,18.69500,514251
GE,10/01/12,23:00,18.69500,18.71000,18.64500,18.71000,595639
