<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
JPM,03/01/12,17:30,34.06000,34.42000,34.05000,34.42000,159891
JPM,03/01/12,17:40,34.42000,34.48000,34.33000,34.47000,91687
JPM,03/01/12,17:50,34.47000,34.49000,34.42000,34.47000,39471
JPM,03/01/12,18:00,34.49000,34.92000,34.46000,34.90000,137655
JPM,03/01/12,18:10,34.91000,34.94000,34.83000,34.91000,81104
JPM,03/01/12,18:20,34.90000,34.96000,34.73000,34.73000,75067
JPM,03/01/12,18:30,34.72000,34.86000,34.69000,34.82000,82864
JPM,03/01/12,18:40,34.81000,34.81000,34.68500,34.74000,63085
JPM,03/01/12,18:50,34.75000,34.81000,34.68000,34.79500,50557
JPM,03/01/12,19:00,34.80000,34.81000,34.70000,34.70000,53856
JPM,03/01/12,19:10,34.69500,34.78000,34.68000,34.72000,80836
JPM,03/01/12,19:20,34.72000,34.78000,34.70000,34.78000,73641
JPM,03/01/12,19:30,34.78500,34.87000,34.76000,34.81000,85462
JPM,03/01/12,19:40,34.80000,34.80000,34.74000,34.77000,54141
JPM,03/01/12,19:50,34.77500,34.83000,34.75000,34.76000,40370
JPM,03/01/12,20:00,34.75000,34.79000,34.75000,34.76000,36398
JPM,03/01/12,20:10,34.75000,34.78000,34.74500,34.78000,66090
JPM,03/01/12,20:20,34.78000,34.82500,34.75000,34.80500,53246
JPM,03/01/12,20:30,34.80000,34.80000,34.72000,34.75000,62102
JPM,03/01/12,20:40,34.76000,34.79000,34.74000,34.75000,62451
JPM,03/01/12,20:50,34.74500,34.77500,34.70500,34.73000,148473
JPM,03/01/12,21:00,34.72500,34.77500,34.71500,34.77000,70102
JPM,03/01/12,21:10,34.79000,34.83000,34.75000,34.79000,49509
JPM,03/01/12,21:20,34.78000,34.78000,34.74500,34.76000,42409
JPM,03/01/12,21:30,34.75000,34.77000,34.71500,34.77000,57227
JPM,03/01/12,21:40,34.76500,34.90000,34.76500,34.89000,50775
JPM,03/01/12,21:50,34.89000,34.97500,34.87000,34.96000,47840
JPM,03/01/12,22:00,34.97000,34.99000,34.95000,34.97500,48565
JPM,03/01/12,22:10,34.98000,35.05000,34.95000,35.01500,94873
JPM,03/01/12,22:20,35.02000,35.04000,34.99000,35.04000,33657
JPM,03/01/12,22:30,35.05000,35.14500,35.04000,35.10000,72802
JPM,03/01/12,22:40,35.09500,35.14500,35.07000,35.12000,65613
JPM,03/01/12,22:50,35.11500,35.18500,35.10500,35.16000,61339
JPM,03/01/12,23:00,35.17000,35.17500,35.11000,35.13000,102007
JPM,03/01/12,23:10,35.12000,35.16000,35.09000,35.14000,80467
JPM,03/01/12,23:20,35.14000,35.18000,35.01500,35.09000,112981
JPM,03/01/12,23:30,35.08500,35.10000,35.04000,35.06000,113883
JPM,03/01/12,23:40,35.06500,35.09500,34.97500,35.00000,220400
JPM,03/01/12,23:50,35.00000,35.01500,34.89000,34.95000,243544
JPM,04/01/12,17:30,34.42000,34.64000,34.40000,34.62000,95224
JPM,04/01/12,17:40,34.62000,34.65000,34.48000,34.54000,97664
JPM,04/01/12,17:50,34.55000,34.61000,34.50000,34.54000,43228
JPM,04/01/12,18:00,34.51000,34.54500,34.36000,34.36000,130836
JPM,04/01/12,18:10,34.36000,34.49000,34.33000,34.45000,90846
JPM,04/01/12,18:20,34.44000,34.55000,34.42000,34.49500,64500
JPM,04/01/12,18:30,34.49000,34.51500,34.45500,34.49000,69896
JPM,04/01/12,18:40,34.49000,34.54000,34.47000,34.51000,71250
JPM,04/01/12,18:50,34.51000,34.54000,34.50000,34.51000,32173
