<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH,10,20150105,101000,2201.0000000,2268.9000000,2200.9000000,2249.1000000,30341
LKOH,10,20150105,102000,2248.6000000,2250.2000000,2226.7000000,2239.9000000,13593
LKOH,10,20150105,103000,2238.2000000,2248.8000000,2234.0000000,2234.0000000,5589
LKOH,10,20150105,104000,2233.9000000,2237.7000000,2230.5000000,2237.0000000,2580
LKOH,10,20150105,105000,2235.1000000,2237.0000000,2230.0000000,2233.6000000,2067
LKOH,10,20150105,110000,2230.4000000,2232.5000000,2211.0000000,2220.5000000,13905
LKOH,10,20150105,111000,2218.0000000,2247.3000000,2217.5000000,2244.8000000,17173
LKOH,10,20150105,112000,2242.0000000,2265.0000000,2237.3000000,2259.0000000,15342
LKOH,10,20150105,113000,2258.6000000,2276.1000000,2248.0000000,2271.8000000,15885
LKOH,10,20150105,114000,2270.7000000,2277.3000000,2262.2000000,2268.7000000,6267
LKOH,10,20150105,115000,2269.0000000,2276.9000000,2260.8000000,2274.6000000,14226
LKOH,10,20150105,120000,2274.5000000,2277.3000000,2264.1000000,2275.1000000,6854
LKOH,10,20150105,121000,2275.0000000,2276.6000000,2261.0000000,2275.0000000,6627
LKOH,10,20150105,122000,2270.0000000,2270.0000000,2262.3000000,2265.0000000,1207
LKOH,10,20150105,123000,2263.7000000,2265.0000000,2260.8000000,2262.2000000,6310
LKOH,10,20150105,124000,2262.7000000,2279.7000000,2260.0000000,2277.7000000,11167
LKOH,10,20150105,125000,2277.4000000,2291.9000000,2277.4000000,2287.8000000,14219
LKOH,10,20150105,130000,2289.4000000,2312.3000000,2289.4000000,2308.0000000,27858
LKOH,10,20150105,131000,2309.6000000,2317.0000000,2303.9000000,2309.8000000,12055
LKOH,10,20150105,132000,2308.0000000,2310.0000000,2301.5000000,2303.5000000,6355
LKOH,10,20150105,133000,2305.0000000,2310.0000000,2303.6000000,2309.0000000,5748
LKOH,10,20150105,134000,2309.0000000,2315.0000000,2302.8000000,2309.8000000,9418
LKOH,10,20150105,135000,2308.1000000,2310.0000000,2305.7000000,2309.2000000,2325
LKOH,10,20150105,140000,2309.9000000,2310.0000000,2300.1000000,2303.5000000,7936
LKOH,10,20150105,141000,2305.0000000,2309.3000000,2301.4000000,2303.0000000,4241
LKOH,10,20150105,142000,2302.8000000,2309.0000000,2301.8000000,2305.6000000,2775
LKOH,10,20150105,143000,2307.1000000,2308.4000000,2291.6000000,2295.9000000,4819
LKOH,10,20150105,144000,2296.0000000,2298.0000000,2285.1000000,2297.2000000,6605
LKOH,10,20150105,145000,2299.3000000,2306.2000000,2291.2000000,2299.8000000,13858
LKOH,10,20150105,150000,2301.0000000,2307.0000000,2300.5000000,2302.0000000,3353
LKOH,10,20150105,151000,2303.5000000,2306.9000000,2300.1000000,2303.2000000,2703
LKOH,10,20150105,152000,2303.4000000,2303.5000000,2295.6000000,2300.4000000,4391
LKOH,10,20150105,153000,2300.3000000,2300.7000000,2292.6000000,2294.5000000,6683
LKOH,10,20150105,154000,2294.4000000,2307.8000000,2292.8000000,2303.1000000,10917
LKOH,10,20150105,155000,2304.3000000,2307.5000000,2300.3000000,2307.2000000,5901
LKOH,10,20150105,160000,2307.0000000,2312.7000000,2304.2000000,2308.6000000,17020
LKOH,10,20150105,161000,2310.0000000,2315.0000000,2297.1000000,2304.0000000,14745
LKOH,10,20150105,162000,2304.0000000,2307.2000000,2300.6000000,2301.3000000,1964
LKOH,10,20150105,163000,2300.3000000,2302.2000000,2297.1000000,2297.1000000,7005
LKOH,10,20150105,164000,2297.1000000,2303.9000000,2296.0000000,2302.7000000,6761
LKOH,10,20150105,165000,2305.0000000,2313.2000000,2303.6000000,2305.0000000,6559
LKOH,10,20150105,170000,2304.0000000,2306.0000000,2303.8000000,2304.0000000,1280
LKOH,10,20150105,171000,2304.0000000,2308.0000000,2304.0000000,2306.6000000,1178
LKOH,10,20150105,172000,2305.0000000,2307.0000000,2301.8000000,2304.7000000,10150
LKOH,10,20150105,173000,2303.2000000,2308.7000000,2300.4000000,2301.2000000,5592
LKOH,10,20150105,174000,2302.4000000,2302.6000000,2285.1000000,2285.1000000,17339
LKOH,10,20150105,175000,2285.3000000,2293.9000000,2283.1000000,2290.3000000,6403
LKOH,10,20150105,180000,2292.2000000,2295.6000000,2286.6000000,2293.5000000,9989
LKOH,10,20150105,181000,2290.8000000,2306.4000000,2288.4000000,2299.5000000,21594
LKOH,10,20150105,182000,2298.9000000,2301.9000000,2281.7000000,2288.3000000,42758
LKOH,10,20150105,183000,2288.2000000,2305.1000000,2286.4000000,2294.8000000,38026
LKOH,10,20150105,184000,2294.6000000,2299.3000000,2276.1000000,2280.9000000,32340
LKOH,10,20150105,185000,2295.0000000,2295.0000000,2295.0000000,2295.0000000,5611
LKOH,10,20150106,101000,2289.9000000,2376.0000000,2286.6000000,2332.6000000,33070
LKOH,10,20150106,102000,2333.3000000,2345.0000000,2333.1000000,2343.8000000,15953
LKOH,10,20150106,103000,2344.0000000,2345.0000000,2334.3000000,2342.9000000,3568
LKOH,10,20150106,104000,2341.7000000,2349.9000000,2330.4000000,2349.8000000,21289
LKOH,10,20150106,105000,2346.7000000,2367.8000000,2346.7000000,2359.0000000,15312
LKOH,10,20150106,110000,2360.7000000,2362.3000000,2353.1000000,2357.3000000,5333
LKOH,10,20150106,111000,2358.0000000,2362.0000000,2319.1000000,2327.2000000,63540
LKOH,10,20150106,112000,2327.0000000,2333.7000000,2305.2000000,2315.0000000,22624
LKOH,10,20150106,113000,2313.0000000,2313.0000000,2288.2000000,2293.9000000,28964
LKOH,10,20150106,114000,2290.9000000,2308.6000000,2281.5000000,2299.8000000,24770
LKOH,10,20150106,115000,2300.0000000,2317.5000000,2292.9000000,2310.6000000,23054
LKOH,10,20150106,120000,2310.1000000,2320.0000000,2303.2000000,2320.0000000,23238
LKOH,10,20150106,121000,2318.1000000,2325.0000000,2302.2000000,2307.4000000,23125
LKOH,10,20150106,122000,2309.4000000,2309.6000000,2297.4000000,2303.1000000,19043
LKOH,10,20150106,123000,2302.9000000,2326.4000000,2290.0000000,2321.2000000,101457
LKOH,10,20150106,124000,2324.0000000,2328.6000000,2315.0000000,2325.0000000,13602
LKOH,10,20150106,125000,2322.2000000,2331.0000000,2318.7000000,2331.0000000,19189
LKOH,10,20150106,130000,2331.0000000,2343.0000000,2330.0000000,2330.1000000,8762
LKOH,10,20150106,131000,2330.0000000,2332.2000000,2321.8000000,2329.9000000,4841
LKOH,10,20150106,132000,2327.6000000,2334.5000000,2327.3000000,2331.6000000,3620
LKOH,10,20150106,133000,2329.3000000,2341.0000000,2329.3000000,2330.3000000,8959
