<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH,D,20150105,000000,2201.0000000,2317.0000000,2200.9000000,2295.0000000,567607
LKOH,D,20150106,000000,2289.9000000,2376.0000000,2281.5000000,2345.0000000,811041
LKOH,D,20150108,000000,2371.1000000,2595.1000000,2361.0000000,2572.0000000,1099715
LKOH,D,20150109,000000,2565.0000000,2579.0000000,2452.5000000,2461.0000000,1203809
LKOH,D,20150112,000000,2460.0000000,2519.0000000,2441.4000000,2477.0000000,909067
LKOH,D,20150113,000000,2479.9000000,2553.0000000,2461.9000000,2522.0000000,1316755
LKOH,D,20150114,000000,2519.9000000,2588.0000000,2502.2000000,2588.0000000,764395
LKOH,D,20150115,000000,2598.0000000,2653.0000000,2573.0000000,2618.9000000,1285131
LKOH,D,20150116,000000,2612.0000000,2748.5000000,2590.0000000,2736.0000000,1096043
LKOH,D,20150119,000000,2735.0000000,2828.1000000,2631.6000000,2640.0000000,1694526
LKOH,D,20150120,000000,2652.0000000,2675.5000000,2596.2000000,2628.7000000,1060596
LKOH,D,20150121,000000,2639.0000000,2765.0000000,2615.7000000,2752.0000000,1123431
LKOH,D,20150122,000000,2760.0000000,2937.9000000,2744.6000000,2820.0000000,2055982
LKOH,D,20150123,000000,2848.2000000,2938.0000000,2835.5000000,2849.0000000,1630194
LKOH,D,20150126,000000,2819.9000000,2869.0000000,2757.0000000,2864.9000000,1420700
LKOH,D,20150127,000000,2836.3000000,2943.2000000,2830.5000000,2925.1000000,1159742
LKOH,D,20150128,000000,2939.3000000,2998.5000000,2849.1000000,2865.2000000,1318705
LKOH,D,20150129,000000,2853.1000000,2914.9000000,2840.0000000,2845.2000000,1306854
LKOH,D,20150130,000000,2865.8000000,2885.0000000,2759.0000000,2789.9000000,1205436
LKOH,D,20150202,000000,2805.1000000,2819.9000000,2697.6000000,2750.1000000,1675469
LKOH,D,20150203,000000,2763.3000000,2903.9000000,2761.1000000,2851.5000000,1241543
LKOH,D,20150204,000000,2872.0000000,2933.0000000,2840.7000000,2910.0000000,1258020
LKOH,D,20150205,000000,2902.4000000,3030.0000000,2885.4000000,2996.0000000,2085101
LKOH,D,20150206,000000,3010.1000000,3150.0000000,2988.0000000,3120.1000000,2153165
LKOH,D,20150209,000000,3120.1000000,3297.7000000,3015.5000000,3016.0000000,2681345
LKOH,D,20150210,000000,3004.0000000,3058.0000000,2956.0000000,3000.0000000,1268154
LKOH,D,20150211,000000,3041.0000000,3123.9000000,3020.2000000,3069.1000000,1419373
LKOH,D,20150212,000000,3099.8000000,3207.8000000,3023.0000000,3120.0000000,2335273
LKOH,D,20150213,000000,3167.7000000,3199.0000000,3102.3000000,3135.0000000,1042290
LKOH,D,20150216,000000,3138.1000000,3143.9000000,2995.2000000,3020.0000000,908960
LKOH,D,20150217,000000,3025.0000000,3094.5000000,2990.1000000,3010.0000000,1104724
LKOH,D,20150218,000000,3031.1000000,3071.2000000,2995.2000000,3000.0000000,1174234
LKOH,D,20150219,000000,3005.0000000,3024.5000000,2917.0000000,2994.8000000,1066866
LKOH,D,20150220,000000,3010.0000000,3019.0000000,2950.0000000,2990.0000000,773474
LKOH,D,20150224,000000,2947.7000000,3001.0000000,2931.4000000,3001.0000000,703843
LKOH,D,20150225,000000,3001.0000000,3001.6000000,2907.0000000,2933.4000000,1495880
LKOH,D,20150226,000000,2950.0000000,2967.0000000,2895.2000000,2935.0000000,1029460
LKOH,D,20150227,000000,2920.0000000,2995.5000000,2905.0000000,2981.2000000,1050170
LKOH,D,20150302,000000,2989.0000000,3045.4000000,2976.0000000,3027.2000000,932917
LKOH,D,20150303,000000,3009.0000000,3099.5000000,2988.0000000,3009.5000000,1156616
LKOH,D,20150304,000000,3010.0000000,3037.0000000,2937.0000000,2955.0000000,1053096
LKOH,D,20150305,000000,2958.0000000,2977.2000000,2902.0000000,2915.0000000,1137433
LKOH,D,20150306,000000,2921.5000000,2924.0000000,2800.0000000,2800.0000000,1006194
LKOH,D,20150310,000000,2779.0000000,2800.9000000,2687.1000000,2699.0000000,1565646
LKOH,D,20150311,000000,2710.0000000,2784.3000000,2699.0000000,2726.9000000,1278048
LKOH,D,20150312,000000,2740.0000000,2765.0000000,2705.0000000,2733.9000000,892010
LKOH,D,20150313,000000,2733.9000000,2754.0000000,2651.0000000,2659.0000000,1164264
LKOH,D,20150316,000000,2652.9000000,2696.7000000,2625.0000000,2666.0000000,1597032
LKOH,D,20150317,000000,2680.0000000,2710.0000000,2667.0000000,2689.0000000,1098553
LKOH,D,20150318,000000,2693.9000000,2742.9000000,2683.9000000,2735.0000000,932976
LKOH,D,20150319,000000,2760.0000000,2773.9000000,2673.4000000,2689.8000000,1188094
LKOH,D,20150320,000000,2685.0000000,2766.4000000,2672.3000000,2710.0000000,1497304
LKOH,D,20150323,000000,2729.8000000,2746.9000000,2667.3000000,2679.9000000,906562
LKOH,D,20150324,000000,2685.5000000,2715.2000000,2647.6000000,2709.7000000,818707
LKOH,D,20150325,000000,2711.0000000,2718.8000000,2630.0000000,2697.3000000,1220040
LKOH,D,20150326,000000,2712.0000000,2753.0000000,2622.7000000,2623.0000000,1586623
LKOH,D,20150327,000000,2630.0000000,2655.0000000,2577.0000000,2577.0000000,706770
LKOH,D,20150330,000000,2577.1000000,2668.4000000,2577.0000000,2657.0000000,576627
LKOH,D,20150331,000000,2656.9000000,2705.0000000,2645.1000000,2705.0000000,827977
LKOH,D,20150401,000000,2695.3000000,2759.5000000,2675.2000000,2755.0000000,1136254
LKOH,D,20150402,000000,2750.5000000,2790.1000000,2723.8000000,2780.5000000,898975
LKOH,D,20150403,000000,2785.0000000,2831.1000000,2772.7000000,2824.8000000,446554
LKOH,D,20150406,000000,2824.8000000,2850.1000000,2791.0000000,2823.3000000,633584
LKOH,D,20150407,000000,2818.0000000,2826.9000000,2760.0000000,2790.0000000,1368895
LKOH,D,20150408,000000,2778.0000000,2778.3000000,2727.0000000,2755.0000000,813188
LKOH,D,20150409,000000,2744.3000000,2744.9000000,2660.5000000,2707.8000000,1398265
LKOH,D,20150410,000000,2706.9000000,2706.9000000,2600.0000000,2634.9000000,1465078
LKOH,D,20150413,000000,2655.0000000,2683.0000000,2612.0000000,2617.0000000,1241850
LKOH,D,20150414,000000,2622.0000000,2639.8000000,2546.0000000,2559.0000000,1306568
LKOH,D,20150415,000000,2558.9000000,2600.0000000,2532.1000000,2595.0000000,1090943
LKOH,D,20150416,000000,2600.0000000,2609.0000000,2541.1000000,2580.0000000,1373506
LKOH,D,20150417,000000,2580.9000000,2616.6000000,2562.0000000,2576.0000000,1516105
