<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MICEX,06/01/14,00:00,1503.39001,1503.39001,1503.39001,1503.39001,0
MICEX,06/01/14,10:00,1500.84998,1500.84998,1486.07996,1486.12000,589045
MICEX,06/01/14,10:10,1486.26001,1487.03003,1482.71997,1484.72998,309859
MICEX,06/01/14,10:20,1484.72998,1486.45996,1483.93994,1484.71997,318809
MICEX,06/01/14,10:30,1484.68005,1485.42004,1484.26001,1485.13000,176404
MICEX,06/01/14,10:40,1485.08997,1486.53003,1484.53003,1486.47998,254649
MICEX,06/01/14,10:50,1486.47998,1487.88000,1486.47998,1487.26001,270169
MICEX,06/01/14,11:00,1487.27002,1487.30005,1483.85999,1484.37000,498135
MICEX,06/01/14,11:10,1484.45996,1484.79004,1483.09998,1484.07996,293650
MICEX,06/01/14,11:20,1484.06995,1485.18994,1481.91003,1482.27002,431795
MICEX,06/01/14,11:30,1482.25000,1484.48999,1482.02002,1484.18994,257745
MICEX,06/01/14,11:40,1484.18994,1484.65002,1483.63000,1483.70996,90428
MICEX,06/01/14,11:50,1483.70996,1483.73999,1480.48999,1481.00000,213704
MICEX,06/01/14,12:00,1480.64001,1483.93005,1480.46997,1483.54004,239668
MICEX,06/01/14,12:10,1483.53003,1485.01001,1483.41003,1484.14001,218474
MICEX,06/01/14,12:20,1484.08997,1484.17004,1481.37000,1482.43005,513831
MICEX,06/01/14,12:30,1482.62000,1483.05005,1481.01001,1481.22998,417669
MICEX,06/01/14,12:40,1481.18994,1481.31006,1478.04004,1478.10999,486897
MICEX,06/01/14,12:50,1478.19995,1479.41003,1476.68994,1476.93994,735913
MICEX,06/01/14,13:00,1476.68005,1476.91003,1474.67004,1476.07996,592888
MICEX,06/01/14,13:10,1476.08997,1477.58997,1475.63000,1477.57996,332711
MICEX,06/01/14,13:20,1477.57996,1478.25000,1476.75000,1476.93005,575295
MICEX,06/01/14,13:30,1477.03003,1477.65002,1475.75000,1476.38000,372576
MICEX,06/01/14,13:40,1476.34998,1476.88000,1475.38000,1476.56006,290020
MICEX,06/01/14,13:50,1476.56006,1476.84998,1475.97998,1476.23999,178811
MICEX,06/01/14,14:00,1476.21997,1476.98999,1474.97998,1475.62000,214233
MICEX,06/01/14,14:10,1475.64001,1477.16003,1475.64001,1476.90002,110376
MICEX,06/01/14,14:20,1476.90002,1478.25000,1476.12000,1477.40002,257144
MICEX,06/01/14,14:30,1477.51001,1477.59998,1476.25000,1476.79004,175779
MICEX,06/01/14,14:40,1476.79004,1477.45996,1476.26001,1476.64001,151153
MICEX,06/01/14,14:50,1476.65002,1477.07996,1474.85999,1475.52002,191995
MICEX,06/01/14,15:00,1475.69995,1476.93994,1475.59998,1476.44995,152521
MICEX,06/01/14,15:10,1476.47998,1477.30005,1475.42004,1477.19995,154401
MICEX,06/01/14,15:20,1477.19995,1477.51001,1475.95996,1476.20996,132836
MICEX,06/01/14,15:30,1476.21997,1477.27002,1473.81995,1474.18005,461634
MICEX,06/01/14,15:40,1474.18005,1474.21997,1472.91003,1473.88000,387639
MICEX,06/01/14,15:50,1473.88000,1474.19995,1472.88000,1473.72998,202567
MICEX,06/01/14,16:00,1473.72998,1474.31995,1470.25000,1470.59998,428501
MICEX,06/01/14,16:10,1470.69995,1473.15002,1470.48999,1472.39001,358854
MICEX,06/01/14,16:20,1472.40002,1473.13000,1471.69995,1472.71997,176134
MICEX,06/01/14,16:30,1472.62000,1473.32996,1472.28003,1473.16003,186162
MICEX,06/01/14,16:40,1473.19995,1473.75000,1472.87000,1473.15002,175911
MICEX,06/01/14,16:50,1473.13000,1473.94995,1472.72998,1472.92004,147647
MICEX,06/01/14,17:00,1472.93994,1473.33997,1472.51001,1473.17004,275531
MICEX,06/01/14,17:10,1473.13000,1473.27002,1472.56006,1472.72998,231755
MICEX,06/01/14,17:20,1472.73999,1472.79004,1469.81995,1470.60999,510673
MICEX,06/01/14,17:30,1470.72998,1470.96997,1469.56995,1469.85999,237735
MICEX,06/01/14,17:40,1469.85999,1470.32996,1469.08997,1470.05005,177622
MICEX,06/01/14,17:50,1470.03003,1471.15002,1470.03003,1471.09998,208535
