<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MICEX,06/01/14,00:00,1503.39001,1503.39001,1463.75000,1463.75000,16899854
MICEX,08/01/14,00:00,1463.75000,1470.18994,1460.41003,1462.67004,16027209
MICEX,09/01/14,00:00,1462.67004,1470.64001,1460.98999,1464.94995,20056140
MICEX,10/01/14,00:00,1464.94995,1470.43005,1454.75000,1469.39001,26014306
MICEX,13/01/14,00:00,1469.39001,1482.43994,1466.51001,1477.28003,29596722
MICEX,14/01/14,00:00,1477.28003,1477.28003,1453.90002,1471.06006,31230996
MICEX,15/01/14,00:00,1471.06006,1487.81995,1471.06006,1485.77002,34588972
MICEX,16/01/14,00:00,1485.77002,1492.55005,1478.48999,1480.43005,30825692
MICEX,17/01/14,00:00,1480.43005,1495.05005,1475.29004,1484.84998,31481520
MICEX,20/01/14,00:00,1484.84998,1498.37000,1483.25000,1495.93994,23823874
MICEX,21/01/14,00:00,1495.93994,1507.07996,1495.93994,1503.59998,32920310
MICEX,22/01/14,00:00,1503.59998,1505.08997,1490.98999,1498.72998,42599588
MICEX,23/01/14,00:00,1498.72998,1511.68994,1493.79004,1493.79004,36924884
MICEX,24/01/14,00:00,1491.59998,1497.67004,1483.81995,1492.71997,50458496
MICEX,27/01/14,00:00,1490.20996,1495.27002,1476.27002,1477.87000,46236592
MICEX,28/01/14,00:00,1478.93005,1486.03003,1467.97998,1470.82996,39833132
MICEX,29/01/14,00:00,1473.52002,1494.40002,1459.96997,1463.10999,51739848
MICEX,30/01/14,00:00,1463.65002,1473.42004,1444.44995,1463.59998,52405228
MICEX,31/01/14,00:00,1462.59998,1470.56006,1448.38000,1454.05005,42264452
MICEX,03/02/14,00:00,1456.68005,1463.54004,1439.52002,1440.90002,32778246
MICEX,04/02/14,00:00,1435.51001,1442.62000,1426.29004,1441.79004,35953452
MICEX,05/02/14,00:00,1442.57996,1460.72998,1437.63000,1456.00000,32228722
MICEX,06/02/14,00:00,1456.00000,1469.06995,1454.43994,1463.95996,28543630
MICEX,07/02/14,00:00,1470.42004,1480.59998,1469.18994,1478.21997,30965552
MICEX,10/02/14,00:00,1479.31995,1485.31995,1475.66003,1475.90002,23411352
MICEX,11/02/14,00:00,1477.26001,1488.93994,1473.30005,1483.56995,26102578
MICEX,12/02/14,00:00,1487.58997,1498.62000,1487.58997,1498.07996,28049402
MICEX,13/02/14,00:00,1493.47998,1493.47998,1475.41003,1478.77002,28254062
MICEX,14/02/14,00:00,1483.19995,1497.93005,1482.28003,1494.31995,30474386
MICEX,17/02/14,00:00,1499.43994,1515.28003,1499.43994,1507.48999,28079414
MICEX,18/02/14,00:00,1507.78003,1518.12000,1500.42004,1504.23999,29676094
MICEX,19/02/14,00:00,1503.76001,1507.92004,1482.03003,1485.59998,42334868
MICEX,20/02/14,00:00,1478.97998,1482.40002,1467.54004,1480.98999,33694584
MICEX,21/02/14,00:00,1484.21997,1492.33997,1483.79004,1487.64001,23318948
MICEX,24/02/14,00:00,1486.69995,1491.77002,1480.03003,1489.01001,19772900
MICEX,25/02/14,00:00,1491.23999,1495.13000,1472.43994,1478.64001,28414020
MICEX,26/02/14,00:00,1480.31006,1486.10999,1465.21997,1469.51001,35931160
MICEX,27/02/14,00:00,1470.34998,1476.26001,1431.62000,1448.69995,52734828
MICEX,28/02/14,00:00,1449.38000,1456.43005,1429.28003,1444.70996,49924436
MICEX,03/03/14,00:00,1410.97998,1410.97998,1261.83997,1288.81006,114796600
MICEX,04/03/14,00:00,1292.43005,1365.20996,1292.43005,1356.54004,93980992
MICEX,05/03/14,00:00,1357.67004,1364.03003,1330.67004,1351.10999,51458668
MICEX,06/03/14,00:00,1352.37000,1370.35999,1301.95996,1337.97998,73730704
MICEX,07/03/14,00:00,1335.69995,1359.18005,1322.09998,1339.35999,49801952
MICEX,11/03/14,00:00,1334.95996,1334.95996,1304.35999,1308.69995,43995020
MICEX,12/03/14,00:00,1304.18005,1304.18005,1271.76001,1274.20996,51981016
MICEX,13/03/14,00:00,1279.79004,1285.89001,1247.79004,1248.56006,57982552
MICEX,14/03/14,00:00,1236.40002,1240.68994,1182.89001,1237.43005,82550968
MICEX,17/03/14,00:00,1237.52002,1288.30005,1237.52002,1283.69995,92223264
MICEX,18/03/14,00:00,1290.43994,1340.15002,1278.81995,1335.85999,71329120
MICEX,19/03/14,00:00,1334.87000,1352.40002,1312.51001,1319.02002,63037172
MICEX,20/03/14,00:00,1314.72998,1325.44995,1302.72998,1320.50000,42677768
MICEX,21/03/14,00:00,1315.33997,1315.33997,1270.63000,1307.33997,61637716
MICEX,24/03/14,00:00,1306.16003,1332.93005,1297.88000,1297.91003,42746228
MICEX,25/03/14,00:00,1298.42004,1332.76001,1289.26001,1324.43994,52552460
MICEX,26/03/14,00:00,1328.38000,1359.85999,1328.38000,1349.39001,58184268
