<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MICEX,06/01/14,00:00,1503.39001,1503.39001,1503.39001,1503.39001,0
MICEX,06/01/14,10:00,1500.84998,1500.84998,1482.71997,1487.26001,1918935
MICEX,06/01/14,11:00,1487.27002,1487.30005,1480.48999,1481.00000,1785457
MICEX,06/01/14,12:00,1480.64001,1485.01001,1476.68994,1476.93994,2612451
MICEX,06/01/14,13:00,1476.68005,1478.25000,1474.67004,1476.23999,2342302
MICEX,06/01/14,14:00,1476.21997,1478.25000,1474.85999,1475.52002,1100680
MICEX,06/01/14,15:00,1475.69995,1477.51001,1472.88000,1473.72998,1491599
MICEX,06/01/14,16:00,1473.72998,1474.31995,1470.25000,1472.92004,1473209
MICEX,06/01/14,17:00,1472.93994,1473.33997,1469.08997,1471.09998,1641851
MICEX,06/01/14,18:00,1471.09998,1471.51001,1465.01001,1466.15002,2533195
MICEX,06/01/14,20:00,1465.98999,1465.98999,1464.56006,1464.56006,27
MICEX,06/01/14,22:00,1464.73999,1464.73999,1464.73999,1464.73999,1
MICEX,06/01/14,23:00,1464.73999,1464.73999,1463.75000,1463.75000,146
MICEX,08/01/14,00:00,1463.75000,1463.75000,1463.75000,1463.75000,0
MICEX,08/01/14,10:00,1468.65002,1470.18994,1462.19995,1463.77002,2438487
MICEX,08/01/14,11:00,1463.46997,1468.06006,1462.22998,1467.31995,1437020
MICEX,08/01/14,12:00,1467.32996,1469.56006,1467.00000,1467.83997,2086031
MICEX,08/01/14,13:00,1467.93005,1468.44995,1466.72998,1467.62000,1254494
MICEX,08/01/14,14:00,1467.63000,1469.19995,1466.97998,1468.64001,1489034
MICEX,08/01/14,15:00,1468.58997,1470.05005,1467.17004,1467.78003,1212382
MICEX,08/01/14,16:00,1467.80005,1468.54004,1466.56006,1466.64001,900818
MICEX,08/01/14,17:00,1466.78003,1466.97998,1462.94995,1465.01001,2002246
MICEX,08/01/14,18:00,1465.01001,1465.08997,1460.41003,1462.67004,3206697
MICEX,08/01/14,19:00,1462.67004,1462.67004,1462.67004,1462.67004,0
MICEX,09/01/14,00:00,1462.67004,1462.67004,1462.67004,1462.67004,0
MICEX,09/01/14,10:00,1462.93994,1465.02002,1460.98999,1464.92004,2400538
MICEX,09/01/14,11:00,1464.89001,1465.90002,1462.45996,1463.32996,2223835
MICEX,09/01/14,12:00,1463.35999,1468.40002,1463.27002,1466.78003,3997447
MICEX,09/01/14,13:00,1466.78003,1468.93005,1465.87000,1468.34998,1936300
MICEX,09/01/14,14:00,1468.34998,1469.93994,1466.97998,1469.93994,1451328
MICEX,09/01/14,15:00,1469.93005,1470.64001,1468.12000,1468.54004,1380105
MICEX,09/01/14,16:00,1468.51001,1468.94995,1464.83997,1464.89001,1618396
MICEX,09/01/14,17:00,1464.90002,1467.84998,1464.25000,1466.22998,2453278
MICEX,09/01/14,18:00,1466.19995,1466.92004,1464.47998,1465.14001,2594896
MICEX,09/01/14,19:00,1465.73999,1465.73999,1465.73999,1465.73999,10
MICEX,09/01/14,20:00,1465.64001,1465.64001,1465.14001,1465.14001,2
MICEX,09/01/14,21:00,1465.33997,1465.33997,1465.33997,1465.33997,0
MICEX,09/01/14,23:00,1464.94995,1464.94995,1464.94995,1464.94995,5
MICEX,10/01/14,00:00,1464.94995,1464.94995,1464.94995,1464.94995,0
MICEX,10/01/14,10:00,1464.00000,1464.00000,1456.81995,1458.70996,2468574
MICEX,10/01/14,11:00,1458.75000,1459.75000,1454.75000,1456.77002,2326381
MICEX,10/01/14,12:00,1456.75000,1459.19995,1455.41003,1457.89001,3444204
MICEX,10/01/14,13:00,1457.78003,1458.12000,1456.35999,1457.45996,1326495
MICEX,10/01/14,14:00,1457.46997,1458.72998,1456.97998,1458.35999,1903944
MICEX,10/01/14,15:00,1458.38000,1464.02002,1457.51001,1462.09998,2304193
MICEX,10/01/14,16:00,1462.04004,1469.51001,1461.44995,1469.50000,3435029
MICEX,10/01/14,17:00,1469.52002,1470.28003,1461.50000,1466.91003,4486919
MICEX,10/01/14,18:00,1466.89001,1470.43005,1464.84998,1469.18994,4318566
MICEX,10/01/14,19:00,1469.18994,1469.18994,1469.18994,1469.18994,0
MICEX,10/01/14,20:00,1469.39001,1469.39001,1469.39001,1469.39001,2
