<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NASDAQ.AAPL,03/01/12,00:00,409.51001,412.48999,409.00000,410.89999,1118932
NASDAQ.AAPL,04/01/12,00:00,410.20999,414.64999,409.38000,413.42999,911342
NASDAQ.AAPL,05/01/12,00:00,414.98999,418.54999,412.70001,418.06000,1144960
NASDAQ.AAPL,06/01/12,00:00,419.79999,422.67001,419.23001,422.45001,1142210
NASDAQ.AAPL,09/01/12,00:00,425.71500,427.75000,421.37000,421.67999,1310388
NASDAQ.AAPL,10/01/12,00:00,425.95499,426.00000,421.54001,424.53000,880052
NASDAQ.AAPL,11/01/12,00:00,422.67999,422.84000,419.31000,422.54999,745556
NASDAQ.AAPL,12/01/12,00:00,422.28000,422.82999,418.76001,421.35999,489342
NASDAQ.AAPL,13/01/12,00:00,419.29001,420.42999,418.72000,419.98001,768572
NASDAQ.AAPL,17/01/12,00:00,424.03000,425.98999,423.00000,424.75000,732838
NASDAQ.AAPL,18/01/12,00:00,426.82999,429.09000,426.31000,429.09000,448951
NASDAQ.AAPL,19/01/12,00:00,430.17001,431.32999,426.57001,427.66000,827769
NASDAQ.AAPL,20/01/12,00:00,427.35999,427.45999,419.76001,420.28000,1236422
NASDAQ.AAPL,23/01/12,00:00,422.82501,428.44000,422.32001,427.57999,821345
NASDAQ.AAPL,24/01/12,00:00,424.85999,424.98999,419.66000,420.48001,965694
NASDAQ.AAPL,25/01/12,00:00,454.19000,454.23999,443.78000,446.88000,3119178
NASDAQ.AAPL,26/01/12,00:00,448.26999,448.76999,443.14999,444.64999,864927
NASDAQ.AAPL,27/01/12,00:00,444.42999,448.47000,444.08499,447.41000,793118
NASDAQ.AAPL,30/01/12,00:00,445.70999,453.89001,445.42001,453.00000,1056031
NASDAQ.AAPL,31/01/12,00:00,455.73999,458.23999,453.10999,456.39001,859827
NASDAQ.AAPL,01/02/12,00:00,458.41000,458.98999,455.56000,456.17999,794507
NASDAQ.AAPL,02/02/12,00:00,456.20999,457.10001,453.98001,455.00000,602554
NASDAQ.AAPL,03/02/12,00:00,457.44000,460.00000,455.64999,459.42999,812877
NASDAQ.AAPL,06/02/12,00:00,458.39001,464.97000,458.23001,463.95001,761090
NASDAQ.AAPL,07/02/12,00:00,465.48001,469.73999,464.60999,468.79999,887798
NASDAQ.AAPL,08/02/12,00:00,470.50000,476.79001,469.76001,476.62000,1212262
NASDAQ.AAPL,09/02/12,00:00,480.88000,496.69000,480.88000,493.19000,2461358
NASDAQ.AAPL,10/02/12,00:00,490.81000,497.60001,488.56000,493.54001,1829818
NASDAQ.AAPL,13/02/12,00:00,499.76999,503.79001,497.10999,502.51999,1323293
NASDAQ.AAPL,14/02/12,00:00,504.48999,509.53000,502.00000,509.38000,1151535
NASDAQ.AAPL,15/02/12,00:00,514.26001,526.27002,496.91000,497.53000,4150159
NASDAQ.AAPL,16/02/12,00:00,491.32001,504.85999,486.64999,502.41000,2259728
NASDAQ.AAPL,17/02/12,00:00,503.10999,507.76999,500.35001,502.10999,1399937
NASDAQ.AAPL,21/02/12,00:00,507.06000,514.79999,504.12000,514.67999,1215579
NASDAQ.AAPL,22/02/12,00:00,512.98999,515.46503,509.14001,513.00000,1070780
NASDAQ.AAPL,23/02/12,00:00,515.13000,517.75000,509.54999,516.46002,1439460
NASDAQ.AAPL,24/02/12,00:00,519.75000,522.88501,518.78003,522.53998,1046617
NASDAQ.AAPL,27/02/12,00:00,521.23999,528.45001,516.31000,525.84003,1433755
NASDAQ.AAPL,28/02/12,00:00,527.73999,535.38000,525.85999,535.38000,1372718
NASDAQ.AAPL,29/02/12,00:00,541.37000,547.58002,535.75000,542.28003,2353702
NASDAQ.AAPL,01/03/12,00:00,548.19000,548.20001,538.78003,544.40997,1679457
NASDAQ.AAPL,02/03/12,00:00,544.23999,546.77002,542.56000,545.16998,1232216
NASDAQ.AAPL,05/03/12,00:00,545.75000,547.39001,526.01001,533.13000,1600183
