<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NASDAQ.AAPL,03/01/12,17:00,409.51001,411.62500,409.00000,411.25000,247267
NASDAQ.AAPL,03/01/12,18:00,411.28000,412.48999,410.22000,410.82999,214231
NASDAQ.AAPL,03/01/12,19:00,410.97000,411.42999,410.75000,410.78500,97640
NASDAQ.AAPL,03/01/12,20:00,410.75000,411.07999,409.56000,409.79501,98017
NASDAQ.AAPL,03/01/12,21:00,409.81000,410.89999,409.24500,410.89999,126641
NASDAQ.AAPL,03/01/12,22:00,410.85001,411.76001,410.50000,411.76001,128022
NASDAQ.AAPL,03/01/12,23:00,411.75000,412.01999,410.70999,410.89999,207114
NASDAQ.AAPL,04/01/12,17:00,410.20999,411.50000,409.38000,410.85001,112707
NASDAQ.AAPL,04/01/12,18:00,410.73001,411.00000,409.39999,410.89999,153434
NASDAQ.AAPL,04/01/12,19:00,410.85001,413.50000,410.73001,413.10001,158459
NASDAQ.AAPL,04/01/12,20:00,413.04999,414.64999,412.98999,414.48001,122448
NASDAQ.AAPL,04/01/12,21:00,414.48999,414.48999,413.04999,414.14001,115938
NASDAQ.AAPL,04/01/12,22:00,414.10001,414.17001,413.01001,413.75000,84336
NASDAQ.AAPL,04/01/12,23:00,413.76999,414.32999,412.67999,413.42999,164020
NASDAQ.AAPL,05/01/12,17:00,414.98999,415.62000,412.70001,414.56000,209186
NASDAQ.AAPL,05/01/12,18:00,414.37000,415.35001,413.89999,414.56000,207094
NASDAQ.AAPL,05/01/12,19:00,414.51001,415.35999,414.19000,415.14999,112679
NASDAQ.AAPL,05/01/12,20:00,415.06000,416.32999,414.95001,416.10001,133189
NASDAQ.AAPL,05/01/12,21:00,416.12000,417.89999,416.08499,417.85001,143800
NASDAQ.AAPL,05/01/12,22:00,417.81000,418.50000,416.82999,417.03000,159630
NASDAQ.AAPL,05/01/12,23:00,417.07001,418.54999,416.70999,418.06000,179382
NASDAQ.AAPL,06/01/12,17:00,419.79999,421.47000,419.23001,420.09000,295948
NASDAQ.AAPL,06/01/12,18:00,420.07999,421.26001,419.70001,420.42999,181716
NASDAQ.AAPL,06/01/12,19:00,420.42001,421.20999,420.41000,420.70999,99492
NASDAQ.AAPL,06/01/12,20:00,420.59000,421.04999,420.29999,420.79999,90955
NASDAQ.AAPL,06/01/12,21:00,420.75000,421.78000,420.54001,421.70001,85922
NASDAQ.AAPL,06/01/12,22:00,421.73001,422.48999,421.28000,421.89999,187087
NASDAQ.AAPL,06/01/12,23:00,421.89999,422.67001,421.35001,422.45001,201090
NASDAQ.AAPL,09/01/12,17:00,425.71500,426.76999,424.57001,426.07001,250352
NASDAQ.AAPL,09/01/12,18:00,426.12000,427.75000,425.39001,425.95001,304097
NASDAQ.AAPL,09/01/12,19:00,425.89001,425.98001,422.89001,422.98001,181597
NASDAQ.AAPL,09/01/12,20:00,423.03000,424.25000,421.37000,423.98001,181403
NASDAQ.AAPL,09/01/12,21:00,424.16000,424.25000,423.12000,423.38000,83635
NASDAQ.AAPL,09/01/12,22:00,423.35001,424.98999,422.50000,423.17001,136225
NASDAQ.AAPL,09/01/12,23:00,423.19000,423.76501,421.51999,421.67999,173079
NASDAQ.AAPL,10/01/12,17:00,425.95499,426.00000,423.60999,424.41000,169029
NASDAQ.AAPL,10/01/12,18:00,424.48999,425.56000,423.89001,424.51999,140573
NASDAQ.AAPL,10/01/12,19:00,424.51999,424.95999,423.35001,423.35001,81873
NASDAQ.AAPL,10/01/12,20:00,423.32999,423.67001,421.54001,422.07999,188692
NASDAQ.AAPL,10/01/12,21:00,422.07001,423.87500,421.70999,423.23999,118010
NASDAQ.AAPL,10/01/12,22:00,423.17999,423.85001,422.89999,423.51999,77372
NASDAQ.AAPL,10/01/12,23:00,423.54001,423.95001,422.63000,423.12000,104403
NASDAQ.AAPL,11/01/12,01:00,424.53000,424.53000,424.53000,424.53000,100
NASDAQ.AAPL,11/01/12,17:00,422.67999,422.67999,419.73999,420.09000,130473
NASDAQ.AAPL,11/01/12,18:00,420.07999,422.25000,419.31000,421.12000,176054
NASDAQ.AAPL,11/01/12,19:00,421.12000,421.35999,420.07001,420.95999,79880
NASDAQ.AAPL,11/01/12,20:00,420.91000,421.16000,420.29999,420.54001,69492
NASDAQ.AAPL,11/01/12,21:00,420.67001,421.79001,420.60999,421.04001,80771
NASDAQ.AAPL,11/01/12,22:00,421.23001,421.85001,421.06000,421.44000,57008
NASDAQ.AAPL,11/01/12,23:00,421.39001,422.84000,421.26001,422.54999,151878
NASDAQ.AAPL,12/01/12,17:00,422.28000,422.82999,420.25000,421.35999,77000
NASDAQ.AAPL,12/01/12,18:00,421.59000,421.91000,418.76001,419.84000,139201
NASDAQ.AAPL,12/01/12,19:00,419.85999,421.13000,419.70999,420.50000,60735
NASDAQ.AAPL,12/01/12,20:00,420.53000,421.45999,420.29001,421.37000,49426
NASDAQ.AAPL,12/01/12,21:00,421.41000,421.73999,420.73999,421.45999,48840
NASDAQ.AAPL,12/01/12,22:00,421.39001,422.31000,421.07001,421.95001,44603
NASDAQ.AAPL,12/01/12,23:00,421.91000,421.94000,421.01999,421.35999,69537
NASDAQ.AAPL,13/01/12,17:00,419.29001,420.42999,418.72000,419.54001,117279
NASDAQ.AAPL,13/01/12,18:00,419.50000,420.13000,418.79999,419.23001,158552
NASDAQ.AAPL,13/01/12,19:00,419.20999,420.22000,418.92999,419.84000,87992
NASDAQ.AAPL,13/01/12,20:00,419.84000,419.85001,419.06000,419.67999,54158
NASDAQ.AAPL,13/01/12,21:00,419.54001,419.66000,419.00000,419.26001,101184
NASDAQ.AAPL,13/01/12,22:00,419.34000,419.81000,419.13000,419.53000,75576
NASDAQ.AAPL,13/01/12,23:00,419.53500,420.20001,419.38000,419.98001,173631
NASDAQ.AAPL,14/01/12,00:00,419.98001,419.98001,419.98001,419.98001,200
NASDAQ.AAPL,17/01/12,17:00,424.03000,425.17999,423.41000,424.91000,126879
NASDAQ.AAPL,17/01/12,18:00,424.95001,425.79999,424.48999,425.54001,159859
NASDAQ.AAPL,17/01/12,19:00,425.54001,425.98999,425.45001,425.82999,104423
NASDAQ.AAPL,17/01/12,20:00,425.85001,425.94000,425.20001,425.50000,58285
NASDAQ.AAPL,17/01/12,21:00,425.50000,425.64999,425.23001,425.26999,67258
NASDAQ.AAPL,17/01/12,22:00,425.26001,425.26999,423.50000,423.92999,94130
NASDAQ.AAPL,17/01/12,23:00,423.94000,424.82999,423.00000,424.75000,121804
NASDAQ.AAPL,18/01/12,00:00,424.75000,424.75000,424.75000,424.75000,200
NASDAQ.AAPL,18/01/12,17:00,426.82999,428.07999,426.31000,426.89999,209047
NASDAQ.AAPL,18/01/12,18:00,426.98999,427.89001,426.79999,427.14999,152563
NASDAQ.AAPL,18/01/12,19:00,427.16000,427.48001,426.82001,427.23001,39133
NASDAQ.AAPL,18/01/12,20:00,426.95999,427.98999,426.95999,427.98999,4570
NASDAQ.AAPL,18/01/12,21:00,428.26999,428.42999,427.89999,428.04999,41578
NASDAQ.AAPL,18/01/12,22:00,428.01999,428.07001,428.00000,428.07001,1960
NASDAQ.AAPL,19/01/12,00:00,429.09000,429.09000,429.09000,429.09000,100
NASDAQ.AAPL,19/01/12,17:00,430.17001,431.32999,428.91000,429.32999,191785
NASDAQ.AAPL,19/01/12,18:00,429.25500,429.95001,428.20999,429.60999,177798
NASDAQ.AAPL,19/01/12,19:00,429.60001,430.06000,429.01999,429.32001,115705
NASDAQ.AAPL,19/01/12,20:00,429.33499,429.60001,428.75000,428.89999,60883
NASDAQ.AAPL,19/01/12,21:00,428.89999,429.39999,428.82999,429.34500,47348
NASDAQ.AAPL,19/01/12,22:00,429.26999,429.76001,428.87000,429.12000,63872
NASDAQ.AAPL,19/01/12,23:00,429.01001,429.32001,426.57001,427.66000,170378
NASDAQ.AAPL,20/01/12,17:00,427.35999,427.45999,423.23001,424.54999,192751
NASDAQ.AAPL,20/01/12,18:00,424.60001,424.98001,424.17001,424.48001,166608
NASDAQ.AAPL,20/01/12,19:00,424.47000,424.53000,423.66000,424.00000,120116
NASDAQ.AAPL,20/01/12,20:00,424.00000,424.07999,423.92999,423.95999,77052
NASDAQ.AAPL,20/01/12,21:00,423.95001,424.04001,421.17001,421.20001,124330
NASDAQ.AAPL,20/01/12,22:00,421.23001,422.07999,419.76001,420.45999,278626
NASDAQ.AAPL,20/01/12,23:00,420.53000,421.60999,420.00000,420.28000,276939
NASDAQ.AAPL,23/01/12,17:00,422.82501,427.57999,422.32001,426.70001,137739
