<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NASDAQ.GOOG,03/01/12,17:00,652.94000,661.40002,652.92999,658.84003,24510
NASDAQ.GOOG,03/01/12,18:00,659.00000,659.77002,658.59998,659.22998,35474
NASDAQ.GOOG,03/01/12,19:00,659.20001,661.71997,658.65002,661.08002,25951
NASDAQ.GOOG,03/01/12,20:00,661.14001,661.65997,658.65002,659.29999,22485
NASDAQ.GOOG,03/01/12,21:00,659.27002,659.78003,658.07001,659.48999,21200
NASDAQ.GOOG,03/01/12,22:00,659.47998,664.64001,659.34998,664.64001,44156
NASDAQ.GOOG,03/01/12,23:00,664.66998,668.07001,664.15002,664.96002,86934
NASDAQ.GOOG,04/01/12,17:00,665.20001,669.25000,661.53998,662.19000,27845
NASDAQ.GOOG,04/01/12,18:00,661.58002,663.48999,660.73999,663.41998,34775
NASDAQ.GOOG,04/01/12,19:00,663.33502,667.09998,662.86499,666.01001,28069
NASDAQ.GOOG,04/01/12,20:00,666.78003,669.98999,666.72498,669.98999,15998
NASDAQ.GOOG,04/01/12,21:00,669.88000,669.88000,665.90002,667.87000,15385
NASDAQ.GOOG,04/01/12,22:00,667.75000,668.32001,666.40002,667.81000,12294
NASDAQ.GOOG,04/01/12,23:00,667.69000,668.20001,665.37000,668.01001,33819
NASDAQ.GOOG,05/01/12,17:00,662.13000,663.95001,659.08002,661.75000,64182
NASDAQ.GOOG,05/01/12,18:00,661.40002,663.38000,658.85999,660.40997,72233
NASDAQ.GOOG,05/01/12,19:00,660.51001,661.45001,659.21997,660.76001,24081
NASDAQ.GOOG,05/01/12,20:00,660.72998,661.14001,656.25000,659.00500,44258
NASDAQ.GOOG,05/01/12,21:00,658.94000,661.89001,658.64001,658.73999,33328
NASDAQ.GOOG,05/01/12,22:00,658.82001,659.77002,658.19000,658.94000,22662
NASDAQ.GOOG,05/01/12,23:00,658.84998,660.15997,658.03003,659.00000,42751
NASDAQ.GOOG,06/01/12,17:00,659.82001,659.90002,652.67999,654.66998,34249
NASDAQ.GOOG,06/01/12,18:00,654.45001,655.10999,651.78003,654.12000,53144
NASDAQ.GOOG,06/01/12,19:00,654.23999,655.06000,653.50000,654.51001,20822
NASDAQ.GOOG,06/01/12,20:00,654.40002,654.71002,652.50000,653.19000,14631
NASDAQ.GOOG,06/01/12,21:00,653.25000,653.62000,652.33002,652.53003,28541
NASDAQ.GOOG,06/01/12,22:00,652.70001,653.40997,651.37000,651.82001,23397
NASDAQ.GOOG,06/01/12,23:00,651.88000,651.96997,649.81000,649.97998,52101
NASDAQ.GOOG,09/01/12,17:00,646.51001,646.71002,637.53998,638.84003,58663
NASDAQ.GOOG,09/01/12,18:00,638.79999,639.70001,628.38000,630.97998,115213
NASDAQ.GOOG,09/01/12,19:00,630.91998,630.91998,626.07001,626.38000,68298
NASDAQ.GOOG,09/01/12,20:00,626.63000,627.82001,625.32001,626.75000,61450
NASDAQ.GOOG,09/01/12,21:00,627.48999,628.87500,624.60999,624.98999,29011
NASDAQ.GOOG,09/01/12,22:00,625.12000,626.78998,623.40002,626.64001,41887
NASDAQ.GOOG,09/01/12,23:00,626.34003,626.70001,621.29999,622.82001,126702
NASDAQ.GOOG,10/01/12,17:00,629.79999,633.77002,628.25000,629.13000,60123
NASDAQ.GOOG,10/01/12,18:00,629.14502,629.27002,618.94501,619.40002,93892
NASDAQ.GOOG,10/01/12,19:00,619.26001,621.94000,616.96002,617.88000,69689
NASDAQ.GOOG,10/01/12,20:00,618.21997,621.28998,617.32001,621.28998,42696
NASDAQ.GOOG,10/01/12,21:00,621.08002,622.96002,619.29999,622.71002,32184
NASDAQ.GOOG,10/01/12,22:00,622.69000,627.89001,621.53998,626.44000,41973
NASDAQ.GOOG,10/01/12,23:00,626.17999,626.37000,622.52002,622.94000,40459
NASDAQ.GOOG,11/01/12,01:00,619.07501,619.10999,619.07501,619.10999,600
NASDAQ.GOOG,11/01/12,17:00,623.50000,627.44000,622.34998,622.72998,37571
NASDAQ.GOOG,11/01/12,18:00,621.85999,628.90002,621.21002,626.17999,48273
NASDAQ.GOOG,11/01/12,19:00,626.40997,629.39001,625.83502,626.52002,24878
NASDAQ.GOOG,11/01/12,20:00,626.41998,626.81000,624.20001,624.69000,12413
NASDAQ.GOOG,11/01/12,21:00,625.22998,626.39502,624.70001,625.60999,15703
NASDAQ.GOOG,11/01/12,22:00,625.63000,626.07001,624.38000,625.46997,14466
NASDAQ.GOOG,11/01/12,23:00,625.20001,627.83002,625.13000,625.84998,26455
