<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NASDAQ.GOOG,03/01/14,18:30,1115.27002,1116.58997,1112.79004,1116.33997,2756
NASDAQ.GOOG,03/01/14,18:40,1116.00000,1116.25000,1114.76001,1115.52002,2433
NASDAQ.GOOG,03/01/14,18:50,1115.15002,1115.15002,1114.04004,1114.18994,1300
NASDAQ.GOOG,03/01/14,19:00,1113.78003,1114.34998,1112.18994,1112.18994,1402
NASDAQ.GOOG,03/01/14,19:10,1112.98999,1112.98999,1111.54004,1112.06006,1992
NASDAQ.GOOG,03/01/14,19:20,1111.81995,1112.64001,1111.56006,1112.64001,1100
NASDAQ.GOOG,03/01/14,19:30,1112.51001,1114.04004,1112.51001,1113.88000,900
NASDAQ.GOOG,03/01/14,19:40,1114.02002,1115.32996,1114.02002,1114.06995,3000
NASDAQ.GOOG,03/01/14,19:50,1114.00000,1115.14001,1114.00000,1115.00000,1000
NASDAQ.GOOG,03/01/14,20:00,1114.68005,1114.68005,1113.68005,1113.68005,900
NASDAQ.GOOG,03/01/14,20:10,1113.00000,1113.38000,1112.39001,1112.39001,2522
NASDAQ.GOOG,03/01/14,20:20,1112.29004,1113.05005,1112.00000,1112.09998,1803
NASDAQ.GOOG,03/01/14,20:30,1112.78003,1112.78003,1111.00000,1111.45996,1309
NASDAQ.GOOG,03/01/14,20:40,1111.45996,1111.45996,1109.51001,1109.68005,3085
NASDAQ.GOOG,03/01/14,20:50,1109.51001,1109.51001,1105.34998,1105.64001,2908
NASDAQ.GOOG,03/01/14,21:00,1105.65002,1108.25000,1105.65002,1107.93994,2414
NASDAQ.GOOG,03/01/14,21:10,1108.93994,1108.93994,1107.41003,1107.41003,1068
NASDAQ.GOOG,03/01/14,21:20,1107.93005,1107.98999,1107.78003,1107.98999,300
NASDAQ.GOOG,03/01/14,21:30,1108.20996,1108.93005,1108.10999,1108.93005,3216
NASDAQ.GOOG,03/01/14,21:40,1108.93994,1109.08997,1108.60999,1108.70996,696
