<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NASDAQ.GOOG,03/01/14,00:00,1115.27002,1116.58997,1104.93994,1105.20996,70841
NASDAQ.GOOG,06/01/14,00:00,1113.03003,1118.75000,1106.88000,1117.58997,65539
NASDAQ.GOOG,07/01/14,00:00,1124.00000,1139.67004,1121.33997,1139.31995,101648
NASDAQ.GOOG,08/01/14,00:00,1146.48999,1146.73999,1133.56006,1140.10999,92579
NASDAQ.GOOG,09/01/14,00:00,1143.14001,1143.14001,1125.66003,1130.16003,109579
NASDAQ.GOOG,10/01/14,00:00,1138.62000,1138.62000,1122.29004,1130.18994,140804
NASDAQ.GOOG,13/01/14,00:00,1126.46997,1146.02002,1117.39001,1123.32996,111400
NASDAQ.GOOG,14/01/14,00:00,1137.94995,1150.85999,1128.34998,1149.51001,91494
NASDAQ.GOOG,15/01/14,00:00,1153.34998,1154.72998,1144.25000,1148.09998,83463
NASDAQ.GOOG,16/01/14,00:00,1149.57996,1157.81006,1148.65002,1156.06995,74972
NASDAQ.GOOG,17/01/14,00:00,1156.65002,1160.53003,1144.25000,1151.37000,112445
NASDAQ.GOOG,21/01/14,00:00,1160.91003,1163.97998,1151.53003,1163.22998,72927
NASDAQ.GOOG,22/01/14,00:00,1166.60999,1167.25000,1159.19995,1165.01001,74141
NASDAQ.GOOG,23/01/14,00:00,1160.00000,1162.48999,1154.63000,1155.19995,63105
NASDAQ.GOOG,24/01/14,00:00,1151.76001,1153.15002,1123.40002,1124.42004,212501
NASDAQ.GOOG,27/01/14,00:00,1126.09998,1126.15002,1082.43005,1101.71997,190651
NASDAQ.GOOG,28/01/14,00:00,1110.32996,1124.90002,1110.09998,1122.64001,60319
NASDAQ.GOOG,29/01/14,00:00,1119.09998,1120.16003,1099.95996,1107.53003,68711
NASDAQ.GOOG,30/01/14,00:00,1144.28003,1152.25000,1127.25000,1134.56006,122785
NASDAQ.GOOG,31/01/14,00:00,1171.38000,1186.50000,1152.78003,1180.91003,260031
NASDAQ.GOOG,03/02/14,00:00,1178.31006,1181.32996,1132.13000,1133.81995,210004
NASDAQ.GOOG,04/02/14,00:00,1137.52002,1154.06995,1137.03003,1138.18005,106249
NASDAQ.GOOG,05/02/14,00:00,1143.38000,1150.44995,1128.68005,1144.08997,82597
NASDAQ.GOOG,06/02/14,00:00,1149.84998,1159.96997,1148.31006,1159.50000,61814
NASDAQ.GOOG,07/02/14,00:00,1167.29004,1177.13000,1160.95996,1177.13000,133765
NASDAQ.GOOG,10/02/14,00:00,1171.68994,1182.21997,1169.37000,1172.48999,69033
NASDAQ.GOOG,11/02/14,00:00,1179.06006,1191.43005,1172.76001,1189.63000,85776
NASDAQ.GOOG,12/02/14,00:00,1188.02002,1189.93994,1181.42004,1185.83997,53540
NASDAQ.GOOG,13/02/14,00:00,1181.43005,1199.64001,1179.66003,1199.58997,76974
NASDAQ.GOOG,14/02/14,00:00,1196.63000,1204.32996,1192.81006,1203.09998,108871
NASDAQ.GOOG,18/02/14,00:00,1201.56995,1212.60999,1200.52002,1210.18994,43277
NASDAQ.GOOG,19/02/14,00:00,1204.10999,1208.98999,1197.67004,1202.68994,65583
NASDAQ.GOOG,20/02/14,00:00,1204.06995,1206.41003,1200.26001,1203.26001,82273
NASDAQ.GOOG,21/02/14,00:00,1207.92004,1207.93994,1203.00000,1203.43005,91296
NASDAQ.GOOG,24/02/14,00:00,1205.81995,1220.16003,1205.46997,1212.58997,53323
NASDAQ.GOOG,25/02/14,00:00,1214.38000,1224.37000,1210.68005,1219.90002,55047
NASDAQ.GOOG,26/02/14,00:00,1224.03003,1228.73999,1214.28003,1220.35999,63237
NASDAQ.GOOG,27/02/14,00:00,1217.84998,1224.17004,1217.45996,1219.91003,53617
NASDAQ.GOOG,28/02/14,00:00,1217.71997,1224.02002,1206.50000,1215.27002,90639
NASDAQ.GOOG,03/03/14,00:00,1206.10999,1207.48999,1192.14001,1200.39001,79154
NASDAQ.GOOG,04/03/14,00:00,1215.00000,1215.63000,1209.71997,1214.51001,43480
NASDAQ.GOOG,05/03/14,00:00,1215.14001,1223.00000,1211.95996,1218.76001,56598
NASDAQ.GOOG,06/03/14,00:00,1222.28003,1226.09998,1218.85999,1219.59998,48959
NASDAQ.GOOG,07/03/14,00:00,1226.55005,1226.55005,1211.48999,1214.85999,79009
NASDAQ.GOOG,10/03/14,00:00,1215.34998,1217.33997,1204.88000,1212.37000,45652
NASDAQ.GOOG,11/03/14,00:00,1213.77002,1213.77002,1196.79004,1200.10999,63181
NASDAQ.GOOG,12/03/14,00:00,1194.39001,1207.81006,1184.18994,1206.59998,85399
NASDAQ.GOOG,13/03/14,00:00,1207.94995,1209.98999,1185.00000,1188.82996,106291
NASDAQ.GOOG,14/03/14,00:00,1180.78003,1190.87000,1172.96997,1172.96997,104151
NASDAQ.GOOG,17/03/14,00:00,1178.81995,1196.98999,1178.56995,1192.60999,80859
NASDAQ.GOOG,18/03/14,00:00,1194.80005,1210.94995,1194.44995,1210.60999,59152
NASDAQ.GOOG,19/03/14,00:00,1211.55005,1211.55005,1194.70996,1199.59998,69168
NASDAQ.GOOG,20/03/14,00:00,1199.46997,1209.34998,1195.56995,1197.31006,67995
NASDAQ.GOOG,21/03/14,00:00,1203.71997,1205.64001,1183.03003,1183.03003,77859
NASDAQ.GOOG,24/03/14,00:00,1184.27002,1184.87000,1146.56006,1159.09998,107713
NASDAQ.GOOG,25/03/14,00:00,1166.66003,1169.00000,1147.18994,1158.77002,84067
NASDAQ.GOOG,26/03/14,00:00,1161.93994,1171.01001,1132.83997,1133.10999,83624
NASDAQ.GOOG,27/03/14,00:00,1131.39001,1131.85999,1102.57996,1114.58997,148682
NASDAQ.GOOG,28/03/14,00:00,1121.17004,1133.18994,1117.87000,1119.67004,96288
NASDAQ.GOOG,31/03/14,00:00,1130.42004,1134.90002,1112.92004,1115.50000,63260
NASDAQ.GOOG,01/04/14,00:00,1118.81995,1137.43994,1118.50000,1135.76001,109263
NASDAQ.GOOG,02/04/14,00:00,1141.45996,1144.31995,1124.81006,1135.46997,87998
NASDAQ.GOOG,03/04/14,00:00,570.78998,587.20001,564.22998,569.63000,218709
NASDAQ.GOOG,04/04/14,00:00,574.64001,576.41998,543.03003,543.28003,202247
NASDAQ.GOOG,07/04/14,00:00,540.73999,548.44000,527.35999,538.12000,157300
NASDAQ.GOOG,08/04/14,00:00,542.15997,555.00000,542.10999,555.00000,132667
NASDAQ.GOOG,09/04/14,00:00,559.39001,565.25000,553.06000,564.17999,132680
NASDAQ.GOOG,10/04/14,00:00,564.65002,564.77002,539.90997,542.03003,130459
NASDAQ.GOOG,11/04/14,00:00,532.78003,539.98999,527.00000,530.77002,126429
NASDAQ.GOOG,14/04/14,00:00,538.50000,544.00000,530.16998,532.13000,75913
NASDAQ.GOOG,15/04/14,00:00,537.34003,538.37000,518.59998,536.31000,137455
NASDAQ.GOOG,16/04/14,00:00,542.03003,556.90002,540.46002,556.77002,131907
NASDAQ.GOOG,17/04/14,00:00,548.92499,549.39001,531.15002,536.79999,237802
NASDAQ.GOOG,21/04/14,00:00,536.04999,536.04999,525.78998,528.32001,67232
NASDAQ.GOOG,22/04/14,00:00,529.15997,537.15997,528.25000,534.62000,59403
NASDAQ.GOOG,23/04/14,00:00,531.85999,533.48999,526.29999,527.00000,51039
NASDAQ.GOOG,24/04/14,00:00,530.12500,531.23999,522.27002,524.72998,53292
NASDAQ.GOOG,25/04/14,00:00,522.53998,524.29999,515.51001,515.92999,60144
NASDAQ.GOOG,28/04/14,00:00,517.42499,518.29999,503.03000,517.28003,104953
NASDAQ.GOOG,29/04/14,00:00,517.00000,529.32001,516.40002,527.07001,93691
NASDAQ.GOOG,30/04/14,00:00,527.89001,527.89001,522.58002,526.96002,43815
NASDAQ.GOOG,01/05/14,00:00,527.71002,532.60999,524.25000,531.25000,69161
NASDAQ.GOOG,02/05/14,00:00,533.87000,533.87000,526.15002,528.00000,70989
NASDAQ.GOOG,05/05/14,00:00,524.82001,528.70502,521.32001,527.75000,40281
NASDAQ.GOOG,06/05/14,00:00,525.22998,526.01001,515.13000,515.13000,54431
NASDAQ.GOOG,07/05/14,00:00,515.97998,515.97998,503.35999,510.22000,116374
NASDAQ.GOOG,08/05/14,00:00,509.01999,517.19000,506.48499,510.70999,71884
NASDAQ.GOOG,09/05/14,00:00,510.87000,519.77002,504.42001,519.34998,136556
NASDAQ.GOOG,12/05/14,00:00,523.70001,530.15997,519.04999,530.09998,72865
NASDAQ.GOOG,13/05/14,00:00,530.79999,535.98999,529.85999,532.70001,61515
NASDAQ.GOOG,14/05/14,00:00,532.79999,532.79999,525.34003,526.78998,45584
NASDAQ.GOOG,15/05/14,00:00,525.57501,525.57501,517.46002,520.15002,62716
NASDAQ.GOOG,16/05/14,00:00,520.90997,521.79999,515.52002,520.79999,58309
NASDAQ.GOOG,19/05/14,00:00,518.40002,529.64001,517.63000,529.42999,38265
NASDAQ.GOOG,20/05/14,00:00,529.40997,536.10999,526.32001,529.91998,54815
NASDAQ.GOOG,21/05/14,00:00,533.37000,537.59998,532.21503,537.58002,35469
NASDAQ.GOOG,22/05/14,00:00,541.13000,547.51501,540.90997,545.83002,52910
NASDAQ.GOOG,23/05/14,00:00,547.19000,553.59998,543.83002,552.84998,67507
NASDAQ.GOOG,27/05/14,00:00,556.85999,565.42999,554.47998,565.20001,80807
NASDAQ.GOOG,28/05/14,00:00,564.84998,567.65002,561.00000,561.84998,66345
NASDAQ.GOOG,29/05/14,00:00,563.71997,563.77002,559.09998,559.96002,56512
NASDAQ.GOOG,30/05/14,00:00,561.34998,561.34998,555.91998,560.92999,48962
NASDAQ.GOOG,02/06/14,00:00,560.20001,560.90002,545.90002,554.01001,60162
NASDAQ.GOOG,03/06/14,00:00,550.65002,552.28003,542.67999,544.83002,84596
NASDAQ.GOOG,04/06/14,00:00,541.84998,548.53998,538.82001,544.84998,73917
NASDAQ.GOOG,05/06/14,00:00,545.62000,554.88000,545.02002,553.40002,63520
NASDAQ.GOOG,06/06/14,00:00,557.79999,557.79999,549.23999,555.92999,71861
NASDAQ.GOOG,09/06/14,00:00,556.79999,562.70001,556.79999,562.34998,42468
NASDAQ.GOOG,10/06/14,00:00,560.15002,563.03998,558.26001,560.52002,37141
NASDAQ.GOOG,11/06/14,00:00,557.47998,559.78998,555.14001,558.42999,53229
NASDAQ.GOOG,12/06/14,00:00,557.47998,557.47998,548.59998,551.53003,53732
NASDAQ.GOOG,13/06/14,00:00,552.00000,552.00000,545.70502,551.46997,47088
NASDAQ.GOOG,16/06/14,00:00,549.25000,549.28998,541.64001,544.45001,43827
NASDAQ.GOOG,17/06/14,00:00,544.36499,545.28003,539.46503,542.95001,45888
NASDAQ.GOOG,18/06/14,00:00,545.04999,553.56000,544.13000,553.38000,63129
NASDAQ.GOOG,19/06/14,00:00,554.23999,554.26001,548.75000,554.20001,79638
NASDAQ.GOOG,20/06/14,00:00,556.34998,556.65997,550.71997,556.65997,81362
NASDAQ.GOOG,23/06/14,00:00,555.04999,564.97998,554.40997,564.97998,41056
NASDAQ.GOOG,24/06/14,00:00,565.46002,572.47998,561.06000,564.89001,66865
NASDAQ.GOOG,25/06/14,00:00,565.54999,579.96002,565.54999,578.82001,57811
NASDAQ.GOOG,26/06/14,00:00,581.09998,582.25500,571.92999,575.53998,56994
NASDAQ.GOOG,27/06/14,00:00,577.02002,579.78003,574.09998,577.07001,36651
