<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NASDAQ 100Fut,03/01/12,00:00,2313.00000,2328.00000,2308.00000,2315.00000,0
NASDAQ 100Fut,04/01/12,00:00,2315.00000,2329.00000,2303.00000,2325.00000,0
NASDAQ 100Fut,05/01/12,00:00,2325.00000,2347.00000,2310.00000,2335.00000,0
NASDAQ 100Fut,06/01/12,00:00,2335.00000,2358.00000,2333.00000,2352.00000,0
NASDAQ 100Fut,07/01/12,00:00,2352.00000,2352.00000,2352.00000,2352.00000,0
NASDAQ 100Fut,08/01/12,00:00,2352.00000,2354.00000,2342.00000,2345.00000,0
NASDAQ 100Fut,09/01/12,00:00,2345.00000,2363.00000,2339.00000,2359.00000,0
NASDAQ 100Fut,10/01/12,00:00,2359.00000,2377.00000,2353.00000,2355.00000,0
NASDAQ 100Fut,11/01/12,00:00,2355.00000,2373.00000,2353.00000,2365.00000,0
NASDAQ 100Fut,12/01/12,00:00,2364.00000,2384.00000,2357.00000,2381.00000,0
NASDAQ 100Fut,13/01/12,00:00,2381.00000,2386.00000,2349.00000,2374.00000,0
NASDAQ 100Fut,14/01/12,00:00,2374.00000,2374.00000,2374.00000,2374.00000,0
NASDAQ 100Fut,15/01/12,00:00,2374.00000,2374.00000,2362.00000,2362.00000,0
NASDAQ 100Fut,16/01/12,00:00,2362.00000,2394.00000,2362.00000,2392.00000,0
NASDAQ 100Fut,17/01/12,00:00,2392.00000,2401.00000,2382.00000,2399.00000,0
NASDAQ 100Fut,18/01/12,00:00,2399.00000,2429.00000,2388.00000,2423.00000,0
NASDAQ 100Fut,19/01/12,00:00,2423.00000,2442.00000,2419.00000,2427.00000,0
NASDAQ 100Fut,20/01/12,00:00,2427.00000,2436.00000,2423.00000,2435.00000,0
NASDAQ 100Fut,21/01/12,00:00,2435.00000,2435.00000,2435.00000,2435.00000,0
NASDAQ 100Fut,22/01/12,00:00,2435.00000,2435.00000,2426.00000,2430.00000,0
NASDAQ 100Fut,23/01/12,00:00,2430.00000,2452.00000,2421.00000,2429.00000,0
NASDAQ 100Fut,24/01/12,00:00,2429.00000,2467.00000,2420.00000,2462.00000,0
NASDAQ 100Fut,25/01/12,00:00,2461.00000,2466.00000,2437.00000,2458.00000,0
NASDAQ 100Fut,26/01/12,00:00,2459.00000,2475.00000,2442.00000,2448.00000,0
NASDAQ 100Fut,27/01/12,00:00,2448.00000,2464.00000,2445.00000,2456.00000,0
NASDAQ 100Fut,28/01/12,00:00,2456.00000,2456.00000,2456.00000,2456.00000,0
NASDAQ 100Fut,29/01/12,00:00,2456.00000,2460.00000,2440.00000,2443.00000,0
NASDAQ 100Fut,30/01/12,00:00,2443.00000,2471.00000,2430.00000,2468.00000,0
NASDAQ 100Fut,31/01/12,00:00,2468.00000,2478.00000,2450.00000,2456.00000,0
NASDAQ 100Fut,01/02/12,00:00,2456.00000,2495.00000,2454.00000,2490.00000,0
NASDAQ 100Fut,02/02/12,00:00,2490.00000,2500.00000,2481.00000,2491.00000,0
NASDAQ 100Fut,03/02/12,00:00,2491.00000,2530.00000,2490.00000,2523.00000,0
NASDAQ 100Fut,04/02/12,00:00,2523.00000,2523.00000,2523.00000,2523.00000,0
NASDAQ 100Fut,05/02/12,00:00,2523.00000,2523.00000,2516.00000,2519.00000,0
NASDAQ 100Fut,06/02/12,00:00,2519.00000,2530.00000,2511.00000,2525.00000,0
NASDAQ 100Fut,07/02/12,00:00,2525.00000,2535.00000,2513.00000,2531.00000,0
NASDAQ 100Fut,08/02/12,00:00,2531.00000,2546.00000,2522.00000,2544.00000,0
NASDAQ 100Fut,09/02/12,00:00,2544.00000,2565.00000,2538.00000,2553.00000,0
NASDAQ 100Fut,10/02/12,00:00,2553.00000,2554.00000,2536.00000,2549.25000,33762
NASDAQ 100Fut,11/02/12,00:00,2549.00000,2549.00000,2549.00000,2549.00000,0
