<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NASDAQ 100Fut,01/01/14,00:00,3587.00000,3594.00000,3584.00000,3592.00000,0
NASDAQ 100Fut,01/01/14,01:00,3592.00000,3593.00000,3592.00000,3593.00000,0
NASDAQ 100Fut,01/01/14,09:00,3593.00000,3593.00000,3593.00000,3593.00000,0
NASDAQ 100Fut,02/01/14,02:00,3593.00000,3593.00000,3593.00000,3593.00000,0
NASDAQ 100Fut,02/01/14,09:00,3593.00000,3593.00000,3593.00000,3593.00000,0
NASDAQ 100Fut,02/01/14,15:00,3578.00000,3579.00000,3569.00000,3575.00000,0
NASDAQ 100Fut,02/01/14,16:00,3575.00000,3576.00000,3572.00000,3572.00000,0
NASDAQ 100Fut,02/01/14,17:00,3572.00000,3577.00000,3571.00000,3572.00000,0
NASDAQ 100Fut,02/01/14,18:00,3572.00000,3575.00000,3555.00000,3557.00000,0
NASDAQ 100Fut,02/01/14,19:00,3557.00000,3564.00000,3554.00000,3561.00000,0
NASDAQ 100Fut,02/01/14,20:00,3561.00000,3567.00000,3555.00000,3556.00000,0
NASDAQ 100Fut,02/01/14,21:00,3556.00000,3560.00000,3555.00000,3560.00000,0
NASDAQ 100Fut,02/01/14,22:00,3560.00000,3561.00000,3552.00000,3558.00000,0
NASDAQ 100Fut,02/01/14,23:00,3558.00000,3560.00000,3550.00000,3554.00000,0
NASDAQ 100Fut,03/01/14,00:00,3554.00000,3562.00000,3554.00000,3559.00000,0
NASDAQ 100Fut,03/01/14,01:00,3559.00000,3562.00000,3559.00000,3560.00000,0
NASDAQ 100Fut,03/01/14,02:00,3560.00000,3561.00000,3560.00000,3561.00000,0
NASDAQ 100Fut,03/01/14,03:00,3561.00000,3562.00000,3560.00000,3561.00000,0
NASDAQ 100Fut,03/01/14,04:00,3561.00000,3562.00000,3560.00000,3561.00000,0
NASDAQ 100Fut,03/01/14,05:00,3561.00000,3563.00000,3560.00000,3560.00000,0
NASDAQ 100Fut,03/01/14,06:00,3560.00000,3560.00000,3557.00000,3559.00000,0
NASDAQ 100Fut,03/01/14,07:00,3559.00000,3559.00000,3558.00000,3558.00000,0
NASDAQ 100Fut,03/01/14,08:00,3558.00000,3559.00000,3557.00000,3557.00000,0
NASDAQ 100Fut,03/01/14,09:00,3557.00000,3557.00000,3552.00000,3552.00000,0
NASDAQ 100Fut,03/01/14,10:00,3552.00000,3552.00000,3546.00000,3547.00000,0
NASDAQ 100Fut,03/01/14,11:00,3547.00000,3552.00000,3547.00000,3551.00000,0
NASDAQ 100Fut,03/01/14,12:00,3552.00000,3553.00000,3548.00000,3553.00000,0
NASDAQ 100Fut,03/01/14,13:00,3553.00000,3559.00000,3553.00000,3559.00000,0
NASDAQ 100Fut,03/01/14,14:00,3559.00000,3561.00000,3558.00000,3560.00000,0
NASDAQ 100Fut,03/01/14,15:00,3560.00000,3561.00000,3559.00000,3559.00000,0
NASDAQ 100Fut,03/01/14,16:00,3559.00000,3564.00000,3559.00000,3563.00000,0
NASDAQ 100Fut,03/01/14,17:00,3563.00000,3566.00000,3560.00000,3562.00000,0
NASDAQ 100Fut,03/01/14,18:00,3562.00000,3563.00000,3554.00000,3559.00000,0
NASDAQ 100Fut,03/01/14,19:00,3559.00000,3560.00000,3548.00000,3549.00000,0
NASDAQ 100Fut,03/01/14,20:00,3549.00000,3550.00000,3532.00000,3533.00000,0
NASDAQ 100Fut,03/01/14,21:00,3533.00000,3538.00000,3532.00000,3536.00000,0
NASDAQ 100Fut,03/01/14,22:00,3536.00000,3537.00000,3534.00000,3536.00000,0
NASDAQ 100Fut,03/01/14,23:00,3536.00000,3545.00000,3535.00000,3544.00000,0
NASDAQ 100Fut,04/01/14,00:00,3544.00000,3545.00000,3533.00000,3533.00000,0
NASDAQ 100Fut,04/01/14,01:00,3533.00000,3534.00000,3529.00000,3529.00000,0
NASDAQ 100Fut,04/01/14,02:00,3529.00000,3532.00000,3528.00000,3531.00000,0
NASDAQ 100Fut,04/01/14,09:00,3531.00000,3531.00000,3531.00000,3531.00000,0
NASDAQ 100Fut,05/01/14,02:00,3531.00000,3531.00000,3531.00000,3531.00000,0
NASDAQ 100Fut,05/01/14,05:00,3531.00000,3531.00000,3531.00000,3531.00000,0
NASDAQ 100Fut,05/01/14,09:00,3531.00000,3531.00000,3531.00000,3531.00000,0
NASDAQ 100Fut,06/01/14,03:00,3539.00000,3540.00000,3538.00000,3538.00000,0
NASDAQ 100Fut,06/01/14,04:00,3538.00000,3539.00000,3537.00000,3538.00000,0
NASDAQ 100Fut,06/01/14,05:00,3538.00000,3538.00000,3532.00000,3533.00000,0
NASDAQ 100Fut,06/01/14,06:00,3533.00000,3534.00000,3529.00000,3530.00000,0
NASDAQ 100Fut,06/01/14,07:00,3530.00000,3533.00000,3529.00000,3532.00000,0
NASDAQ 100Fut,06/01/14,08:00,3532.00000,3534.00000,3532.00000,3533.00000,0
NASDAQ 100Fut,06/01/14,09:00,3534.00000,3534.00000,3532.00000,3533.00000,0
NASDAQ 100Fut,06/01/14,10:00,3532.00000,3533.00000,3530.00000,3532.00000,0
NASDAQ 100Fut,06/01/14,11:00,3532.00000,3534.00000,3532.00000,3533.00000,0
NASDAQ 100Fut,06/01/14,12:00,3533.00000,3535.00000,3527.00000,3528.00000,0
NASDAQ 100Fut,06/01/14,13:00,3528.00000,3534.00000,3528.00000,3534.00000,0
