<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NQ-100-FUT,10,20150101,001000,4233.0000000,4237.2500000,4231.7500000,4235.0000000,9795
NQ-100-FUT,10,20150101,002000,4235.2500000,4238.2500000,4233.0000000,4237.0000000,1731
NQ-100-FUT,10,20150101,004000,4235.7500000,4239.7500000,4235.7500000,4236.2500000,262
NQ-100-FUT,10,20150101,005000,4235.7500000,4236.5000000,4233.5000000,4233.5000000,112
NQ-100-FUT,10,20150101,010000,4234.2500000,4234.7500000,4233.5000000,4233.7500000,108
NQ-100-FUT,10,20150101,011000,4234.0000000,4235.7500000,4234.0000000,4235.7500000,86
NQ-100-FUT,10,20150101,012000,4235.5000000,4238.5000000,4235.0000000,4238.0000000,69
NQ-100-FUT,10,20150102,021000,4240.2500000,4245.7500000,4240.2500000,4245.2500000,433
NQ-100-FUT,10,20150102,022000,4245.0000000,4247.7500000,4244.2500000,4247.7500000,93
NQ-100-FUT,10,20150102,023000,4247.7500000,4249.2500000,4247.7500000,4249.2500000,104
NQ-100-FUT,10,20150102,024000,4248.7500000,4249.5000000,4247.0000000,4247.5000000,49
NQ-100-FUT,10,20150102,025000,4247.5000000,4249.2500000,4247.0000000,4248.5000000,55
NQ-100-FUT,10,20150102,030000,4249.0000000,4249.0000000,4248.0000000,4248.0000000,57
NQ-100-FUT,10,20150102,031000,4248.0000000,4249.0000000,4247.7500000,4248.0000000,58
NQ-100-FUT,10,20150102,032000,4247.7500000,4248.2500000,4246.5000000,4246.7500000,62
NQ-100-FUT,10,20150102,033000,4247.0000000,4248.5000000,4247.0000000,4248.5000000,38
NQ-100-FUT,10,20150102,034000,4248.5000000,4248.5000000,4248.0000000,4248.2500000,38
NQ-100-FUT,10,20150102,035000,4248.2500000,4249.0000000,4248.2500000,4248.5000000,40
NQ-100-FUT,10,20150102,040000,4248.5000000,4249.0000000,4248.0000000,4248.5000000,38
NQ-100-FUT,10,20150102,041000,4248.5000000,4249.7500000,4248.5000000,4249.7500000,77
NQ-100-FUT,10,20150102,042000,4250.0000000,4250.5000000,4249.5000000,4250.0000000,177
NQ-100-FUT,10,20150102,043000,4250.0000000,4252.2500000,4249.5000000,4252.2500000,261
NQ-100-FUT,10,20150102,044000,4252.0000000,4253.2500000,4251.7500000,4252.5000000,92
NQ-100-FUT,10,20150102,045000,4253.0000000,4253.5000000,4252.0000000,4252.2500000,111
NQ-100-FUT,10,20150102,050000,4252.2500000,4252.7500000,4252.2500000,4252.5000000,34
NQ-100-FUT,10,20150102,051000,4252.2500000,4252.2500000,4251.7500000,4252.0000000,42
NQ-100-FUT,10,20150102,052000,4251.7500000,4253.5000000,4251.5000000,4253.5000000,84
NQ-100-FUT,10,20150102,053000,4253.7500000,4254.0000000,4252.5000000,4252.5000000,38
NQ-100-FUT,10,20150102,054000,4252.5000000,4253.0000000,4252.2500000,4253.0000000,36
NQ-100-FUT,10,20150102,055000,4253.0000000,4253.7500000,4252.7500000,4253.7500000,98
NQ-100-FUT,10,20150102,060000,4254.0000000,4255.2500000,4253.7500000,4254.0000000,149
NQ-100-FUT,10,20150102,061000,4254.5000000,4254.7500000,4253.7500000,4253.7500000,35
NQ-100-FUT,10,20150102,062000,4254.0000000,4254.5000000,4253.7500000,4253.7500000,47
NQ-100-FUT,10,20150102,063000,4254.0000000,4254.0000000,4252.5000000,4253.0000000,65
NQ-100-FUT,10,20150102,064000,4252.7500000,4253.0000000,4252.5000000,4252.7500000,40
NQ-100-FUT,10,20150102,065000,4252.7500000,4253.0000000,4252.0000000,4252.5000000,36
NQ-100-FUT,10,20150102,070000,4252.2500000,4252.2500000,4252.0000000,4252.2500000,25
NQ-100-FUT,10,20150102,071000,4252.5000000,4252.7500000,4251.7500000,4252.2500000,23
NQ-100-FUT,10,20150102,072000,4252.0000000,4252.7500000,4252.0000000,4252.7500000,15
NQ-100-FUT,10,20150102,073000,4252.7500000,4254.5000000,4252.7500000,4254.5000000,70
NQ-100-FUT,10,20150102,074000,4254.5000000,4256.0000000,4254.0000000,4255.7500000,100
NQ-100-FUT,10,20150102,075000,4255.5000000,4256.0000000,4255.0000000,4255.2500000,58
NQ-100-FUT,10,20150102,080000,4255.2500000,4256.0000000,4254.7500000,4255.5000000,97
NQ-100-FUT,10,20150102,081000,4255.5000000,4256.2500000,4255.5000000,4255.7500000,36
NQ-100-FUT,10,20150102,082000,4256.0000000,4257.7500000,4256.0000000,4257.2500000,106
NQ-100-FUT,10,20150102,083000,4256.7500000,4257.0000000,4256.2500000,4256.7500000,24
NQ-100-FUT,10,20150102,084000,4256.5000000,4256.7500000,4255.7500000,4255.7500000,32
NQ-100-FUT,10,20150102,085000,4255.7500000,4255.7500000,4253.7500000,4253.7500000,76
