<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NQ-100-FUT,D,20150101,000000,4240.2500000,4256.0000000,4240.2500000,4255.5000000,2875
NQ-100-FUT,D,20150102,000000,4255.5000000,4272.7500000,4201.0000000,4214.5000000,202011
NQ-100-FUT,D,20150104,000000,4216.0000000,4220.5000000,4197.0000000,4219.7500000,10798
NQ-100-FUT,D,20150105,000000,4219.7500000,4220.7500000,4145.0000000,4157.5000000,308374
NQ-100-FUT,D,20150106,000000,4157.5000000,4172.5000000,4082.0000000,4112.7500000,422302
NQ-100-FUT,D,20150107,000000,4113.2500000,4193.7500000,4107.5000000,4185.5000000,337682
NQ-100-FUT,D,20150108,000000,4184.5000000,4242.7500000,4177.0000000,4230.7500000,260812
NQ-100-FUT,D,20150109,000000,4230.7500000,4252.5000000,4182.0000000,4198.7500000,253067
NQ-100-FUT,D,20150111,000000,4201.2500000,4208.2500000,4195.0000000,4199.2500000,3408
NQ-100-FUT,D,20150112,000000,4199.2500000,4227.5000000,4151.0000000,4172.5000000,311249
NQ-100-FUT,D,20150113,000000,4172.2500000,4247.7500000,4126.7500000,4146.2500000,483705
NQ-100-FUT,D,20150114,000000,4146.2500000,4169.2500000,4100.5000000,4151.7500000,441343
NQ-100-FUT,D,20150115,000000,4151.7500000,4190.0000000,4041.5000000,4051.0000000,463670
NQ-100-FUT,D,20150116,000000,4051.2500000,4138.5000000,4043.2500000,4138.5000000,317552
NQ-100-FUT,D,20150118,000000,4138.7500000,4155.0000000,4124.2500000,4132.2500000,8874
NQ-100-FUT,D,20150119,000000,4132.7500000,4149.5000000,4113.0000000,4145.0000000,39018
NQ-100-FUT,D,20150120,000000,4144.2500000,4178.5000000,4109.0000000,4173.2500000,306197
NQ-100-FUT,D,20150121,000000,4173.7500000,4205.2500000,4137.0000000,4188.5000000,315874
NQ-100-FUT,D,20150122,000000,4188.7500000,4269.0000000,4164.5000000,4259.2500000,335614
NQ-100-FUT,D,20150123,000000,4259.5000000,4286.2500000,4250.2500000,4264.2500000,216125
NQ-100-FUT,D,20150125,000000,4249.5000000,4250.7500000,4231.5000000,4247.7500000,8838
NQ-100-FUT,D,20150126,000000,4248.0000000,4278.2500000,4245.2500000,4267.2500000,178971
NQ-100-FUT,D,20150127,000000,4267.0000000,4270.7500000,4142.7500000,4229.2500000,372001
NQ-100-FUT,D,20150128,000000,4229.5000000,4234.5000000,4119.5000000,4128.2500000,345539
NQ-100-FUT,D,20150129,000000,4128.2500000,4208.0000000,4095.7500000,4190.2500000,358080
NQ-100-FUT,D,20150130,000000,4190.5000000,4203.2500000,4136.0000000,4143.0000000,340010
NQ-100-FUT,D,20150201,000000,4147.2500000,4152.7500000,4129.2500000,4144.0000000,4943
NQ-100-FUT,D,20150202,000000,4144.5000000,4188.0000000,4085.5000000,4169.2500000,353452
NQ-100-FUT,D,20150203,000000,4169.0000000,4222.7500000,4165.7500000,4210.5000000,281376
NQ-100-FUT,D,20150204,000000,4210.2500000,4243.0000000,4181.5000000,4193.5000000,271568
NQ-100-FUT,D,20150205,000000,4194.0000000,4254.7500000,4188.0000000,4246.7500000,196492
NQ-100-FUT,D,20150206,000000,4247.0000000,4268.2500000,4209.7500000,4236.0000000,250166
NQ-100-FUT,D,20150208,000000,4226.5000000,4226.7500000,4204.5000000,4211.2500000,6741
NQ-100-FUT,D,20150209,000000,4211.0000000,4232.0000000,4201.5000000,4217.5000000,194098
NQ-100-FUT,D,20150210,000000,4217.5000000,4284.0000000,4211.0000000,4275.7500000,225217
NQ-100-FUT,D,20150211,000000,4275.7500000,4322.0000000,4271.0000000,4297.2500000,213359
NQ-100-FUT,D,20150212,000000,4297.7500000,4347.5000000,4294.0000000,4346.7500000,213180
NQ-100-FUT,D,20150213,000000,4346.5000000,4382.0000000,4345.5000000,4380.0000000,187286
NQ-100-FUT,D,20150215,000000,4373.5000000,4378.2500000,4370.2500000,4377.5000000,3139
NQ-100-FUT,D,20150216,000000,4377.5000000,4388.5000000,4364.5000000,4373.2500000,22033
NQ-100-FUT,D,20150217,000000,4373.2500000,4388.0000000,4365.0000000,4384.2500000,170183
NQ-100-FUT,D,20150218,000000,4384.5000000,4393.5000000,4373.7500000,4387.5000000,141001
NQ-100-FUT,D,20150219,000000,4387.5000000,4417.2500000,4376.0000000,4414.0000000,165768
NQ-100-FUT,D,20150220,000000,4413.7500000,4445.0000000,4396.0000000,4441.2500000,199532
NQ-100-FUT,D,20150222,000000,4439.7500000,4443.0000000,4437.7500000,4440.7500000,1818
NQ-100-FUT,D,20150223,000000,4440.7500000,4449.2500000,4429.7500000,4446.2500000,130299
NQ-100-FUT,D,20150224,000000,4446.5000000,4455.7500000,4427.0000000,4447.0000000,163002
NQ-100-FUT,D,20150225,000000,4447.0000000,4461.0000000,4429.2500000,4439.0000000,173747
NQ-100-FUT,D,20150226,000000,4439.2500000,4464.7500000,4431.0000000,4457.7500000,193692
NQ-100-FUT,D,20150227,000000,4458.0000000,4462.7500000,4435.0000000,4446.2500000,157870
NQ-100-FUT,D,20150301,000000,4447.0000000,4454.5000000,4446.2500000,4450.2500000,3287
NQ-100-FUT,D,20150302,000000,4450.0000000,4483.2500000,4446.5000000,4475.7500000,171181
NQ-100-FUT,D,20150303,000000,4476.0000000,4477.0000000,4432.5000000,4455.7500000,197655
NQ-100-FUT,D,20150304,000000,4455.7500000,4456.5000000,4419.2500000,4445.7500000,209810
NQ-100-FUT,D,20150305,000000,4445.7500000,4464.7500000,4432.7500000,4450.2500000,168415
NQ-100-FUT,D,20150306,000000,4450.0000000,4460.5000000,4389.2500000,4410.5000000,286076
NQ-100-FUT,D,20150308,000000,4411.7500000,4414.2500000,4398.2500000,4399.5000000,4191
NQ-100-FUT,D,20150309,000000,4399.7500000,4424.7500000,4391.7500000,4411.0000000,208452
NQ-100-FUT,D,20150310,000000,4411.0000000,4411.5000000,4328.5000000,4342.2500000,303301
NQ-100-FUT,D,20150311,000000,4342.0000000,4347.5000000,4304.2500000,4317.2500000,241538
NQ-100-FUT,D,20150312,000000,4317.2500000,4339.5000000,4298.7500000,4329.5000000,196182
NQ-100-FUT,D,20150313,000000,4329.2500000,4341.7500000,4281.5000000,4306.0000000,226848
NQ-100-FUT,D,20150315,000000,4306.0000000,4308.2500000,4292.7500000,4307.0000000,3626
NQ-100-FUT,D,20150316,000000,4307.0000000,4365.7500000,4304.7500000,4352.7500000,175079
NQ-100-FUT,D,20150317,000000,4352.7500000,4377.7500000,4341.7500000,4372.0000000,173996
NQ-100-FUT,D,20150318,000000,4372.5000000,4435.0000000,4335.7500000,4428.0000000,282138
NQ-100-FUT,D,20150319,000000,4428.0000000,4434.5000000,4411.5000000,4429.0000000,202572
NQ-100-FUT,D,20150320,000000,4429.0000000,4472.2500000,4427.2500000,4449.5000000,201595
NQ-100-FUT,D,20150322,000000,4448.5000000,4461.2500000,4444.5000000,4455.2500000,3842
NQ-100-FUT,D,20150323,000000,4454.7500000,4459.0000000,4434.7500000,4443.2500000,150069
NQ-100-FUT,D,20150324,000000,4443.2500000,4461.0000000,4424.2500000,4430.0000000,182553
NQ-100-FUT,D,20150325,000000,4430.0000000,4438.5000000,4319.0000000,4321.5000000,290189
NQ-100-FUT,D,20150326,000000,4321.2500000,4331.0000000,4270.0000000,4326.5000000,349242
NQ-100-FUT,D,20150327,000000,4326.2500000,4333.5000000,4297.2500000,4323.7500000,202576
NQ-100-FUT,D,20150329,000000,4327.5000000,4348.0000000,4315.7500000,4341.7500000,5541
NQ-100-FUT,D,20150330,000000,4342.0000000,4381.7500000,4336.7500000,4373.2500000,195556
NQ-100-FUT,D,20150331,000000,4370.0000000,4373.2500000,4259.0000000,4288.0000000,235227
NQ-100-FUT,D,20150401,000000,4289.5000000,4334.2500000,4275.7500000,4306.7500000,299788
NQ-100-FUT,D,20150402,000000,4306.7500000,4321.0000000,4288.5000000,4307.2500000,162647
NQ-100-FUT,D,20150403,000000,4306.7500000,4313.7500000,4262.0000000,4307.2500000,10967
NQ-100-FUT,D,20150405,000000,4265.0000000,4282.5000000,4264.5000000,4279.7500000,4443
NQ-100-FUT,D,20150406,000000,4279.7500000,4354.7500000,4269.0000000,4341.7500000,151457
NQ-100-FUT,D,20150407,000000,4341.2500000,4372.2500000,4327.5000000,4335.2500000,173009
NQ-100-FUT,D,20150408,000000,4335.5000000,4379.2500000,4330.0000000,4374.5000000,223657
NQ-100-FUT,D,20150409,000000,4375.0000000,4401.2500000,4352.7500000,4396.0000000,201407
NQ-100-FUT,D,20150410,000000,4395.7500000,4416.0000000,4385.7500000,4415.5000000,124109
NQ-100-FUT,D,20150412,000000,4415.0000000,4418.5000000,4411.0000000,4412.0000000,2776
NQ-100-FUT,D,20150413,000000,4412.0000000,4441.5000000,4399.5000000,4408.2500000,171033
NQ-100-FUT,D,20150414,000000,4408.0000000,4414.5000000,4366.7500000,4395.7500000,219766
NQ-100-FUT,D,20150415,000000,4395.7500000,4429.0000000,4388.7500000,4428.2500000,168451
NQ-100-FUT,D,20150416,000000,4428.7500000,4429.5000000,4398.0000000,4411.2500000,162362
NQ-100-FUT,D,20150417,000000,4411.7500000,4415.0000000,4324.0000000,4347.0000000,299180
NQ-100-FUT,D,20150419,000000,4356.7500000,4362.0000000,4352.2500000,4359.2500000,6919
NQ-100-FUT,D,20150420,000000,4359.5000000,4418.7500000,4355.0000000,4418.0000000,214619
