<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NY.MSFT,03/01/12,17:30,26.52000,26.52000,26.39000,26.51000,352886
NY.MSFT,03/01/12,17:40,26.52000,26.54000,26.47000,26.51000,230177
NY.MSFT,03/01/12,17:50,26.51000,26.57000,26.50500,26.51000,122974
NY.MSFT,03/01/12,18:00,26.51000,26.59000,26.51000,26.58000,220364
NY.MSFT,03/01/12,18:10,26.59000,26.64000,26.59000,26.61000,146954
NY.MSFT,03/01/12,18:20,26.61000,26.65000,26.61000,26.64500,172938
NY.MSFT,03/01/12,18:30,26.64500,26.69000,26.64500,26.66500,117176
NY.MSFT,03/01/12,18:40,26.66500,26.74000,26.66500,26.69000,197247
NY.MSFT,03/01/12,18:50,26.69000,26.75000,26.68500,26.74000,104692
NY.MSFT,03/01/12,19:00,26.74000,26.78000,26.73500,26.77000,164278
NY.MSFT,03/01/12,19:10,26.77000,26.83000,26.72500,26.82500,274886
NY.MSFT,03/01/12,19:20,26.83000,26.87000,26.83000,26.86500,221386
NY.MSFT,03/01/12,19:30,26.86500,26.88000,26.85000,26.88000,145094
NY.MSFT,03/01/12,19:40,26.87500,26.90000,26.86000,26.87000,223329
NY.MSFT,03/01/12,19:50,26.86500,26.90500,26.85000,26.85500,225370
NY.MSFT,03/01/12,20:00,26.85500,26.90500,26.85500,26.90000,157838
NY.MSFT,03/01/12,20:10,26.89500,26.90500,26.86500,26.88500,256595
NY.MSFT,03/01/12,20:20,26.89000,26.89500,26.86500,26.88000,110011
NY.MSFT,03/01/12,20:30,26.88500,26.88500,26.82000,26.82000,130334
NY.MSFT,03/01/12,20:40,26.82500,26.85500,26.80500,26.81000,73907
NY.MSFT,03/01/12,20:50,26.81000,26.86000,26.80500,26.85500,126278
NY.MSFT,03/01/12,21:00,26.85000,26.89000,26.84500,26.86500,250566
NY.MSFT,03/01/12,21:10,26.86500,26.90000,26.86000,26.90000,110743
NY.MSFT,03/01/12,21:20,26.89500,26.90000,26.88000,26.88000,112263
NY.MSFT,03/01/12,21:30,26.88000,26.88000,26.82000,26.82000,122092
NY.MSFT,03/01/12,21:40,26.81500,26.89500,26.81500,26.89500,154544
NY.MSFT,03/01/12,21:50,26.89500,26.90000,26.89000,26.89500,32849
NY.MSFT,03/01/12,22:00,26.89500,26.94000,26.89500,26.93000,204283
NY.MSFT,03/01/12,22:10,26.92000,26.92000,26.88000,26.89000,123252
NY.MSFT,03/01/12,22:20,26.89000,26.89000,26.88000,26.88500,67535
NY.MSFT,03/01/12,22:30,26.88500,26.94000,26.88500,26.92500,127624
NY.MSFT,03/01/12,22:40,26.92500,26.95000,26.91500,26.93500,208778
NY.MSFT,03/01/12,22:50,26.93500,26.95000,26.93000,26.95000,217570
NY.MSFT,03/01/12,23:00,26.95000,26.96000,26.90000,26.91500,136210
NY.MSFT,03/01/12,23:10,26.91500,26.92500,26.90000,26.92000,157397
NY.MSFT,03/01/12,23:20,26.92000,26.92000,26.84000,26.86500,301422
NY.MSFT,03/01/12,23:30,26.86500,26.89500,26.80000,26.82000,418914
NY.MSFT,03/01/12,23:40,26.82000,26.91000,26.82000,26.90500,285579
NY.MSFT,03/01/12,23:50,26.91000,26.93500,26.77000,26.82000,665693
NY.MSFT,04/01/12,17:30,26.81000,26.97000,26.79000,26.97000,260506
NY.MSFT,04/01/12,17:40,26.97000,27.05000,26.95000,27.04500,333998
NY.MSFT,04/01/12,17:50,27.04500,27.10000,27.01500,27.06000,481666
NY.MSFT,04/01/12,18:00,27.06000,27.06000,26.99000,26.99000,110285
NY.MSFT,04/01/12,18:10,26.99500,27.02500,26.96500,27.01000,241582
NY.MSFT,04/01/12,18:20,27.00500,27.05000,27.00000,27.00000,248266
NY.MSFT,04/01/12,18:30,26.99500,26.99500,26.94000,26.98000,242109
NY.MSFT,04/01/12,18:40,26.98500,27.06500,26.98000,26.99000,253109
NY.MSFT,04/01/12,18:50,26.99000,27.13500,26.98500,27.07000,370235
NY.MSFT,04/01/12,19:00,27.07000,27.09500,27.06000,27.08500,137004
NY.MSFT,04/01/12,19:10,27.09000,27.15500,27.08000,27.14500,197106
NY.MSFT,04/01/12,19:20,27.14000,27.20000,27.14000,27.19500,104324
NY.MSFT,04/01/12,19:30,27.19500,27.24000,27.18000,27.24000,152960
NY.MSFT,04/01/12,19:40,27.24000,27.25000,27.21000,27.21500,126374
NY.MSFT,04/01/12,19:50,27.21500,27.22000,27.13500,27.20500,284400
NY.MSFT,04/01/12,20:00,27.20500,27.20500,27.16000,27.16500,127689
NY.MSFT,04/01/12,20:10,27.16500,27.23000,27.15000,27.20000,135931
NY.MSFT,04/01/12,20:20,27.20000,27.20500,27.19000,27.19000,33041
NY.MSFT,04/01/12,20:30,27.19500,27.19500,27.15000,27.15000,65881
NY.MSFT,04/01/12,20:40,27.15500,27.20500,27.15500,27.20500,76898
NY.MSFT,04/01/12,20:50,27.20500,27.24500,27.20000,27.24500,129607
NY.MSFT,04/01/12,21:00,27.24500,27.27500,27.24500,27.27000,120664
NY.MSFT,04/01/12,21:10,27.27000,27.36000,27.25000,27.34000,313004
NY.MSFT,04/01/12,21:20,27.34000,27.37500,27.32000,27.34500,385850
NY.MSFT,04/01/12,21:30,27.34500,27.35000,27.31500,27.32000,125089
NY.MSFT,04/01/12,21:40,27.31000,27.36000,27.31000,27.34000,150743
NY.MSFT,04/01/12,21:50,27.34000,27.38000,27.33000,27.36500,132852
NY.MSFT,04/01/12,22:00,27.36500,27.38500,27.30000,27.31500,253908
NY.MSFT,04/01/12,22:10,27.31500,27.41000,27.31000,27.40000,235813
NY.MSFT,04/01/12,22:20,27.40000,27.40500,27.38500,27.40000,154003
NY.MSFT,04/01/12,22:30,27.40000,27.44000,27.39500,27.44000,234249
NY.MSFT,04/01/12,22:40,27.43500,27.44000,27.36500,27.37500,191551
NY.MSFT,04/01/12,22:50,27.37500,27.46500,27.37500,27.42500,277458
NY.MSFT,04/01/12,23:00,27.42500,27.42500,27.38000,27.40000,131103
NY.MSFT,04/01/12,23:10,27.40000,27.44000,27.37000,27.37500,179349
NY.MSFT,04/01/12,23:20,27.38000,27.39500,27.37000,27.38500,101291
NY.MSFT,04/01/12,23:30,27.38500,27.40500,27.36500,27.38500,201765
NY.MSFT,04/01/12,23:40,27.38500,27.38500,27.34000,27.36000,174097
NY.MSFT,04/01/12,23:50,27.36500,27.39000,27.35000,27.39000,578304
NY.MSFT,05/01/12,17:30,27.38000,27.50000,27.38000,27.43000,283225
NY.MSFT,05/01/12,17:40,27.43500,27.44000,27.36000,27.42000,325098
NY.MSFT,05/01/12,17:50,27.41500,27.44000,27.39000,27.39000,169375
NY.MSFT,05/01/12,18:00,27.39000,27.41000,27.34500,27.41000,209413
NY.MSFT,05/01/12,18:10,27.41000,27.48000,27.40000,27.46000,199946
NY.MSFT,05/01/12,18:20,27.46000,27.46000,27.40000,27.44000,137663
NY.MSFT,05/01/12,18:30,27.45000,27.45500,27.38000,27.38000,228967
NY.MSFT,05/01/12,18:40,27.38000,27.41000,27.29000,27.34500,172532
NY.MSFT,05/01/12,18:50,27.34500,27.38000,27.34000,27.37000,201540
NY.MSFT,05/01/12,19:00,27.37000,27.42000,27.37000,27.39000,224219
NY.MSFT,05/01/12,19:10,27.39000,27.41000,27.38000,27.38000,117722
NY.MSFT,05/01/12,19:20,27.38000,27.47500,27.38000,27.47000,156156
NY.MSFT,05/01/12,19:30,27.47000,27.48500,27.46000,27.48000,102903
NY.MSFT,05/01/12,19:40,27.48000,27.50000,27.47000,27.47000,161043
NY.MSFT,05/01/12,19:50,27.46500,27.49000,27.44500,27.44500,163411
NY.MSFT,05/01/12,20:00,27.45000,27.45500,27.41000,27.43500,146398
NY.MSFT,05/01/12,20:10,27.43500,27.49000,27.43500,27.48500,52586
NY.MSFT,05/01/12,20:20,27.48500,27.48500,27.44000,27.48500,109446
NY.MSFT,05/01/12,20:30,27.48500,27.49500,27.48000,27.49000,88622
NY.MSFT,05/01/12,20:40,27.49000,27.57500,27.49000,27.55000,357655
NY.MSFT,05/01/12,20:50,27.55500,27.58000,27.51500,27.56000,136428
NY.MSFT,05/01/12,21:00,27.56500,27.57500,27.54000,27.55500,63707
NY.MSFT,05/01/12,21:10,27.55500,27.56000,27.53000,27.54500,96943
NY.MSFT,05/01/12,21:20,27.54500,27.58500,27.54000,27.58500,42694
NY.MSFT,05/01/12,21:30,27.59000,27.66500,27.58500,27.62500,238970
NY.MSFT,05/01/12,21:40,27.62000,27.72500,27.62000,27.66000,225713
NY.MSFT,05/01/12,21:50,27.66000,27.67000,27.64500,27.66500,165927
NY.MSFT,05/01/12,22:00,27.66000,27.69500,27.66000,27.68000,44873
NY.MSFT,05/01/12,22:10,27.68000,27.69500,27.66000,27.68500,108188
NY.MSFT,05/01/12,22:20,27.69000,27.69000,27.63500,27.64000,165503
NY.MSFT,05/01/12,22:30,27.64000,27.66000,27.64000,27.64000,48476
NY.MSFT,05/01/12,22:40,27.64500,27.66500,27.63000,27.64500,63435
NY.MSFT,05/01/12,22:50,27.64500,27.65000,27.62000,27.63500,152469
NY.MSFT,05/01/12,23:00,27.63500,27.66000,27.62000,27.65500,94604
NY.MSFT,05/01/12,23:10,27.65500,27.66500,27.60000,27.60500,88291
NY.MSFT,05/01/12,23:20,27.60500,27.65000,27.60000,27.64500,98714
NY.MSFT,05/01/12,23:30,27.64500,27.64500,27.56000,27.57500,172752
NY.MSFT,05/01/12,23:40,27.57500,27.63500,27.57500,27.63500,243127
NY.MSFT,05/01/12,23:50,27.63500,27.69000,27.63000,27.68000,404810
NY.MSFT,06/01/12,17:30,27.56500,27.67500,27.53000,27.64000,269099
NY.MSFT,06/01/12,17:40,27.64000,27.68000,27.63000,27.64000,288741
NY.MSFT,06/01/12,17:50,27.64000,27.68000,27.60000,27.68000,391843
NY.MSFT,06/01/12,18:00,27.67500,27.68500,27.64000,27.67500,110114
NY.MSFT,06/01/12,18:10,27.67500,27.75000,27.67500,27.74000,146110
NY.MSFT,06/01/12,18:20,27.74500,27.76000,27.72000,27.73500,163337
NY.MSFT,06/01/12,18:30,27.73500,27.75000,27.73000,27.75000,84005
NY.MSFT,06/01/12,18:40,27.75000,27.77500,27.73000,27.75000,160684
NY.MSFT,06/01/12,18:50,27.75000,27.76500,27.75000,27.75500,52710
NY.MSFT,06/01/12,19:00,27.75500,27.84500,27.75000,27.84500,186034
NY.MSFT,06/01/12,19:10,27.84000,27.85000,27.80000,27.85000,261223
NY.MSFT,06/01/12,19:20,27.85000,27.86000,27.81000,27.82500,90123
NY.MSFT,06/01/12,19:30,27.83000,27.91000,27.82500,27.91000,99972
NY.MSFT,06/01/12,19:40,27.91000,27.98000,27.90000,27.98000,232927
NY.MSFT,06/01/12,19:50,27.97500,28.00000,27.93500,27.97500,607324
NY.MSFT,06/01/12,20:00,27.97500,27.98500,27.94000,27.96500,272300
NY.MSFT,06/01/12,20:10,27.96500,27.98500,27.96000,27.96000,43262
NY.MSFT,06/01/12,20:20,27.96500,27.99000,27.96500,27.98500,114438
NY.MSFT,06/01/12,20:30,27.98500,27.99000,27.97500,27.98000,66806
NY.MSFT,06/01/12,20:40,27.98000,27.99000,27.97000,27.97500,125122
NY.MSFT,06/01/12,20:50,27.97500,28.02000,27.97500,28.00000,923728
NY.MSFT,06/01/12,21:00,28.00000,28.00500,27.97000,27.98500,137593
NY.MSFT,06/01/12,21:10,27.98000,27.99000,27.93000,27.98500,106886
NY.MSFT,06/01/12,21:20,27.98500,28.00000,27.95000,27.98000,301810
NY.MSFT,06/01/12,21:30,27.98500,27.98500,27.88500,27.93000,248312
NY.MSFT,06/01/12,21:40,27.93500,27.96000,27.93500,27.94500,180469
NY.MSFT,06/01/12,21:50,27.94500,28.00000,27.94500,27.97500,142345
NY.MSFT,06/01/12,22:00,27.98000,27.98500,27.95000,27.96000,652012
NY.MSFT,06/01/12,22:10,27.96500,28.00000,27.96000,27.99000,209772
NY.MSFT,06/01/12,22:20,27.98000,28.00000,27.98000,27.99000,41081
NY.MSFT,06/01/12,22:30,27.99500,28.01500,27.99000,28.00500,110170
NY.MSFT,06/01/12,22:40,28.00500,28.05000,27.99000,28.01000,298296
NY.MSFT,06/01/12,22:50,28.01000,28.09500,28.00000,28.09500,358909
NY.MSFT,06/01/12,23:00,28.09500,28.10000,28.05500,28.06500,212647
NY.MSFT,06/01/12,23:10,28.06500,28.07500,28.02000,28.04000,185300
NY.MSFT,06/01/12,23:20,28.04500,28.15000,28.04000,28.14500,303649
NY.MSFT,06/01/12,23:30,28.14500,28.17500,28.13500,28.16500,274282
NY.MSFT,06/01/12,23:40,28.17000,28.19000,28.14000,28.15500,283340
NY.MSFT,06/01/12,23:50,28.15500,28.15500,28.06000,28.12000,826937
NY.MSFT,09/01/12,17:30,28.03000,28.08000,27.93500,27.98000,418749
NY.MSFT,09/01/12,17:40,27.98000,28.08000,27.97000,28.06000,281878
NY.MSFT,09/01/12,17:50,28.05500,28.10000,28.01000,28.01000,231772
NY.MSFT,09/01/12,18:00,28.01500,28.01500,27.91500,27.99000,160901
NY.MSFT,09/01/12,18:10,27.99000,27.99000,27.91000,27.96500,197916
NY.MSFT,09/01/12,18:20,27.96500,27.99500,27.95000,27.99500,88796
NY.MSFT,09/01/12,18:30,28.00000,28.03000,27.95500,27.96000,252234
NY.MSFT,09/01/12,18:40,27.96000,27.96000,27.91500,27.92000,202115
NY.MSFT,09/01/12,18:50,27.92000,27.92500,27.88000,27.89500,201377
NY.MSFT,09/01/12,19:00,27.89500,27.89500,27.78000,27.78000,128519
NY.MSFT,09/01/12,19:10,27.78000,27.80000,27.73500,27.75000,181065
NY.MSFT,09/01/12,19:20,27.75000,27.80000,27.75000,27.80000,116935
NY.MSFT,09/01/12,19:30,27.80000,27.84000,27.79500,27.82000,201985
NY.MSFT,09/01/12,19:40,27.82500,27.94000,27.81000,27.90000,262590
NY.MSFT,09/01/12,19:50,27.90500,27.94000,27.88000,27.89000,101252
NY.MSFT,09/01/12,20:00,27.89000,27.94000,27.89000,27.94000,79817
NY.MSFT,09/01/12,20:10,27.93500,27.94500,27.89000,27.89500,86042
NY.MSFT,09/01/12,20:20,27.89500,27.89500,27.83000,27.84500,115407
NY.MSFT,09/01/12,20:30,27.84000,27.85000,27.81000,27.84000,84871
NY.MSFT,09/01/12,20:40,27.83500,27.83500,27.76000,27.77500,183707
NY.MSFT,09/01/12,20:50,27.77500,27.80500,27.77000,27.78500,200271
NY.MSFT,09/01/12,21:00,27.78500,27.81000,27.77000,27.77500,95918
NY.MSFT,09/01/12,21:10,27.77500,27.78500,27.76500,27.78500,99481
NY.MSFT,09/01/12,21:20,27.78500,27.84500,27.78500,27.84500,153581
NY.MSFT,09/01/12,21:30,27.84500,27.85000,27.81000,27.83500,92513
NY.MSFT,09/01/12,21:40,27.84000,27.87000,27.81000,27.86500,143852
NY.MSFT,09/01/12,21:50,27.86500,27.86500,27.81000,27.81500,91977
NY.MSFT,09/01/12,22:00,27.81500,27.84000,27.81500,27.82500,161334
NY.MSFT,09/01/12,22:10,27.82500,27.83000,27.76500,27.77000,149474
NY.MSFT,09/01/12,22:20,27.76500,27.81000,27.76500,27.78500,102307
NY.MSFT,09/01/12,22:30,27.78500,27.85000,27.78500,27.84500,120174
NY.MSFT,09/01/12,22:40,27.84500,27.84500,27.76000,27.76500,99376
NY.MSFT,09/01/12,22:50,27.76500,27.79500,27.76000,27.79500,94576
NY.MSFT,09/01/12,23:00,27.79000,27.80000,27.77000,27.79500,122841
NY.MSFT,09/01/12,23:10,27.80000,27.80500,27.77500,27.79500,210629
NY.MSFT,09/01/12,23:20,27.79500,27.80000,27.78000,27.79500,73884
NY.MSFT,09/01/12,23:30,27.79500,27.79500,27.76500,27.77500,119112
NY.MSFT,09/01/12,23:40,27.77500,27.79000,27.74500,27.77000,238479
NY.MSFT,09/01/12,23:50,27.77000,27.79500,27.72500,27.74000,516721
NY.MSFT,10/01/12,17:30,27.93000,27.99000,27.82000,27.98000,646172
NY.MSFT,10/01/12,17:40,27.99000,28.00000,27.90500,27.94000,385790
NY.MSFT,10/01/12,17:50,27.94000,27.99000,27.92000,27.97000,240469
NY.MSFT,10/01/12,18:00,27.97500,28.09000,27.97500,28.05500,463972
NY.MSFT,10/01/12,18:10,28.05500,28.05500,27.99000,28.05000,223456
NY.MSFT,10/01/12,18:20,28.05000,28.06500,28.00000,28.05000,314069
NY.MSFT,10/01/12,18:30,28.05000,28.14500,27.99500,28.09000,393919
NY.MSFT,10/01/12,18:40,28.09000,28.09500,28.04500,28.04500,98305
NY.MSFT,10/01/12,18:50,28.04000,28.04000,27.94000,27.99500,234305
NY.MSFT,10/01/12,19:00,27.99500,27.99500,27.92000,27.98000,194741
NY.MSFT,10/01/12,19:10,27.98000,28.05000,27.95000,28.00500,233433
NY.MSFT,10/01/12,19:20,28.00500,28.03000,28.00000,28.03000,92289
NY.MSFT,10/01/12,19:30,28.03000,28.09000,28.02000,28.02000,76577
NY.MSFT,10/01/12,19:40,28.02500,28.02500,27.99500,28.01500,92442
NY.MSFT,10/01/12,19:50,28.01500,28.05000,27.99500,28.05000,109805
NY.MSFT,10/01/12,20:00,28.05500,28.05500,28.03000,28.05500,56787
NY.MSFT,10/01/12,20:10,28.06000,28.06000,28.00500,28.00500,48934
NY.MSFT,10/01/12,20:20,28.00000,28.01000,27.95000,27.95500,113455
NY.MSFT,10/01/12,20:30,27.95500,28.00000,27.95000,27.97500,72874
NY.MSFT,10/01/12,20:40,27.97500,27.99000,27.96000,27.97000,72311
NY.MSFT,10/01/12,20:50,27.96000,27.99000,27.96000,27.99000,8877
NY.MSFT,10/01/12,21:00,27.98000,27.98500,27.95000,27.95000,39040
NY.MSFT,10/01/12,21:10,27.95000,27.96000,27.94500,27.95500,31502
NY.MSFT,10/01/12,21:20,27.95500,27.96000,27.92000,27.92500,62363
NY.MSFT,10/01/12,21:30,27.92500,27.96500,27.92500,27.95500,80767
NY.MSFT,10/01/12,21:40,27.95000,27.96000,27.91500,27.91500,54790
NY.MSFT,10/01/12,21:50,27.91000,27.92500,27.90000,27.91500,50657
NY.MSFT,10/01/12,22:00,27.91500,27.92500,27.89500,27.90500,62386
NY.MSFT,10/01/12,22:10,27.90000,27.93500,27.88000,27.90000,155759
NY.MSFT,10/01/12,22:20,27.90500,27.91000,27.88000,27.88000,64198
NY.MSFT,10/01/12,22:30,27.88500,27.91500,27.88500,27.89500,36639
NY.MSFT,10/01/12,22:40,27.89500,27.96000,27.87500,27.95500,297852
NY.MSFT,10/01/12,22:50,27.95000,27.99500,27.94000,27.98500,150787
NY.MSFT,10/01/12,23:00,27.98500,27.99500,27.96000,27.96500,89137
NY.MSFT,10/01/12,23:10,27.96000,27.97000,27.95000,27.95500,40959
NY.MSFT,10/01/12,23:20,27.95500,27.95500,27.84000,27.85000,204833
NY.MSFT,10/01/12,23:30,27.84500,27.84500,27.79000,27.79000,122045
NY.MSFT,10/01/12,23:40,27.79500,27.80500,27.75000,27.79000,215166
NY.MSFT,10/01/12,23:50,27.79000,27.85000,27.79000,27.84000,280226
NY.MSFT,11/01/12,01:00,27.99500,27.99500,27.99500,27.99500,490
NY.MSFT,11/01/12,17:30,27.44500,27.57500,27.38000,27.49000,827244
NY.MSFT,11/01/12,17:40,27.50000,27.72000,27.49000,27.59000,482498
NY.MSFT,11/01/12,17:50,27.58000,27.62500,27.50000,27.50000,188639
NY.MSFT,11/01/12,18:00,27.50000,27.71500,27.47000,27.71000,338820
NY.MSFT,11/01/12,18:10,27.71000,27.73500,27.69000,27.69000,90524
NY.MSFT,11/01/12,18:20,27.69000,27.89000,27.68500,27.84000,355119
NY.MSFT,11/01/12,18:30,27.83000,27.87500,27.75500,27.87500,179080
NY.MSFT,11/01/12,18:40,27.88000,27.90500,27.86000,27.87000,177024
NY.MSFT,11/01/12,18:50,27.87000,27.91000,27.85000,27.88500,89949
NY.MSFT,11/01/12,19:00,27.88500,27.90500,27.86500,27.88000,244527
NY.MSFT,11/01/12,19:10,27.87000,27.89000,27.85000,27.88500,93418
NY.MSFT,11/01/12,19:20,27.88500,27.89000,27.86000,27.87000,153888
NY.MSFT,11/01/12,19:30,27.86500,27.88500,27.84000,27.86500,186283
NY.MSFT,11/01/12,19:40,27.87000,27.90000,27.85500,27.90000,107371
NY.MSFT,11/01/12,19:50,27.90500,27.90500,27.86000,27.86000,137360
NY.MSFT,11/01/12,20:00,27.85000,27.86000,27.79500,27.83500,268823
NY.MSFT,11/01/12,20:10,27.83500,27.86500,27.82500,27.86500,87249
NY.MSFT,11/01/12,20:20,27.87000,27.87000,27.83000,27.83000,196948
NY.MSFT,11/01/12,20:30,27.84000,27.84000,27.81000,27.81000,63276
NY.MSFT,11/01/12,20:40,27.81000,27.84000,27.80500,27.82000,135955
NY.MSFT,11/01/12,20:50,27.81500,27.84000,27.81000,27.84000,36564
NY.MSFT,11/01/12,21:00,27.84000,27.89500,27.83500,27.89000,116823
NY.MSFT,11/01/12,21:10,27.88500,27.88500,27.85500,27.87000,132865
NY.MSFT,11/01/12,21:20,27.87000,27.93000,27.87000,27.88500,77565
NY.MSFT,11/01/12,21:30,27.88500,27.95000,27.88500,27.94500,169615
NY.MSFT,11/01/12,21:40,27.95000,27.96000,27.92500,27.93500,148596
NY.MSFT,11/01/12,21:50,27.94000,27.95000,27.87000,27.88500,111668
NY.MSFT,11/01/12,22:00,27.89000,27.97000,27.89000,27.95000,192529
NY.MSFT,11/01/12,22:10,27.95000,27.96500,27.93500,27.96000,77983
NY.MSFT,11/01/12,22:20,27.96000,27.96000,27.90000,27.92500,129417
NY.MSFT,11/01/12,22:30,27.92500,27.95000,27.92500,27.94500,89300
NY.MSFT,11/01/12,22:40,27.94500,27.96500,27.93500,27.94500,101120
NY.MSFT,11/01/12,22:50,27.94500,27.94500,27.93000,27.94500,35095
NY.MSFT,11/01/12,23:00,27.94000,27.95500,27.92000,27.92500,102945
NY.MSFT,11/01/12,23:10,27.92500,27.92500,27.90500,27.90500,105858
NY.MSFT,11/01/12,23:20,27.90500,27.95000,27.90500,27.92500,79964
NY.MSFT,11/01/12,23:30,27.92500,27.93000,27.90000,27.91500,96087
NY.MSFT,11/01/12,23:40,27.91000,27.91500,27.84000,27.84000,162143
NY.MSFT,11/01/12,23:50,27.84000,27.86500,27.72000,27.72000,827177
NY.MSFT,12/01/12,17:30,27.89000,27.96000,27.81000,27.93000,161984
NY.MSFT,12/01/12,17:40,27.93000,27.94000,27.84000,27.86000,263098
