<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI,05/01/12,10:00,1435.26001,1439.14001,1434.08997,1439.14001,0
RTSI,05/01/12,10:10,1439.46997,1442.42004,1439.46997,1441.05005,0
RTSI,05/01/12,10:20,1440.94995,1442.04004,1440.94995,1441.21997,0
RTSI,05/01/12,10:30,1441.10999,1441.35999,1438.72998,1438.77002,0
RTSI,05/01/12,10:40,1438.32996,1439.39001,1437.98999,1438.56006,0
RTSI,05/01/12,10:50,1438.45996,1439.10999,1438.45996,1438.72998,0
RTSI,05/01/12,11:00,1439.05005,1439.05005,1438.09998,1438.57996,0
RTSI,05/01/12,11:10,1438.65002,1438.90002,1436.81995,1437.12000,0
RTSI,05/01/12,11:20,1437.25000,1437.91003,1436.81006,1437.30005,0
RTSI,05/01/12,11:30,1437.27002,1439.63000,1437.27002,1439.52002,0
RTSI,05/01/12,11:40,1439.48999,1443.47998,1439.48999,1443.40002,0
RTSI,05/01/12,11:50,1443.31006,1447.29004,1443.01001,1447.09998,0
RTSI,05/01/12,12:00,1447.04004,1447.33997,1444.05005,1444.05005,0
RTSI,05/01/12,12:10,1444.03003,1444.06006,1441.26001,1441.81006,0
RTSI,05/01/12,12:20,1441.98999,1442.40002,1440.71997,1440.71997,0
RTSI,05/01/12,12:30,1439.35999,1439.35999,1434.62000,1436.58997,0
RTSI,05/01/12,12:40,1436.41003,1436.52002,1430.84998,1430.84998,0
RTSI,05/01/12,12:50,1430.85999,1431.43994,1429.08997,1430.25000,0
RTSI,05/01/12,13:00,1430.29004,1430.59998,1427.94995,1429.89001,0
RTSI,05/01/12,13:10,1429.71997,1430.10999,1426.79004,1427.23999,0
RTSI,05/01/12,13:20,1427.05005,1429.47998,1427.05005,1429.37000,0
RTSI,05/01/12,13:30,1429.55005,1429.66003,1428.55005,1428.93994,0
RTSI,05/01/12,13:40,1428.88000,1429.89001,1428.37000,1428.37000,0
RTSI,05/01/12,13:50,1428.29004,1428.50000,1422.38000,1423.06995,0
RTSI,05/01/12,14:00,1422.64001,1423.21997,1421.01001,1422.06995,0
RTSI,05/01/12,14:10,1422.02002,1422.02002,1419.95996,1420.81006,0
RTSI,05/01/12,14:20,1420.47998,1423.07996,1419.71997,1422.73999,0
RTSI,05/01/12,14:30,1422.78003,1422.78003,1418.84998,1419.19995,0
RTSI,05/01/12,14:40,1419.18994,1419.18994,1415.90002,1416.43994,0
RTSI,05/01/12,14:50,1416.39001,1418.04004,1415.58997,1415.58997,0
RTSI,05/01/12,15:00,1415.47998,1417.20996,1414.64001,1417.20996,0
RTSI,05/01/12,15:10,1417.56006,1418.62000,1416.67004,1416.67004,0
RTSI,05/01/12,15:20,1416.71997,1417.13000,1414.81006,1414.81006,0
RTSI,05/01/12,15:30,1414.83997,1415.79004,1413.06006,1413.19995,0
RTSI,05/01/12,15:40,1413.29004,1415.55005,1413.06995,1415.05005,0
RTSI,05/01/12,15:50,1415.01001,1416.48999,1414.41003,1416.48999,0
RTSI,05/01/12,16:00,1416.48999,1416.82996,1415.51001,1416.82996,0
RTSI,05/01/12,16:10,1416.93994,1417.37000,1416.00000,1416.54004,0
RTSI,05/01/12,16:20,1416.52002,1417.57996,1416.08997,1416.70996,0
RTSI,05/01/12,16:30,1416.69995,1417.09998,1416.01001,1416.51001,0
RTSI,05/01/12,16:40,1416.52002,1418.16003,1416.43994,1417.09998,0
RTSI,05/01/12,16:50,1416.93994,1417.38000,1416.51001,1416.51001,0
RTSI,05/01/12,17:00,1416.44995,1418.96997,1415.18005,1418.83997,0
RTSI,05/01/12,17:10,1418.84998,1422.25000,1418.00000,1420.78003,0
RTSI,05/01/12,17:20,1419.52002,1422.93005,1419.52002,1422.93005,0
RTSI,05/01/12,17:30,1423.03003,1424.87000,1421.83997,1422.50000,0
RTSI,05/01/12,17:40,1422.34998,1424.55005,1421.88000,1423.96997,0
RTSI,05/01/12,17:50,1423.93005,1424.46997,1422.81006,1424.46997,0
RTSI,05/01/12,18:00,1425.80005,1427.73999,1425.55005,1425.96997,0
RTSI,05/01/12,18:10,1425.87000,1426.62000,1425.48999,1426.19995,0
RTSI,05/01/12,18:20,1426.20996,1426.20996,1424.73999,1424.89001,0
RTSI,05/01/12,18:30,1424.79004,1425.26001,1421.79004,1421.79004,0
RTSI,05/01/12,18:40,1421.69995,1421.69995,1415.28003,1415.47998,0
RTSI,05/01/12,19:00,1415.22998,1416.31995,1414.82996,1416.31995,0
RTSI,05/01/12,19:10,1416.20996,1417.39001,1415.56006,1416.79004,0
RTSI,05/01/12,19:20,1416.66003,1417.68005,1416.63000,1417.44995,0
RTSI,05/01/12,19:30,1417.41003,1417.95996,1417.17004,1417.95996,0
RTSI,05/01/12,19:40,1418.15002,1418.18994,1416.94995,1417.29004,0
RTSI,05/01/12,19:50,1417.29004,1417.42004,1417.18005,1417.28003,0
RTSI,05/01/12,20:00,1417.30005,1418.00000,1417.30005,1417.78003,0
RTSI,05/01/12,20:10,1417.79004,1420.34998,1417.75000,1418.55005,0
RTSI,05/01/12,20:20,1418.48999,1419.62000,1418.45996,1419.33997,0
RTSI,05/01/12,20:30,1419.33997,1419.48999,1418.90002,1419.15002,0
RTSI,05/01/12,20:40,1419.22998,1419.66003,1419.15002,1419.22998,0
RTSI,05/01/12,20:50,1419.22998,1419.31006,1419.02002,1419.03003,0
RTSI,05/01/12,21:00,1419.03003,1419.46997,1419.03003,1419.46997,0
RTSI,05/01/12,21:10,1419.47998,1420.22998,1419.47998,1420.19995,0
RTSI,05/01/12,21:20,1420.22998,1420.35999,1419.78003,1419.78003,0
RTSI,05/01/12,21:30,1419.78003,1419.84998,1419.68994,1419.68994,0
RTSI,05/01/12,21:40,1419.68994,1419.98999,1419.68994,1419.98999,0
RTSI,05/01/12,21:50,1419.98999,1420.77002,1419.98999,1420.75000,0
RTSI,05/01/12,22:00,1420.75000,1421.77002,1420.75000,1420.75000,0
RTSI,05/01/12,22:10,1420.77002,1420.80005,1420.06006,1420.07996,0
RTSI,05/01/12,22:20,1420.07996,1420.35999,1419.97998,1420.31006,0
RTSI,05/01/12,22:30,1420.19995,1420.21997,1420.13000,1420.21997,0
RTSI,05/01/12,22:40,1420.21997,1421.02002,1420.21997,1420.78003,0
RTSI,05/01/12,22:50,1420.78003,1420.90002,1420.62000,1420.82996,0
RTSI,05/01/12,23:00,1420.82996,1421.63000,1420.82996,1420.95996,0
RTSI,05/01/12,23:10,1420.95996,1421.07996,1420.72998,1420.72998,0
RTSI,05/01/12,23:20,1420.72998,1420.73999,1419.94995,1419.94995,0
RTSI,05/01/12,23:30,1419.93005,1419.93005,1419.91003,1419.91003,0
RTSI,05/01/12,23:40,1419.91003,1419.91003,1419.68994,1419.68994,0
RTSI,05/01/12,23:50,1419.68994,1419.68994,1419.68994,1419.68994,0
RTSI,06/01/12,10:00,1417.21997,1417.51001,1415.52002,1416.25000,0
RTSI,06/01/12,10:10,1415.90002,1415.90002,1414.73999,1415.34998,0
RTSI,06/01/12,10:20,1415.27002,1416.58997,1415.27002,1416.58997,0
RTSI,06/01/12,10:30,1416.57996,1416.57996,1415.39001,1415.50000,0
RTSI,06/01/12,10:40,1415.48999,1416.50000,1414.19995,1414.19995,0
RTSI,06/01/12,10:50,1413.84998,1413.87000,1408.54004,1408.54004,0
RTSI,06/01/12,11:00,1408.39001,1412.88000,1406.17004,1412.87000,0
RTSI,06/01/12,11:10,1412.84998,1413.31995,1410.69995,1411.46997,0
RTSI,06/01/12,11:20,1411.45996,1414.42004,1411.45996,1414.37000,0
RTSI,06/01/12,11:30,1414.72998,1414.72998,1413.03003,1413.30005,0
RTSI,06/01/12,11:40,1413.31006,1413.85999,1412.81995,1412.81995,0
