<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI,05/01/12,00:00,1434.18994,1447.33997,1413.06006,1415.47998,217756688
RTSI,06/01/12,00:00,1415.22998,1435.43005,1406.17004,1423.69995,215199088
RTSI,09/01/12,00:00,1423.22998,1431.32996,1411.33997,1430.13000,232932576
RTSI,10/01/12,00:00,1429.18994,1472.43994,1425.13000,1469.76001,264146624
RTSI,11/01/12,00:00,1469.76001,1471.03003,1445.43994,1452.68994,285116800
RTSI,12/01/12,00:00,1452.68994,1474.30005,1446.84998,1458.23999,281255424
RTSI,13/01/12,00:00,1458.23999,1466.16003,1443.85999,1446.45996,384905792
RTSI,16/01/12,00:00,1446.45996,1456.94995,1427.51001,1455.31995,279142080
RTSI,17/01/12,00:00,1455.31995,1490.55005,1455.31995,1476.31006,344683136
RTSI,18/01/12,00:00,1476.31006,1489.67004,1469.91003,1488.37000,406966848
RTSI,19/01/12,00:00,1488.37000,1507.13000,1487.27002,1503.89001,384002624
RTSI,20/01/12,00:00,1503.89001,1511.22998,1492.39001,1496.41003,373977760
RTSI,23/01/12,00:00,1496.41003,1522.65002,1488.26001,1522.56995,373185184
RTSI,24/01/12,00:00,1525.17004,1525.17004,1508.29004,1514.93005,367864704
RTSI,25/01/12,00:00,1514.93005,1545.02002,1514.84998,1534.14001,370889920
RTSI,26/01/12,00:00,1534.14001,1575.03003,1532.91003,1573.04004,454888480
RTSI,27/01/12,00:00,1573.31995,1574.59998,1557.51001,1565.81995,312651584
RTSI,30/01/12,00:00,1566.00000,1571.57996,1544.01001,1546.58997,289388928
RTSI,31/01/12,00:00,1546.58997,1581.81006,1546.34998,1577.29004,308894048
RTSI,01/02/12,00:00,1577.45996,1601.53003,1557.93994,1599.56006,295898272
RTSI,02/02/12,00:00,1599.56006,1609.09998,1590.06006,1602.98999,312958912
RTSI,03/02/12,00:00,1603.57996,1625.59998,1596.91003,1625.59998,253261632
RTSI,06/02/12,00:00,1625.59998,1631.80005,1616.33997,1626.45996,252644608
RTSI,07/02/12,00:00,1626.56995,1643.76001,1620.60999,1632.34998,250870400
RTSI,08/02/12,00:00,1633.41003,1661.15002,1630.25000,1643.53003,270551168
RTSI,09/02/12,00:00,1643.53003,1659.53003,1623.08997,1638.08997,329393152
RTSI,10/02/12,00:00,1638.08997,1640.82996,1602.57996,1603.25000,342742432
RTSI,13/02/12,00:00,1603.25000,1648.93994,1602.62000,1645.93994,312435232
RTSI,14/02/12,00:00,1646.39001,1657.05005,1631.46997,1644.09998,376050368
RTSI,15/02/12,00:00,1644.09998,1667.28003,1636.33997,1661.35999,389757472
RTSI,16/02/12,00:00,1661.35999,1663.56006,1629.17004,1641.51001,270451808
RTSI,17/02/12,00:00,1642.32996,1665.09998,1642.05005,1656.59998,275033568
RTSI,20/02/12,00:00,1656.59998,1678.55005,1651.43994,1674.27002,208840784
RTSI,21/02/12,00:00,1674.27002,1676.42004,1649.33997,1655.34998,251563472
RTSI,22/02/12,00:00,1653.97998,1669.51001,1634.40002,1642.01001,308432640
RTSI,24/02/12,00:00,1642.01001,1723.17004,1636.42004,1722.05005,327288864
RTSI,27/02/12,00:00,1722.05005,1740.53003,1715.28003,1728.13000,320531744
RTSI,28/02/12,00:00,1728.89001,1743.26001,1707.60999,1708.16003,336935808
RTSI,29/02/12,00:00,1708.16003,1739.85999,1708.16003,1734.98999,333598304
RTSI,01/03/12,00:00,1734.98999,1737.56006,1704.52002,1723.56995,336793632
RTSI,02/03/12,00:00,1723.56995,1734.89001,1704.54004,1726.72998,345757600
RTSI,05/03/12,00:00,1726.72998,1755.64001,1726.72998,1752.17004,337420576
RTSI,06/03/12,00:00,1751.30005,1752.84998,1674.07996,1676.47998,359306528
RTSI,07/03/12,00:00,1676.47998,1683.48999,1663.00000,1677.20996,333537568
RTSI,11/03/12,00:00,1678.57996,1722.69995,1672.77002,1721.27002,90831840
RTSI,12/03/12,00:00,1721.44995,1732.23999,1699.38000,1714.12000,337519808
RTSI,13/03/12,00:00,1714.12000,1733.43994,1705.05005,1729.91003,296278528
RTSI,14/03/12,00:00,1729.69995,1752.56995,1729.69995,1752.02002,343731712
RTSI,15/03/12,00:00,1752.02002,1762.48999,1732.67004,1754.81006,399276736
RTSI,16/03/12,00:00,1754.81006,1758.42004,1739.93005,1748.31995,278035232
RTSI,19/03/12,00:00,1748.31995,1762.70996,1714.63000,1722.50000,525160736
RTSI,20/03/12,00:00,1722.50000,1733.59998,1689.51001,1693.06995,352517120
RTSI,21/03/12,00:00,1693.52002,1709.68005,1677.37000,1686.91003,425026752
RTSI,22/03/12,00:00,1684.14001,1695.34998,1651.06995,1653.80005,336361056
RTSI,23/03/12,00:00,1653.68994,1668.41003,1646.43005,1668.41003,284140320
RTSI,26/03/12,00:00,1668.41003,1716.12000,1667.25000,1712.84998,309554304
RTSI,27/03/12,00:00,1712.84998,1723.96997,1695.67004,1699.68005,304578240
RTSI,28/03/12,00:00,1698.71997,1702.33997,1646.84998,1647.43994,365495360
RTSI,29/03/12,00:00,1647.43994,1653.08997,1607.43994,1613.41003,327352736
RTSI,30/03/12,00:00,1613.41003,1652.84998,1612.98999,1637.72998,325018336
RTSI,02/04/12,00:00,1637.72998,1661.41003,1628.73999,1643.19995,253966848
RTSI,03/04/12,00:00,1643.19995,1687.26001,1643.19995,1681.80005,279914688
RTSI,04/04/12,00:00,1680.08997,1681.58997,1627.62000,1632.20996,302391328
RTSI,05/04/12,00:00,1632.20996,1645.28003,1612.26001,1642.62000,284514816
RTSI,06/04/12,00:00,1642.50000,1646.90002,1611.67004,1613.25000,162697824
RTSI,09/04/12,00:00,1612.26001,1622.08997,1591.92004,1622.06995,247593632
RTSI,10/04/12,00:00,1622.06995,1627.33997,1605.62000,1606.97998,286230944
RTSI,11/04/12,00:00,1606.91003,1625.37000,1586.32996,1615.68994,286358240
RTSI,12/04/12,00:00,1615.68994,1622.63000,1600.05005,1620.18994,309150848
RTSI,13/04/12,00:00,1618.71997,1628.97998,1608.03003,1612.73999,310046528
RTSI,16/04/12,00:00,1612.73999,1617.72998,1583.60999,1587.57996,268747296
RTSI,17/04/12,00:00,1587.57996,1591.91003,1575.81006,1585.40002,253010528
RTSI,18/04/12,00:00,1585.40002,1597.97998,1577.46997,1583.06006,320532096
RTSI,19/04/12,00:00,1583.06006,1615.52002,1578.06006,1609.56006,380334144
RTSI,20/04/12,00:00,1609.16003,1620.18005,1597.18005,1619.53003,301669728
RTSI,23/04/12,00:00,1619.53003,1619.53003,1571.82996,1572.88000,282482432
RTSI,24/04/12,00:00,1572.88000,1587.82996,1565.58997,1576.21997,242870528
RTSI,25/04/12,00:00,1576.21997,1592.80005,1576.21997,1583.42004,234742272
