<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI,05/01/12,10:00,1435.26001,1442.42004,1434.08997,1438.72998,0
RTSI,05/01/12,11:00,1439.05005,1447.29004,1436.81006,1447.09998,0
RTSI,05/01/12,12:00,1447.04004,1447.33997,1429.08997,1430.25000,0
RTSI,05/01/12,13:00,1430.29004,1430.59998,1422.38000,1423.06995,0
RTSI,05/01/12,14:00,1422.64001,1423.21997,1415.58997,1415.58997,0
RTSI,05/01/12,15:00,1415.47998,1418.62000,1413.06006,1416.48999,0
RTSI,05/01/12,16:00,1416.48999,1418.16003,1415.51001,1416.51001,0
RTSI,05/01/12,17:00,1416.44995,1424.87000,1415.18005,1424.46997,0
RTSI,05/01/12,18:00,1425.80005,1427.73999,1415.28003,1415.47998,0
RTSI,05/01/12,19:00,1415.22998,1418.18994,1414.82996,1417.28003,0
RTSI,05/01/12,20:00,1417.30005,1420.34998,1417.30005,1419.03003,0
RTSI,05/01/12,21:00,1419.03003,1420.77002,1419.03003,1420.75000,0
RTSI,05/01/12,22:00,1420.75000,1421.77002,1419.97998,1420.82996,0
RTSI,05/01/12,23:00,1420.82996,1421.63000,1419.68994,1419.68994,0
RTSI,06/01/12,10:00,1417.21997,1417.51001,1408.54004,1408.54004,0
RTSI,06/01/12,11:00,1408.39001,1414.72998,1406.17004,1413.51001,0
RTSI,06/01/12,12:00,1413.53003,1421.75000,1413.53003,1421.52002,0
RTSI,06/01/12,13:00,1421.58997,1423.55005,1420.08997,1420.26001,0
RTSI,06/01/12,14:00,1420.35999,1424.04004,1420.35999,1423.31006,0
RTSI,06/01/12,15:00,1423.37000,1423.37000,1414.51001,1421.09998,0
RTSI,06/01/12,16:00,1421.89001,1429.16003,1421.89001,1426.18994,0
RTSI,06/01/12,17:00,1426.14001,1435.43005,1426.14001,1428.94995,0
RTSI,06/01/12,18:00,1429.14001,1433.57996,1423.68994,1423.69995,0
RTSI,06/01/12,19:00,1423.22998,1423.22998,1417.34998,1419.16003,0
RTSI,06/01/12,20:00,1419.16003,1420.95996,1419.16003,1420.47998,0
RTSI,06/01/12,21:00,1420.47998,1420.47998,1418.17004,1418.76001,0
RTSI,06/01/12,22:00,1418.76001,1419.54004,1418.23999,1419.43005,0
RTSI,06/01/12,23:00,1419.43005,1419.56995,1418.94995,1419.56995,0
RTSI,09/01/12,10:00,1418.68005,1418.68005,1411.33997,1416.43005,0
RTSI,09/01/12,11:00,1415.90002,1422.13000,1413.85999,1422.13000,0
RTSI,09/01/12,12:00,1422.20996,1430.38000,1422.20996,1429.47998,0
RTSI,09/01/12,13:00,1429.69995,1431.32996,1427.01001,1427.94995,0
RTSI,09/01/12,14:00,1428.52002,1430.73999,1428.08997,1428.79004,0
RTSI,09/01/12,15:00,1428.16003,1428.42004,1422.66003,1425.05005,0
RTSI,09/01/12,16:00,1425.10999,1427.68005,1421.41003,1426.20996,0
RTSI,09/01/12,17:00,1426.90002,1427.00000,1422.87000,1425.44995,0
RTSI,09/01/12,18:00,1426.21997,1430.13000,1426.21997,1430.13000,0
RTSI,09/01/12,19:00,1429.18994,1431.16003,1427.62000,1429.06006,0
RTSI,09/01/12,20:00,1429.06006,1429.09998,1425.13000,1427.00000,0
RTSI,09/01/12,21:00,1426.79004,1428.09998,1426.66003,1427.94995,0
RTSI,09/01/12,22:00,1427.94995,1429.01001,1427.52002,1428.88000,0
RTSI,09/01/12,23:00,1428.88000,1429.30005,1428.28003,1428.95996,0
RTSI,10/01/12,10:00,1432.17004,1445.57996,1432.17004,1442.27002,0
RTSI,10/01/12,11:00,1442.35999,1445.09998,1441.48999,1443.41003,0
RTSI,10/01/12,12:00,1444.07996,1451.35999,1440.72998,1450.85999,0
RTSI,10/01/12,13:00,1450.95996,1462.17004,1450.78003,1460.87000,0
RTSI,10/01/12,14:00,1460.94995,1464.29004,1460.94995,1463.63000,0
RTSI,10/01/12,15:00,1463.52002,1465.87000,1462.68005,1462.71997,0
RTSI,10/01/12,16:00,1462.31006,1469.91003,1461.81995,1469.91003,0
RTSI,10/01/12,17:00,1469.94995,1472.43994,1467.69995,1467.70996,0
RTSI,10/01/12,18:00,1467.80005,1470.57996,1467.65002,1469.76001,0
RTSI,10/01/12,19:00,1469.76001,1469.91003,1468.09998,1468.95996,0
RTSI,10/01/12,20:00,1469.01001,1469.21997,1468.03003,1468.03003,0
RTSI,10/01/12,21:00,1468.03003,1468.03003,1465.45996,1466.01001,0
RTSI,10/01/12,22:00,1466.02002,1467.31995,1466.02002,1467.08997,0
RTSI,10/01/12,23:00,1467.08997,1467.29004,1466.20996,1467.29004,0
RTSI,11/01/12,10:00,1467.29004,1467.29004,1457.56006,1462.93994,0
RTSI,11/01/12,11:00,1462.89001,1463.27002,1456.40002,1457.43005,0
RTSI,11/01/12,12:00,1457.04004,1466.51001,1456.25000,1463.20996,0
RTSI,11/01/12,13:00,1463.22998,1471.03003,1461.94995,1469.90002,0
RTSI,11/01/12,14:00,1469.93994,1470.16003,1463.77002,1464.41003,0
RTSI,11/01/12,15:00,1464.10999,1464.27002,1451.66003,1453.41003,0
RTSI,11/01/12,16:00,1453.17004,1457.41003,1445.43994,1456.50000,0
RTSI,11/01/12,17:00,1456.55005,1457.93994,1449.28003,1455.80005,0
RTSI,11/01/12,18:00,1456.21997,1458.93994,1452.68994,1452.68994,0
RTSI,11/01/12,19:00,1452.68994,1455.09998,1451.68994,1453.26001,0
RTSI,11/01/12,20:00,1453.26001,1455.97998,1453.21997,1455.51001,0
RTSI,11/01/12,21:00,1455.51001,1456.98999,1455.50000,1456.47998,0
RTSI,11/01/12,22:00,1456.47998,1456.60999,1456.30005,1456.34998,0
RTSI,11/01/12,23:00,1456.38000,1457.91003,1454.91003,1454.91003,0
RTSI,12/01/12,10:00,1456.22998,1462.97998,1456.22998,1460.56006,0
RTSI,12/01/12,11:00,1460.55005,1461.75000,1448.33997,1449.63000,0
RTSI,12/01/12,12:00,1448.59998,1455.80005,1446.84998,1453.46997,0
RTSI,12/01/12,13:00,1453.41003,1466.23999,1450.00000,1465.47998,0
RTSI,12/01/12,14:00,1465.64001,1473.31006,1465.27002,1471.31006,0
RTSI,12/01/12,15:00,1471.60999,1474.16003,1468.98999,1470.77002,0
RTSI,12/01/12,16:00,1470.73999,1474.30005,1468.32996,1468.94995,0
RTSI,12/01/12,17:00,1468.96997,1468.96997,1458.37000,1460.73999,0
RTSI,12/01/12,18:00,1460.33997,1466.82996,1457.31995,1458.23999,0
RTSI,12/01/12,19:00,1458.23999,1460.44995,1455.87000,1457.47998,0
RTSI,12/01/12,20:00,1457.47998,1458.96997,1457.33997,1458.64001,0
RTSI,12/01/12,21:00,1458.64001,1460.94995,1458.03003,1460.94995,0
RTSI,12/01/12,22:00,1460.94995,1462.44995,1460.94995,1461.73999,0
RTSI,12/01/12,23:00,1461.73999,1461.73999,1457.14001,1458.29004,0
RTSI,13/01/12,10:00,1460.50000,1462.41003,1456.03003,1457.23999,0
RTSI,13/01/12,11:00,1456.78003,1462.53003,1455.70996,1460.18005,0
RTSI,13/01/12,12:00,1460.20996,1461.12000,1454.06006,1456.73999,0
RTSI,13/01/12,13:00,1456.47998,1458.05005,1452.17004,1458.04004,0
RTSI,13/01/12,14:00,1458.69995,1459.95996,1452.55005,1455.50000,0
RTSI,13/01/12,15:00,1455.90002,1460.81995,1454.71997,1457.52002,0
RTSI,13/01/12,16:00,1457.92004,1466.16003,1455.81995,1461.81995,0
RTSI,13/01/12,17:00,1461.91003,1464.68005,1455.76001,1455.76001,0
RTSI,13/01/12,18:00,1455.45996,1455.47998,1443.85999,1446.45996,0
RTSI,13/01/12,19:00,1446.45996,1446.45996,1440.71997,1443.65002,0
RTSI,13/01/12,20:00,1443.67004,1444.55005,1443.39001,1444.26001,0
RTSI,13/01/12,21:00,1444.03003,1444.03003,1442.65002,1443.38000,0
RTSI,13/01/12,22:00,1443.38000,1443.42004,1441.85999,1443.18005,0
RTSI,13/01/12,23:00,1443.18005,1444.70996,1441.66003,1441.98999,0
RTSI,16/01/12,10:00,1439.25000,1439.25000,1427.51001,1433.40002,0
RTSI,16/01/12,11:00,1433.40002,1433.68005,1428.79004,1431.16003,0
RTSI,16/01/12,12:00,1431.05005,1446.10999,1430.06006,1445.59998,0
RTSI,16/01/12,13:00,1445.66003,1447.22998,1442.06995,1442.93005,0
RTSI,16/01/12,14:00,1443.10999,1448.18005,1439.14001,1446.64001,0
RTSI,16/01/12,15:00,1446.73999,1452.68005,1446.73999,1450.19995,0
RTSI,16/01/12,16:00,1450.23999,1453.18994,1449.83997,1451.09998,0
RTSI,16/01/12,17:00,1451.91003,1455.16003,1451.91003,1454.97998,0
RTSI,16/01/12,18:00,1455.18994,1456.94995,1454.65002,1455.31995,0
RTSI,16/01/12,19:00,1455.31995,1459.30005,1455.31995,1456.55005,0
RTSI,16/01/12,20:00,1456.56995,1457.18994,1456.06006,1456.89001,0
RTSI,16/01/12,21:00,1456.88000,1457.66003,1456.64001,1457.53003,0
RTSI,16/01/12,22:00,1457.53003,1458.66003,1457.53003,1458.64001,0
RTSI,16/01/12,23:00,1458.62000,1458.62000,1457.23999,1457.39001,0
RTSI,17/01/12,10:00,1463.08997,1478.85999,1463.08997,1478.21997,0
RTSI,17/01/12,11:00,1478.16003,1488.81006,1478.16003,1488.78003,0
RTSI,17/01/12,12:00,1488.91003,1490.55005,1483.40002,1485.31006,0
RTSI,17/01/12,13:00,1485.55005,1486.44995,1482.81006,1485.39001,0
RTSI,17/01/12,14:00,1485.38000,1487.69995,1480.32996,1480.32996,0
RTSI,17/01/12,15:00,1480.43005,1481.56006,1475.85999,1476.29004,0
RTSI,17/01/12,16:00,1476.30005,1481.17004,1472.13000,1478.98999,0
RTSI,17/01/12,17:00,1477.71997,1481.38000,1472.51001,1473.31995,0
RTSI,17/01/12,18:00,1473.08997,1476.68994,1470.29004,1476.31006,0
RTSI,17/01/12,19:00,1476.31006,1476.31006,1474.40002,1475.17004,0
RTSI,17/01/12,20:00,1475.13000,1476.07996,1475.09998,1475.56995,0
RTSI,17/01/12,21:00,1475.56995,1477.30005,1475.50000,1476.04004,0
RTSI,17/01/12,22:00,1476.03003,1476.18994,1475.18005,1475.32996,0
RTSI,17/01/12,23:00,1475.32996,1475.32996,1473.26001,1473.28003,0
RTSI,18/01/12,10:00,1474.40002,1477.00000,1471.93994,1474.80005,0
RTSI,18/01/12,11:00,1474.79004,1481.44995,1473.54004,1478.82996,0
RTSI,18/01/12,12:00,1478.98999,1479.41003,1469.91003,1476.87000,0
RTSI,18/01/12,13:00,1477.19995,1484.63000,1477.19995,1483.40002,0
RTSI,18/01/12,14:00,1483.43005,1489.67004,1482.53003,1484.41003,0
RTSI,18/01/12,15:00,1483.91003,1486.43005,1483.19995,1485.05005,0
RTSI,18/01/12,16:00,1485.10999,1485.68005,1477.42004,1482.95996,0
RTSI,18/01/12,17:00,1483.08997,1487.25000,1481.85999,1482.77002,0
RTSI,18/01/12,18:00,1482.76001,1488.37000,1481.38000,1488.37000,0
RTSI,18/01/12,19:00,1488.37000,1491.66003,1488.37000,1491.32996,0
RTSI,18/01/12,20:00,1491.56006,1492.12000,1489.60999,1490.01001,0
RTSI,18/01/12,21:00,1490.01001,1495.12000,1490.01001,1494.51001,0
RTSI,18/01/12,22:00,1494.51001,1494.51001,1492.87000,1492.89001,0
RTSI,18/01/12,23:00,1492.89001,1493.60999,1492.57996,1493.07996,0
RTSI,19/01/12,10:00,1495.58997,1501.01001,1495.58997,1497.37000,0
RTSI,19/01/12,11:00,1497.18994,1497.18994,1492.81995,1493.18994,0
RTSI,19/01/12,12:00,1493.33997,1493.95996,1487.27002,1493.64001,0
RTSI,19/01/12,13:00,1493.73999,1495.29004,1488.75000,1489.59998,0
RTSI,19/01/12,14:00,1489.64001,1495.50000,1489.22998,1494.45996,0
RTSI,19/01/12,15:00,1494.68005,1497.22998,1493.09998,1497.06995,0
