<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SP500,05/01/12,00:00,1277.29004,1277.31995,1277.26001,1277.30005,0
SP500,05/01/12,17:30,1277.30005,1277.30005,1269.84998,1270.56006,0
SP500,05/01/12,17:40,1270.55005,1270.55005,1265.83997,1266.82996,0
SP500,05/01/12,17:50,1266.87000,1269.15002,1266.87000,1268.50000,0
SP500,05/01/12,18:00,1268.48999,1268.51001,1265.71997,1268.27002,0
SP500,05/01/12,18:10,1268.30005,1270.79004,1267.52002,1270.79004,0
SP500,05/01/12,18:20,1270.80005,1271.83997,1269.88000,1271.30005,0
SP500,05/01/12,18:30,1271.31006,1271.46997,1268.83997,1269.00000,0
SP500,05/01/12,18:40,1268.97998,1269.70996,1268.23999,1268.50000,0
SP500,05/01/12,18:50,1268.50000,1268.96997,1267.80005,1268.96997,0
SP500,05/01/12,19:00,1269.00000,1270.27002,1269.00000,1269.97998,0
SP500,05/01/12,19:10,1269.95996,1270.18005,1269.32996,1269.88000,0
SP500,05/01/12,19:20,1269.84998,1274.08997,1269.66003,1274.08997,0
SP500,05/01/12,19:30,1274.08997,1274.81006,1274.08997,1274.50000,0
SP500,05/01/12,19:40,1274.50000,1275.67004,1274.50000,1275.67004,0
SP500,05/01/12,19:50,1275.68005,1275.90002,1274.56006,1274.56006,0
SP500,05/01/12,20:00,1274.55005,1274.90002,1274.08997,1274.90002,0
SP500,05/01/12,20:10,1274.90002,1276.34998,1274.88000,1276.21997,0
SP500,05/01/12,20:20,1276.20996,1276.70996,1274.51001,1276.51001,0
SP500,05/01/12,20:30,1276.47998,1276.47998,1275.53003,1275.58997,0
SP500,05/01/12,20:40,1275.57996,1277.67004,1275.52002,1277.64001,0
SP500,05/01/12,20:50,1277.65002,1279.15002,1277.50000,1279.06006,0
SP500,05/01/12,21:00,1279.08997,1279.34998,1278.58997,1279.04004,0
SP500,05/01/12,21:10,1279.08997,1279.40002,1278.76001,1278.95996,0
SP500,05/01/12,21:20,1278.95996,1280.84998,1278.95996,1280.84998,0
SP500,05/01/12,21:30,1280.84998,1281.75000,1280.84998,1281.56006,0
