<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SP500,05/01/12,00:00,1277.30005,1283.02002,1265.71997,1281.06006,0
SP500,06/01/12,00:00,1280.93005,1281.76001,1273.55005,1277.81006,0
SP500,09/01/12,00:00,1277.82996,1281.85999,1274.75000,1280.69995,0
SP500,10/01/12,00:00,1284.55005,1296.18005,1284.55005,1292.07996,0
SP500,11/01/12,00:00,1292.02002,1293.77002,1285.64001,1292.47998,0
SP500,12/01/12,00:00,1292.47998,1296.60999,1285.93994,1295.50000,0
SP500,13/01/12,00:00,1295.50000,1295.50000,1277.67004,1289.08997,0
SP500,16/01/12,00:00,1289.08997,1289.08997,1289.08997,1289.08997,0
SP500,17/01/12,00:00,1290.21997,1302.85999,1290.21997,1293.67004,0
SP500,18/01/12,00:00,1293.65002,1308.04004,1291.13000,1308.04004,0
SP500,19/01/12,00:00,1308.06995,1315.45996,1308.06995,1314.50000,0
SP500,20/01/12,00:00,1314.48999,1315.38000,1309.21997,1315.38000,0
SP500,23/01/12,00:00,1315.29004,1322.20996,1309.97998,1316.00000,0
SP500,24/01/12,00:00,1315.95996,1315.95996,1306.19995,1314.65002,0
SP500,25/01/12,00:00,1314.40002,1328.15002,1307.84998,1326.06006,0
SP500,26/01/12,00:00,1326.28003,1333.37000,1313.83997,1318.43005,0
SP500,27/01/12,00:00,1318.25000,1319.95996,1311.89001,1316.32996,0
SP500,30/01/12,00:00,1316.16003,1316.16003,1300.64001,1313.01001,0
SP500,31/01/12,00:00,1313.53003,1321.28003,1306.88000,1312.41003,0
SP500,01/02/12,00:00,1312.44995,1330.34998,1312.44995,1324.08997,0
SP500,02/02/12,00:00,1324.23999,1328.96997,1321.59998,1325.54004,0
SP500,03/02/12,00:00,1326.20996,1345.04004,1326.20996,1344.90002,0
SP500,06/02/12,00:00,1344.31995,1344.32996,1337.77002,1344.32996,0
SP500,07/02/12,00:00,1344.32996,1349.15002,1336.19995,1347.05005,0
SP500,08/02/12,00:00,1347.04004,1350.93005,1342.21997,1349.95996,0
SP500,09/02/12,00:00,1349.95996,1354.12000,1344.81006,1351.94995,0
SP500,10/02/12,00:00,1351.20996,1351.20996,1337.50000,1342.58997,459
SP500,13/02/12,00:00,1343.06006,1353.31006,1343.06006,1351.77002,0
SP500,14/02/12,00:00,1351.30005,1351.30005,1341.00000,1350.50000,0
SP500,15/02/12,00:00,1350.52002,1355.60999,1340.93005,1343.22998,0
SP500,16/02/12,00:00,1343.22998,1358.81006,1341.52002,1358.04004,0
SP500,17/02/12,00:00,1358.06006,1363.23999,1357.33997,1361.22998,0
SP500,20/02/12,00:00,1361.22998,1361.22998,1361.22998,1361.22998,0
SP500,21/02/12,00:00,1361.21997,1367.70996,1358.31995,1362.20996,0
SP500,22/02/12,00:00,1362.20996,1362.62000,1355.65002,1357.66003,0
SP500,23/02/12,00:00,1357.53003,1364.08997,1352.43005,1363.45996,0
SP500,24/02/12,00:00,1363.45996,1368.88000,1363.45996,1365.73999,0
SP500,27/02/12,00:00,1365.19995,1371.71997,1355.15002,1367.58997,0
SP500,28/02/12,00:00,1367.56006,1372.95996,1366.06995,1372.18005,0
SP500,29/02/12,00:00,1372.19995,1377.97998,1364.06006,1365.68005,0
SP500,01/03/12,00:00,1365.90002,1376.10999,1365.90002,1374.08997,0
SP500,02/03/12,00:00,1374.08997,1374.46997,1366.45996,1369.63000,0
SP500,05/03/12,00:00,1369.58997,1369.58997,1359.44995,1364.32996,0
SP500,06/03/12,00:00,1363.63000,1363.63000,1340.13000,1343.35999,0
SP500,07/03/12,00:00,1343.39001,1354.81006,1343.39001,1352.63000,0
SP500,08/03/12,00:00,1352.65002,1368.68994,1352.65002,1365.91003,0
SP500,09/03/12,00:00,1365.96997,1374.68005,1365.96997,1370.87000,0
SP500,12/03/12,00:00,1370.87000,1372.93994,1366.79004,1371.08997,0
SP500,13/03/12,00:00,1371.92004,1396.07996,1371.92004,1395.94995,0
SP500,14/03/12,00:00,1395.94995,1399.30005,1390.07996,1394.28003,0
SP500,15/03/12,00:00,1394.17004,1402.59998,1392.92004,1402.59998,0
SP500,16/03/12,00:00,1402.55005,1405.78003,1401.57996,1404.17004,0
SP500,19/03/12,00:00,1404.17004,1413.87000,1402.62000,1409.75000,0
SP500,20/03/12,00:00,1409.58997,1409.58997,1397.80005,1405.52002,0
SP500,21/03/12,00:00,1405.52002,1407.62000,1400.97998,1402.89001,0
SP500,22/03/12,00:00,1402.89001,1402.89001,1388.87000,1392.78003,0
SP500,23/03/12,00:00,1392.78003,1399.13000,1387.14001,1397.10999,0
SP500,26/03/12,00:00,1397.10999,1416.55005,1397.10999,1416.51001,0
SP500,27/03/12,00:00,1416.55005,1419.09998,1412.06006,1412.52002,0
SP500,28/03/12,00:00,1412.52002,1413.45996,1397.54004,1405.54004,0
SP500,29/03/12,00:00,1405.39001,1405.39001,1391.93994,1403.28003,0
SP500,30/03/12,00:00,1403.31006,1410.85999,1401.59998,1408.46997,0
SP500,02/04/12,00:00,1408.46997,1422.31006,1404.56006,1419.04004,0
SP500,03/04/12,00:00,1418.97998,1418.98999,1405.02002,1413.38000,0
SP500,04/04/12,00:00,1413.08997,1413.08997,1394.18005,1398.95996,0
SP500,05/04/12,00:00,1398.79004,1401.54004,1393.03003,1398.07996,0
SP500,06/04/12,00:00,1398.07996,1398.07996,1398.07996,1398.07996,0
SP500,09/04/12,00:00,1397.44995,1397.44995,1378.30005,1382.19995,0
SP500,10/04/12,00:00,1382.18005,1382.88000,1357.68994,1358.58997,0
SP500,11/04/12,00:00,1358.97998,1374.62000,1358.97998,1368.70996,0
SP500,12/04/12,00:00,1368.77002,1388.01001,1368.77002,1387.56995,0
SP500,13/04/12,00:00,1387.60999,1387.60999,1369.95996,1370.26001,0
SP500,16/04/12,00:00,1370.27002,1379.52002,1365.68005,1369.56995,0
SP500,17/04/12,00:00,1369.56995,1392.72998,1369.56995,1390.78003,0
SP500,18/04/12,00:00,1390.78003,1390.78003,1383.39001,1385.14001,0
SP500,19/04/12,00:00,1385.07996,1390.20996,1370.50000,1376.92004,0
SP500,20/04/12,00:00,1376.95996,1387.22998,1376.95996,1378.53003,0
SP500,23/04/12,00:00,1378.53003,1378.53003,1358.90002,1366.93994,0
SP500,24/04/12,00:00,1366.96997,1375.47998,1366.90002,1371.96997,0
SP500,25/04/12,00:00,1372.10999,1391.31006,1372.10999,1390.68994,0
SP500,26/04/12,00:00,1390.64001,1402.04004,1387.53003,1399.97998,0
SP500,27/04/12,00:00,1400.18994,1406.62000,1397.44995,1403.35999,0
SP500,30/04/12,00:00,1403.26001,1403.26001,1394.04004,1397.91003,0
SP500,01/05/12,00:00,1397.85999,1415.14001,1396.31006,1405.81995,0
SP500,02/05/12,00:00,1405.50000,1405.50000,1394.26001,1402.31006,0
SP500,03/05/12,00:00,1402.31995,1402.85999,1388.75000,1391.56995,0
SP500,04/05/12,00:00,1391.51001,1391.51001,1368.01001,1369.09998,0
SP500,07/05/12,00:00,1369.09998,1373.85999,1364.01001,1369.57996,0
SP500,08/05/12,00:00,1369.57996,1369.57996,1347.95996,1363.71997,0
SP500,09/05/12,00:00,1363.71997,1363.71997,1343.37000,1354.57996,0
SP500,10/05/12,00:00,1354.57996,1365.62000,1354.57996,1357.98999,0
SP500,11/05/12,00:00,1357.98999,1365.44995,1349.05005,1353.39001,0
SP500,14/05/12,00:00,1353.39001,1353.39001,1336.78003,1338.34998,0
SP500,15/05/12,00:00,1338.34998,1344.91003,1328.50000,1330.66003,0
SP500,16/05/12,00:00,1330.66003,1341.62000,1324.80005,1324.80005,0
SP500,17/05/12,00:00,1324.80005,1326.16003,1304.85999,1304.85999,0
SP500,18/05/12,00:00,1304.85999,1312.08997,1292.14001,1295.21997,0
SP500,21/05/12,00:00,1295.21997,1316.29004,1295.21997,1315.98999,0
SP500,22/05/12,00:00,1315.98999,1328.34998,1310.31006,1316.63000,0
SP500,23/05/12,00:00,1316.63000,1320.35999,1296.62000,1318.85999,0
SP500,24/05/12,00:00,1318.85999,1323.98999,1310.81995,1320.68005,0
SP500,25/05/12,00:00,1320.68005,1324.07996,1314.32996,1317.81995,0
SP500,28/05/12,00:00,1317.81995,1317.81995,1317.81995,1317.81995,0
SP500,29/05/12,00:00,1317.81995,1334.88000,1317.81995,1332.42004,0
SP500,30/05/12,00:00,1332.42004,1332.42004,1311.25000,1313.31995,0
SP500,31/05/12,00:00,1313.31995,1319.40002,1299.14001,1310.32996,0
SP500,01/06/12,00:00,1310.32996,1310.32996,1277.52002,1278.04004,0
SP500,04/06/12,00:00,1278.04004,1282.35999,1266.94995,1278.18005,0
SP500,05/06/12,00:00,1278.18005,1287.43005,1274.40002,1285.50000,0
