<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SP500,01/01/14,00:00,1847.43005,1848.35999,1847.43005,1848.35999,0
SP500,01/01/14,01:00,1848.35999,1848.35999,1848.35999,1848.35999,0
SP500,01/01/14,09:00,1848.35999,1848.35999,1848.35999,1848.35999,0
SP500,02/01/14,02:00,1848.35999,1848.35999,1848.35999,1848.35999,0
SP500,02/01/14,09:00,1848.35999,1848.35999,1848.35999,1848.35999,0
SP500,02/01/14,18:00,1845.85999,1845.85999,1835.85999,1838.64001,0
SP500,02/01/14,19:00,1838.59998,1838.97998,1835.01001,1837.37000,0
SP500,02/01/14,20:00,1837.35999,1838.43005,1831.68005,1832.44995,0
SP500,02/01/14,21:00,1832.50000,1833.65002,1830.60999,1832.37000,0
SP500,02/01/14,22:00,1832.43005,1833.18005,1830.41003,1832.09998,0
SP500,02/01/14,23:00,1832.10999,1833.26001,1828.01001,1830.54004,0
SP500,03/01/14,00:00,1830.47998,1834.27002,1830.27002,1832.10999,0
SP500,03/01/14,01:00,1832.10999,1832.16003,1831.96997,1831.98999,0
SP500,03/01/14,02:00,1831.97998,1831.97998,1831.97998,1831.97998,0
SP500,03/01/14,09:00,1831.97998,1831.97998,1831.97998,1831.97998,0
SP500,03/01/14,18:00,1833.20996,1837.40002,1833.20996,1837.07996,0
SP500,03/01/14,19:00,1837.06006,1838.06006,1835.42004,1835.98999,0
SP500,03/01/14,20:00,1836.01001,1836.76001,1829.66003,1829.77002,0
SP500,03/01/14,21:00,1829.81006,1832.52002,1829.17004,1831.40002,0
SP500,03/01/14,22:00,1831.40002,1831.85999,1829.89001,1830.84998,0
SP500,03/01/14,23:00,1830.84998,1835.56006,1830.78003,1834.66003,0
SP500,04/01/14,00:00,1834.67004,1837.06006,1831.18005,1831.19995,0
SP500,04/01/14,01:00,1831.18005,1831.37000,1831.18005,1831.37000,0
SP500,04/01/14,02:00,1831.37000,1831.37000,1831.37000,1831.37000,0
SP500,06/01/14,09:00,1831.37000,1831.37000,1831.37000,1831.37000,0
SP500,06/01/14,18:00,1832.31006,1837.03003,1830.48999,1832.25000,0
SP500,06/01/14,19:00,1832.25000,1833.48999,1828.54004,1828.70996,0
SP500,06/01/14,20:00,1828.66003,1829.10999,1824.01001,1826.26001,0
SP500,06/01/14,21:00,1826.28003,1826.84998,1824.42004,1826.16003,0
SP500,06/01/14,22:00,1826.14001,1829.95996,1824.81006,1829.80005,0
SP500,06/01/14,23:00,1829.73999,1831.43005,1828.17004,1831.03003,0
SP500,07/01/14,00:00,1831.03003,1831.06006,1827.44995,1827.44995,0
SP500,07/01/14,01:00,1827.35999,1827.35999,1826.68994,1826.77002,0
SP500,07/01/14,02:00,1826.77002,1826.77002,1826.77002,1826.77002,0
SP500,07/01/14,09:00,1826.77002,1826.77002,1826.77002,1826.77002,0
SP500,07/01/14,18:00,1828.70996,1837.31995,1828.70996,1837.31995,0
SP500,07/01/14,19:00,1837.32996,1840.05005,1837.28003,1838.47998,0
SP500,07/01/14,20:00,1838.48999,1838.77002,1836.47998,1836.66003,0
SP500,07/01/14,21:00,1836.65002,1838.25000,1835.92004,1838.25000,0
SP500,07/01/14,22:00,1838.30005,1838.79004,1836.32996,1836.32996,0
SP500,07/01/14,23:00,1836.31006,1837.79004,1834.23999,1837.29004,0
SP500,08/01/14,00:00,1837.29004,1839.65002,1837.29004,1837.95996,0
SP500,08/01/14,01:00,1837.94995,1837.94995,1837.71997,1837.88000,0
SP500,08/01/14,02:00,1837.88000,1837.88000,1837.88000,1837.88000,0
SP500,08/01/14,09:00,1837.88000,1837.88000,1837.88000,1837.88000,0
SP500,08/01/14,18:00,1837.90002,1837.90002,1831.84998,1834.03003,0
SP500,08/01/14,19:00,1834.08997,1839.97998,1834.08997,1838.12000,0
SP500,08/01/14,20:00,1838.12000,1839.31995,1836.18005,1839.03003,0
SP500,08/01/14,21:00,1839.04004,1839.26001,1836.40002,1836.47998,0
SP500,08/01/14,22:00,1836.47998,1838.30005,1835.57996,1837.83997,0
SP500,08/01/14,23:00,1837.82996,1838.63000,1834.89001,1835.72998,0
SP500,09/01/14,00:00,1835.73999,1837.80005,1832.08997,1836.79004,0
SP500,09/01/14,01:00,1836.82996,1837.50000,1836.82996,1837.48999,0
SP500,09/01/14,02:00,1837.48999,1837.48999,1837.48999,1837.48999,0
SP500,09/01/14,09:00,1837.48999,1837.48999,1837.48999,1837.48999,0
SP500,09/01/14,18:00,1839.30005,1843.08997,1839.30005,1841.31006,0
SP500,09/01/14,19:00,1841.38000,1842.62000,1832.19995,1833.28003,0
SP500,09/01/14,20:00,1833.29004,1834.22998,1830.60999,1833.62000,0
