<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.MIX,10,20130108,101000,153760.0000000,153760.0000000,152780.0000000,152800.0000000,713
SPFB.MIX,10,20130108,102000,152850.0000000,152850.0000000,152350.0000000,152530.0000000,260
SPFB.MIX,10,20130108,103000,152500.0000000,152800.0000000,152460.0000000,152620.0000000,359
SPFB.MIX,10,20130108,104000,152700.0000000,152800.0000000,152630.0000000,152760.0000000,51
SPFB.MIX,10,20130108,105000,152760.0000000,152840.0000000,152690.0000000,152780.0000000,351
SPFB.MIX,10,20130108,110000,152800.0000000,152900.0000000,152750.0000000,152900.0000000,188
SPFB.MIX,10,20130108,111000,153000.0000000,153160.0000000,153000.0000000,153040.0000000,26
SPFB.MIX,10,20130108,112000,153050.0000000,153050.0000000,152920.0000000,153020.0000000,68
SPFB.MIX,10,20130108,113000,152940.0000000,152940.0000000,152750.0000000,152840.0000000,32
SPFB.MIX,10,20130108,114000,152800.0000000,152860.0000000,152770.0000000,152860.0000000,36
SPFB.MIX,10,20130108,115000,152850.0000000,152970.0000000,152820.0000000,152970.0000000,24
SPFB.MIX,10,20130108,120000,152900.0000000,152940.0000000,152850.0000000,152890.0000000,6
SPFB.MIX,10,20130108,121000,152850.0000000,153010.0000000,152850.0000000,152950.0000000,9
SPFB.MIX,10,20130108,122000,152940.0000000,153060.0000000,152940.0000000,153060.0000000,23
SPFB.MIX,10,20130108,123000,153110.0000000,153120.0000000,153020.0000000,153020.0000000,29
SPFB.MIX,10,20130108,124000,153040.0000000,153110.0000000,152970.0000000,153090.0000000,43
SPFB.MIX,10,20130108,125000,153080.0000000,153250.0000000,153050.0000000,153180.0000000,67
SPFB.MIX,10,20130108,130000,153200.0000000,153200.0000000,153180.0000000,153190.0000000,4
SPFB.MIX,10,20130108,131000,153060.0000000,153130.0000000,153060.0000000,153130.0000000,3
SPFB.MIX,10,20130108,132000,153130.0000000,153200.0000000,153130.0000000,153200.0000000,9
SPFB.MIX,10,20130108,133000,153160.0000000,153270.0000000,153140.0000000,153270.0000000,21
SPFB.MIX,10,20130108,134000,153220.0000000,153290.0000000,153210.0000000,153290.0000000,22
SPFB.MIX,10,20130108,135000,153290.0000000,153460.0000000,153260.0000000,153390.0000000,99
SPFB.MIX,10,20130108,140000,153440.0000000,153440.0000000,153360.0000000,153360.0000000,17
SPFB.MIX,10,20130108,141000,153360.0000000,153530.0000000,153310.0000000,153460.0000000,26
SPFB.MIX,10,20130108,142000,153410.0000000,153620.0000000,153410.0000000,153570.0000000,46
SPFB.MIX,10,20130108,143000,153530.0000000,153680.0000000,153530.0000000,153670.0000000,27
SPFB.MIX,10,20130108,144000,153610.0000000,153640.0000000,153580.0000000,153580.0000000,6
SPFB.MIX,10,20130108,145000,153580.0000000,153600.0000000,153580.0000000,153600.0000000,4
SPFB.MIX,10,20130108,150000,153580.0000000,153630.0000000,153550.0000000,153610.0000000,27
SPFB.MIX,10,20130108,151000,153650.0000000,153660.0000000,153400.0000000,153400.0000000,21
SPFB.MIX,10,20130108,152000,153410.0000000,153410.0000000,153350.0000000,153370.0000000,7
SPFB.MIX,10,20130108,153000,153410.0000000,153530.0000000,153360.0000000,153500.0000000,26
SPFB.MIX,10,20130108,154000,153470.0000000,153530.0000000,153450.0000000,153530.0000000,8
SPFB.MIX,10,20130108,155000,153530.0000000,153530.0000000,153490.0000000,153500.0000000,29
SPFB.MIX,10,20130108,160000,153500.0000000,153740.0000000,153480.0000000,153480.0000000,82
SPFB.MIX,10,20130108,161000,153400.0000000,153400.0000000,153350.0000000,153380.0000000,29
SPFB.MIX,10,20130108,162000,153350.0000000,153370.0000000,153350.0000000,153370.0000000,3
SPFB.MIX,10,20130108,163000,153350.0000000,153350.0000000,152980.0000000,152980.0000000,47
SPFB.MIX,10,20130108,164000,153020.0000000,153080.0000000,153010.0000000,153010.0000000,11
SPFB.MIX,10,20130108,165000,153030.0000000,153100.0000000,153030.0000000,153100.0000000,14
SPFB.MIX,10,20130108,170000,153140.0000000,153140.0000000,153040.0000000,153080.0000000,5
SPFB.MIX,10,20130108,171000,153140.0000000,153280.0000000,153100.0000000,153170.0000000,82
SPFB.MIX,10,20130108,172000,153240.0000000,153240.0000000,153060.0000000,153060.0000000,7
SPFB.MIX,10,20130108,173000,153100.0000000,153200.0000000,153100.0000000,153190.0000000,14
SPFB.MIX,10,20130108,174000,153150.0000000,153300.0000000,153150.0000000,153270.0000000,37
SPFB.MIX,10,20130108,175000,153310.0000000,153310.0000000,153100.0000000,153100.0000000,54
SPFB.MIX,10,20130108,180000,153100.0000000,153100.0000000,152930.0000000,152970.0000000,24
SPFB.MIX,10,20130108,181000,152930.0000000,153120.0000000,152820.0000000,153120.0000000,236
SPFB.MIX,10,20130108,182000,153120.0000000,153200.0000000,153070.0000000,153070.0000000,57
SPFB.MIX,10,20130108,183000,153040.0000000,153160.0000000,153040.0000000,153110.0000000,10
SPFB.MIX,10,20130108,184000,153140.0000000,153340.0000000,153140.0000000,153340.0000000,213
SPFB.MIX,10,20130108,185000,152980.0000000,152980.0000000,152980.0000000,152980.0000000,0
SPFB.MIX,10,20130108,190000,152980.0000000,152980.0000000,152980.0000000,152980.0000000,0
SPFB.MIX,10,20130108,191000,152980.0000000,152980.0000000,152980.0000000,152980.0000000,3
SPFB.MIX,10,20130108,192000,152980.0000000,152980.0000000,152820.0000000,152820.0000000,20
SPFB.MIX,10,20130108,193000,152790.0000000,152880.0000000,152790.0000000,152880.0000000,14
SPFB.MIX,10,20130108,194000,153000.0000000,153000.0000000,153000.0000000,153000.0000000,1
SPFB.MIX,10,20130108,195000,152980.0000000,153010.0000000,152980.0000000,153010.0000000,2
SPFB.MIX,10,20130108,200000,153040.0000000,153040.0000000,153040.0000000,153040.0000000,1
SPFB.MIX,10,20130108,201000,152940.0000000,152940.0000000,152940.0000000,152940.0000000,1
SPFB.MIX,10,20130108,202000,152880.0000000,152900.0000000,152880.0000000,152890.0000000,3
SPFB.MIX,10,20130108,203000,153040.0000000,153040.0000000,153040.0000000,153040.0000000,0
SPFB.MIX,10,20130108,204000,152980.0000000,153040.0000000,152980.0000000,153040.0000000,2
SPFB.MIX,10,20130108,205000,153100.0000000,153100.0000000,153100.0000000,153100.0000000,0
SPFB.MIX,10,20130108,210000,153100.0000000,153100.0000000,153100.0000000,153100.0000000,0
SPFB.MIX,10,20130108,211000,153100.0000000,153100.0000000,153100.0000000,153100.0000000,2
SPFB.MIX,10,20130108,212000,153020.0000000,153020.0000000,153020.0000000,153020.0000000,0
SPFB.MIX,10,20130108,213000,153020.0000000,153020.0000000,153020.0000000,153020.0000000,0
SPFB.MIX,10,20130108,214000,153020.0000000,153020.0000000,153020.0000000,153020.0000000,0
