<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.MIX,D,20150105,000000,142000.0000000,145950.0000000,138525.0000000,144800.0000000,2002
SPFB.MIX,D,20150106,000000,144900.0000000,149950.0000000,144900.0000000,149400.0000000,4069
SPFB.MIX,D,20150108,000000,149475.0000000,158200.0000000,149425.0000000,157175.0000000,5517
SPFB.MIX,D,20150109,000000,157225.0000000,157950.0000000,150450.0000000,154800.0000000,5954
SPFB.MIX,D,20150112,000000,154300.0000000,155500.0000000,151975.0000000,153600.0000000,5092
SPFB.MIX,D,20150113,000000,153800.0000000,156800.0000000,151100.0000000,156350.0000000,9101
SPFB.MIX,D,20150114,000000,155900.0000000,160375.0000000,153950.0000000,158900.0000000,7856
SPFB.MIX,D,20150115,000000,159400.0000000,159900.0000000,156350.0000000,156700.0000000,10699
SPFB.MIX,D,20150116,000000,156500.0000000,161175.0000000,155425.0000000,160000.0000000,9761
SPFB.MIX,D,20150119,000000,160075.0000000,163900.0000000,157275.0000000,158375.0000000,14487
SPFB.MIX,D,20150120,000000,158600.0000000,161125.0000000,157000.0000000,157800.0000000,10769
SPFB.MIX,D,20150121,000000,157525.0000000,163250.0000000,157525.0000000,162175.0000000,9887
SPFB.MIX,D,20150122,000000,162525.0000000,169200.0000000,162525.0000000,169125.0000000,13277
SPFB.MIX,D,20150123,000000,169100.0000000,171675.0000000,167225.0000000,167875.0000000,13285
SPFB.MIX,D,20150126,000000,168000.0000000,168000.0000000,163000.0000000,164475.0000000,13764
SPFB.MIX,D,20150127,000000,164000.0000000,169875.0000000,162300.0000000,168900.0000000,14484
SPFB.MIX,D,20150128,000000,169275.0000000,171900.0000000,165375.0000000,165800.0000000,13774
SPFB.MIX,D,20150129,000000,165225.0000000,168700.0000000,164800.0000000,166550.0000000,12046
SPFB.MIX,D,20150130,000000,166550.0000000,167600.0000000,162800.0000000,164600.0000000,13648
SPFB.MIX,D,20150202,000000,165000.0000000,166325.0000000,161800.0000000,163800.0000000,12940
SPFB.MIX,D,20150203,000000,163775.0000000,167075.0000000,163025.0000000,166275.0000000,11835
SPFB.MIX,D,20150204,000000,166400.0000000,166700.0000000,164200.0000000,165000.0000000,10210
SPFB.MIX,D,20150205,000000,165200.0000000,170675.0000000,164000.0000000,169900.0000000,14778
SPFB.MIX,D,20150206,000000,169925.0000000,177800.0000000,169675.0000000,177800.0000000,18989
SPFB.MIX,D,20150209,000000,177800.0000000,185850.0000000,175350.0000000,176250.0000000,23596
SPFB.MIX,D,20150210,000000,176250.0000000,180675.0000000,174150.0000000,179500.0000000,14110
SPFB.MIX,D,20150211,000000,179025.0000000,184950.0000000,177475.0000000,180625.0000000,15719
SPFB.MIX,D,20150212,000000,180975.0000000,186000.0000000,176000.0000000,185400.0000000,21772
SPFB.MIX,D,20150213,000000,185750.0000000,185925.0000000,182975.0000000,184450.0000000,14980
