<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.MIX,60,20150105,110000,142000.0000000,143900.0000000,138525.0000000,140000.0000000,499
SPFB.MIX,60,20150105,120000,140400.0000000,142300.0000000,140400.0000000,142300.0000000,168
SPFB.MIX,60,20150105,130000,142050.0000000,144200.0000000,141700.0000000,144200.0000000,194
SPFB.MIX,60,20150105,140000,144150.0000000,144300.0000000,143525.0000000,143525.0000000,73
SPFB.MIX,60,20150105,150000,143775.0000000,144500.0000000,143425.0000000,144150.0000000,81
SPFB.MIX,60,20150105,160000,144250.0000000,144850.0000000,143750.0000000,144275.0000000,88
SPFB.MIX,60,20150105,170000,144600.0000000,145000.0000000,144075.0000000,144200.0000000,85
SPFB.MIX,60,20150105,180000,144075.0000000,144200.0000000,143050.0000000,143800.0000000,176
SPFB.MIX,60,20150105,190000,143875.0000000,145950.0000000,143875.0000000,145150.0000000,268
SPFB.MIX,60,20150105,200000,144750.0000000,145875.0000000,144700.0000000,145300.0000000,79
SPFB.MIX,60,20150105,210000,145675.0000000,145675.0000000,144700.0000000,144700.0000000,62
SPFB.MIX,60,20150105,220000,145125.0000000,145475.0000000,144775.0000000,144800.0000000,91
SPFB.MIX,60,20150105,230000,145225.0000000,145225.0000000,144350.0000000,144400.0000000,90
SPFB.MIX,60,20150106,000000,144575.0000000,144900.0000000,144450.0000000,144800.0000000,48
SPFB.MIX,60,20150106,110000,144900.0000000,148125.0000000,144900.0000000,148125.0000000,321
SPFB.MIX,60,20150106,120000,148075.0000000,148500.0000000,147400.0000000,148275.0000000,104
SPFB.MIX,60,20150106,130000,148550.0000000,149300.0000000,147600.0000000,148875.0000000,778
SPFB.MIX,60,20150106,140000,148900.0000000,149250.0000000,148400.0000000,148475.0000000,244
SPFB.MIX,60,20150106,150000,148600.0000000,148700.0000000,147325.0000000,147575.0000000,415
SPFB.MIX,60,20150106,160000,147500.0000000,148075.0000000,147250.0000000,147250.0000000,134
SPFB.MIX,60,20150106,170000,147275.0000000,148000.0000000,147275.0000000,147750.0000000,95
SPFB.MIX,60,20150106,180000,147800.0000000,148750.0000000,147550.0000000,148750.0000000,169
SPFB.MIX,60,20150106,190000,148750.0000000,149900.0000000,148600.0000000,149900.0000000,323
SPFB.MIX,60,20150106,200000,149500.0000000,149950.0000000,148200.0000000,148975.0000000,532
SPFB.MIX,60,20150106,210000,149275.0000000,149350.0000000,148450.0000000,148900.0000000,167
SPFB.MIX,60,20150106,220000,149000.0000000,149400.0000000,148650.0000000,148875.0000000,132
SPFB.MIX,60,20150106,230000,148875.0000000,149500.0000000,148275.0000000,149500.0000000,320
SPFB.MIX,60,20150107,000000,149200.0000000,149900.0000000,148675.0000000,149400.0000000,335
SPFB.MIX,60,20150108,110000,149475.0000000,152100.0000000,149425.0000000,151775.0000000,1017
SPFB.MIX,60,20150108,120000,151725.0000000,154150.0000000,151225.0000000,153400.0000000,367
SPFB.MIX,60,20150108,130000,153500.0000000,154600.0000000,152875.0000000,154400.0000000,800
SPFB.MIX,60,20150108,140000,154375.0000000,155300.0000000,153300.0000000,154800.0000000,695
SPFB.MIX,60,20150108,150000,154925.0000000,156350.0000000,154925.0000000,156100.0000000,248
SPFB.MIX,60,20150108,160000,156125.0000000,157500.0000000,155825.0000000,157300.0000000,194
SPFB.MIX,60,20150108,170000,157200.0000000,157225.0000000,156250.0000000,157000.0000000,188
SPFB.MIX,60,20150108,180000,156775.0000000,158050.0000000,156700.0000000,157600.0000000,306
