<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS,D,20100111,000000,147500.0000000,157975.0000000,147500.0000000,157010.0000000,200002
SPFB.RTS,D,20100112,000000,157005.0000000,157005.0000000,152185.0000000,152510.0000000,494007
SPFB.RTS,D,20100113,000000,152505.0000000,155965.0000000,151550.0000000,155800.0000000,533834
SPFB.RTS,D,20100114,000000,155800.0000000,157150.0000000,155100.0000000,156795.0000000,512805
SPFB.RTS,D,20100115,000000,156785.0000000,157620.0000000,154750.0000000,155185.0000000,595684
SPFB.RTS,D,20100118,000000,154990.0000000,159975.0000000,154850.0000000,159650.0000000,465413
SPFB.RTS,D,20100119,000000,159645.0000000,161115.0000000,155470.0000000,161030.0000000,770109
SPFB.RTS,D,20100120,000000,160865.0000000,160865.0000000,155500.0000000,156890.0000000,855556
SPFB.RTS,D,20100121,000000,156895.0000000,157775.0000000,151815.0000000,152080.0000000,1002168
SPFB.RTS,D,20100122,000000,152100.0000000,153305.0000000,147470.0000000,147685.0000000,1013861
SPFB.RTS,D,20100125,000000,147800.0000000,151065.0000000,147800.0000000,149810.0000000,830403
SPFB.RTS,D,20100126,000000,149800.0000000,149805.0000000,143850.0000000,144955.0000000,930546
SPFB.RTS,D,20100127,000000,144850.0000000,147415.0000000,142930.0000000,146065.0000000,1039482
SPFB.RTS,D,20100128,000000,146120.0000000,149335.0000000,144525.0000000,145810.0000000,914464
SPFB.RTS,D,20100129,000000,145800.0000000,148500.0000000,144600.0000000,145700.0000000,913983
SPFB.RTS,D,20100201,000000,145785.0000000,149100.0000000,144955.0000000,148995.0000000,754788
SPFB.RTS,D,20100202,000000,149000.0000000,151975.0000000,148415.0000000,151595.0000000,756052
SPFB.RTS,D,20100203,000000,151735.0000000,153825.0000000,150605.0000000,151425.0000000,776726
SPFB.RTS,D,20100204,000000,151330.0000000,151330.0000000,142105.0000000,142255.0000000,903410
