<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS,60,20100111,110000,147500.0000000,155140.0000000,147500.0000000,154850.0000000,26764
SPFB.RTS,60,20100111,120000,154850.0000000,155675.0000000,154750.0000000,155545.0000000,25378
SPFB.RTS,60,20100111,130000,155565.0000000,157050.0000000,155405.0000000,156770.0000000,20436
SPFB.RTS,60,20100111,140000,156790.0000000,157975.0000000,156770.0000000,157050.0000000,25885
SPFB.RTS,60,20100111,150000,157000.0000000,157095.0000000,156565.0000000,156645.0000000,7911
SPFB.RTS,60,20100111,160000,156645.0000000,157600.0000000,156360.0000000,157275.0000000,16011
SPFB.RTS,60,20100111,170000,157255.0000000,157595.0000000,157210.0000000,157550.0000000,11764
SPFB.RTS,60,20100111,180000,157550.0000000,157600.0000000,157130.0000000,157155.0000000,14366
SPFB.RTS,60,20100111,190000,157160.0000000,157375.0000000,156660.0000000,157090.0000000,15690
SPFB.RTS,60,20100111,200000,157275.0000000,157370.0000000,156560.0000000,156805.0000000,11481
SPFB.RTS,60,20100111,210000,156820.0000000,156845.0000000,156505.0000000,156605.0000000,5107
SPFB.RTS,60,20100111,220000,156625.0000000,157025.0000000,156535.0000000,156945.0000000,6141
SPFB.RTS,60,20100111,230000,156945.0000000,156985.0000000,156720.0000000,156940.0000000,4027
SPFB.RTS,60,20100112,000000,156940.0000000,157455.0000000,156905.0000000,157010.0000000,9041
SPFB.RTS,60,20100112,110000,157005.0000000,157005.0000000,155800.0000000,155875.0000000,41147
SPFB.RTS,60,20100112,120000,155875.0000000,156295.0000000,154850.0000000,154890.0000000,79421
SPFB.RTS,60,20100112,130000,154910.0000000,155390.0000000,154365.0000000,155210.0000000,55763
SPFB.RTS,60,20100112,140000,155205.0000000,155780.0000000,155105.0000000,155455.0000000,27057
SPFB.RTS,60,20100112,150000,155440.0000000,155440.0000000,153815.0000000,154365.0000000,53149
SPFB.RTS,60,20100112,160000,154365.0000000,154590.0000000,154055.0000000,154135.0000000,25324
SPFB.RTS,60,20100112,170000,154135.0000000,154345.0000000,153540.0000000,153685.0000000,39711
SPFB.RTS,60,20100112,180000,153680.0000000,154355.0000000,153400.0000000,154320.0000000,52085
SPFB.RTS,60,20100112,190000,154300.0000000,154500.0000000,154000.0000000,154450.0000000,32108
SPFB.RTS,60,20100112,200000,154400.0000000,154960.0000000,154255.0000000,154635.0000000,15654
SPFB.RTS,60,20100112,210000,154640.0000000,154730.0000000,153610.0000000,153675.0000000,18168
SPFB.RTS,60,20100112,220000,153675.0000000,153735.0000000,152560.0000000,152825.0000000,26806
SPFB.RTS,60,20100112,230000,152820.0000000,152820.0000000,152185.0000000,152565.0000000,17964
SPFB.RTS,60,20100113,000000,152580.0000000,152620.0000000,152350.0000000,152510.0000000,9650
SPFB.RTS,60,20100113,110000,152505.0000000,152650.0000000,151550.0000000,152025.0000000,39448
SPFB.RTS,60,20100113,120000,152015.0000000,153385.0000000,151985.0000000,153215.0000000,78816
SPFB.RTS,60,20100113,130000,153200.0000000,154510.0000000,153120.0000000,154100.0000000,61871
SPFB.RTS,60,20100113,140000,154085.0000000,154705.0000000,153715.0000000,154345.0000000,38592
SPFB.RTS,60,20100113,150000,154375.0000000,154600.0000000,154170.0000000,154325.0000000,20526
SPFB.RTS,60,20100113,160000,154365.0000000,155265.0000000,154305.0000000,155190.0000000,38391
SPFB.RTS,60,20100113,170000,155200.0000000,155550.0000000,154865.0000000,155420.0000000,37953
SPFB.RTS,60,20100113,180000,155420.0000000,155800.0000000,154700.0000000,154840.0000000,51634
