<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS,10,20150105,101000,78450.0000000,78450.0000000,73200.0000000,74700.0000000,24876
SPFB.RTS,10,20150105,102000,74700.0000000,74720.0000000,73620.0000000,74430.0000000,8844
SPFB.RTS,10,20150105,103000,74400.0000000,74720.0000000,73600.0000000,73610.0000000,9187
SPFB.RTS,10,20150105,104000,73630.0000000,73910.0000000,73320.0000000,73720.0000000,5119
SPFB.RTS,10,20150105,105000,73710.0000000,73810.0000000,73440.0000000,73470.0000000,3106
SPFB.RTS,10,20150105,110000,73470.0000000,73510.0000000,72470.0000000,72670.0000000,10727
SPFB.RTS,10,20150105,111000,72680.0000000,73850.0000000,72620.0000000,73660.0000000,6903
SPFB.RTS,10,20150105,112000,73690.0000000,74250.0000000,73510.0000000,74090.0000000,6726
SPFB.RTS,10,20150105,113000,74090.0000000,74500.0000000,74010.0000000,74500.0000000,10950
SPFB.RTS,10,20150105,114000,74490.0000000,74680.0000000,74150.0000000,74370.0000000,5946
SPFB.RTS,10,20150105,115000,74380.0000000,74930.0000000,74340.0000000,74810.0000000,4705
SPFB.RTS,10,20150105,120000,74800.0000000,75400.0000000,74800.0000000,75280.0000000,7420
SPFB.RTS,10,20150105,121000,75280.0000000,75290.0000000,74730.0000000,75080.0000000,5655
SPFB.RTS,10,20150105,122000,75080.0000000,75270.0000000,74830.0000000,74870.0000000,3200
SPFB.RTS,10,20150105,123000,74850.0000000,74900.0000000,74560.0000000,74830.0000000,3382
SPFB.RTS,10,20150105,124000,74820.0000000,75830.0000000,74590.0000000,75580.0000000,8401
SPFB.RTS,10,20150105,125000,75580.0000000,75920.0000000,75440.0000000,75740.0000000,4928
SPFB.RTS,10,20150105,130000,75760.0000000,75900.0000000,75490.0000000,75850.0000000,5395
SPFB.RTS,10,20150105,131000,75860.0000000,75870.0000000,75650.0000000,75700.0000000,2554
SPFB.RTS,10,20150105,132000,75710.0000000,75770.0000000,75510.0000000,75640.0000000,2375
SPFB.RTS,10,20150105,133000,75650.0000000,75870.0000000,75580.0000000,75750.0000000,3164
SPFB.RTS,10,20150105,134000,75740.0000000,75790.0000000,75640.0000000,75690.0000000,1810
SPFB.RTS,10,20150105,135000,75670.0000000,75720.0000000,75540.0000000,75540.0000000,2129
SPFB.RTS,10,20150105,140000,75560.0000000,75620.0000000,74890.0000000,75030.0000000,8038
SPFB.RTS,10,20150105,141000,75030.0000000,75210.0000000,74950.0000000,75050.0000000,4241
SPFB.RTS,10,20150105,142000,75060.0000000,75320.0000000,74950.0000000,75220.0000000,3104
SPFB.RTS,10,20150105,143000,75220.0000000,75220.0000000,75020.0000000,75100.0000000,2415
SPFB.RTS,10,20150105,144000,75110.0000000,75400.0000000,74960.0000000,75400.0000000,2427
SPFB.RTS,10,20150105,145000,75410.0000000,75610.0000000,75270.0000000,75460.0000000,6760
SPFB.RTS,10,20150105,150000,75460.0000000,75680.0000000,75420.0000000,75480.0000000,2994
SPFB.RTS,10,20150105,151000,75470.0000000,75560.0000000,75160.0000000,75360.0000000,2493
SPFB.RTS,10,20150105,152000,75360.0000000,75370.0000000,74670.0000000,74790.0000000,4138
SPFB.RTS,10,20150105,153000,74800.0000000,74930.0000000,74540.0000000,74620.0000000,3855
SPFB.RTS,10,20150105,154000,74600.0000000,74690.0000000,74300.0000000,74560.0000000,6721
SPFB.RTS,10,20150105,155000,74570.0000000,74590.0000000,74080.0000000,74260.0000000,5244
SPFB.RTS,10,20150105,160000,74240.0000000,74530.0000000,74090.0000000,74440.0000000,3756
SPFB.RTS,10,20150105,161000,74460.0000000,75100.0000000,74390.0000000,75030.0000000,6664
SPFB.RTS,10,20150105,162000,75020.0000000,75080.0000000,74420.0000000,74480.0000000,5121
SPFB.RTS,10,20150105,163000,74500.0000000,74700.0000000,74410.0000000,74610.0000000,3159
SPFB.RTS,10,20150105,164000,74590.0000000,74710.0000000,74410.0000000,74500.0000000,3329
SPFB.RTS,10,20150105,165000,74500.0000000,74560.0000000,74000.0000000,74080.0000000,3192
SPFB.RTS,10,20150105,170000,74070.0000000,74310.0000000,74010.0000000,74130.0000000,2135
SPFB.RTS,10,20150105,171000,74120.0000000,74210.0000000,74020.0000000,74110.0000000,1992
SPFB.RTS,10,20150105,172000,74100.0000000,74190.0000000,73700.0000000,73820.0000000,6402
SPFB.RTS,10,20150105,173000,73830.0000000,74170.0000000,73810.0000000,74040.0000000,2925
SPFB.RTS,10,20150105,174000,74040.0000000,74120.0000000,73500.0000000,73550.0000000,6307
SPFB.RTS,10,20150105,175000,73550.0000000,73710.0000000,73270.0000000,73570.0000000,5819
SPFB.RTS,10,20150105,180000,73580.0000000,73900.0000000,73570.0000000,73880.0000000,5841
SPFB.RTS,10,20150105,181000,73860.0000000,74600.0000000,73810.0000000,74570.0000000,10606
SPFB.RTS,10,20150105,182000,74570.0000000,74690.0000000,74270.0000000,74450.0000000,6972
SPFB.RTS,10,20150105,183000,74460.0000000,75280.0000000,74440.0000000,75280.0000000,19503
SPFB.RTS,10,20150105,184000,75280.0000000,75300.0000000,74310.0000000,74640.0000000,11764
SPFB.RTS,10,20150105,185000,74650.0000000,74800.0000000,74330.0000000,74600.0000000,4983
SPFB.RTS,10,20150105,190000,74510.0000000,74510.0000000,74510.0000000,74510.0000000,0
SPFB.RTS,10,20150105,191000,74470.0000000,74610.0000000,74110.0000000,74510.0000000,2336
SPFB.RTS,10,20150105,192000,74520.0000000,74520.0000000,74210.0000000,74230.0000000,1751
SPFB.RTS,10,20150105,193000,74230.0000000,74380.0000000,73730.0000000,73790.0000000,2992
SPFB.RTS,10,20150105,194000,73790.0000000,74100.0000000,73600.0000000,73820.0000000,4072
SPFB.RTS,10,20150105,195000,73830.0000000,74060.0000000,73600.0000000,73980.0000000,2292
SPFB.RTS,10,20150105,200000,73980.0000000,74250.0000000,73750.0000000,73790.0000000,3745
SPFB.RTS,10,20150105,201000,73770.0000000,73980.0000000,73600.0000000,73630.0000000,2079
SPFB.RTS,10,20150105,202000,73630.0000000,73860.0000000,73510.0000000,73750.0000000,2608
SPFB.RTS,10,20150105,203000,73780.0000000,73870.0000000,73330.0000000,73440.0000000,2054
SPFB.RTS,10,20150105,204000,73420.0000000,73730.0000000,73420.0000000,73640.0000000,1804
SPFB.RTS,10,20150105,205000,73610.0000000,74030.0000000,73590.0000000,73870.0000000,2549
SPFB.RTS,10,20150105,210000,73880.0000000,73960.0000000,73410.0000000,73550.0000000,2050
SPFB.RTS,10,20150105,211000,73550.0000000,73870.0000000,73200.0000000,73700.0000000,3360
SPFB.RTS,10,20150105,212000,73680.0000000,73690.0000000,73250.0000000,73310.0000000,2373
SPFB.RTS,10,20150105,213000,73290.0000000,73440.0000000,73240.0000000,73290.0000000,1491
SPFB.RTS,10,20150105,214000,73280.0000000,73560.0000000,73250.0000000,73420.0000000,2184
SPFB.RTS,10,20150105,215000,73420.0000000,73760.0000000,73370.0000000,73560.0000000,2249
SPFB.RTS,10,20150105,220000,73540.0000000,73750.0000000,73510.0000000,73650.0000000,1555
SPFB.RTS,10,20150105,221000,73630.0000000,73630.0000000,73310.0000000,73380.0000000,1822
SPFB.RTS,10,20150105,222000,73380.0000000,73500.0000000,73030.0000000,73240.0000000,3827
SPFB.RTS,10,20150105,223000,73230.0000000,73340.0000000,73080.0000000,73160.0000000,1260
SPFB.RTS,10,20150105,224000,73170.0000000,73190.0000000,72870.0000000,72940.0000000,4187
SPFB.RTS,10,20150105,225000,72940.0000000,73070.0000000,72900.0000000,73040.0000000,1024
SPFB.RTS,10,20150105,230000,73040.0000000,73040.0000000,72700.0000000,72840.0000000,2790
