<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.GE,10,20150102,174000,25.3400000,25.4550000,25.3400000,25.4200000,136536
US1.GE,10,20150102,175000,25.4100000,25.4100000,25.3800000,25.3900000,56019
US1.GE,10,20150102,180000,25.3950000,25.4050000,25.3500000,25.3600000,28129
US1.GE,10,20150102,181000,25.3600000,25.3700000,25.2150000,25.2150000,103853
US1.GE,10,20150102,182000,25.2200000,25.2300000,25.1200000,25.1400000,187163
US1.GE,10,20150102,183000,25.1300000,25.1800000,25.1300000,25.1600000,97561
US1.GE,10,20150102,184000,25.1600000,25.1650000,25.1050000,25.1200000,124041
US1.GE,10,20150102,185000,25.1200000,25.1300000,25.0750000,25.1250000,109082
US1.GE,10,20150102,190000,25.1250000,25.1250000,25.0250000,25.0550000,205868
US1.GE,10,20150102,191000,25.0500000,25.0600000,25.0100000,25.0600000,95944
US1.GE,10,20150102,192000,25.0650000,25.0650000,24.9700000,25.0200000,145200
US1.GE,10,20150102,193000,25.0100000,25.0350000,25.0000000,25.0100000,219991
US1.GE,10,20150102,194000,25.0100000,25.0200000,24.9350000,24.9450000,171239
US1.GE,10,20150102,195000,24.9450000,24.9450000,24.9050000,24.9050000,93846
US1.GE,10,20150102,200000,24.9050000,24.9100000,24.8750000,24.8950000,72275
US1.GE,10,20150102,201000,24.8900000,24.9800000,24.8850000,24.9800000,65157
US1.GE,10,20150102,202000,24.9800000,24.9900000,24.9500000,24.9800000,22534
US1.GE,10,20150102,203000,24.9800000,24.9850000,24.9450000,24.9600000,77569
US1.GE,10,20150102,204000,24.9600000,25.0150000,24.9600000,25.0050000,107113
US1.GE,10,20150102,205000,25.0000000,25.0000000,24.9500000,24.9600000,26346
US1.GE,10,20150102,210000,24.9550000,25.0000000,24.9550000,24.9650000,38418
US1.GE,10,20150102,211000,24.9700000,25.0100000,24.9700000,25.0100000,126248
US1.GE,10,20150102,212000,25.0100000,25.0100000,24.9700000,24.9950000,39054
US1.GE,10,20150102,213000,24.9950000,25.0150000,24.9400000,24.9400000,28060
