<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.GE,D,20150102,000000,25.3400000,25.4550000,24.8750000,25.0600000,3736318
US1.GE,D,20150105,000000,24.9900000,25.0100000,24.5250000,24.6000000,2875631
US1.GE,D,20150106,000000,24.4500000,24.5600000,23.9500000,24.0500000,5121965
US1.GE,D,20150107,000000,24.2200000,24.3900000,23.9850000,24.0700000,3905465
US1.GE,D,20150108,000000,24.3400000,24.3800000,24.1300000,24.3700000,3275454
US1.GE,D,20150109,000000,24.5200000,24.5300000,23.9550000,24.0500000,2935280
US1.GE,D,20150112,000000,24.0650000,24.1400000,23.7700000,23.9700000,2962003
US1.GE,D,20150113,000000,24.2400000,24.3300000,23.6350000,23.8500000,3917653
US1.GE,D,20150114,000000,23.6400000,23.8450000,23.4200000,23.7800000,4802991
US1.GE,D,20150115,000000,23.8600000,23.9600000,23.5600000,23.5800000,3036065
US1.GE,D,20150116,000000,23.5100000,23.6400000,23.4500000,23.5900000,5013269
US1.GE,D,20150120,000000,23.8300000,23.8650000,23.5550000,23.8500000,2848538
US1.GE,D,20150121,000000,23.8300000,24.0800000,23.7100000,24.0400000,36315215
US1.GE,D,20150122,000000,24.2900000,24.3600000,23.9700000,24.2900000,4832329
US1.GE,D,20150123,000000,24.4300000,24.8800000,24.2900000,24.4800000,4070941
US1.GE,D,20150126,000000,24.7200000,24.7400000,24.4050000,24.5900000,2889047
US1.GE,D,20150127,000000,24.3900000,24.4600000,24.2350000,24.3800000,3206461
US1.GE,D,20150128,000000,24.4400000,24.4900000,23.8100000,23.8500000,5135751
US1.GE,D,20150129,000000,23.8250000,24.1150000,23.7800000,24.0750000,4470674
US1.GE,D,20150130,000000,23.8600000,24.1100000,23.8200000,23.8900000,5288874
US1.GE,D,20150202,000000,23.9900000,24.2200000,23.9050000,24.2000000,4024763
US1.GE,D,20150203,000000,24.2800000,24.5250000,24.2600000,24.4750000,3605662
US1.GE,D,20150204,000000,24.3900000,24.4300000,24.0800000,24.1600000,2718662
US1.GE,D,20150205,000000,24.2800000,24.5000000,24.2400000,24.4900000,1960449
US1.GE,D,20150206,000000,24.5300000,24.7500000,24.4750000,24.5300000,2182975
US1.GE,D,20150209,000000,24.4700000,24.7500000,24.4500000,24.6350000,2715097
US1.GE,D,20150210,000000,24.7600000,24.7900000,24.5850000,24.7100000,2382606
US1.GE,D,20150211,000000,24.7100000,24.8200000,24.6000000,24.7550000,2038652
US1.GE,D,20150212,000000,24.8100000,24.9850000,24.7150000,24.8900000,2311824
US1.GE,D,20150213,000000,24.9900000,25.1650000,24.9400000,25.1400000,2524106
US1.GE,D,20150217,000000,25.1200000,25.2100000,24.9800000,25.1450000,2188257
US1.GE,D,20150218,000000,25.2900000,25.2900000,25.1550000,25.2500000,2236756
US1.GE,D,20150219,000000,25.0300000,25.2050000,24.9500000,25.0100000,2701187
US1.GE,D,20150220,000000,24.8700000,25.2150000,24.8000000,25.1950000,3162008
US1.GE,D,20150223,000000,25.2100000,25.2950000,25.1050000,25.1600000,2381733
US1.GE,D,20150224,000000,25.1100000,25.4500000,25.0900000,25.3900000,2571653
US1.GE,D,20150225,000000,25.4550000,26.0550000,25.4400000,25.9100000,5295591
US1.GE,D,20150226,000000,25.9000000,26.0100000,25.8100000,25.9000000,3367216
US1.GE,D,20150227,000000,25.8300000,26.2650000,25.7550000,25.9900000,5114732
US1.GE,D,20150302,000000,25.8800000,26.1150000,25.8500000,26.1050000,2395602
US1.GE,D,20150303,000000,26.0200000,26.0800000,25.7850000,25.8600000,2016061
US1.GE,D,20150304,000000,25.7300000,25.7400000,25.4700000,25.6600000,3163640
US1.GE,D,20150305,000000,25.6200000,25.8100000,25.5800000,25.8000000,2436023
US1.GE,D,20150306,000000,25.7100000,25.7800000,25.3300000,25.4150000,2901312
US1.GE,D,20150309,000000,25.5100000,25.7000000,25.5000000,25.6600000,2236673
US1.GE,D,20150310,000000,25.5000000,25.6400000,25.1800000,25.1900000,3395338
US1.GE,D,20150311,000000,25.2700000,25.4800000,25.1350000,25.2100000,3558100
US1.GE,D,20150312,000000,25.2700000,25.4050000,25.1800000,25.3950000,1980949
US1.GE,D,20150313,000000,25.2800000,25.3500000,24.8150000,25.0300000,4233250
US1.GE,D,20150316,000000,25.0600000,25.4750000,24.9600000,25.4600000,2816999
US1.GE,D,20150317,000000,25.3000000,25.3900000,25.0950000,25.3300000,3520792
US1.GE,D,20150318,000000,25.2000000,25.7800000,25.1100000,25.6400000,4778241
US1.GE,D,20150319,000000,25.4300000,25.6100000,25.2600000,25.3250000,2707418
US1.GE,D,20150320,000000,25.3400000,25.5300000,25.3100000,25.4050000,2644004
US1.GE,D,20150323,000000,25.4700000,25.7300000,25.4600000,25.4700000,2257581
US1.GE,D,20150324,000000,25.3800000,25.4700000,25.2800000,25.2800000,2038344
US1.GE,D,20150325,000000,25.2200000,25.3300000,24.9150000,24.9200000,2872894
US1.GE,D,20150326,000000,24.8100000,24.9200000,24.6750000,24.8050000,3108461
US1.GE,D,20150327,000000,24.9200000,24.9200000,24.7200000,24.8550000,2548014
US1.GE,D,20150330,000000,25.0000000,25.1950000,24.9750000,25.1200000,2201985
US1.GE,D,20150331,000000,25.0900000,25.0900000,24.8100000,24.8300000,2369192
US1.GE,D,20150401,000000,24.7200000,24.9150000,24.5700000,24.8300000,3130085
US1.GE,D,20150402,000000,24.8100000,24.9950000,24.7100000,24.9400000,2150832
US1.GE,D,20150406,000000,24.9100000,25.4050000,24.7900000,25.1850000,2871809
US1.GE,D,20150407,000000,25.1400000,25.2800000,25.0000000,25.0100000,1357564
US1.GE,D,20150408,000000,25.0500000,25.1200000,24.8800000,25.0050000,1987529
US1.GE,D,20150409,000000,25.1200000,25.8300000,24.9150000,25.7200000,5194034
US1.GE,D,20150410,000000,27.1300000,28.6750000,27.0100000,28.5200000,18136050
US1.GE,D,20150413,000000,28.0600000,28.1800000,27.5050000,27.6300000,10833418
US1.GE,D,20150414,000000,27.4800000,27.8350000,27.3900000,27.7100000,3125272
US1.GE,D,20150415,000000,27.6700000,27.8450000,27.4400000,27.4400000,3088436
US1.GE,D,20150416,000000,27.3200000,27.4900000,27.1850000,27.2850000,3620710
US1.GE,D,20150417,000000,27.3700000,27.6700000,26.9300000,27.2300000,5868331
US1.GE,D,20150420,000000,27.3200000,27.4400000,27.0100000,27.0300000,4364577
US1.GE,D,20150421,000000,27.0300000,27.0600000,26.5550000,26.6250000,3572239
US1.GE,D,20150422,000000,26.6800000,27.0200000,26.6000000,26.9150000,2520830
US1.GE,D,20150423,000000,26.7900000,27.0650000,26.7100000,26.8600000,2435378
US1.GE,D,20150424,000000,26.8900000,26.8900000,26.7000000,26.8150000,1692840
US1.GE,D,20150427,000000,26.9700000,26.9900000,26.8200000,26.9050000,2469991
US1.GE,D,20150428,000000,26.9600000,27.1550000,26.6400000,27.1250000,3278177
US1.GE,D,20150429,000000,26.9200000,27.2500000,26.9000000,27.1100000,3340608
US1.GE,D,20150430,000000,27.0500000,27.3500000,26.9700000,27.0850000,4566459
US1.GE,D,20150501,000000,27.1100000,27.3150000,27.0000000,27.3050000,2194917
US1.GE,D,20150504,000000,27.3600000,27.6100000,27.2500000,27.2750000,1201384
US1.GE,D,20150505,000000,27.2700000,27.3500000,26.8550000,26.9250000,1790657
US1.GE,D,20150506,000000,27.0100000,27.1800000,26.6150000,26.8250000,2321367
US1.GE,D,20150507,000000,26.7800000,27.1150000,26.6700000,27.0450000,2466121
US1.GE,D,20150508,000000,27.2700000,27.4850000,27.2400000,27.3550000,2787339
US1.GE,D,20150511,000000,27.2600000,27.3000000,26.8650000,26.9150000,2125391
US1.GE,D,20150512,000000,26.8100000,27.0900000,26.7500000,27.0350000,1844023
US1.GE,D,20150513,000000,27.0300000,27.2300000,26.9250000,27.2150000,2591152
US1.GE,D,20150514,000000,27.3200000,27.4200000,27.1600000,27.4050000,1919232
US1.GE,D,20150515,000000,27.3800000,27.4350000,27.2550000,27.2800000,1810403
US1.GE,D,20150518,000000,27.2200000,27.3800000,27.2200000,27.3000000,1940367
US1.GE,D,20150519,000000,27.2700000,27.3900000,27.2200000,27.3550000,1294588
US1.GE,D,20150520,000000,27.3500000,27.6950000,27.2000000,27.6500000,2604978
US1.GE,D,20150521,000000,27.6600000,27.7900000,27.5500000,27.7350000,2959058
US1.GE,D,20150522,000000,27.6900000,27.7700000,27.6200000,27.6900000,1397591
US1.GE,D,20150526,000000,27.5100000,27.5800000,27.3800000,27.5400000,4022955
US1.GE,D,20150527,000000,27.5700000,27.6200000,27.4600000,27.5100000,1217762
US1.GE,D,20150528,000000,27.5000000,27.6300000,27.3050000,27.6300000,1327333
US1.GE,D,20150529,000000,27.4800000,27.4950000,27.2900000,27.2950000,2230989
US1.GE,D,20150601,000000,27.2600000,27.3400000,27.0700000,27.2700000,1992718
US1.GE,D,20150602,000000,27.2200000,27.4150000,27.1600000,27.3500000,1237048
US1.GE,D,20150603,000000,27.4300000,27.5600000,27.3650000,27.5450000,3358911
US1.GE,D,20150604,000000,27.4200000,27.6150000,27.2100000,27.2800000,2174313
US1.GE,D,20150605,000000,27.2300000,27.3700000,27.1700000,27.2900000,1901633
US1.GE,D,20150608,000000,27.2900000,27.3550000,27.2150000,27.2400000,1756119
US1.GE,D,20150609,000000,27.2600000,27.4600000,27.1700000,27.3250000,2316204
