<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.GE,60,20150102,180000,25.3400000,25.4550000,25.3400000,25.3600000,220684
US1.GE,60,20150102,190000,25.3600000,25.3700000,25.0250000,25.0550000,827568
US1.GE,60,20150102,200000,25.0500000,25.0650000,24.8750000,24.8950000,798495
US1.GE,60,20150102,210000,24.8900000,25.0150000,24.8850000,24.9650000,337137
US1.GE,60,20150102,220000,24.9700000,25.0150000,24.9250000,24.9700000,302478
US1.GE,60,20150102,230000,24.9650000,25.0350000,24.9550000,24.9950000,375713
US1.GE,60,20150103,000000,24.9950000,25.1200000,24.9500000,25.0600000,874243
US1.GE,60,20150105,180000,24.9900000,25.0100000,24.7550000,24.7600000,308916
US1.GE,60,20150105,190000,24.7600000,24.8000000,24.6600000,24.7700000,394646
US1.GE,60,20150105,200000,24.7650000,24.8100000,24.6700000,24.7350000,425924
US1.GE,60,20150105,210000,24.7300000,24.7300000,24.5700000,24.6100000,340169
US1.GE,60,20150105,220000,24.6200000,24.6700000,24.5750000,24.6000000,368920
US1.GE,60,20150105,230000,24.5950000,24.6300000,24.5250000,24.5400000,308499
US1.GE,60,20150106,000000,24.5400000,24.6750000,24.5250000,24.6000000,728557
US1.GE,60,20150106,180000,24.4500000,24.5600000,24.3700000,24.4000000,589847
US1.GE,60,20150106,190000,24.3900000,24.4500000,24.2400000,24.2500000,728524
US1.GE,60,20150106,200000,24.2400000,24.3050000,24.1500000,24.1650000,953378
US1.GE,60,20150106,210000,24.1650000,24.1750000,24.0750000,24.1350000,779781
US1.GE,60,20150106,220000,24.1400000,24.1400000,23.9500000,24.0100000,657824
US1.GE,60,20150106,230000,24.0100000,24.1700000,23.9850000,24.1350000,657197
US1.GE,60,20150107,000000,24.1300000,24.2050000,24.0500000,24.0500000,755414
US1.GE,60,20150107,180000,24.2200000,24.3250000,24.1600000,24.3200000,237972
US1.GE,60,20150107,190000,24.3300000,24.3900000,24.0650000,24.1200000,701726
US1.GE,60,20150107,200000,24.1250000,24.1950000,23.9850000,24.1950000,841244
US1.GE,60,20150107,210000,24.2000000,24.2900000,24.1500000,24.1800000,489347
US1.GE,60,20150107,220000,24.1800000,24.1850000,24.0850000,24.1150000,261281
US1.GE,60,20150107,230000,24.1150000,24.1250000,24.0000000,24.0050000,652404
US1.GE,60,20150108,000000,24.0000000,24.0750000,24.0000000,24.0700000,721491
US1.GE,60,20150108,180000,24.3400000,24.3500000,24.1650000,24.2200000,385256
US1.GE,60,20150108,190000,24.2250000,24.2450000,24.1300000,24.1800000,457071
US1.GE,60,20150108,200000,24.1750000,24.2600000,24.1650000,24.2250000,657167
US1.GE,60,20150108,210000,24.2250000,24.2950000,24.1900000,24.2750000,394483
US1.GE,60,20150108,220000,24.2700000,24.3100000,24.2500000,24.2800000,222671
US1.GE,60,20150108,230000,24.2700000,24.3250000,24.2200000,24.2900000,422617
US1.GE,60,20150109,000000,24.2950000,24.3800000,24.2750000,24.3700000,736189
US1.GE,60,20150109,180000,24.5200000,24.5300000,24.1600000,24.2000000,341513
US1.GE,60,20150109,190000,24.1900000,24.2900000,24.0700000,24.1400000,360980
US1.GE,60,20150109,200000,24.1300000,24.1300000,24.0500000,24.0750000,304367
US1.GE,60,20150109,210000,24.0700000,24.1200000,23.9550000,24.0650000,805250
US1.GE,60,20150109,220000,24.0600000,24.1000000,24.0050000,24.0050000,235601
US1.GE,60,20150109,230000,24.0050000,24.0700000,23.9750000,24.0150000,212898
US1.GE,60,20150110,000000,24.0150000,24.0950000,24.0000000,24.0500000,674671
US1.GE,60,20150112,180000,24.0650000,24.0700000,23.7750000,23.8000000,551958
US1.GE,60,20150112,190000,23.8000000,23.9950000,23.7700000,23.9950000,669256
US1.GE,60,20150112,200000,24.0000000,24.0600000,23.9850000,24.0500000,304284
US1.GE,60,20150112,210000,24.0500000,24.1400000,24.0100000,24.0200000,249202
US1.GE,60,20150112,220000,24.0200000,24.0500000,23.9550000,23.9900000,251174
US1.GE,60,20150112,230000,23.9850000,24.0200000,23.9050000,23.9500000,327862
US1.GE,60,20150113,000000,23.9500000,24.0300000,23.9300000,23.9700000,608267
US1.GE,60,20150113,180000,24.2400000,24.3300000,24.1700000,24.2300000,591318
US1.GE,60,20150113,190000,24.2300000,24.2500000,24.1400000,24.1450000,441408
US1.GE,60,20150113,200000,24.1400000,24.1550000,24.0200000,24.0250000,283524
US1.GE,60,20150113,210000,24.0300000,24.0300000,23.9450000,24.0100000,273893
US1.GE,60,20150113,220000,24.0100000,24.0200000,23.7050000,23.7400000,494424
US1.GE,60,20150113,230000,23.7400000,23.7500000,23.6400000,23.6550000,740677
US1.GE,60,20150114,000000,23.6550000,23.8850000,23.6350000,23.8500000,1092409
US1.GE,60,20150114,180000,23.6400000,23.6600000,23.4200000,23.5450000,829279
US1.GE,60,20150114,190000,23.5450000,23.7150000,23.5350000,23.6450000,786692
US1.GE,60,20150114,200000,23.6450000,23.6450000,23.5150000,23.5650000,649823
US1.GE,60,20150114,210000,23.5650000,23.6650000,23.5200000,23.6100000,525699
US1.GE,60,20150114,220000,23.6050000,23.6350000,23.5200000,23.5750000,442816
US1.GE,60,20150114,230000,23.5750000,23.8450000,23.5650000,23.6800000,649375
US1.GE,60,20150115,000000,23.6750000,23.8250000,23.6750000,23.7800000,919307
US1.GE,60,20150115,180000,23.8600000,23.9400000,23.6800000,23.8000000,552271
