<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.XOM,10,20120103,174000,85.9700000,86.3700000,85.9600000,86.3000000,129155
US1.XOM,10,20120103,175000,86.3450000,86.3600000,86.0000000,86.0300000,112175
US1.XOM,10,20120103,180000,86.0300000,86.3400000,85.9900000,86.1600000,76468
US1.XOM,10,20120103,181000,86.1650000,86.4500000,86.0600000,86.2900000,112877
US1.XOM,10,20120103,182000,86.2900000,86.3500000,86.2400000,86.2800000,60641
US1.XOM,10,20120103,183000,86.2700000,86.4000000,86.2700000,86.3700000,51850
US1.XOM,10,20120103,184000,86.3900000,86.4300000,86.2200000,86.2400000,64972
US1.XOM,10,20120103,185000,86.2500000,86.3800000,86.2500000,86.3400000,47909
US1.XOM,10,20120103,190000,86.3400000,86.3600000,86.3000000,86.3300000,32400
US1.XOM,10,20120103,191000,86.3400000,86.4400000,86.3200000,86.4400000,75130
US1.XOM,10,20120103,192000,86.4400000,86.5600000,86.4300000,86.4900000,56405
US1.XOM,10,20120103,193000,86.4800000,86.6200000,86.4800000,86.6100000,39898
US1.XOM,10,20120103,194000,86.6000000,86.6700000,86.4400000,86.4400000,45375
US1.XOM,10,20120103,195000,86.4200000,86.4300000,86.2100000,86.3100000,75104
US1.XOM,10,20120103,200000,86.3100000,86.4000000,86.2500000,86.3600000,56307
US1.XOM,10,20120103,201000,86.3400000,86.3700000,86.3000000,86.3000000,34968
US1.XOM,10,20120103,202000,86.3000000,86.3250000,86.1900000,86.2800000,44166
US1.XOM,10,20120103,203000,86.2900000,86.3100000,86.2000000,86.2700000,34549
US1.XOM,10,20120103,204000,86.2600000,86.2700000,85.9800000,86.0000000,56867
US1.XOM,10,20120103,205000,86.0100000,86.1200000,86.0100000,86.0500000,29369
US1.XOM,10,20120103,210000,86.0400000,86.1200000,85.9400000,86.0000000,42944
US1.XOM,10,20120103,211000,85.9900000,86.1000000,85.9800000,86.0900000,29405
US1.XOM,10,20120103,212000,86.0900000,86.2000000,86.0600000,86.1700000,25203
US1.XOM,10,20120103,213000,86.1650000,86.2200000,86.1350000,86.2100000,30055
US1.XOM,10,20120103,214000,86.2100000,86.2100000,86.0900000,86.1100000,34514
US1.XOM,10,20120103,215000,86.1100000,86.2400000,86.1100000,86.2400000,36139
US1.XOM,10,20120103,220000,86.2500000,86.3000000,86.2200000,86.2500000,18865
US1.XOM,10,20120103,221000,86.2600000,86.3400000,86.2300000,86.2900000,31662
US1.XOM,10,20120103,222000,86.2900000,86.3100000,86.2100000,86.2900000,23772
US1.XOM,10,20120103,223000,86.2900000,86.2900000,86.2400000,86.2900000,26015
US1.XOM,10,20120103,224000,86.2900000,86.3600000,86.2400000,86.3400000,42734
US1.XOM,10,20120103,225000,86.3400000,86.3900000,86.3000000,86.3400000,48290
US1.XOM,10,20120103,230000,86.3400000,86.3400000,86.2600000,86.3000000,38375
US1.XOM,10,20120103,231000,86.3000000,86.3000000,86.1400000,86.2500000,46971
US1.XOM,10,20120103,232000,86.2500000,86.3200000,86.2200000,86.2900000,40298
US1.XOM,10,20120103,233000,86.3000000,86.3100000,86.1200000,86.1300000,70269
US1.XOM,10,20120103,234000,86.1300000,86.1600000,86.1000000,86.1500000,44604
US1.XOM,10,20120103,235000,86.1500000,86.4200000,86.1500000,86.4000000,98055
US1.XOM,10,20120104,000000,86.4000000,86.4000000,85.9300000,85.9500000,114491
US1.XOM,10,20120104,174000,85.7850000,85.9300000,85.5200000,85.7500000,57780
US1.XOM,10,20120104,175000,85.7600000,85.8900000,85.6400000,85.8800000,70374
US1.XOM,10,20120104,180000,85.8800000,86.0000000,85.8000000,85.9700000,71284
US1.XOM,10,20120104,181000,85.9500000,85.9500000,85.6100000,85.6200000,68797
US1.XOM,10,20120104,182000,85.6200000,85.6300000,85.3500000,85.4700000,74688
US1.XOM,10,20120104,183000,85.4700000,85.5300000,85.4400000,85.4400000,44820
US1.XOM,10,20120104,184000,85.4300000,85.4300000,85.2000000,85.2150000,61339
US1.XOM,10,20120104,185000,85.2100000,85.2900000,85.1050000,85.2900000,59434
US1.XOM,10,20120104,190000,85.2800000,85.4500000,85.2700000,85.4000000,38478
US1.XOM,10,20120104,191000,85.4000000,85.4600000,85.2900000,85.3000000,33382
US1.XOM,10,20120104,192000,85.3000000,85.4400000,85.2900000,85.3100000,31623
US1.XOM,10,20120104,193000,85.3000000,85.3700000,85.2500000,85.3100000,22258
US1.XOM,10,20120104,194000,85.3200000,85.5000000,85.3000000,85.4900000,44064
US1.XOM,10,20120104,195000,85.4900000,85.5700000,85.4900000,85.5700000,40945
US1.XOM,10,20120104,200000,85.5500000,85.5600000,85.4300000,85.4300000,34418
US1.XOM,10,20120104,201000,85.4400000,85.5900000,85.3800000,85.5600000,40924
US1.XOM,10,20120104,202000,85.5700000,85.6500000,85.5300000,85.6100000,26600
US1.XOM,10,20120104,203000,85.6200000,85.6700000,85.6200000,85.6400000,30388
US1.XOM,10,20120104,204000,85.6400000,85.6400000,85.5300000,85.5500000,24297
US1.XOM,10,20120104,205000,85.5400000,85.5700000,85.4700000,85.4800000,29113
US1.XOM,10,20120104,210000,85.4850000,85.4850000,85.4050000,85.4700000,33190
US1.XOM,10,20120104,211000,85.4600000,85.4600000,85.3800000,85.4400000,20458
US1.XOM,10,20120104,212000,85.4500000,85.4800000,85.3000000,85.3500000,23759
US1.XOM,10,20120104,213000,85.3400000,85.4700000,85.3300000,85.3950000,24700
US1.XOM,10,20120104,214000,85.3900000,85.4900000,85.3800000,85.4800000,27842
US1.XOM,10,20120104,215000,85.4800000,85.6500000,85.4800000,85.6500000,22267
US1.XOM,10,20120104,220000,85.6500000,85.7000000,85.6100000,85.7000000,29148
US1.XOM,10,20120104,221000,85.6900000,85.7100000,85.6400000,85.7100000,25289
US1.XOM,10,20120104,222000,85.7200000,85.7800000,85.6500000,85.7700000,27110
US1.XOM,10,20120104,223000,85.7700000,85.8300000,85.7100000,85.8300000,38828
US1.XOM,10,20120104,224000,85.8300000,85.9000000,85.8300000,85.8300000,19714
US1.XOM,10,20120104,225000,85.8400000,85.8900000,85.7700000,85.8000000,22469
US1.XOM,10,20120104,230000,85.7900000,85.8900000,85.7800000,85.8700000,21959
US1.XOM,10,20120104,231000,85.8600000,85.8600000,85.7400000,85.8100000,29467
US1.XOM,10,20120104,232000,85.8100000,85.8500000,85.7500000,85.7500000,27641
US1.XOM,10,20120104,233000,85.7500000,85.8500000,85.7200000,85.8500000,33537
US1.XOM,10,20120104,234000,85.8600000,86.0200000,85.8400000,85.9900000,32766
US1.XOM,10,20120104,235000,85.9900000,86.1400000,85.9500000,85.9500000,46828
US1.XOM,10,20120105,000000,85.9600000,86.0600000,85.9200000,86.0400000,58203
US1.XOM,10,20120105,174000,85.6400000,85.8000000,85.4400000,85.5800000,49225
US1.XOM,10,20120105,175000,85.5700000,85.5700000,85.2600000,85.4300000,90790
US1.XOM,10,20120105,180000,85.4400000,85.4600000,85.1500000,85.1500000,61678
US1.XOM,10,20120105,181000,85.1500000,85.4300000,85.0100000,85.4100000,77553
US1.XOM,10,20120105,182000,85.4000000,85.4100000,85.2600000,85.3100000,66035
US1.XOM,10,20120105,183000,85.3300000,85.3300000,85.1400000,85.1700000,55310
US1.XOM,10,20120105,184000,85.1700000,85.1900000,84.9300000,85.0000000,54038
US1.XOM,10,20120105,185000,85.0000000,85.1300000,84.9500000,85.1300000,47130
US1.XOM,10,20120105,190000,85.1300000,85.2200000,85.0700000,85.2100000,35308
US1.XOM,10,20120105,191000,85.2000000,85.2500000,85.1200000,85.1800000,30011
US1.XOM,10,20120105,192000,85.1800000,85.2000000,85.1100000,85.1300000,22614
US1.XOM,10,20120105,193000,85.1300000,85.5400000,85.1300000,85.5400000,40340
US1.XOM,10,20120105,194000,85.5400000,85.6500000,85.5000000,85.5100000,41692
US1.XOM,10,20120105,195000,85.5100000,85.5800000,85.4400000,85.4600000,34975
US1.XOM,10,20120105,200000,85.4600000,85.5200000,85.4400000,85.4600000,33582
US1.XOM,10,20120105,201000,85.4700000,85.5300000,85.4500000,85.5100000,32880
US1.XOM,10,20120105,202000,85.5050000,85.6300000,85.5050000,85.5700000,27500
US1.XOM,10,20120105,203000,85.5700000,85.5700000,85.3500000,85.3500000,48734
US1.XOM,10,20120105,204000,85.3500000,85.4300000,85.3500000,85.4000000,32499
US1.XOM,10,20120105,205000,85.4300000,85.5700000,85.4300000,85.5500000,19118
US1.XOM,10,20120105,210000,85.5400000,85.6500000,85.4700000,85.6300000,27090
US1.XOM,10,20120105,211000,85.6400000,85.6400000,85.5300000,85.6200000,25188
US1.XOM,10,20120105,212000,85.6100000,85.6200000,85.5750000,85.6100000,16112
US1.XOM,10,20120105,213000,85.6200000,85.7000000,85.6200000,85.6800000,10844
US1.XOM,10,20120105,214000,85.6800000,85.7300000,85.6500000,85.6900000,20659
US1.XOM,10,20120105,215000,85.6800000,85.7100000,85.6300000,85.6600000,30453
US1.XOM,10,20120105,220000,85.6650000,85.7300000,85.6600000,85.6800000,17755
US1.XOM,10,20120105,221000,85.6800000,85.7000000,85.6300000,85.6400000,16515
US1.XOM,10,20120105,222000,85.6500000,85.7300000,85.5600000,85.5750000,24216
US1.XOM,10,20120105,223000,85.5750000,85.6700000,85.4800000,85.5400000,38875
US1.XOM,10,20120105,224000,85.5400000,85.6500000,85.4900000,85.5050000,25971
US1.XOM,10,20120105,225000,85.5050000,85.6500000,85.4900000,85.6000000,26604
US1.XOM,10,20120105,230000,85.6000000,85.6500000,85.5800000,85.5900000,21190
US1.XOM,10,20120105,231000,85.5900000,85.6700000,85.5300000,85.6600000,38027
US1.XOM,10,20120105,232000,85.6500000,85.6500000,85.4500000,85.5100000,39481
US1.XOM,10,20120105,233000,85.5100000,85.6900000,85.5100000,85.6300000,34508
US1.XOM,10,20120105,234000,85.6500000,85.7800000,85.6400000,85.7800000,42475
US1.XOM,10,20120105,235000,85.7900000,85.9400000,85.6800000,85.7800000,73289
US1.XOM,10,20120106,000000,85.7800000,85.8100000,85.6500000,85.7300000,75218
US1.XOM,10,20120106,174000,85.9800000,85.9900000,85.6900000,85.7400000,56800
US1.XOM,10,20120106,175000,85.7400000,85.7450000,85.3900000,85.5300000,104744
US1.XOM,10,20120106,180000,85.5300000,85.5300000,85.2700000,85.4600000,79616
US1.XOM,10,20120106,181000,85.4700000,85.5500000,85.4400000,85.5100000,45332
US1.XOM,10,20120106,182000,85.5200000,85.5800000,85.4400000,85.4700000,37923
US1.XOM,10,20120106,183000,85.4600000,85.5100000,85.4100000,85.4600000,40511
US1.XOM,10,20120106,184000,85.4500000,85.6000000,85.4500000,85.5300000,43651
US1.XOM,10,20120106,185000,85.5200000,85.5500000,85.4400000,85.5400000,43994
US1.XOM,10,20120106,190000,85.5350000,85.5350000,85.4500000,85.4700000,42458
US1.XOM,10,20120106,191000,85.4700000,85.6300000,85.4700000,85.6200000,43399
US1.XOM,10,20120106,192000,85.6300000,85.6300000,85.5500000,85.6000000,27268
US1.XOM,10,20120106,193000,85.6000000,85.6100000,85.5100000,85.5400000,18537
US1.XOM,10,20120106,194000,85.5350000,85.6500000,85.5100000,85.6500000,23454
US1.XOM,10,20120106,195000,85.6500000,85.7300000,85.6400000,85.7100000,25539
US1.XOM,10,20120106,200000,85.7200000,85.7200000,85.5900000,85.6200000,17554
US1.XOM,10,20120106,201000,85.6300000,85.6700000,85.5800000,85.5900000,23601
US1.XOM,10,20120106,202000,85.5800000,85.6400000,85.5300000,85.5600000,36149
US1.XOM,10,20120106,203000,85.5600000,85.6200000,85.5000000,85.5000000,24598
US1.XOM,10,20120106,204000,85.5000000,85.5800000,85.4900000,85.5400000,18131
US1.XOM,10,20120106,205000,85.5500000,85.5500000,85.4400000,85.4900000,27544
US1.XOM,10,20120106,210000,85.5000000,85.5400000,85.4800000,85.4900000,12280
US1.XOM,10,20120106,211000,85.4800000,85.5400000,85.4800000,85.5300000,15488
US1.XOM,10,20120106,212000,85.5100000,85.5400000,85.4550000,85.5300000,35686
US1.XOM,10,20120106,213000,85.5300000,85.5500000,85.5000000,85.5000000,19940
US1.XOM,10,20120106,214000,85.5000000,85.5400000,85.4600000,85.5200000,22646
US1.XOM,10,20120106,215000,85.5300000,85.6000000,85.5300000,85.5900000,17083
US1.XOM,10,20120106,220000,85.5900000,85.6100000,85.5400000,85.5900000,22174
US1.XOM,10,20120106,221000,85.6000000,85.6000000,85.5500000,85.5500000,16188
US1.XOM,10,20120106,222000,85.5500000,85.5550000,85.4400000,85.4600000,28276
US1.XOM,10,20120106,223000,85.4700000,85.5300000,85.4600000,85.5300000,17759
US1.XOM,10,20120106,224000,85.5300000,85.5900000,85.5300000,85.5300000,17599
US1.XOM,10,20120106,225000,85.5200000,85.5200000,85.3400000,85.4000000,46428
US1.XOM,10,20120106,230000,85.4000000,85.4200000,85.2600000,85.2600000,36273
US1.XOM,10,20120106,231000,85.2700000,85.3400000,85.2700000,85.3300000,19568
US1.XOM,10,20120106,232000,85.3400000,85.3700000,85.3300000,85.3300000,24713
US1.XOM,10,20120106,233000,85.3300000,85.3300000,85.2300000,85.2300000,27422
US1.XOM,10,20120106,234000,85.2200000,85.3200000,85.1800000,85.3000000,52711
US1.XOM,10,20120106,235000,85.3100000,85.4000000,85.2900000,85.2900000,42825
US1.XOM,10,20120107,000000,85.2800000,85.3100000,85.1200000,85.1700000,75553
US1.XOM,10,20120109,174000,85.0000000,85.3000000,84.9700000,85.2700000,26650
US1.XOM,10,20120109,175000,85.2600000,85.2900000,85.1500000,85.2200000,26495
US1.XOM,10,20120109,180000,85.2300000,85.3400000,85.2100000,85.3100000,29933
US1.XOM,10,20120109,181000,85.3200000,85.3500000,85.1900000,85.3200000,31975
US1.XOM,10,20120109,182000,85.3100000,85.3400000,85.2600000,85.2900000,50514
US1.XOM,10,20120109,183000,85.3000000,85.3500000,85.2600000,85.3500000,27723
US1.XOM,10,20120109,184000,85.3500000,85.3800000,85.2800000,85.3100000,21915
US1.XOM,10,20120109,185000,85.3100000,85.3500000,85.2500000,85.2600000,24708
US1.XOM,10,20120109,190000,85.2600000,85.3300000,85.2500000,85.3200000,23550
US1.XOM,10,20120109,191000,85.3200000,85.3900000,85.1400000,85.1750000,34500
US1.XOM,10,20120109,192000,85.1900000,85.2200000,85.1600000,85.2000000,20328
US1.XOM,10,20120109,193000,85.1900000,85.2600000,85.1900000,85.2100000,22481
US1.XOM,10,20120109,194000,85.2100000,85.2300000,85.1300000,85.2300000,24055
US1.XOM,10,20120109,195000,85.2350000,85.3000000,85.2200000,85.2400000,21901
US1.XOM,10,20120109,200000,85.2600000,85.2800000,85.1800000,85.2000000,14798
US1.XOM,10,20120109,201000,85.2100000,85.2700000,85.2100000,85.2600000,11543
US1.XOM,10,20120109,202000,85.2500000,85.2800000,85.2300000,85.2500000,5996
US1.XOM,10,20120109,203000,85.2600000,85.4000000,85.2200000,85.4000000,21276
US1.XOM,10,20120109,204000,85.4100000,85.4400000,85.3600000,85.4300000,10320
US1.XOM,10,20120109,205000,85.4300000,85.4500000,85.3800000,85.4200000,13155
US1.XOM,10,20120109,210000,85.4200000,85.4500000,85.3700000,85.3900000,15784
US1.XOM,10,20120109,211000,85.3950000,85.4200000,85.3600000,85.4000000,17133
US1.XOM,10,20120109,212000,85.3900000,85.4300000,85.3300000,85.4200000,19634
US1.XOM,10,20120109,213000,85.4200000,85.4450000,85.3700000,85.4300000,13390
US1.XOM,10,20120109,214000,85.4250000,85.4400000,85.3800000,85.4200000,15826
US1.XOM,10,20120109,215000,85.4300000,85.4500000,85.3750000,85.4500000,13452
US1.XOM,10,20120109,220000,85.4400000,85.4500000,85.3950000,85.4200000,14631
US1.XOM,10,20120109,221000,85.4150000,85.4600000,85.4000000,85.4100000,23290
US1.XOM,10,20120109,222000,85.4200000,85.4700000,85.4000000,85.4100000,16162
US1.XOM,10,20120109,223000,85.4200000,85.5600000,85.4200000,85.5600000,21621
US1.XOM,10,20120109,224000,85.5700000,85.6300000,85.5400000,85.5600000,22593
US1.XOM,10,20120109,225000,85.5500000,85.5700000,85.5000000,85.5300000,13514
US1.XOM,10,20120109,230000,85.5300000,85.5300000,85.4600000,85.4900000,17551
US1.XOM,10,20120109,231000,85.4900000,85.5800000,85.4900000,85.5700000,25155
US1.XOM,10,20120109,232000,85.5600000,85.5600000,85.5000000,85.5300000,13819
US1.XOM,10,20120109,233000,85.5400000,85.5800000,85.5000000,85.5800000,18217
US1.XOM,10,20120109,234000,85.5700000,85.5700000,85.4400000,85.5100000,24508
US1.XOM,10,20120109,235000,85.5100000,85.6100000,85.4700000,85.4900000,56334
US1.XOM,10,20120110,000000,85.5000000,85.5300000,85.4500000,85.4700000,88046
US1.XOM,10,20120110,174000,86.0700000,86.2100000,85.8000000,85.8300000,115978
US1.XOM,10,20120110,175000,85.8300000,85.8900000,85.7500000,85.8700000,47512
US1.XOM,10,20120110,180000,85.8600000,85.9600000,85.8300000,85.9600000,29534
US1.XOM,10,20120110,181000,85.9700000,86.0900000,85.9300000,85.9400000,46231
US1.XOM,10,20120110,182000,85.9400000,85.9900000,85.9000000,85.9400000,25404
US1.XOM,10,20120110,183000,85.9300000,85.9400000,85.8700000,85.8800000,29580
US1.XOM,10,20120110,184000,85.8900000,86.0000000,85.8800000,85.9700000,26364
US1.XOM,10,20120110,185000,85.9800000,86.0400000,85.9100000,85.9300000,25288
US1.XOM,10,20120110,190000,85.9300000,85.9600000,85.7750000,85.9000000,45874
US1.XOM,10,20120110,191000,85.9000000,85.9600000,85.7900000,85.8300000,23276
US1.XOM,10,20120110,192000,85.8200000,85.9000000,85.8000000,85.8800000,27174
US1.XOM,10,20120110,193000,85.8800000,85.9300000,85.8500000,85.8500000,26965
US1.XOM,10,20120110,194000,85.8500000,85.8600000,85.8000000,85.8000000,27964
US1.XOM,10,20120110,195000,85.8000000,85.8400000,85.8000000,85.8100000,9409
US1.XOM,10,20120110,200000,85.8200000,85.9400000,85.8000000,85.9300000,29768
US1.XOM,10,20120110,201000,85.9250000,85.9300000,85.8400000,85.9100000,18607
US1.XOM,10,20120110,202000,85.9100000,85.9300000,85.8200000,85.8300000,21796
US1.XOM,10,20120110,203000,85.8300000,85.8400000,85.5900000,85.6000000,24018
US1.XOM,10,20120110,204000,85.6000000,85.7000000,85.5900000,85.7000000,30063
US1.XOM,10,20120110,205000,85.7000000,85.7200000,85.6700000,85.7000000,10582
US1.XOM,10,20120110,210000,85.6800000,85.6900000,85.6000000,85.6600000,14603
US1.XOM,10,20120110,211000,85.6500000,85.6600000,85.5750000,85.5800000,13345
US1.XOM,10,20120110,212000,85.5750000,85.5750000,85.5000000,85.5300000,21160
US1.XOM,10,20120110,213000,85.5300000,85.5500000,85.4350000,85.4600000,19749
US1.XOM,10,20120110,214000,85.4600000,85.6100000,85.4600000,85.5700000,32155
US1.XOM,10,20120110,215000,85.5800000,85.5800000,85.4700000,85.4700000,14415
US1.XOM,10,20120110,220000,85.4700000,85.5000000,85.4000000,85.4100000,20032
US1.XOM,10,20120110,221000,85.4100000,85.4400000,85.3800000,85.4300000,15092
US1.XOM,10,20120110,222000,85.4300000,85.5800000,85.4300000,85.5800000,12088
US1.XOM,10,20120110,223000,85.5800000,85.6400000,85.5700000,85.6100000,10592
US1.XOM,10,20120110,224000,85.6200000,85.7500000,85.6200000,85.7400000,23773
US1.XOM,10,20120110,225000,85.7500000,85.8200000,85.7100000,85.7700000,18454
US1.XOM,10,20120110,230000,85.7700000,85.7700000,85.6300000,85.6500000,15236
US1.XOM,10,20120110,231000,85.6500000,85.6600000,85.5800000,85.5900000,21768
US1.XOM,10,20120110,232000,85.6000000,85.6000000,85.4900000,85.4900000,24263
US1.XOM,10,20120110,233000,85.4900000,85.6000000,85.4800000,85.5900000,34570
US1.XOM,10,20120110,234000,85.5900000,85.6000000,85.4200000,85.4500000,38777
US1.XOM,10,20120110,235000,85.4450000,85.6850000,85.4400000,85.6300000,59695
US1.XOM,10,20120111,000000,85.6400000,85.7100000,85.6000000,85.7100000,81115
US1.XOM,10,20120111,011000,85.8900000,85.8900000,85.8900000,85.8900000,200
US1.XOM,10,20120111,174000,85.1000000,85.1900000,84.9400000,85.0500000,52997
US1.XOM,10,20120111,175000,85.0400000,85.3600000,85.0400000,85.3300000,74371
US1.XOM,10,20120111,180000,85.3300000,85.3900000,85.1300000,85.1400000,56562
US1.XOM,10,20120111,181000,85.1400000,85.1500000,85.0200000,85.1500000,64437
US1.XOM,10,20120111,182000,85.1500000,85.2700000,85.1500000,85.1800000,60785
US1.XOM,10,20120111,183000,85.1800000,85.2600000,85.1300000,85.2200000,93747
US1.XOM,10,20120111,184000,85.2200000,85.2200000,85.0600000,85.1300000,64858
US1.XOM,10,20120111,185000,85.1300000,85.1600000,85.0000000,85.0000000,56089
US1.XOM,10,20120111,190000,85.0000000,85.0300000,84.7900000,84.8100000,57059
US1.XOM,10,20120111,191000,84.8100000,84.9600000,84.7900000,84.8450000,43164
US1.XOM,10,20120111,192000,84.8500000,84.8700000,84.7700000,84.7700000,30929
US1.XOM,10,20120111,193000,84.7700000,84.8800000,84.7700000,84.8700000,41529
US1.XOM,10,20120111,194000,84.8600000,84.9200000,84.8100000,84.8100000,24494
US1.XOM,10,20120111,195000,84.8100000,84.9900000,84.7800000,84.9500000,26334
US1.XOM,10,20120111,200000,84.9400000,84.9400000,84.8300000,84.8300000,25693
US1.XOM,10,20120111,201000,84.8300000,84.8600000,84.7100000,84.7200000,29063
US1.XOM,10,20120111,202000,84.7300000,84.7600000,84.6600000,84.7600000,14702
US1.XOM,10,20120111,203000,84.7400000,84.7600000,84.6400000,84.6500000,32179
US1.XOM,10,20120111,204000,84.6600000,84.6700000,84.6000000,84.6300000,17564
US1.XOM,10,20120111,205000,84.6300000,84.7600000,84.6300000,84.7100000,26004
US1.XOM,10,20120111,210000,84.7100000,84.7200000,84.6200000,84.6300000,10336
US1.XOM,10,20120111,211000,84.6500000,84.8100000,84.6500000,84.8000000,20284
US1.XOM,10,20120111,212000,84.8000000,84.8200000,84.7500000,84.7500000,20495
US1.XOM,10,20120111,213000,84.7600000,84.8100000,84.7300000,84.8100000,11869
US1.XOM,10,20120111,214000,84.8000000,84.8800000,84.7600000,84.8200000,29124
US1.XOM,10,20120111,215000,84.8200000,84.8900000,84.8100000,84.8800000,26567
US1.XOM,10,20120111,220000,84.8900000,84.9100000,84.7700000,84.7900000,21775
US1.XOM,10,20120111,221000,84.7800000,84.8000000,84.6600000,84.6800000,24561
US1.XOM,10,20120111,222000,84.6800000,84.6800000,84.6200000,84.6300000,20066
US1.XOM,10,20120111,223000,84.6300000,84.6300000,84.4700000,84.5400000,45901
US1.XOM,10,20120111,224000,84.5500000,84.6300000,84.5500000,84.6300000,22410
US1.XOM,10,20120111,225000,84.6200000,84.7900000,84.6200000,84.7350000,49977
US1.XOM,10,20120111,230000,84.7200000,84.7450000,84.6800000,84.7300000,14174
US1.XOM,10,20120111,231000,84.7200000,84.8800000,84.7200000,84.8500000,18040
US1.XOM,10,20120111,232000,84.8600000,85.0000000,84.8600000,84.9900000,25723
US1.XOM,10,20120111,233000,85.0000000,85.2200000,84.9700000,85.1500000,68895
US1.XOM,10,20120111,234000,85.1450000,85.2100000,85.1100000,85.1900000,20304
US1.XOM,10,20120111,235000,85.2000000,85.2550000,85.0600000,85.1700000,64990
US1.XOM,10,20120112,000000,85.1650000,85.1950000,85.0500000,85.0800000,52682
US1.XOM,10,20120112,174000,84.4100000,84.7200000,84.2300000,84.5200000,94837
US1.XOM,10,20120112,175000,84.5200000,84.5600000,84.3000000,84.5100000,81705
US1.XOM,10,20120112,180000,84.5300000,84.6900000,84.4800000,84.6400000,52122
US1.XOM,10,20120112,181000,84.6500000,84.8500000,84.5300000,84.7600000,72393
US1.XOM,10,20120112,182000,84.7600000,84.8000000,84.5500000,84.5600000,52543
US1.XOM,10,20120112,183000,84.5700000,84.6700000,84.5100000,84.5400000,58317
US1.XOM,10,20120112,184000,84.5400000,84.5500000,84.3000000,84.3000000,44779
US1.XOM,10,20120112,185000,84.3000000,84.3200000,83.9400000,84.0400000,83837
US1.XOM,10,20120112,190000,84.0400000,84.2200000,84.0000000,84.2000000,52968
US1.XOM,10,20120112,191000,84.1900000,84.2900000,84.1300000,84.2850000,33414
US1.XOM,10,20120112,192000,84.2800000,84.3100000,84.2100000,84.2100000,21982
US1.XOM,10,20120112,193000,84.2100000,84.2100000,84.0000000,84.1200000,31220
US1.XOM,10,20120112,194000,84.1100000,84.1900000,84.0400000,84.1900000,27375
US1.XOM,10,20120112,195000,84.1900000,84.2500000,84.1900000,84.2400000,13421
US1.XOM,10,20120112,200000,84.2450000,84.2700000,84.1000000,84.1700000,29990
US1.XOM,10,20120112,201000,84.1700000,84.1900000,84.1200000,84.1400000,13197
US1.XOM,10,20120112,202000,84.1400000,84.2000000,84.1200000,84.2000000,13127
US1.XOM,10,20120112,203000,84.2100000,84.2400000,84.1800000,84.2000000,15435
US1.XOM,10,20120112,204000,84.2100000,84.4400000,84.2050000,84.4400000,40492
US1.XOM,10,20120112,205000,84.4400000,84.5600000,84.4400000,84.5500000,41697
US1.XOM,10,20120112,210000,84.5600000,84.6200000,84.5000000,84.5700000,35445
US1.XOM,10,20120112,211000,84.5700000,84.7800000,84.5700000,84.6900000,46141
US1.XOM,10,20120112,212000,84.6800000,84.7300000,84.6000000,84.6100000,25734
US1.XOM,10,20120112,213000,84.6000000,84.6000000,84.5300000,84.5400000,12775
US1.XOM,10,20120112,214000,84.5400000,84.6000000,84.4200000,84.4600000,31422
US1.XOM,10,20120112,215000,84.4500000,84.5600000,84.4200000,84.4600000,17536
US1.XOM,10,20120112,220000,84.4700000,84.5300000,84.4400000,84.5000000,15361
US1.XOM,10,20120112,221000,84.5200000,84.6300000,84.3300000,84.4500000,42258
US1.XOM,10,20120112,222000,84.4500000,84.5100000,84.3200000,84.3600000,45434
US1.XOM,10,20120112,223000,84.3600000,84.4100000,84.2800000,84.3900000,53771
