<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.XOM,60,20120103,180000,85.9700000,86.3700000,85.9600000,86.1600000,317798
US1.XOM,60,20120103,190000,86.1650000,86.4500000,86.0600000,86.3300000,370649
US1.XOM,60,20120103,200000,86.3400000,86.6700000,86.2100000,86.3600000,348219
US1.XOM,60,20120103,210000,86.3400000,86.3700000,85.9400000,86.0000000,242863
US1.XOM,60,20120103,220000,85.9900000,86.3000000,85.9800000,86.2500000,174181
US1.XOM,60,20120103,230000,86.2600000,86.3900000,86.2100000,86.3000000,210848
US1.XOM,60,20120104,000000,86.3000000,86.4200000,85.9300000,85.9500000,414688
US1.XOM,60,20120104,180000,85.7850000,86.0000000,85.5200000,85.9700000,199438
US1.XOM,60,20120104,190000,85.9500000,85.9500000,85.1050000,85.4000000,347556
US1.XOM,60,20120104,200000,85.4000000,85.5700000,85.2500000,85.4300000,206690
US1.XOM,60,20120104,210000,85.4400000,85.6700000,85.3800000,85.4700000,184512
US1.XOM,60,20120104,220000,85.4600000,85.7000000,85.3000000,85.7000000,148174
US1.XOM,60,20120104,230000,85.6900000,85.9000000,85.6400000,85.8700000,155369
US1.XOM,60,20120105,000000,85.8600000,86.1400000,85.7200000,86.0400000,228442
US1.XOM,60,20120105,180000,85.6400000,85.8000000,85.1500000,85.1500000,201693
US1.XOM,60,20120105,190000,85.1500000,85.4300000,84.9300000,85.2100000,335374
US1.XOM,60,20120105,200000,85.2000000,85.6500000,85.1100000,85.4600000,203214
US1.XOM,60,20120105,210000,85.4700000,85.6500000,85.3500000,85.6300000,187821
US1.XOM,60,20120105,220000,85.6400000,85.7300000,85.5300000,85.6800000,121011
US1.XOM,60,20120105,230000,85.6800000,85.7300000,85.4800000,85.5900000,153371
US1.XOM,60,20120106,000000,85.5900000,85.9400000,85.4500000,85.7300000,302998
US1.XOM,60,20120106,180000,85.9800000,85.9900000,85.2700000,85.4600000,241160
US1.XOM,60,20120106,190000,85.4700000,85.6000000,85.4100000,85.4700000,253869
US1.XOM,60,20120106,200000,85.4700000,85.7300000,85.4700000,85.6200000,155751
US1.XOM,60,20120106,210000,85.6300000,85.6700000,85.4400000,85.4900000,142303
US1.XOM,60,20120106,220000,85.4800000,85.6100000,85.4550000,85.5900000,133017
US1.XOM,60,20120106,230000,85.6000000,85.6000000,85.2600000,85.2600000,162523
US1.XOM,60,20120107,000000,85.2700000,85.4000000,85.1200000,85.1700000,242792
US1.XOM,60,20120109,180000,85.0000000,85.3400000,84.9700000,85.3100000,83078
US1.XOM,60,20120109,190000,85.3200000,85.3800000,85.1900000,85.3200000,180385
US1.XOM,60,20120109,200000,85.3200000,85.3900000,85.1300000,85.2000000,138063
US1.XOM,60,20120109,210000,85.2100000,85.4500000,85.2100000,85.3900000,78074
US1.XOM,60,20120109,220000,85.3950000,85.4500000,85.3300000,85.4200000,94066
US1.XOM,60,20120109,230000,85.4150000,85.6300000,85.4000000,85.4900000,114731
US1.XOM,60,20120110,000000,85.4900000,85.6100000,85.4400000,85.4700000,226079
US1.XOM,60,20120110,180000,86.0700000,86.2100000,85.7500000,85.9600000,193024
US1.XOM,60,20120110,190000,85.9700000,86.0900000,85.7750000,85.9000000,198741
US1.XOM,60,20120110,200000,85.9000000,85.9600000,85.7900000,85.9300000,144556
US1.XOM,60,20120110,210000,85.9250000,85.9300000,85.5900000,85.6600000,119669
US1.XOM,60,20120110,220000,85.6500000,85.6600000,85.4000000,85.4100000,120856
US1.XOM,60,20120110,230000,85.4100000,85.8200000,85.3800000,85.6500000,95235
US1.XOM,60,20120111,000000,85.6500000,85.7100000,85.4200000,85.7100000,260188
US1.XOM,60,20120111,020000,85.8900000,85.8900000,85.8900000,85.8900000,200
US1.XOM,60,20120111,180000,85.1000000,85.3900000,84.9400000,85.1400000,183930
US1.XOM,60,20120111,190000,85.1400000,85.2700000,84.7900000,84.8100000,396975
US1.XOM,60,20120111,200000,84.8100000,84.9900000,84.7700000,84.8300000,192143
US1.XOM,60,20120111,210000,84.8300000,84.8600000,84.6000000,84.6300000,129848
US1.XOM,60,20120111,220000,84.6500000,84.9100000,84.6500000,84.7900000,130114
US1.XOM,60,20120111,230000,84.7800000,84.8000000,84.4700000,84.7300000,177089
US1.XOM,60,20120112,000000,84.7200000,85.2550000,84.7200000,85.0800000,250634
US1.XOM,60,20120112,180000,84.4100000,84.7200000,84.2300000,84.6400000,228664
US1.XOM,60,20120112,190000,84.6500000,84.8500000,83.9400000,84.2000000,364837
US1.XOM,60,20120112,200000,84.1900000,84.3100000,84.0000000,84.1700000,157402
US1.XOM,60,20120112,210000,84.1700000,84.6200000,84.1200000,84.5700000,159393
US1.XOM,60,20120112,220000,84.5700000,84.7800000,84.4200000,84.5000000,148969
US1.XOM,60,20120112,230000,84.5200000,84.7100000,84.2800000,84.5200000,215275
US1.XOM,60,20120113,000000,84.5300000,84.9200000,84.4000000,84.7500000,276853
US1.XOM,60,20120113,180000,84.1900000,84.4700000,84.0900000,84.2500000,316386
US1.XOM,60,20120113,190000,84.2500000,84.4400000,83.9900000,84.4400000,450484
US1.XOM,60,20120113,200000,84.4300000,84.5600000,84.3300000,84.3500000,128960
US1.XOM,60,20120113,210000,84.3500000,84.3500000,84.0100000,84.0600000,185240
US1.XOM,60,20120113,220000,84.0300000,84.2800000,83.8200000,84.2700000,227172
US1.XOM,60,20120113,230000,84.2900000,84.5000000,84.2500000,84.4900000,151729
US1.XOM,60,20120114,000000,84.4900000,84.9200000,84.4900000,84.8700000,290109
US1.XOM,60,20120117,180000,85.7800000,85.9000000,85.4000000,85.7700000,243457
US1.XOM,60,20120117,190000,85.7700000,85.9200000,85.6400000,85.9200000,265967
US1.XOM,60,20120117,200000,85.9200000,86.1300000,85.8100000,85.9700000,240668
US1.XOM,60,20120117,210000,85.9700000,85.9800000,85.7100000,85.8800000,153804
US1.XOM,60,20120117,220000,85.8800000,85.9100000,85.7900000,85.8700000,107705
US1.XOM,60,20120117,230000,85.8800000,85.9900000,85.4400000,85.5200000,141166
US1.XOM,60,20120118,000000,85.5300000,85.8600000,85.4650000,85.6900000,273510
US1.XOM,60,20120118,010000,85.6900000,85.6900000,85.6900000,85.6900000,241
US1.XOM,60,20120118,180000,85.3100000,85.6500000,84.9800000,85.5800000,165280
US1.XOM,60,20120118,190000,85.5800000,85.7800000,85.2700000,85.7800000,263195
US1.XOM,60,20120118,200000,85.7750000,85.8850000,85.5400000,85.6500000,105981
US1.XOM,60,20120118,210000,85.6700000,85.9800000,85.6700000,85.9700000,7787
US1.XOM,60,20120118,220000,86.0000000,86.1600000,85.9200000,86.1400000,76554
US1.XOM,60,20120118,230000,86.0800000,86.3600000,86.0700000,86.3300000,139800
US1.XOM,60,20120119,000000,86.3400000,86.5000000,86.2800000,86.4200000,145529
US1.XOM,60,20120119,180000,86.3400000,86.5700000,85.8100000,86.5300000,133919
US1.XOM,60,20120119,190000,86.5100000,86.9000000,86.2800000,86.8000000,321005
US1.XOM,60,20120119,200000,86.8200000,87.2000000,86.6900000,87.2000000,266783
US1.XOM,60,20120119,210000,87.2000000,87.2300000,86.6600000,86.7800000,160302
US1.XOM,60,20120119,220000,86.7600000,87.2400000,86.7400000,86.9700000,149987
