<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.YAHOO,10,20150102,174000,50.6600000,50.7200000,50.5600000,50.6200000,20114
US1.YAHOO,10,20150102,175000,50.6200000,50.7000000,50.3400000,50.3900000,67514
US1.YAHOO,10,20150102,180000,50.3900000,50.4100000,50.1600000,50.3000000,43300
US1.YAHOO,10,20150102,181000,50.3000000,50.3300000,50.2000000,50.2300000,29806
US1.YAHOO,10,20150102,182000,50.2700000,50.3700000,50.1000000,50.1400000,40159
US1.YAHOO,10,20150102,183000,50.1500000,50.1700000,50.0800000,50.1300000,27252
US1.YAHOO,10,20150102,184000,50.1300000,50.1300000,49.8400000,49.8800000,41164
US1.YAHOO,10,20150102,185000,49.8800000,49.9000000,49.6850000,49.7800000,50247
US1.YAHOO,10,20150102,190000,49.7600000,49.8400000,49.7150000,49.7900000,22130
US1.YAHOO,10,20150102,191000,49.7900000,49.7900000,49.6600000,49.6800000,31689
US1.YAHOO,10,20150102,192000,49.6700000,49.7300000,49.4800000,49.7200000,63943
US1.YAHOO,10,20150102,193000,49.7100000,49.7100000,49.5300000,49.6300000,55158
US1.YAHOO,10,20150102,194000,49.6300000,49.7700000,49.6300000,49.6600000,38520
US1.YAHOO,10,20150102,195000,49.6450000,49.6800000,49.5600000,49.6300000,27709
US1.YAHOO,10,20150102,200000,49.6400000,49.7400000,49.5600000,49.7200000,38926
US1.YAHOO,10,20150102,201000,49.7300000,49.9400000,49.7050000,49.8900000,41177
US1.YAHOO,10,20150102,202000,49.8900000,49.8900000,49.7150000,49.7800000,43357
US1.YAHOO,10,20150102,203000,49.7800000,49.7800000,49.7200000,49.7700000,13763
US1.YAHOO,10,20150102,204000,49.7750000,49.8600000,49.7400000,49.8600000,16148
US1.YAHOO,10,20150102,205000,49.8600000,49.8600000,49.7400000,49.7400000,19682
US1.YAHOO,10,20150102,210000,49.7300000,49.7900000,49.7100000,49.7300000,11904
US1.YAHOO,10,20150102,211000,49.7100000,49.7500000,49.7100000,49.7300000,15800
US1.YAHOO,10,20150102,212000,49.7300000,49.7400000,49.6600000,49.6600000,21267
US1.YAHOO,10,20150102,213000,49.6700000,49.7300000,49.5800000,49.6000000,12185
US1.YAHOO,10,20150102,214000,49.6100000,49.6200000,49.5200000,49.5600000,16019
US1.YAHOO,10,20150102,215000,49.5700000,49.6300000,49.5650000,49.5800000,15750
US1.YAHOO,10,20150102,220000,49.5700000,49.7400000,49.5300000,49.7300000,33812
US1.YAHOO,10,20150102,221000,49.7400000,49.8700000,49.7050000,49.8300000,31333
US1.YAHOO,10,20150102,222000,49.8300000,49.8800000,49.8200000,49.8600000,21555
US1.YAHOO,10,20150102,223000,49.8300000,49.9400000,49.8000000,49.8900000,12053
US1.YAHOO,10,20150102,224000,49.8800000,49.9500000,49.8500000,49.8900000,21879
US1.YAHOO,10,20150102,225000,49.8900000,49.9900000,49.8550000,49.9900000,24000
US1.YAHOO,10,20150102,230000,50.0100000,50.0400000,49.9500000,49.9600000,33014
