<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.YAHOO,D,20150102,000000,50.6600000,50.7200000,49.4800000,50.1700000,1304801
US1.YAHOO,D,20150105,000000,49.7200000,49.8800000,48.9200000,49.1350000,1227255
US1.YAHOO,D,20150106,000000,49.2100000,49.7200000,48.3400000,49.1900000,1765609
US1.YAHOO,D,20150107,000000,49.6100000,49.6100000,48.5100000,48.5800000,1346539
US1.YAHOO,D,20150108,000000,48.9800000,50.2200000,48.7200000,50.2200000,1377807
US1.YAHOO,D,20150109,000000,50.3900000,50.4000000,49.6300000,49.7300000,788454
US1.YAHOO,D,20150112,000000,49.9200000,49.9200000,48.5700000,48.8000000,1217280
US1.YAHOO,D,20150113,000000,49.1300000,49.4700000,47.4100000,48.2900000,2351891
US1.YAHOO,D,20150114,000000,47.7100000,48.0900000,47.0800000,47.5000000,2143543
US1.YAHOO,D,20150115,000000,47.5400000,47.7400000,46.2100000,46.2100000,1929417
US1.YAHOO,D,20150116,000000,46.1400000,46.5800000,45.8550000,46.4500000,1821054
US1.YAHOO,D,20150120,000000,46.7900000,47.8900000,46.7800000,47.6400000,1581468
US1.YAHOO,D,20150121,000000,48.1800000,48.1800000,48.1800000,48.1800000,200
US1.YAHOO,D,20150122,000000,48.4100000,49.0700000,48.0200000,48.8800000,1392227
US1.YAHOO,D,20150123,000000,48.7700000,49.2200000,48.6400000,48.9600000,1464905
US1.YAHOO,D,20150126,000000,49.6200000,49.7800000,49.0700000,49.4300000,1616296
US1.YAHOO,D,20150127,000000,49.1500000,49.1500000,47.6600000,47.9900000,3080203
US1.YAHOO,D,20150128,000000,49.8000000,50.3200000,46.3600000,46.4700000,10615447
US1.YAHOO,D,20150129,000000,43.5600000,43.7900000,41.8000000,43.7200000,5569188
US1.YAHOO,D,20150130,000000,43.7400000,44.8500000,43.5100000,43.9900000,3095272
US1.YAHOO,D,20150202,000000,44.4400000,44.7500000,43.8800000,44.6800000,2216454
US1.YAHOO,D,20150203,000000,45.0900000,45.2300000,44.3800000,44.6700000,1480070
US1.YAHOO,D,20150204,000000,44.8000000,44.9700000,43.8750000,44.0400000,1676348
US1.YAHOO,D,20150205,000000,44.1000000,44.2500000,43.0250000,43.5400000,1825954
US1.YAHOO,D,20150206,000000,43.5700000,43.6500000,42.6750000,42.9400000,1519656
US1.YAHOO,D,20150209,000000,42.6400000,43.1400000,42.5400000,42.5700000,1426886
US1.YAHOO,D,20150210,000000,42.9100000,43.1700000,42.6600000,43.0800000,1281398
US1.YAHOO,D,20150211,000000,43.1700000,43.2500000,42.7700000,42.9500000,979227
US1.YAHOO,D,20150212,000000,42.9700000,44.1600000,42.8600000,43.9300000,1974234
US1.YAHOO,D,20150213,000000,44.1150000,44.5850000,44.0100000,44.4100000,1301505
US1.YAHOO,D,20150217,000000,44.4000000,44.4500000,43.4400000,43.5400000,1216722
US1.YAHOO,D,20150218,000000,43.4700000,43.8200000,43.3100000,43.6350000,948146
US1.YAHOO,D,20150219,000000,43.6100000,44.4150000,43.5100000,44.3900000,1484920
US1.YAHOO,D,20150220,000000,44.3000000,44.3600000,43.7650000,44.1200000,1328208
US1.YAHOO,D,20150223,000000,43.8500000,43.9600000,43.4300000,43.5300000,821068
US1.YAHOO,D,20150224,000000,43.4800000,43.5100000,42.9200000,43.3800000,1121112
US1.YAHOO,D,20150225,000000,43.3500000,44.7150000,43.3500000,44.4300000,1762934
US1.YAHOO,D,20150226,000000,44.6400000,44.7600000,44.2550000,44.4500000,1094602
US1.YAHOO,D,20150227,000000,44.4300000,44.5700000,44.0500000,44.2800000,1025758
US1.YAHOO,D,20150302,000000,44.0600000,44.4300000,43.7000000,44.1000000,1260837
US1.YAHOO,D,20150303,000000,43.6900000,43.7300000,42.4250000,42.6300000,2571002
US1.YAHOO,D,20150304,000000,42.0900000,44.3700000,41.9800000,43.9950000,3911253
US1.YAHOO,D,20150305,000000,44.1800000,44.3100000,43.5000000,44.1600000,1300595
US1.YAHOO,D,20150306,000000,43.9650000,44.2300000,43.4500000,43.4500000,1581859
US1.YAHOO,D,20150309,000000,43.5800000,43.9200000,42.6800000,42.9600000,1548104
US1.YAHOO,D,20150310,000000,42.4900000,42.9200000,42.1800000,42.6800000,1142717
US1.YAHOO,D,20150311,000000,42.7950000,42.9800000,42.3600000,42.5200000,1020237
US1.YAHOO,D,20150312,000000,42.6900000,43.3500000,42.5800000,42.9500000,844356
US1.YAHOO,D,20150313,000000,42.8500000,42.9700000,42.4400000,42.8700000,1011839
US1.YAHOO,D,20150316,000000,42.9200000,43.8700000,42.7600000,43.5100000,1156960
US1.YAHOO,D,20150317,000000,43.5100000,44.1500000,43.4700000,43.7900000,782549
US1.YAHOO,D,20150318,000000,43.5800000,44.7100000,43.4300000,44.6800000,1612174
US1.YAHOO,D,20150319,000000,44.9100000,45.4500000,44.8500000,44.9900000,1172030
US1.YAHOO,D,20150320,000000,45.3200000,45.5800000,44.9150000,45.0600000,764619
US1.YAHOO,D,20150323,000000,45.2700000,45.5100000,44.7100000,44.7100000,559775
US1.YAHOO,D,20150324,000000,44.6400000,44.7700000,44.2900000,44.4400000,553562
US1.YAHOO,D,20150325,000000,44.4300000,44.9300000,44.1300000,44.2300000,1488585
US1.YAHOO,D,20150326,000000,43.7700000,44.6700000,43.6900000,44.4800000,1277632
US1.YAHOO,D,20150327,000000,45.2000000,45.6700000,45.0150000,45.1000000,1629324
US1.YAHOO,D,20150330,000000,45.3500000,45.4200000,44.8200000,44.9400000,573431
US1.YAHOO,D,20150331,000000,44.7800000,45.1900000,44.4250000,44.4850000,825029
US1.YAHOO,D,20150401,000000,44.4800000,44.6000000,43.9550000,44.1000000,984804
US1.YAHOO,D,20150402,000000,44.1000000,44.3500000,43.6800000,44.1400000,905055
US1.YAHOO,D,20150406,000000,43.8200000,44.0200000,43.6200000,43.6650000,645196
US1.YAHOO,D,20150407,000000,43.7300000,44.2000000,43.5650000,43.6000000,1002446
US1.YAHOO,D,20150408,000000,43.9000000,45.1900000,43.8000000,45.1700000,1593383
US1.YAHOO,D,20150409,000000,45.6900000,46.1700000,45.1600000,45.6350000,1476013
US1.YAHOO,D,20150410,000000,45.7100000,45.7200000,45.0050000,45.1800000,958104
US1.YAHOO,D,20150413,000000,45.2300000,45.5900000,44.7250000,44.7550000,825095
US1.YAHOO,D,20150414,000000,44.8000000,45.6300000,44.8000000,45.5200000,1145809
US1.YAHOO,D,20150415,000000,45.3900000,45.8300000,45.2300000,45.7200000,1195052
US1.YAHOO,D,20150416,000000,45.8200000,46.1300000,45.5400000,45.7750000,1234989
US1.YAHOO,D,20150417,000000,45.4000000,45.4400000,44.2600000,44.4500000,926199
US1.YAHOO,D,20150420,000000,44.7400000,44.9100000,44.4200000,44.6500000,853765
US1.YAHOO,D,20150421,000000,45.0400000,45.1800000,44.4500000,44.4600000,1286171
US1.YAHOO,D,20150422,000000,44.5700000,44.8400000,43.6750000,43.9550000,2529854
US1.YAHOO,D,20150423,000000,43.8300000,44.0500000,43.5800000,43.7300000,941234
US1.YAHOO,D,20150424,000000,43.7700000,44.7100000,43.6900000,44.5200000,758565
US1.YAHOO,D,20150427,000000,44.6600000,45.0950000,44.2500000,44.3200000,1003014
US1.YAHOO,D,20150428,000000,44.3300000,44.5600000,43.9400000,44.3350000,821724
US1.YAHOO,D,20150429,000000,43.8700000,44.0500000,43.1000000,43.2800000,954343
US1.YAHOO,D,20150430,000000,43.1200000,43.3100000,42.2700000,42.5450000,860840
US1.YAHOO,D,20150501,000000,42.5300000,42.6800000,42.0900000,42.5100000,627401
US1.YAHOO,D,20150504,000000,42.5400000,42.5500000,41.8400000,42.0300000,916015
US1.YAHOO,D,20150505,000000,41.8600000,41.9900000,40.8100000,41.2900000,1272635
US1.YAHOO,D,20150506,000000,41.3400000,41.7200000,41.2100000,41.6600000,1017084
US1.YAHOO,D,20150507,000000,44.9400000,44.9600000,43.5500000,43.8700000,2889155
US1.YAHOO,D,20150508,000000,44.3400000,44.5400000,44.0100000,44.0700000,1154984
US1.YAHOO,D,20150511,000000,43.8400000,44.1400000,43.5950000,43.6000000,922458
US1.YAHOO,D,20150512,000000,44.3000000,44.3100000,43.7000000,43.8400000,969022
US1.YAHOO,D,20150513,000000,44.0300000,44.6600000,43.9900000,44.3900000,849378
US1.YAHOO,D,20150514,000000,44.5400000,44.9900000,44.4700000,44.9450000,650867
US1.YAHOO,D,20150515,000000,44.9900000,45.0700000,44.6950000,44.7500000,497615
US1.YAHOO,D,20150518,000000,44.5150000,44.5400000,44.0500000,44.3500000,457110
US1.YAHOO,D,20150519,000000,44.4900000,44.6600000,39.1400000,41.0200000,3467135
US1.YAHOO,D,20150520,000000,42.2300000,43.0350000,42.1650000,42.7850000,3264082
US1.YAHOO,D,20150521,000000,43.0600000,43.8600000,43.0600000,43.6700000,2159361
US1.YAHOO,D,20150522,000000,43.5800000,44.0000000,43.4700000,43.4800000,886037
US1.YAHOO,D,20150526,000000,43.4700000,43.4900000,42.5900000,42.8500000,635750
US1.YAHOO,D,20150527,000000,42.5500000,43.4300000,42.2800000,43.3900000,984229
US1.YAHOO,D,20150528,000000,43.0600000,43.4150000,42.9300000,43.0700000,519788
US1.YAHOO,D,20150529,000000,43.4600000,43.5800000,42.8200000,42.9650000,674556
US1.YAHOO,D,20150601,000000,43.0800000,43.6300000,42.9200000,43.3600000,641759
US1.YAHOO,D,20150602,000000,43.1200000,43.6100000,42.9200000,43.1500000,673353
US1.YAHOO,D,20150603,000000,43.2700000,43.7650000,42.9800000,43.1950000,855840
US1.YAHOO,D,20150604,000000,43.0700000,43.4300000,42.7700000,42.8900000,648286
US1.YAHOO,D,20150605,000000,42.8300000,43.2600000,42.7100000,42.8100000,641671
US1.YAHOO,D,20150608,000000,42.6900000,42.8900000,42.0050000,42.0100000,504034
US1.YAHOO,D,20150609,000000,41.9200000,41.9300000,41.0300000,41.6200000,1104697
US1.YAHOO,D,20150610,000000,41.7000000,42.3100000,41.6900000,42.0600000,485758
US1.YAHOO,D,20150611,000000,42.1300000,42.2100000,40.5600000,40.9350000,1661184
US1.YAHOO,D,20150612,000000,40.7600000,41.1050000,40.4600000,40.5300000,674332
US1.YAHOO,D,20150615,000000,40.3200000,40.6600000,40.2200000,40.4800000,890296
US1.YAHOO,D,20150616,000000,40.3500000,41.4000000,40.0300000,40.6200000,1365898
US1.YAHOO,D,20150617,000000,40.8000000,41.5150000,40.8000000,40.9500000,850266
US1.YAHOO,D,20150618,000000,41.0500000,41.2700000,40.8000000,40.9200000,785139
US1.YAHOO,D,20150619,000000,40.9100000,40.9300000,40.3700000,40.5750000,700205
US1.YAHOO,D,20150622,000000,40.6700000,40.8900000,40.5400000,40.7100000,333689
US1.YAHOO,D,20150623,000000,40.7300000,40.8000000,40.5200000,40.6450000,414519
US1.YAHOO,D,20150624,000000,40.6400000,41.1600000,40.5800000,40.9400000,819189
US1.YAHOO,D,20150625,000000,41.1000000,41.3800000,40.9000000,41.0700000,586119
