<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,D,20120103,000000,409.5100000,412.4900000,409.0000000,410.9000000,1118932
US2.AAPL,D,20120104,000000,410.2100000,414.6500000,409.3800000,413.4300000,911342
US2.AAPL,D,20120105,000000,414.9900000,418.5500000,412.7000000,418.0600000,1144960
US2.AAPL,D,20120106,000000,419.8000000,422.6700000,419.2300000,422.4500000,1142210
US2.AAPL,D,20120109,000000,425.7150000,427.7500000,421.3700000,421.6800000,1310388
US2.AAPL,D,20120110,000000,425.9550000,426.0000000,421.5400000,424.5300000,880052
US2.AAPL,D,20120111,000000,422.6800000,422.8400000,419.3100000,422.5500000,745556
US2.AAPL,D,20120112,000000,422.2800000,422.8300000,418.7600000,421.3600000,489342
US2.AAPL,D,20120113,000000,419.2900000,420.4300000,418.7200000,419.9800000,768572
US2.AAPL,D,20120117,000000,424.0300000,425.9900000,423.0000000,424.7500000,732838
US2.AAPL,D,20120118,000000,426.8300000,429.0900000,426.3100000,429.0900000,448951
US2.AAPL,D,20120119,000000,430.1700000,431.3300000,426.5700000,427.6600000,827769
US2.AAPL,D,20120120,000000,427.3600000,427.4600000,419.7600000,420.2800000,1236422
US2.AAPL,D,20120123,000000,422.8250000,428.4400000,422.3200000,427.5800000,821345
US2.AAPL,D,20120124,000000,424.8600000,424.9900000,419.6600000,420.4800000,965694
US2.AAPL,D,20120125,000000,454.1900000,454.2400000,443.7800000,446.8800000,3119178
US2.AAPL,D,20120126,000000,448.2700000,448.7700000,443.1500000,444.6500000,864927
US2.AAPL,D,20120127,000000,444.4300000,448.4700000,444.0850000,447.4100000,793118
US2.AAPL,D,20120130,000000,445.7100000,453.8900000,445.4200000,453.0000000,1056031
US2.AAPL,D,20120131,000000,455.7400000,458.2400000,453.1100000,456.3900000,859827
US2.AAPL,D,20120201,000000,458.4100000,458.9900000,455.5600000,456.1800000,794507
US2.AAPL,D,20120202,000000,456.2100000,457.1000000,453.9800000,455.0000000,602554
US2.AAPL,D,20120203,000000,457.4400000,460.0000000,455.6500000,459.4300000,812877
