<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,60,20120103,180000,409.5100000,411.6250000,409.0000000,411.2500000,247267
US2.AAPL,60,20120103,190000,411.2800000,412.4900000,410.2200000,410.8300000,214231
US2.AAPL,60,20120103,200000,410.9700000,411.4300000,410.7500000,410.7850000,97640
US2.AAPL,60,20120103,210000,410.7500000,411.0800000,409.5600000,409.7950000,98017
US2.AAPL,60,20120103,220000,409.8100000,410.9000000,409.2450000,410.9000000,126641
US2.AAPL,60,20120103,230000,410.8500000,411.7600000,410.5000000,411.7600000,128022
US2.AAPL,60,20120104,000000,411.7500000,412.0200000,410.7100000,410.9000000,207114
US2.AAPL,60,20120104,180000,410.2100000,411.5000000,409.3800000,410.8500000,112707
US2.AAPL,60,20120104,190000,410.7300000,411.0000000,409.4000000,410.9000000,153434
US2.AAPL,60,20120104,200000,410.8500000,413.5000000,410.7300000,413.1000000,158459
US2.AAPL,60,20120104,210000,413.0500000,414.6500000,412.9900000,414.4800000,122448
US2.AAPL,60,20120104,220000,414.4900000,414.4900000,413.0500000,414.1400000,115938
US2.AAPL,60,20120104,230000,414.1000000,414.1700000,413.0100000,413.7500000,84336
US2.AAPL,60,20120105,000000,413.7700000,414.3300000,412.6800000,413.4300000,164020
US2.AAPL,60,20120105,180000,414.9900000,415.6200000,412.7000000,414.5600000,209186
US2.AAPL,60,20120105,190000,414.3700000,415.3500000,413.9000000,414.5600000,207094
US2.AAPL,60,20120105,200000,414.5100000,415.3600000,414.1900000,415.1500000,112679
US2.AAPL,60,20120105,210000,415.0600000,416.3300000,414.9500000,416.1000000,133189
US2.AAPL,60,20120105,220000,416.1200000,417.9000000,416.0850000,417.8500000,143800
US2.AAPL,60,20120105,230000,417.8100000,418.5000000,416.8300000,417.0300000,159630
US2.AAPL,60,20120106,000000,417.0700000,418.5500000,416.7100000,418.0600000,179382
US2.AAPL,60,20120106,180000,419.8000000,421.4700000,419.2300000,420.0900000,295948
US2.AAPL,60,20120106,190000,420.0800000,421.2600000,419.7000000,420.4300000,181716
US2.AAPL,60,20120106,200000,420.4200000,421.2100000,420.4100000,420.7100000,99492
US2.AAPL,60,20120106,210000,420.5900000,421.0500000,420.3000000,420.8000000,90955
US2.AAPL,60,20120106,220000,420.7500000,421.7800000,420.5400000,421.7000000,85922
US2.AAPL,60,20120106,230000,421.7300000,422.4900000,421.2800000,421.9000000,187087
US2.AAPL,60,20120107,000000,421.9000000,422.6700000,421.3500000,422.4500000,201090
US2.AAPL,60,20120109,180000,425.7150000,426.7700000,424.5700000,426.0700000,250352
US2.AAPL,60,20120109,190000,426.1200000,427.7500000,425.3900000,425.9500000,304097
US2.AAPL,60,20120109,200000,425.8900000,425.9800000,422.8900000,422.9800000,181597
US2.AAPL,60,20120109,210000,423.0300000,424.2500000,421.3700000,423.9800000,181403
US2.AAPL,60,20120109,220000,424.1600000,424.2500000,423.1200000,423.3800000,83635
US2.AAPL,60,20120109,230000,423.3500000,424.9900000,422.5000000,423.1700000,136225
US2.AAPL,60,20120110,000000,423.1900000,423.7650000,421.5200000,421.6800000,173079
US2.AAPL,60,20120110,180000,425.9550000,426.0000000,423.6100000,424.4100000,169029
US2.AAPL,60,20120110,190000,424.4900000,425.5600000,423.8900000,424.5200000,140573
US2.AAPL,60,20120110,200000,424.5200000,424.9600000,423.3500000,423.3500000,81873
US2.AAPL,60,20120110,210000,423.3300000,423.6700000,421.5400000,422.0800000,188692
US2.AAPL,60,20120110,220000,422.0700000,423.8750000,421.7100000,423.2400000,118010
US2.AAPL,60,20120110,230000,423.1800000,423.8500000,422.9000000,423.5200000,77372
US2.AAPL,60,20120111,000000,423.5400000,423.9500000,422.6300000,423.1200000,104403
US2.AAPL,60,20120111,020000,424.5300000,424.5300000,424.5300000,424.5300000,100
US2.AAPL,60,20120111,180000,422.6800000,422.6800000,419.7400000,420.0900000,130473
US2.AAPL,60,20120111,190000,420.0800000,422.2500000,419.3100000,421.1200000,176054
US2.AAPL,60,20120111,200000,421.1200000,421.3600000,420.0700000,420.9600000,79880
US2.AAPL,60,20120111,210000,420.9100000,421.1600000,420.3000000,420.5400000,69492
US2.AAPL,60,20120111,220000,420.6700000,421.7900000,420.6100000,421.0400000,80771
US2.AAPL,60,20120111,230000,421.2300000,421.8500000,421.0600000,421.4400000,57008
US2.AAPL,60,20120112,000000,421.3900000,422.8400000,421.2600000,422.5500000,151878
US2.AAPL,60,20120112,180000,422.2800000,422.8300000,420.2500000,421.3600000,77000
US2.AAPL,60,20120112,190000,421.5900000,421.9100000,418.7600000,419.8400000,139201
US2.AAPL,60,20120112,200000,419.8600000,421.1300000,419.7100000,420.5000000,60735
US2.AAPL,60,20120112,210000,420.5300000,421.4600000,420.2900000,421.3700000,49426
US2.AAPL,60,20120112,220000,421.4100000,421.7400000,420.7400000,421.4600000,48840
US2.AAPL,60,20120112,230000,421.3900000,422.3100000,421.0700000,421.9500000,44603
US2.AAPL,60,20120113,000000,421.9100000,421.9400000,421.0200000,421.3600000,69537
US2.AAPL,60,20120113,180000,419.2900000,420.4300000,418.7200000,419.5400000,117279
US2.AAPL,60,20120113,190000,419.5000000,420.1300000,418.8000000,419.2300000,158552
US2.AAPL,60,20120113,200000,419.2100000,420.2200000,418.9300000,419.8400000,87992
US2.AAPL,60,20120113,210000,419.8400000,419.8500000,419.0600000,419.6800000,54158
US2.AAPL,60,20120113,220000,419.5400000,419.6600000,419.0000000,419.2600000,101184
US2.AAPL,60,20120113,230000,419.3400000,419.8100000,419.1300000,419.5300000,75576
US2.AAPL,60,20120114,000000,419.5350000,420.2000000,419.3800000,419.9800000,173631
US2.AAPL,60,20120114,010000,419.9800000,419.9800000,419.9800000,419.9800000,200
US2.AAPL,60,20120117,180000,424.0300000,425.1800000,423.4100000,424.9100000,126879
US2.AAPL,60,20120117,190000,424.9500000,425.8000000,424.4900000,425.5400000,159859
US2.AAPL,60,20120117,200000,425.5400000,425.9900000,425.4500000,425.8300000,104423
US2.AAPL,60,20120117,210000,425.8500000,425.9400000,425.2000000,425.5000000,58285
US2.AAPL,60,20120117,220000,425.5000000,425.6500000,425.2300000,425.2700000,67258
US2.AAPL,60,20120117,230000,425.2600000,425.2700000,423.5000000,423.9300000,94130
US2.AAPL,60,20120118,000000,423.9400000,424.8300000,423.0000000,424.7500000,121804
US2.AAPL,60,20120118,010000,424.7500000,424.7500000,424.7500000,424.7500000,200
US2.AAPL,60,20120118,180000,426.8300000,428.0800000,426.3100000,426.9000000,209047
US2.AAPL,60,20120118,190000,426.9900000,427.8900000,426.8000000,427.1500000,152563
US2.AAPL,60,20120118,200000,427.1600000,427.4800000,426.8200000,427.2300000,39133
US2.AAPL,60,20120118,210000,426.9600000,427.9900000,426.9600000,427.9900000,4570
US2.AAPL,60,20120118,220000,428.2700000,428.4300000,427.9000000,428.0500000,41578
US2.AAPL,60,20120118,230000,428.0200000,428.0700000,428.0000000,428.0700000,1960
US2.AAPL,60,20120119,010000,429.0900000,429.0900000,429.0900000,429.0900000,100
US2.AAPL,60,20120119,180000,430.1700000,431.3300000,428.9100000,429.3300000,191785
US2.AAPL,60,20120119,190000,429.2550000,429.9500000,428.2100000,429.6100000,177798
US2.AAPL,60,20120119,200000,429.6000000,430.0600000,429.0200000,429.3200000,115705
US2.AAPL,60,20120119,210000,429.3350000,429.6000000,428.7500000,428.9000000,60883
US2.AAPL,60,20120119,220000,428.9000000,429.4000000,428.8300000,429.3450000,47348
US2.AAPL,60,20120119,230000,429.2700000,429.7600000,428.8700000,429.1200000,63872
US2.AAPL,60,20120120,000000,429.0100000,429.3200000,426.5700000,427.6600000,170378
US2.AAPL,60,20120120,180000,427.3600000,427.4600000,423.2300000,424.5500000,192751
US2.AAPL,60,20120120,190000,424.6000000,424.9800000,424.1700000,424.4800000,166608
US2.AAPL,60,20120120,200000,424.4700000,424.5300000,423.6600000,424.0000000,120116
US2.AAPL,60,20120120,210000,424.0000000,424.0800000,423.9300000,423.9600000,77052
US2.AAPL,60,20120120,220000,423.9500000,424.0400000,421.1700000,421.2000000,124330
US2.AAPL,60,20120120,230000,421.2300000,422.0800000,419.7600000,420.4600000,278626
US2.AAPL,60,20120121,000000,420.5300000,421.6100000,420.0000000,420.2800000,276939
US2.AAPL,60,20120123,180000,422.8250000,427.5800000,422.3200000,426.7000000,137739
US2.AAPL,60,20120123,190000,426.6700000,428.4400000,426.4500000,427.5200000,135724
US2.AAPL,60,20120123,200000,427.6000000,427.8000000,425.4500000,425.4800000,110605
US2.AAPL,60,20120123,210000,425.4600000,425.7300000,424.6400000,425.5900000,77265
US2.AAPL,60,20120123,220000,425.6000000,427.4800000,425.5700000,427.3900000,75729
US2.AAPL,60,20120123,230000,427.1100000,427.3000000,425.8600000,425.9900000,132823
US2.AAPL,60,20120124,000000,426.0100000,427.5800000,425.8800000,427.5800000,151460
US2.AAPL,60,20120124,180000,424.8600000,424.9200000,423.2200000,423.8900000,154990
US2.AAPL,60,20120124,190000,423.8700000,424.9900000,423.3300000,424.0700000,108025
US2.AAPL,60,20120124,200000,424.1900000,424.1900000,423.0700000,423.5800000,103676
US2.AAPL,60,20120124,210000,423.5850000,424.2800000,423.5000000,423.9400000,99194
US2.AAPL,60,20120124,220000,423.9000000,423.9000000,420.8700000,422.1300000,140295
US2.AAPL,60,20120124,230000,422.2000000,423.1300000,421.6500000,422.0300000,120352
US2.AAPL,60,20120125,000000,422.0400000,422.5000000,419.6600000,420.4800000,239162
US2.AAPL,60,20120125,180000,454.1900000,454.2400000,447.2600000,448.9400000,979481
US2.AAPL,60,20120125,190000,449.0200000,449.0300000,445.2500000,446.7300000,536455
US2.AAPL,60,20120125,200000,446.7900000,449.5900000,446.6100000,448.6600000,394529
US2.AAPL,60,20120125,210000,448.6500000,448.8000000,443.7800000,444.0800000,334404
US2.AAPL,60,20120125,220000,444.1300000,448.0900000,444.0800000,447.9400000,280295
US2.AAPL,60,20120125,230000,447.9500000,448.0000000,446.3900000,446.3900000,239962
US2.AAPL,60,20120126,000000,446.3800000,447.5200000,446.2300000,446.8800000,354052
US2.AAPL,60,20120126,180000,448.2700000,448.7700000,445.8800000,448.0500000,144487
US2.AAPL,60,20120126,190000,448.0500000,448.0500000,444.1300000,444.2500000,202016
US2.AAPL,60,20120126,200000,444.1800000,445.6600000,443.8500000,445.3200000,125434
US2.AAPL,60,20120126,210000,445.3200000,445.3200000,444.1600000,444.6350000,86627
US2.AAPL,60,20120126,220000,444.6100000,444.6400000,443.7850000,444.5800000,76439
