<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,10,20130102,174000,553.8200000,555.0000000,550.7800000,553.1100000,169010
US2.AAPL,10,20130102,175000,553.0900000,553.5300000,550.5200000,551.6100000,89959
US2.AAPL,10,20130102,180000,551.5000000,553.2500000,551.0200000,552.1300000,60253
US2.AAPL,10,20130102,181000,552.0000000,552.0000000,548.3500000,548.8400000,101221
US2.AAPL,10,20130102,182000,548.8300000,550.6100000,547.3200000,547.9200000,56756
US2.AAPL,10,20130102,183000,548.1900000,549.7900000,547.7500000,549.6000000,35326
US2.AAPL,10,20130102,184000,549.4600000,550.5700000,548.4500000,548.9200000,25279
US2.AAPL,10,20130102,185000,549.1200000,549.3600000,547.1400000,547.6800000,25147
US2.AAPL,10,20130102,190000,547.6100000,549.3800000,547.6100000,548.1100000,20383
US2.AAPL,10,20130102,191000,548.1000000,548.7400000,546.7900000,547.4900000,27105
US2.AAPL,10,20130102,192000,547.4000000,547.6900000,545.6500000,545.6500000,23893
US2.AAPL,10,20130102,193000,545.6150000,547.1000000,545.3400000,547.0200000,30262
US2.AAPL,10,20130102,194000,546.9500000,547.0100000,545.0000000,545.1500000,27448
US2.AAPL,10,20130102,195000,545.1500000,545.2200000,543.1900000,543.6600000,57810
US2.AAPL,10,20130102,200000,543.6900000,544.5700000,542.6200000,542.9800000,24493
US2.AAPL,10,20130102,201000,543.1500000,543.1500000,541.7400000,542.9800000,34010
US2.AAPL,10,20130102,202000,542.8200000,544.7100000,542.0800000,544.6100000,29562
US2.AAPL,10,20130102,203000,544.5800000,544.5800000,543.2000000,543.6300000,20658
US2.AAPL,10,20130102,204000,543.9000000,545.3300000,543.9000000,544.6800000,11627
US2.AAPL,10,20130102,205000,544.6100000,544.9000000,543.3600000,543.8300000,10593
US2.AAPL,10,20130102,210000,543.9400000,545.4400000,543.9400000,545.4400000,23322
US2.AAPL,10,20130102,211000,545.6700000,547.6000000,545.3300000,547.1100000,19220
US2.AAPL,10,20130102,212000,547.2700000,547.3000000,546.1400000,547.3000000,11586
US2.AAPL,10,20130102,213000,547.2800000,547.4900000,545.9000000,547.0700000,15299
US2.AAPL,10,20130102,214000,547.0100000,547.6500000,546.1700000,546.6900000,9975
US2.AAPL,10,20130102,215000,546.6500000,546.6900000,544.5100000,544.7000000,14890
US2.AAPL,10,20130102,220000,544.7300000,545.2100000,544.1300000,544.6100000,10574
US2.AAPL,10,20130102,221000,544.7000000,546.0000000,544.5300000,545.7300000,10744
US2.AAPL,10,20130102,222000,545.7700000,547.0400000,545.5550000,546.8700000,12139
US2.AAPL,10,20130102,223000,546.8200000,547.1400000,546.1700000,546.5800000,5506
US2.AAPL,10,20130102,224000,546.6700000,546.7900000,545.4000000,545.4000000,16180
US2.AAPL,10,20130102,225000,545.4000000,545.9000000,545.1100000,545.4300000,11044
US2.AAPL,10,20130102,230000,545.3400000,547.2100000,545.3400000,546.9000000,18158
US2.AAPL,10,20130102,231000,547.2900000,549.0000000,547.2200000,548.8500000,26261
US2.AAPL,10,20130102,232000,548.5600000,548.9700000,547.9300000,548.9700000,16076
US2.AAPL,10,20130102,233000,549.0000000,549.0800000,548.1700000,548.5300000,18977
US2.AAPL,10,20130102,234000,548.3700000,548.7200000,547.3200000,547.9600000,25741
US2.AAPL,10,20130102,235000,548.0500000,548.4200000,546.5500000,546.5500000,34435
US2.AAPL,10,20130103,000000,546.8400000,550.0000000,546.8400000,548.7500000,72635
US2.AAPL,10,20130103,174000,547.6500000,547.9000000,543.6000000,544.1300000,65489
US2.AAPL,10,20130103,175000,544.2200000,546.6000000,544.1500000,545.3600000,38197
US2.AAPL,10,20130103,180000,545.1300000,548.5100000,544.6300000,548.4000000,46442
US2.AAPL,10,20130103,181000,548.3200000,549.5900000,547.0600000,549.2500000,46974
US2.AAPL,10,20130103,182000,549.4000000,549.4000000,546.8400000,547.2700000,27977
US2.AAPL,10,20130103,183000,547.3600000,548.1100000,547.1800000,547.5400000,18781
US2.AAPL,10,20130103,184000,547.7700000,548.3500000,547.3300000,548.0300000,24366
US2.AAPL,10,20130103,185000,548.0800000,548.3000000,547.4400000,547.4400000,12617
US2.AAPL,10,20130103,190000,547.4200000,547.6600000,546.8100000,547.4400000,20941
US2.AAPL,10,20130103,191000,547.1700000,547.6100000,546.6100000,547.2000000,9825
US2.AAPL,10,20130103,192000,547.4700000,548.2600000,547.2600000,547.4800000,13595
US2.AAPL,10,20130103,193000,547.5800000,548.0500000,547.3300000,547.7400000,8923
US2.AAPL,10,20130103,194000,547.7300000,549.0600000,547.5900000,548.5100000,17975
US2.AAPL,10,20130103,195000,548.8600000,549.0000000,547.0700000,547.3650000,19980
US2.AAPL,10,20130103,200000,547.4400000,547.7050000,547.1500000,547.3400000,10438
US2.AAPL,10,20130103,201000,547.3000000,548.0800000,547.3000000,548.0400000,7152
US2.AAPL,10,20130103,202000,547.9500000,548.3700000,547.6000000,547.9400000,7582
US2.AAPL,10,20130103,203000,548.0000000,548.8100000,547.9300000,548.1000000,7431
