<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XOM,03/01/12,17:00,85.97000,86.37000,85.96000,86.16000,317798
XOM,03/01/12,18:00,86.16500,86.45000,86.06000,86.33000,370649
XOM,03/01/12,19:00,86.34000,86.67000,86.21000,86.36000,348219
XOM,03/01/12,20:00,86.34000,86.37000,85.94000,86.00000,242863
XOM,03/01/12,21:00,85.99000,86.30000,85.98000,86.25000,174181
XOM,03/01/12,22:00,86.26000,86.39000,86.21000,86.30000,210848
XOM,03/01/12,23:00,86.30000,86.42000,85.93000,85.95000,414688
XOM,04/01/12,17:00,85.78500,86.00000,85.52000,85.97000,199438
XOM,04/01/12,18:00,85.95000,85.95000,85.10500,85.40000,347556
XOM,04/01/12,19:00,85.40000,85.57000,85.25000,85.43000,206690
XOM,04/01/12,20:00,85.44000,85.67000,85.38000,85.47000,184512
XOM,04/01/12,21:00,85.46000,85.70000,85.30000,85.70000,148174
XOM,04/01/12,22:00,85.69000,85.90000,85.64000,85.87000,155369
XOM,04/01/12,23:00,85.86000,86.14000,85.72000,86.04000,228442
XOM,05/01/12,17:00,85.64000,85.80000,85.15000,85.15000,201693
XOM,05/01/12,18:00,85.15000,85.43000,84.93000,85.21000,335374
XOM,05/01/12,19:00,85.20000,85.65000,85.11000,85.46000,203214
XOM,05/01/12,20:00,85.47000,85.65000,85.35000,85.63000,187821
XOM,05/01/12,21:00,85.64000,85.73000,85.53000,85.68000,121011
XOM,05/01/12,22:00,85.68000,85.73000,85.48000,85.59000,153371
XOM,05/01/12,23:00,85.59000,85.94000,85.45000,85.73000,302998
XOM,06/01/12,17:00,85.98000,85.99000,85.27000,85.46000,241160
XOM,06/01/12,18:00,85.47000,85.60000,85.41000,85.47000,253869
XOM,06/01/12,19:00,85.47000,85.73000,85.47000,85.62000,155751
XOM,06/01/12,20:00,85.63000,85.67000,85.44000,85.49000,142303
XOM,06/01/12,21:00,85.48000,85.61000,85.45500,85.59000,133017
XOM,06/01/12,22:00,85.60000,85.60000,85.26000,85.26000,162523
XOM,06/01/12,23:00,85.27000,85.40000,85.12000,85.17000,242792
XOM,09/01/12,17:00,85.00000,85.34000,84.97000,85.31000,83078
XOM,09/01/12,18:00,85.32000,85.38000,85.19000,85.32000,180385
XOM,09/01/12,19:00,85.32000,85.39000,85.13000,85.20000,138063
XOM,09/01/12,20:00,85.21000,85.45000,85.21000,85.39000,78074
XOM,09/01/12,21:00,85.39500,85.45000,85.33000,85.42000,94066
XOM,09/01/12,22:00,85.41500,85.63000,85.40000,85.49000,114731
XOM,09/01/12,23:00,85.49000,85.61000,85.44000,85.47000,226079
XOM,10/01/12,17:00,86.07000,86.21000,85.75000,85.96000,193024
XOM,10/01/12,18:00,85.97000,86.09000,85.77500,85.90000,198741
XOM,10/01/12,19:00,85.90000,85.96000,85.79000,85.93000,144556
XOM,10/01/12,20:00,85.92500,85.93000,85.59000,85.66000,119669
XOM,10/01/12,21:00,85.65000,85.66000,85.40000,85.41000,120856
XOM,10/01/12,22:00,85.41000,85.82000,85.38000,85.65000,95235
XOM,10/01/12,23:00,85.65000,85.71000,85.42000,85.71000,260188
XOM,11/01/12,01:00,85.89000,85.89000,85.89000,85.89000,200
XOM,11/01/12,17:00,85.10000,85.39000,84.94000,85.14000,183930
XOM,11/01/12,18:00,85.14000,85.27000,84.79000,84.81000,396975
XOM,11/01/12,19:00,84.81000,84.99000,84.77000,84.83000,192143
XOM,11/01/12,20:00,84.83000,84.86000,84.60000,84.63000,129848
XOM,11/01/12,21:00,84.65000,84.91000,84.65000,84.79000,130114
XOM,11/01/12,22:00,84.78000,84.80000,84.47000,84.73000,177089
XOM,11/01/12,23:00,84.72000,85.25500,84.72000,85.08000,250634
XOM,12/01/12,17:00,84.41000,84.72000,84.23000,84.64000,228664
XOM,12/01/12,18:00,84.65000,84.85000,83.94000,84.20000,364837
XOM,12/01/12,19:00,84.19000,84.31000,84.00000,84.17000,157402
XOM,12/01/12,20:00,84.17000,84.62000,84.12000,84.57000,159393
XOM,12/01/12,21:00,84.57000,84.78000,84.42000,84.50000,148969
XOM,12/01/12,22:00,84.52000,84.71000,84.28000,84.52000,215275
XOM,12/01/12,23:00,84.53000,84.92000,84.40000,84.75000,276853
XOM,13/01/12,17:00,84.19000,84.47000,84.09000,84.25000,316386
XOM,13/01/12,18:00,84.25000,84.44000,83.99000,84.44000,450484
XOM,13/01/12,19:00,84.43000,84.56000,84.33000,84.35000,128960
XOM,13/01/12,20:00,84.35000,84.35000,84.01000,84.06000,185240
XOM,13/01/12,21:00,84.03000,84.28000,83.82000,84.27000,227172
XOM,13/01/12,22:00,84.29000,84.50000,84.25000,84.49000,151729
XOM,13/01/12,23:00,84.49000,84.92000,84.49000,84.87000,290109
XOM,17/01/12,17:00,85.78000,85.90000,85.40000,85.77000,243457
XOM,17/01/12,18:00,85.77000,85.92000,85.64000,85.92000,265967
XOM,17/01/12,19:00,85.92000,86.13000,85.81000,85.97000,240668
XOM,17/01/12,20:00,85.97000,85.98000,85.71000,85.88000,153804
XOM,17/01/12,21:00,85.88000,85.91000,85.79000,85.87000,107705
XOM,17/01/12,22:00,85.88000,85.99000,85.44000,85.52000,141166
XOM,17/01/12,23:00,85.53000,85.86000,85.46500,85.69000,273510
XOM,18/01/12,00:00,85.69000,85.69000,85.69000,85.69000,241
XOM,18/01/12,17:00,85.31000,85.65000,84.98000,85.58000,165280
XOM,18/01/12,18:00,85.58000,85.78000,85.27000,85.78000,263195
XOM,18/01/12,19:00,85.77500,85.88500,85.54000,85.65000,105981
XOM,18/01/12,20:00,85.67000,85.98000,85.67000,85.97000,7787
XOM,18/01/12,21:00,86.00000,86.16000,85.92000,86.14000,76554
XOM,18/01/12,22:00,86.08000,86.36000,86.07000,86.33000,139800
XOM,18/01/12,23:00,86.34000,86.50000,86.28000,86.42000,145529
XOM,19/01/12,17:00,86.34000,86.57000,85.81000,86.53000,133919
XOM,19/01/12,18:00,86.51000,86.90000,86.28000,86.80000,321005
XOM,19/01/12,19:00,86.82000,87.20000,86.69000,87.20000,266783
XOM,19/01/12,20:00,87.20000,87.23000,86.66000,86.78000,160302
XOM,19/01/12,21:00,86.76000,87.24000,86.74000,86.97000,149987
XOM,19/01/12,22:00,86.98500,87.05000,86.70500,86.83000,148128
XOM,19/01/12,23:00,86.82500,87.20000,86.80000,87.03000,324862
XOM,20/01/12,17:00,87.04000,87.23000,86.84000,86.98000,272148
XOM,20/01/12,18:00,86.95000,87.19000,86.74000,86.91000,400912
XOM,20/01/12,19:00,86.91000,87.05000,86.80500,86.97000,202825
XOM,20/01/12,20:00,86.96000,87.14000,86.73000,86.91000,211072
XOM,20/01/12,21:00,86.92000,87.15000,86.90000,86.98000,127786
XOM,20/01/12,22:00,86.98000,87.08000,86.88000,87.08000,104478
XOM,20/01/12,23:00,87.08000,87.49000,87.07000,87.47000,299059
XOM,23/01/12,17:00,87.50000,87.87000,87.03000,87.72000,141629
XOM,23/01/12,18:00,87.73000,87.93000,87.65000,87.93000,228998
XOM,23/01/12,19:00,87.92000,87.92000,87.45000,87.58000,227426
XOM,23/01/12,20:00,87.60000,87.61000,87.19000,87.39000,182246
XOM,23/01/12,21:00,87.40000,87.56000,87.40000,87.54000,77583
XOM,23/01/12,22:00,87.56000,87.72000,87.48000,87.67000,106037
XOM,23/01/12,23:00,87.67000,87.77000,87.49000,87.49000,197947
XOM,24/01/12,17:00,87.03000,87.10000,86.67000,86.93500,114612
XOM,24/01/12,18:00,86.94000,87.00000,86.78000,86.86000,155942
XOM,24/01/12,19:00,86.87000,86.97000,86.70000,86.80000,102572
XOM,24/01/12,20:00,86.79000,87.16500,86.77000,87.16500,104397
XOM,24/01/12,21:00,87.16000,87.21000,86.82000,86.95000,68583
XOM,24/01/12,22:00,86.96000,87.10000,86.91500,86.96000,76008
XOM,24/01/12,23:00,86.97000,87.22000,86.94000,87.17000,184232
XOM,25/01/12,17:00,86.73000,86.89500,86.35000,86.41500,144850
XOM,25/01/12,18:00,86.41000,86.41000,86.09000,86.23000,215444
XOM,25/01/12,19:00,86.23000,86.42000,85.81500,85.97000,210435
XOM,25/01/12,20:00,85.96500,86.65000,85.82000,86.59000,243645
XOM,25/01/12,21:00,86.60000,87.08000,86.60000,86.87000,184402
XOM,25/01/12,22:00,86.87000,87.02000,86.42000,86.91000,196403
XOM,25/01/12,23:00,86.91500,87.37000,86.73000,87.17000,393494
XOM,26/01/12,17:00,87.64000,87.70000,87.38000,87.58000,113642
XOM,26/01/12,18:00,87.57000,87.57000,87.23000,87.27000,226465
XOM,26/01/12,19:00,87.27000,87.51000,87.15000,87.22000,164688
XOM,26/01/12,20:00,87.21000,87.40000,87.07000,87.36000,136547
XOM,26/01/12,21:00,87.36000,87.40000,87.09000,87.18000,89386
XOM,26/01/12,22:00,87.17000,87.17000,86.69000,86.90000,187355
XOM,26/01/12,23:00,86.90000,86.99000,86.52000,86.79000,370713
XOM,27/01/12,17:00,86.24000,86.50000,86.11000,86.36000,124556
XOM,27/01/12,18:00,86.37000,86.39000,85.77000,86.09000,308383
XOM,27/01/12,19:00,86.10000,86.26000,85.91500,86.12000,169803
XOM,27/01/12,20:00,86.13000,86.19000,85.85000,85.86000,125106
XOM,27/01/12,21:00,85.87000,86.09000,85.79000,85.95000,131811
XOM,27/01/12,22:00,85.96000,86.04000,85.95500,86.03000,138293
XOM,27/01/12,23:00,86.03000,86.30000,85.83000,85.84000,339279
XOM,30/01/12,17:00,85.21000,85.22000,84.68500,84.80000,191822
XOM,30/01/12,18:00,84.82000,84.99000,84.66000,84.91000,208612
XOM,30/01/12,19:00,84.92000,85.00000,84.71000,84.79000,177855
XOM,30/01/12,20:00,84.81000,84.95500,84.64000,84.68000,142826
XOM,30/01/12,21:00,84.69500,85.05000,84.59000,84.85000,141713
XOM,30/01/12,22:00,84.84000,85.32000,84.83000,85.13500,149428
XOM,30/01/12,23:00,85.13000,85.50000,84.96000,85.50000,326025
XOM,31/01/12,17:00,84.94000,85.34000,84.45000,84.69000,255275
XOM,31/01/12,18:00,84.64000,84.64000,83.85000,83.95000,456723
XOM,31/01/12,19:00,83.97000,84.04000,83.46500,83.63000,357467
XOM,31/01/12,20:00,83.62000,83.78000,83.54000,83.64000,188892
XOM,31/01/12,21:00,83.64000,84.01000,83.61000,83.76000,158996
XOM,31/01/12,22:00,83.77000,83.89000,83.65000,83.80000,168985
XOM,31/01/12,23:00,83.82000,84.03000,83.66000,83.77000,483514
XOM,01/02/12,17:00,84.23000,84.24000,83.38000,83.88000,251075
XOM,01/02/12,18:00,83.88000,84.39000,83.78000,84.21500,442900
XOM,01/02/12,19:00,84.22000,84.56000,84.21000,84.29000,272136
XOM,01/02/12,20:00,84.29000,84.44000,84.25000,84.36000,166227
XOM,01/02/12,21:00,84.36000,84.51000,84.21500,84.29000,222060
XOM,01/02/12,22:00,84.27000,84.39000,84.18000,84.31000,147765
XOM,01/02/12,23:00,84.30500,84.54000,83.94000,83.97000,463655
XOM,02/02/12,17:00,84.28000,84.34000,83.57000,83.76000,180842
XOM,02/02/12,18:00,83.75000,84.13000,83.75000,83.91000,363378
XOM,02/02/12,19:00,83.90000,83.96000,83.40000,83.50000,310112
XOM,02/02/12,20:00,83.50000,83.54000,83.19500,83.39000,225192
XOM,02/02/12,21:00,83.38500,83.58000,83.31500,83.42000,131540
XOM,02/02/12,22:00,83.43000,83.56000,83.32000,83.54000,149345
XOM,02/02/12,23:00,83.53500,83.66000,83.40000,83.51000,308268
XOM,03/02/12,17:00,84.24000,84.49000,84.13000,84.28000,153125
XOM,03/02/12,18:00,84.24000,84.59000,84.05000,84.55000,286561
XOM,03/02/12,19:00,84.54000,84.84500,84.51000,84.69000,134132
XOM,03/02/12,20:00,84.67000,84.99000,84.65000,84.88000,133832
XOM,03/02/12,21:00,84.89000,84.90000,84.68000,84.72000,77024
XOM,03/02/12,22:00,84.73000,84.86000,84.73000,84.85000,77115
XOM,03/02/12,23:00,84.85500,84.99000,84.68000,84.89000,219634
XOM,06/02/12,17:00,84.87000,84.89000,84.49000,84.76000,92791
XOM,06/02/12,18:00,84.76000,84.96000,84.71000,84.90000,185991
XOM,06/02/12,19:00,84.90000,85.04000,84.82000,84.95000,167794
XOM,06/02/12,20:00,84.96000,85.26000,84.93000,85.21000,141908
XOM,06/02/12,21:00,85.21000,85.34000,85.19000,85.26000,111428
XOM,06/02/12,22:00,85.27000,85.57000,85.27000,85.54000,88611
XOM,06/02/12,23:00,85.54000,85.84500,85.44000,85.75000,327363
XOM,07/02/12,17:00,85.22000,85.55000,85.17000,85.26000,157413
XOM,07/02/12,18:00,85.25000,85.70000,84.95000,85.66000,311037
XOM,07/02/12,19:00,85.67000,86.07000,85.65000,86.03000,236242
XOM,07/02/12,20:00,86.02000,86.25000,86.02000,86.17000,95752
XOM,07/02/12,21:00,86.17000,86.43000,86.01000,86.18000,119426
XOM,07/02/12,22:00,86.21000,86.21000,85.92000,85.92000,82014
XOM,07/02/12,23:00,85.92000,86.43000,85.92000,86.34000,254270
XOM,08/02/12,17:00,85.84000,86.00000,85.57000,85.65000,153949
XOM,08/02/12,18:00,85.64000,85.71000,85.18000,85.22000,207444
XOM,08/02/12,19:00,85.23000,85.42000,84.73000,85.02000,323796
XOM,08/02/12,20:00,85.03000,85.12000,84.82000,84.96000,187089
XOM,08/02/12,21:00,84.97000,85.00000,84.80000,84.86000,135545
XOM,08/02/12,22:00,84.86000,85.18000,84.83000,85.11000,169327
XOM,08/02/12,23:00,85.11000,85.31000,85.04000,85.30000,234141
XOM,09/02/12,17:00,85.33000,85.69000,84.96000,85.54000,193394
XOM,09/02/12,18:00,85.53000,85.53000,84.78000,84.90000,527053
XOM,09/02/12,19:00,84.91000,84.97000,84.67000,84.85000,217552
XOM,09/02/12,20:00,84.88000,85.09000,84.78000,84.87500,139334
XOM,09/02/12,21:00,84.89000,84.94000,84.77000,84.83000,112288
XOM,09/02/12,22:00,84.83000,85.14000,84.83000,84.96000,132494
XOM,09/02/12,23:00,84.95000,85.00000,84.79000,84.89000,205390
XOM,10/02/12,17:00,84.00000,84.08000,83.68000,83.83000,108688
XOM,10/02/12,18:00,83.82000,83.92000,83.55000,83.89000,325013
XOM,10/02/12,19:00,83.90000,83.93000,83.62000,83.77000,120495
XOM,10/02/12,20:00,83.76500,83.78000,83.55000,83.76000,91275
XOM,10/02/12,21:00,83.76000,83.77000,83.43000,83.43000,110974
XOM,10/02/12,22:00,83.45000,83.62000,83.44500,83.48500,98166
XOM,10/02/12,23:00,83.48000,83.79500,83.35000,83.78000,240187
XOM,13/02/12,17:00,84.33000,84.49000,83.95000,83.95000,114357
XOM,13/02/12,18:00,83.93000,84.12000,83.90000,84.09000,243081
XOM,13/02/12,19:00,84.09000,84.21000,84.02500,84.13000,102307
XOM,13/02/12,20:00,84.12000,84.35000,84.11000,84.35000,76939
XOM,13/02/12,21:00,84.36000,84.48000,84.32000,84.40000,53228
XOM,13/02/12,22:00,84.40000,84.59000,84.34000,84.50000,76165
XOM,13/02/12,23:00,84.49000,84.50500,84.29000,84.41000,148773
XOM,14/02/12,17:00,84.42000,84.57000,84.17000,84.31000,129392
XOM,14/02/12,18:00,84.30000,84.57000,84.16000,84.54000,312676
XOM,14/02/12,19:00,84.54000,84.71000,84.47000,84.63000,176959
XOM,14/02/12,20:00,84.62000,84.68000,84.39000,84.43000,159039
XOM,14/02/12,21:00,84.42000,84.49000,84.17000,84.30000,154644
XOM,14/02/12,22:00,84.31000,84.37000,83.86000,84.11000,187617
XOM,14/02/12,23:00,84.12000,84.66000,83.92000,84.66000,333210
XOM,15/02/12,17:00,84.76000,84.91000,84.45000,84.48000,139317
XOM,15/02/12,18:00,84.52000,84.61000,84.20000,84.35000,226495
XOM,15/02/12,19:00,84.35000,84.49000,84.20000,84.36000,191280
XOM,15/02/12,20:00,84.37000,84.44000,84.18000,84.27000,249946
XOM,15/02/12,21:00,84.25000,84.31000,84.04000,84.19500,193221
XOM,15/02/12,22:00,84.21000,84.35000,84.03000,84.04000,370237
XOM,15/02/12,23:00,84.03000,84.26000,83.91000,84.15000,292317
XOM,16/02/12,17:00,84.38000,84.59000,84.08000,84.57000,162469
XOM,16/02/12,18:00,84.57000,85.00000,84.52000,84.91000,284645
XOM,16/02/12,19:00,84.90000,85.38500,84.87000,85.32000,328227
XOM,16/02/12,20:00,85.31000,85.48000,85.14000,85.41000,234975
XOM,16/02/12,21:00,85.42000,85.59000,85.38000,85.51000,140926
XOM,16/02/12,22:00,85.51000,85.61500,85.32000,85.42000,104810
XOM,16/02/12,23:00,85.42000,85.55000,85.29000,85.44000,262221
XOM,17/02/12,17:00,86.05000,86.05000,85.18000,85.27000,142793
XOM,17/02/12,18:00,85.27000,85.32000,84.97000,84.98000,172447
XOM,17/02/12,19:00,84.99000,85.15000,84.92000,85.00000,144105
XOM,17/02/12,20:00,85.00000,85.25000,84.98000,85.20000,52177
XOM,17/02/12,21:00,85.21000,85.38000,85.18000,85.28000,68367
XOM,17/02/12,22:00,85.29000,85.61000,85.29000,85.60000,78414
XOM,17/02/12,23:00,85.60000,85.80000,85.47000,85.64000,301847
XOM,21/02/12,17:00,86.11000,86.55000,86.09000,86.16000,164620
XOM,21/02/12,18:00,86.18000,86.59000,86.16000,86.45500,177849
XOM,21/02/12,19:00,86.46000,86.56000,86.27000,86.27000,107987
XOM,21/02/12,20:00,86.26000,86.53000,86.26000,86.40000,107932
XOM,21/02/12,21:00,86.42000,86.73000,86.41000,86.69000,105829
XOM,21/02/12,22:00,86.70000,86.78000,86.48000,86.52000,170876
