<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XOM,02/01/14,18:30,100.19000,100.75000,99.78000,100.09000,41418
XOM,02/01/14,18:40,100.11000,100.44000,100.11000,100.37000,29524
XOM,02/01/14,18:50,100.37000,100.53000,100.25500,100.34000,32776
XOM,02/01/14,19:00,100.34000,100.43000,100.18000,100.26000,29865
XOM,02/01/14,19:10,100.27000,100.33500,100.14000,100.28000,25592
XOM,02/01/14,19:20,100.32000,100.35000,100.17000,100.27000,20663
XOM,02/01/14,19:30,100.24000,100.29000,100.14000,100.17000,20188
XOM,02/01/14,19:40,100.18000,100.19000,100.01000,100.01000,12673
XOM,02/01/14,19:50,100.02000,100.08000,99.88500,100.02000,20243
XOM,02/01/14,20:00,100.03000,100.07000,99.93000,100.00000,26396
XOM,02/01/14,20:10,100.00000,100.04000,99.86500,99.88000,30862
XOM,02/01/14,20:20,99.88000,99.99000,99.85000,99.86000,26082
XOM,02/01/14,20:30,99.86000,99.86000,99.75000,99.75000,17120
XOM,02/01/14,20:40,99.74000,99.85000,99.72500,99.79000,18517
XOM,02/01/14,20:50,99.78000,99.78000,99.38500,99.57000,26775
XOM,02/01/14,21:00,99.58000,99.73000,99.58000,99.73000,14980
XOM,02/01/14,21:10,99.74500,99.80000,99.71000,99.71000,5900
XOM,02/01/14,21:20,99.70000,99.78500,99.68000,99.73000,7128
XOM,02/01/14,21:30,99.73000,99.73500,99.63000,99.68000,21888
XOM,02/01/14,21:40,99.68000,99.68000,99.56000,99.61000,11862
XOM,02/01/14,21:50,99.61000,99.70000,99.58000,99.70000,17550
XOM,02/01/14,22:00,99.69000,99.70500,99.63000,99.64000,10098
XOM,02/01/14,22:10,99.63500,99.64500,99.54000,99.56000,11809
XOM,02/01/14,22:20,99.55000,99.56000,99.49500,99.54000,15781
XOM,02/01/14,22:30,99.54500,99.56000,99.48000,99.53500,13097
XOM,02/01/14,22:40,99.52500,99.70000,99.50000,99.67000,17873
XOM,02/01/14,22:50,99.68000,99.71000,99.63000,99.68000,9163
XOM,02/01/14,23:00,99.69000,99.76000,99.69000,99.69000,13721
XOM,02/01/14,23:10,99.68000,99.76500,99.46000,99.47000,20881
XOM,02/01/14,23:20,99.48000,99.61000,99.41000,99.54000,12412
XOM,02/01/14,23:30,99.54500,99.66000,99.54500,99.57000,12087
XOM,02/01/14,23:40,99.58000,99.65000,99.57000,99.62000,8627
XOM,02/01/14,23:50,99.61000,99.65000,99.57000,99.58000,13200
XOM,03/01/14,00:00,99.60000,99.61000,99.53000,99.59000,14080
XOM,03/01/14,00:10,99.60000,99.74000,99.60000,99.74000,27619
XOM,03/01/14,00:20,99.74500,99.81500,99.73000,99.79000,17283
XOM,03/01/14,00:30,99.78000,99.84000,99.74500,99.78000,19721
XOM,03/01/14,00:40,99.78000,99.99000,99.76000,99.92000,27088
XOM,03/01/14,00:50,99.93000,99.94000,99.70000,99.77000,45444
XOM,03/01/14,18:30,99.67000,100.15000,99.67000,100.06000,14788
XOM,03/01/14,18:40,100.06500,100.08000,99.80000,100.02000,20242
XOM,03/01/14,18:50,100.03500,100.10000,99.92000,99.93000,21342
XOM,03/01/14,19:00,99.94000,100.00500,99.88000,99.88000,22719
XOM,03/01/14,19:10,99.89000,99.97000,99.86000,99.95000,15881
XOM,03/01/14,19:20,99.94000,99.95000,99.75000,99.76000,15300
XOM,03/01/14,19:30,99.78000,99.96000,99.74000,99.96000,21738
XOM,03/01/14,19:40,99.95500,99.95500,99.88000,99.88000,13473
XOM,03/01/14,19:50,99.88500,99.91000,99.83000,99.91000,12593
XOM,03/01/14,20:00,99.93000,99.97000,99.85000,99.92000,13026
XOM,03/01/14,20:10,99.91000,99.91000,99.64000,99.67000,13926
XOM,03/01/14,20:20,99.68000,99.71000,99.56000,99.56000,10300
XOM,03/01/14,20:30,99.57000,99.59000,99.45000,99.45000,35064
XOM,03/01/14,20:40,99.45000,99.48000,99.35000,99.37000,11163
XOM,03/01/14,20:50,99.38000,99.40000,99.24000,99.31000,19877
XOM,03/01/14,21:00,99.32000,99.39000,99.30000,99.37000,16361
XOM,03/01/14,21:10,99.39000,99.44000,99.34000,99.34000,6652
XOM,03/01/14,21:20,99.33000,99.43000,99.33000,99.37000,10496
XOM,03/01/14,21:30,99.37000,99.41000,99.31000,99.36000,13537
XOM,03/01/14,21:40,99.35000,99.49000,99.34500,99.41000,9849
XOM,03/01/14,21:50,99.42000,99.48000,99.38000,99.39000,10153
XOM,03/01/14,22:00,99.38000,99.40000,99.33000,99.38000,7775
XOM,03/01/14,22:10,99.38000,99.38000,99.27000,99.31000,9351
XOM,03/01/14,22:20,99.31000,99.37000,99.28000,99.28000,8335
XOM,03/01/14,22:30,99.28000,99.28000,99.15000,99.25000,23979
XOM,03/01/14,22:40,99.25000,99.38500,99.25000,99.38000,10228
XOM,03/01/14,22:50,99.40000,99.52000,99.39000,99.45000,11029
XOM,03/01/14,23:00,99.46000,99.53500,99.45000,99.45000,13933
XOM,03/01/14,23:10,99.45000,99.54000,99.45000,99.51000,10195
XOM,03/01/14,23:20,99.51000,99.61000,99.49000,99.58000,14119
XOM,03/01/14,23:30,99.59000,99.65000,99.55000,99.64000,17639
XOM,03/01/14,23:40,99.61000,99.71000,99.60000,99.70000,25705
XOM,03/01/14,23:50,99.69500,99.78000,99.69500,99.73000,14610
XOM,04/01/14,00:00,99.68000,99.70000,99.55000,99.60000,15969
XOM,04/01/14,00:10,99.60000,99.81000,99.60000,99.78000,28259
XOM,04/01/14,00:20,99.79000,99.83000,99.72000,99.77000,17605
XOM,04/01/14,00:30,99.77500,99.81500,99.76000,99.79000,9607
XOM,04/01/14,00:40,99.78000,99.78000,99.60000,99.66000,36689
XOM,04/01/14,00:50,99.66000,99.67000,99.47000,99.47000,43289
XOM,06/01/14,18:30,99.96000,99.99000,99.61000,99.71000,10228
XOM,06/01/14,18:40,99.72000,99.75000,99.51000,99.60000,15510
XOM,06/01/14,18:50,99.60000,99.67000,99.51000,99.64000,12200
XOM,06/01/14,19:00,99.61000,99.99000,99.61000,99.96000,18324
XOM,06/01/14,19:10,99.91000,100.02000,99.88000,100.01000,8000
XOM,06/01/14,19:20,100.01000,100.13000,99.96000,100.02000,6970
XOM,06/01/14,19:30,100.03000,100.08000,99.80000,99.81000,11649
XOM,06/01/14,19:40,99.80000,99.81000,99.61000,99.67000,9312
XOM,06/01/14,19:50,99.66000,99.77000,99.59000,99.63000,7300
XOM,06/01/14,20:00,99.57000,99.67000,99.56000,99.57000,5200
XOM,06/01/14,20:10,99.56500,99.58000,99.23000,99.36000,9000
XOM,06/01/14,20:20,99.35000,99.37000,99.21000,99.28000,11500
XOM,06/01/14,20:30,99.30000,99.36000,99.28000,99.33000,8713
XOM,06/01/14,20:40,99.33000,99.37000,99.26000,99.26000,5900
XOM,06/01/14,20:50,99.27000,99.32000,99.26000,99.29000,3600
XOM,06/01/14,21:00,99.31000,99.31000,99.22000,99.25000,3700
XOM,06/01/14,21:10,99.25000,99.25000,99.13000,99.18000,6562
XOM,06/01/14,21:20,99.15500,99.22000,99.12000,99.15000,5772
XOM,06/01/14,21:30,99.14000,99.14000,98.93500,98.98000,13785
XOM,06/01/14,21:40,98.98000,98.98000,98.92000,98.93000,3700
XOM,06/01/14,21:50,98.94500,99.14500,98.94500,99.14500,8289
XOM,06/01/14,22:00,99.15000,99.15000,99.03000,99.03000,4540
XOM,06/01/14,22:10,99.04000,99.21000,99.02000,99.19000,4183
XOM,06/01/14,22:20,99.17000,99.27000,99.17000,99.25000,5302
XOM,06/01/14,22:30,99.23000,99.29000,99.22000,99.27000,2940
XOM,06/01/14,22:40,99.27000,99.30000,99.18000,99.30000,10405
XOM,06/01/14,22:50,99.30500,99.51000,99.30000,99.46000,7800
XOM,06/01/14,23:00,99.46000,99.52000,99.44000,99.46000,6351
XOM,06/01/14,23:10,99.45000,99.58000,99.45000,99.54000,16618
XOM,06/01/14,23:20,99.51000,99.63000,99.51000,99.57000,9120
XOM,06/01/14,23:30,99.56000,99.74000,99.56000,99.74000,10210
XOM,06/01/14,23:40,99.74000,99.82000,99.74000,99.77000,12899
XOM,06/01/14,23:50,99.79500,99.80000,99.70000,99.73000,12214
XOM,07/01/14,00:00,99.71000,99.71000,99.58000,99.60000,9457
XOM,07/01/14,00:10,99.60000,99.80000,99.60000,99.76000,10747
XOM,07/01/14,00:20,99.78000,99.86000,99.72000,99.83000,10391
XOM,07/01/14,00:30,99.82000,99.83000,99.65000,99.70000,11313
XOM,07/01/14,00:40,99.68000,99.82000,99.66000,99.74500,19993
XOM,07/01/14,00:50,99.75000,99.85000,99.74000,99.78000,38088
XOM,07/01/14,18:30,99.67500,99.76000,99.44000,99.44000,10149
XOM,07/01/14,18:40,99.44000,100.09000,99.44000,100.00000,13434
XOM,07/01/14,18:50,100.01000,100.44000,100.01000,100.38000,19660
XOM,07/01/14,19:00,100.41500,100.55000,100.41500,100.50000,12228
XOM,07/01/14,19:10,100.49000,100.54000,100.41000,100.44000,8541
XOM,07/01/14,19:20,100.47000,100.60000,100.42000,100.47000,11333
XOM,07/01/14,19:30,100.48500,100.56000,100.43000,100.52000,9468
XOM,07/01/14,19:40,100.52000,100.80000,100.52000,100.72000,13300
XOM,07/01/14,19:50,100.70500,100.72000,100.59000,100.63000,10998
XOM,07/01/14,20:00,100.62000,100.78000,100.58000,100.75000,15117
XOM,07/01/14,20:10,100.77000,100.87000,100.77000,100.86500,7402
XOM,07/01/14,20:20,100.88000,100.94000,100.86500,100.92000,10737
XOM,07/01/14,20:30,100.91000,100.95000,100.90500,100.92000,4900
XOM,07/01/14,20:40,100.93000,100.93000,100.88000,100.90000,5100
XOM,07/01/14,20:50,100.88000,100.95000,100.83000,100.93000,8125
XOM,07/01/14,21:00,100.92000,101.09000,100.92000,100.94500,14075
XOM,07/01/14,21:10,100.88000,100.90000,100.75000,100.76000,5500
XOM,07/01/14,21:20,100.77000,100.89500,100.75000,100.89000,4800
XOM,07/01/14,21:30,100.90000,101.05000,100.90000,100.98000,8981
XOM,07/01/14,21:40,100.99000,101.01000,100.92000,100.98000,2898
XOM,07/01/14,21:50,100.98000,101.12000,100.98000,101.11000,5756
XOM,07/01/14,22:00,101.12000,101.21000,101.05000,101.12000,11702
XOM,07/01/14,22:10,101.13000,101.13000,100.96000,100.99000,5200
XOM,07/01/14,22:20,101.00500,101.15000,101.00000,101.15000,6899
XOM,07/01/14,22:30,101.15000,101.16000,101.04000,101.08000,7000
XOM,07/01/14,22:40,101.07500,101.17500,101.03500,101.06000,8700
XOM,07/01/14,22:50,101.06000,101.07000,100.89000,100.90000,8466
XOM,07/01/14,23:00,100.89000,100.89000,100.80000,100.84000,9318
XOM,07/01/14,23:10,100.83000,100.90000,100.81000,100.89000,4520
XOM,07/01/14,23:20,100.88000,101.03000,100.88000,101.02000,6768
XOM,07/01/14,23:30,101.00000,101.10000,100.97000,101.06000,9035
XOM,07/01/14,23:40,101.06000,101.08000,100.98000,100.99000,5152
XOM,07/01/14,23:50,100.97000,100.99000,100.92000,100.99000,4970
XOM,08/01/14,00:00,100.99000,101.03000,100.93000,100.95000,3900
XOM,08/01/14,00:10,100.96000,101.02000,100.94000,101.02000,6218
XOM,08/01/14,00:20,101.01000,101.01000,100.93000,100.97000,8857
XOM,08/01/14,00:30,101.00000,101.03000,100.86000,100.93000,25822
XOM,08/01/14,00:40,100.93000,101.07000,100.89000,101.02500,20047
XOM,08/01/14,00:50,101.02000,101.09000,100.97000,101.04000,38230
XOM,08/01/14,18:30,101.03000,101.04000,100.59000,100.63000,11586
XOM,08/01/14,18:40,100.72000,100.73500,100.15000,100.21000,26223
XOM,08/01/14,18:50,100.19000,100.69000,100.18000,100.62000,26409
XOM,08/01/14,19:00,100.58000,100.69500,100.54000,100.64500,12600
XOM,08/01/14,19:10,100.59500,100.60500,100.33000,100.52000,15340
XOM,08/01/14,19:20,100.55000,100.63000,100.52000,100.57000,17006
XOM,08/01/14,19:30,100.56000,100.58000,100.35000,100.47000,18200
XOM,08/01/14,19:40,100.46500,100.57000,100.41000,100.47500,16635
XOM,08/01/14,19:50,100.47000,100.60000,100.41000,100.60000,16813
XOM,08/01/14,20:00,100.59500,100.67000,100.44000,100.50500,18897
XOM,08/01/14,20:10,100.50500,100.51500,100.41000,100.48000,17714
XOM,08/01/14,20:20,100.47500,100.47500,100.28000,100.32000,22499
XOM,08/01/14,20:30,100.33000,100.45000,100.32500,100.33000,9400
XOM,08/01/14,20:40,100.34000,100.39000,100.32000,100.35000,13652
XOM,08/01/14,20:50,100.34000,100.37000,100.29000,100.29000,6969
XOM,08/01/14,21:00,100.29000,100.42000,100.28000,100.42000,14245
XOM,08/01/14,21:10,100.43500,100.51000,100.42000,100.46000,21006
XOM,08/01/14,21:20,100.47000,100.48500,100.45000,100.47000,6240
XOM,08/01/14,21:30,100.46000,100.54000,100.43000,100.46000,9805
XOM,08/01/14,21:40,100.47000,100.52500,100.41000,100.41500,6490
XOM,08/01/14,21:50,100.41000,100.53000,100.41000,100.53000,10431
XOM,08/01/14,22:00,100.52000,100.52000,100.40000,100.51000,10654
XOM,08/01/14,22:10,100.53000,100.53000,100.47000,100.49000,21399
XOM,08/01/14,22:20,100.48500,100.52000,100.45000,100.51000,8050
XOM,08/01/14,22:30,100.50500,100.52500,100.49500,100.52000,8371
XOM,08/01/14,22:40,100.52000,100.52000,100.49000,100.49500,13930
XOM,08/01/14,22:50,100.50000,100.55000,100.49500,100.50000,9818
XOM,08/01/14,23:00,100.49500,100.56000,100.37000,100.38000,37504
XOM,08/01/14,23:10,100.37000,100.51000,100.36000,100.49000,32884
XOM,08/01/14,23:20,100.50000,100.54000,100.41000,100.41000,13742
XOM,08/01/14,23:30,100.41000,100.50000,100.38000,100.39000,14473
XOM,08/01/14,23:40,100.41000,100.50000,100.41000,100.44000,19191
XOM,08/01/14,23:50,100.43000,100.57000,100.43000,100.54000,9270
XOM,09/01/14,00:00,100.53000,100.58000,100.44000,100.53000,11006
XOM,09/01/14,00:10,100.50000,100.53000,100.39000,100.44000,17539
XOM,09/01/14,00:20,100.41000,100.46000,100.37000,100.42000,20259
XOM,09/01/14,00:30,100.38000,100.56000,100.37000,100.55000,19995
XOM,09/01/14,00:40,100.55000,100.85000,100.51000,100.83000,25399
XOM,09/01/14,00:50,100.83000,100.86000,100.68000,100.73000,45762
XOM,09/01/14,18:30,100.31000,100.37000,100.02000,100.29000,20665
XOM,09/01/14,18:40,100.28500,100.31000,99.89000,99.95500,21382
XOM,09/01/14,18:50,99.95500,100.20000,99.95500,100.06000,23944
XOM,09/01/14,19:00,100.05000,100.29000,100.05000,100.18000,20027
XOM,09/01/14,19:10,100.17000,100.17000,99.93000,100.04000,18231
XOM,09/01/14,19:20,100.03500,100.15500,99.92000,100.15500,21833
XOM,09/01/14,19:30,100.17000,100.21500,100.01000,100.01000,15400
XOM,09/01/14,19:40,100.01000,100.06000,99.73000,99.82000,17860
XOM,09/01/14,19:50,99.77000,99.82000,99.64000,99.71000,16658
XOM,09/01/14,20:00,99.70000,99.71000,99.52000,99.52000,16553
XOM,09/01/14,20:10,99.53000,99.60000,99.48000,99.58000,11000
XOM,09/01/14,20:20,99.61000,99.63000,99.50000,99.57000,14536
XOM,09/01/14,20:30,99.56000,99.74000,99.51000,99.71000,8000
XOM,09/01/14,20:40,99.75000,99.79000,99.68000,99.75000,15430
XOM,09/01/14,20:50,99.76000,99.82000,99.74000,99.76000,6885
XOM,09/01/14,21:00,99.79000,99.79000,99.71000,99.75000,8263
XOM,09/01/14,21:10,99.75000,99.76000,99.65000,99.65000,4987
XOM,09/01/14,21:20,99.63000,99.64000,99.58000,99.63000,5700
XOM,09/01/14,21:30,99.65000,99.75000,99.65000,99.73000,8605
XOM,09/01/14,21:40,99.74000,99.78000,99.71000,99.78000,21422
XOM,09/01/14,21:50,99.76000,99.83000,99.76000,99.82000,9549
XOM,09/01/14,22:00,99.83000,99.88000,99.74000,99.75000,8800
