<TICKER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XOM,02/01/14,00:00,100.19000,100.75000,99.38500,99.77000,767986
XOM,03/01/14,00:00,99.67000,100.15000,99.15000,99.47000,646796
XOM,06/01/14,00:00,99.96000,100.13000,98.92000,99.78000,387785
XOM,07/01/14,00:00,99.67500,101.21000,99.44000,101.04000,393306
XOM,08/01/14,00:00,101.03000,101.04000,100.15000,100.73000,657406
XOM,09/01/14,00:00,100.31000,100.37000,99.04000,99.76000,623282
XOM,10/01/14,00:00,99.99000,100.62000,99.12000,100.53000,497557
XOM,13/01/14,00:00,99.91000,100.07500,98.28000,98.51000,596728
XOM,14/01/14,00:00,98.84000,99.26500,98.65500,99.12000,357937
XOM,15/01/14,00:00,99.08000,99.34000,98.64000,98.69500,437275
XOM,16/01/14,00:00,98.93000,99.03000,98.26000,98.95000,534043
XOM,17/01/14,00:00,99.18000,100.34000,98.73000,99.16000,628224
XOM,21/01/14,00:00,98.57000,98.88000,98.05000,98.46000,461805
XOM,22/01/14,00:00,98.82500,98.94000,97.84000,97.96500,572522
XOM,23/01/14,00:00,97.25000,97.39000,96.01000,96.22000,540701
XOM,24/01/14,00:00,96.19000,96.23000,94.90000,94.92000,793655
XOM,27/01/14,00:00,95.03000,95.57000,94.76000,94.92000,584773
XOM,28/01/14,00:00,95.43000,95.91000,94.77000,95.64000,621287
XOM,29/01/14,00:00,94.90000,96.18000,94.75000,95.20000,507925
XOM,30/01/14,00:00,93.92000,94.94000,93.06000,93.97000,767036
XOM,31/01/14,00:00,92.85000,93.28000,91.70000,92.11000,824442
XOM,03/02/14,00:00,91.80000,92.30000,89.64000,90.07000,1220998
XOM,04/02/14,00:00,90.32000,90.60000,89.40000,90.04000,927665
XOM,05/02/14,00:00,90.22000,90.59000,89.38000,89.58000,843892
XOM,06/02/14,00:00,89.44000,90.17000,89.26000,89.81000,727438
XOM,07/02/14,00:00,90.13000,90.63000,89.76000,90.54000,739910
XOM,10/02/14,00:00,90.41000,90.41000,89.37000,89.50000,978725
XOM,11/02/14,00:00,89.56000,90.99000,89.40000,90.78000,770364
XOM,12/02/14,00:00,90.96000,91.85000,90.64500,91.06000,700285
XOM,13/02/14,00:00,90.59000,91.65000,90.41000,91.38000,556132
XOM,14/02/14,00:00,91.76000,94.43000,91.65000,94.07000,1124092
XOM,18/02/14,00:00,94.13000,94.72000,93.37000,94.11000,845108
XOM,19/02/14,00:00,93.96000,95.28000,93.88000,93.95000,805648
XOM,20/02/14,00:00,93.84000,95.76000,93.81000,95.37000,1118963
XOM,21/02/14,00:00,95.41000,95.57000,94.95000,95.03000,562237
XOM,24/02/14,00:00,95.56000,97.25000,95.44000,96.41000,1092305
XOM,25/02/14,00:00,96.60000,96.97000,95.96000,96.31000,503846
XOM,26/02/14,00:00,96.43000,96.82000,95.53500,95.86000,480909
